Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Sylvia R. Garcia,Totals
"State Senator, District 6",0842,1338,513,1851,3390,54.60%,1251,1251
"State Senator, District 6",0843,595,298,893,1387,64.38%,740,740
"State Senator, District 6",0844,4,0,4,10,40.00%,4,4
"State Senator, District 6",0846,61,22,83,229,36.24%,78,78
"State Senator, District 6",0849,731,455,1186,2272,52.20%,896,896
"State Senator, District 6",0850,129,19,148,208,71.15%,103,103
"State Senator, District 6",0852,0,0,0,1,0.00%,0,0
"State Senator, District 6",0857,0,0,0,1,0.00%,0,0
"State Senator, District 6",0860,1,1,2,0,0.00%,2,2
"State Senator, District 6",0864,693,574,1267,2708,46.79%,1018,1018
"State Senator, District 6",0871,2,1,3,3,100.00%,3,3
"State Senator, District 6",0872,16,6,22,68,32.35%,11,11
"State Senator, District 6",0889,113,28,141,238,59.24%,108,108
"State Senator, District 6",0908,0,0,0,0,0.00%,0,0
"State Senator, District 6",0909,7,1,8,21,38.10%,5,5
"State Senator, District 6",0910,78,37,115,236,48.73%,78,78
"State Senator, District 6",0914,42,0,42,124,33.87%,33,33
"State Senator, District 6",0917,33,9,42,147,28.57%,37,37
"State Senator, District 6",0921,27,6,33,61,54.10%,26,26
"State Senator, District 6",0924,0,0,0,0,0.00%,0,0
"State Senator, District 6",0925,0,0,0,0,0.00%,0,0
"State Senator, District 6",0928,4,1,5,7,71.43%,5,5
"State Senator, District 6",0930,217,83,300,606,49.50%,278,278
"State Senator, District 6",0934,9,4,13,37,35.14%,7,7
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Sylvia R. Garcia,Totals
"State Senator, District 6",0936,23,9,32,76,42.11%,25,25
"State Senator, District 6",0937,0,0,0,0,0.00%,0,0
"State Senator, District 6",0940,9,3,12,28,42.86%,11,11
"State Senator, District 6",0945,8,6,14,21,66.67%,13,13
"State Senator, District 6",0946,4,2,6,14,42.86%,5,5
"State Senator, District 6",0950,0,0,0,0,0.00%,0,0
"State Senator, District 6",0953,4,0,4,8,50.00%,4,4
"State Senator, District 6",0954,0,0,0,0,0.00%,0,0
"State Senator, District 6",0957,282,39,321,585,54.87%,285,285
"State Senator, District 6",0958,430,231,661,1202,54.99%,550,550
"State Senator, District 6",0959,0,0,0,0,0.00%,0,0
"State Senator, District 6",0970,223,102,325,810,40.12%,279,279
"State Senator, District 6",0972,0,0,0,0,0.00%,0,0
"State Senator, District 6",0978,0,0,0,0,0.00%,0,0
"State Senator, District 6",0989,0,0,0,0,0.00%,0,0
"State Senator, District 6",0996,403,70,473,708,66.81%,265,265
"State Senator, District 6",0999,0,0,0,0,0.00%,0,0
"State Senator, District 6",Totals:,106114,52251,158365,311045,119891,119891
