Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0175,1402,691,2093,2711,77.20%,611,1149,1760
"Houston |.S.D., Proposition 1",0176,767,375,1142,1533,74.49%,345,590,935
"Houston |.S.D., Proposition 1",0177,937,333,1270,1715,74.05%,363,594,957
"Houston |.S.D., Proposition 1",0178,1116,273,1389,1795,77.38%,344,745,1089
"Houston |.S.D., Proposition 1",0179,20,0,20,13,153.85%,4,13,17
"Houston |.S.D., Proposition 1",0180,928,463,1391,2914,47.74%,380,564,944
"Houston |.S.D., Proposition 1",0181,695,439,1135,2190,51.83%,353,454,807
"Houston |.S.D., Proposition 1",0182,1943,994,2937,4071,72.14%,1051,1506,2557
"Houston |.S.D., Proposition 1",0183,1286,715,2001,2535,78.93%,564,1064,1628
"Houston |.S.D., Proposition 1",0184,278,219,497,1048,47.42%,179,174,353
"Houston |.S.D., Proposition 1",0185,0,3,3,7,42.86%,2,0,2
"Houston |.S.D., Proposition 1",0186,252,150,402,798,50.38%,103,154,257
"Houston |.S.D., Proposition 1",0187,96,51,147,309,47.57%,65,37,102
"Houston |.S.D., Proposition 1",0189,804,279,1083,1505,71.96%,334,557,891
"Houston |.S.D., Proposition 1",0192,757,259,1016,1959,51.86%,272,470,742
"Houston |.S.D., Proposition 1",0193,375,211,586,1099,53.32%,161,268,429
"Houston |.S.D., Proposition 1",0194,1138,449,1587,2172,73.07%,512,721,1233
"Houston |.S.D., Proposition 1",0195,606,344,950,1739,54.63%,268,437,705
"Houston |.S.D., Proposition 1",0196,132,37,169,313,53.99%,59,77,136
"Houston |.S.D., Proposition 1",0197,900,323,1223,2559,47.79%,315,548,863
"Houston |.S.D., Proposition 1",0198,161,82,243,619,39.26%,51,102,153
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0200,2307,377,2684,3692,72.70%,677,1441,2118
"Houston |.S.D., Proposition 1",0201,221,105,326,773,42.17%,88,142,230
"Houston |.S.D., Proposition 1",0202,421,233,554,1410,46.38%,181,265,446
"Houston |.S.D., Proposition 1",0203,298,111,409,988,41.40%,118,172,290
