Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0388,2899,711,3610,5413,66.69%,1649,1828,3477
"County School Trustee, Position 1, Precinct 2",0391,986,336,1322,1978,66.84%,733,526,1259
"County School Trustee, Position 1, Precinct 2",0393,427,257,684,1274,53.69%,297,351,648
"County School Trustee, Position 1, Precinct 2",0394,236,126,362,914,39.61%,117,224,341
"County School Trustee, Position 1, Precinct 2",0397,204,117,321,796,40.33%,109,193,302
"County School Trustee, Position 1, Precinct 2",0404,1033,445,1478,2717,54.40%,677,752,1429
"County School Trustee, Position 1, Precinct 2",0409,501,280,781,1608,48.57%,228,512,740
"County School Trustee, Position 1, Precinct 2",0411,699,418,1117,2426,46.04%,270,785,1055
"County School Trustee, Position 1, Precinct 2",0413,1546,456,2002,3081,64.98%,717,1186,1903
"County School Trustee, Position 1, Precinct 2",0414,1573,514,2087,3586,58.20%,1466,533,1999
"County School Trustee, Position 1, Precinct 2",0415,1076,573,1649,2284,72.20%,1068,504,1572
"County School Trustee, Position 1, Precinct 2",0416,1443,845,2288,4009,57.07%,1050,1121,2171
"County School Trustee, Position 1, Precinct 2",0419,1155,477,1643,2702,60.81%,916,657,1573
"County School Trustee, Position 1, Precinct 2",0420,2687,731,3418,4946,69.11%,2692,600,3292
"County School Trustee, Position 1, Precinct 2",0447,2411,464,2875,3727,77.14%,1831,912,2743
"County School Trustee, Position 1, Precinct 2",0456,1404,553,1957,3793,51.60%,1006,862,1868
"County School Trustee, Position 1, Precinct 2",0470,555,232,787,1358,57.95%,551,199,750
"County School Trustee, Position 1, Precinct 2",0471,1057,458,1515,2473,61.26%,1108,350,1458
"County School Trustee, Position 1, Precinct 2",0473,944,390,1334,1787,74.65%,849,429,1278
"County School Trustee, Position 1, Precinct 2",0502,1366,293,1659,2595,63.93%,1248,337,1585
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0526,235,157,392,820,47.80%,76,288,364
"County School Trustee, Position 1, Precinct 2",0527,156,38,194,580,33.45%,72,110,182
"County School Trustee, Position 1, Precinct 2",0530,375,212,587,1236,47.49%,103,438,541
"County School Trustee, Position 1, Precinct 2",0531,1234,166,1400,2250,62.22%,997,328,1325
