Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0198,161,82,243,619,39.26%,13,219,232
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0199,1929,815,2744,4063,67.54%,2033,584,2617
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0200,2307,377,2684,3692,72.70%,1240,1281,2521
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0201,221,105,326,773,42.17%,10,308,318
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0202,421,233,654,1410,46.38%,35,591,626
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0203,298,111,409,988,41.40%,63,318,381
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0204,2099,577,2676,3568,75.00%,1407,1055,2462
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0205,771,171,942,1724,54.84%,29,889,918
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0208,1277,494,1771,2965,59.73%,520,1118,1838
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0207,805,212,817,1188,70.07%,258,502,758
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0208,909,338,1247,2258,55.27%,278,882,1158
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0209,0,0,0,0,0.00%,0,0,0
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0210,1259,489,1748,2781,82.88%,281,1384,1885
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0211,964,595,1559,3130,49.81%,409,1041,1450
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0212,309,323,832,1370,48.13%,97,492,589
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0213,1782,795,2577,3408,75.88%,1983,485,2448
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0214,1018,418,1434,1911,75.04%,838,484,1320
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0215,1098,838,1732,2288,75.77%,982,827,1809
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0218,778,244,1022,1988,51.98%,88,913,979
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0217,1545,818,2183,2738,79.08%,1391,843,2034
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0218,1099,457,1555,2487,83.07%,377,1039,1418
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0219,1117,515,1832,2888,58.90%,153,1387,1540
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0220,832,308,1138,2382,48.18%,890,380,1070
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0221,1032,473,1505,2598,57.93%,484,945,1409
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0222,1480,871,2131,2728,78.12%,1053,914,1987
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0223,1750,517,2287,3884,81.87%,585,1515,2100
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0224,1155,495,1551,2313,71.81%,788,778,1544
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0225,1353,598,1949,3889,52.83%,790,1082,1852
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0228,840,421,1281,2554,49.37%,230,989,1199
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0227,1071,359,1430,1810,79.01%,1089,278,1347
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0228,825,159,784,1175,88.72%,59,710,789
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0229,227,188,395,828,47.71%,102,288,370
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0230,353,185,518,1094,47.35%,24,478,502
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0231,801,445,1248,2378,52.44%,242,935,1177
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0232,941,438,1379,1828,75.52%,740,542,1282
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0233,2571,703,3274,4713,89.47%,1503,1531,3034
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0234,2419,728,3147,4042,77.88%,2288,873,2981
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0235,481,203,884,1421,48.73%,23,808,831
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0238,555,308,984,2104,45.82%,50,881,931
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0237,739,312,1051,2148,48.97%,30,988,1018
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0238,808,317,923,1948,47.38%,34,857,891
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Clyde Raymond Leuchtag,DEM George Barnstone,Totals
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0239,694,334,1028,1984,51.81,%,44,961,1005
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0240,1007,292,1299,2601,49.94%,41,1226,1267
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0241,651,383,1034,2466,41.93%,314,673,987
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0242,506,314,820,1744,47.02%,346,413,759
"Judge, County Civil Court at Law No. 1 (Unexpired Term)",0243,244,42,286,475,60.21%,8,274,282
