Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,"DEM William ""Bill"" McLeod",Totals
"Justice of the Peace, Precinct 5, Place 1",0708,1248,372,1820,2821,57.43%,581,959,1520
"Justice of the Peace, Precinct 5, Place 1",0709,2257,528,2785,4138,87.34%,1435,1254,2889
"Justice of the Peace, Precinct 5, Place 1",0711,1978,599,2577,3820,87.48%,1247,1218,2485
"Justice of the Peace, Precinct 5, Place 1",0712,1720,827,2347,4002,58.85%,802,1478,2280
"Justice of the Peace, Precinct 5, Place 1",0720,2498,709,3207,4709,88.10%,2077,989,3088
"Justice of the Peace, Precinct 5, Place 1",0727,981,415,1398,2708,51.55%,349,1002,1351
"Justice of the Peace, Precinct 5, Place 1",0730,1380,408,1788,2435,72.53%,1089,599,1888
"Justice of the Peace, Precinct 5, Place 1",0731,2087,824,2711,4834,58.08%,1088,1537,2803
"Justice of the Peace, Precinct 5, Place 1",0751,2931,1013,3944,5893,88.93%,2338,1453,3789
"Justice of the Peace, Precinct 5, Place 1",0781,1088,187,1255,1598,78.54%,850,335,1185
"Justice of the Peace, Precinct 5, Place 1",0785,2051,874,2925,5742,50.94%,732,2090,2822
"Justice of the Peace, Precinct 5, Place 1",0771,572,210,782,1588,49.24%,328,422,748
"Justice of the Peace, Precinct 5, Place 1",0772,2805,477,3282,4808,71.25%,2334,811,3145
"Justice of the Peace, Precinct 5, Place 1",0773,1893,838,2331,4414,52.81%,558,1824,2180
"Justice of the Peace, Precinct 5, Place 1",0781,1235,812,1847,3782,48.84%,581,1148,1707
"Justice of the Peace, Precinct 5, Place 1",0785,1229,357,1588,1898,83.85%,801,721,1522
"Justice of the Peace, Precinct 5, Place 1",0789,1377,420,1797,2998,59.94%,1015,720,1735
"Justice of the Peace, Precinct 5, Place 1",0790,1143,329,1472,2523,58.34%,481,935,1418
"Justice of the Peace, Precinct 5, Place 1",0798,1371,485,1838,3041,80.37%,727,1053,1780
"Justice of the Peace, Precinct 5, Place 1",0800,1934,730,2884,4216,83.19%,1557,993,2550
"Justice of the Peace, Precinct 5, Place 1",0803,2885,547,3212,4514,71.18%,2185,922,3087
"Justice of the Peace, Precinct 5, Place 1",0804,2703,882,3385,5303,83.83%,1729,1548,3277
"Justice of the Peace, Precinct 5, Place 1",0807,792,349,1141,2183,52.75%,190,912,1102
"Justice of the Peace, Precinct 5, Place 1",0813,1742,434,2178,3488,82.39%,918,1185,2101
"Justice of the Peace, Precinct 5, Place 1",0814,1988,827,2795,5483,50.98%,548,2151,2897
"Justice of the Peace, Precinct 5, Place 1",0828,177,70,247,355,89.58%,124,102,228
"Justice of the Peace, Precinct 5, Place 1",0829,101,19,120,235,51.08%,34,79,113
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,"DEM William ""Bill"" McLeod",Totals
"Justice of the Peace, Precinct 5, Place 1",0839,419,174,593,1190,49.83%,124,443,567
"Justice of the Peace, Precinct 5, Place 1",0862,1989,508,2497,3739,66.78%,1410,997,2407
"Justice of the Peace, Precinct 5, Place 1",0869,165,55,220,480,45.83%,25,189,214
"Justice of the Peace, Precinct 5, Place 1",0875,1947,501,2448,3592,68.15%,1130,1231,2361
"Justice of the Peace, Precinct 5, Place 1",0877,1803,528,2331,3651,63.85%,848,1407,2255
"Justice of the Peace, Precinct 5, Place 1",0879,1215,413,1628,2843,57.26%,660,902,1562
"Justice of the Peace, Precinct 5, Place 1",0881,2465,927,3392,5638,60.16%,871,2411,3282
"Justice of the Peace, Precinct 5, Place 1",0882,1952,595,2547,4317,59.00%,735,1701,2436
"Justice of the Peace, Precinct 5, Place 1",0898,792,301,1093,1821,60.02%,422,635,1057
"Justice of the Peace, Precinct 5, Place 1",0899,746,165,911,1264,72.07%,553,335,888
"Justice of the Peace, Precinct 5, Place 1",0913,102,12,114,241,47.30%,20,90,110
"Justice of the Peace, Precinct 5, Place 1",0919,1,0,1,1,100.00%,0,1,1
"Justice of the Peace, Precinct 5, Place 1",0923,2331,350,2681,3536,75.82%,1971,653,2624
"Justice of the Peace, Precinct 5, Place 1",0938,72,19,91,255,35.69%,29,61,90
"Justice of the Peace, Precinct 5, Place 1",0939,1,1,2,4,50.00%,1,1,2
"Justice of the Peace, Precinct 5, Place 1",0942,102,16,118,152,77.63%,77,39,116
"Justice of the Peace, Precinct 5, Place 1",0943,192,28,220,774,28.42%,50,156,206
"Justice of the Peace, Precinct 5, Place 1",0944,1,0,1,1,100.00%,0,1,1
"Justice of the Peace, Precinct 5, Place 1",0951,114,62,176,304,57.89%,40,129,169
"Justice of the Peace, Precinct 5, Place 1",0952,32,15,47,65,72.31%,26,19,45
"Justice of the Peace, Precinct 5, Place 1",0973,504,138,642,999,64.26%,396,217,613
"Justice of the Peace, Precinct 5, Place 1",0984,76,57,133,341,39.00%,9,122,131
"Justice of the Peace, Precinct 5, Place 1",0985,222,56,278,355,78.31%,124,142,266
"Justice of the Peace, Precinct 5, Place 1",0986,153,78,231,537,43.02%,24,200,224
"Justice of the Peace, Precinct 5, Place 1",0991,0,1,1,2,50.00%,0,1,1
"Justice of the Peace, Precinct 5, Place 1",0992,456,106,562,1075,52.28%,253,278,531
"Justice of the Peace, Precinct 5, Place 1",1000,122,22,144,428,33.64%,24,115,139
"Justice of the Peace, Precinct 5, Place 1",1001,519,280,799,1654,48.31%,146,614,760
"Justice of the Peace, Precinct 5, Place 1",1002,480,270,750,1804,41.57%,105,603,708
"Justice of the Peace, Precinct 5, Place 1",1006,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 5, Place 1",1009,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 5, Place 1",Totals:,259509,90060,349569,562082,168739,164636,333375
