Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0554,597,271,868,1774,48.93%,162,654,20,5,841
"Justice, Supreme Court, Place 5",0555,642,390,1032,2286,45.14%,166,803,12,14,995
"Justice, Supreme Court, Place 5",0556,760,435,1195,2491,47.97%,226,895,14,14,1149
"Justice, Supreme Court, Place 5",0557,925,460,1385,2955,46.87%,358,890,26,12,1286
"Justice, Supreme Court, Place 5",0558,1815,721,2536,4718,53.75%,700,1670,54,34,2458
"Justice, Supreme Court, Place 5",0559,1917,701,2618,4984,52.53%,536,1873,82,40,2531
"Justice, Supreme Court, Place 5",0560,290,247,537,1141,47.06%,76,419,6,12,513
"Justice, Supreme Court, Place 5",0561,1025,624,1649,3138,52.55%,912,606,50,23,1591
"Justice, Supreme Court, Place 5",0562,222,116,338,691,48.91%,34,273,1,5,313
"Justice, Supreme Court, Place 5",0563,2075,337,2412,3468,69.55%,1776,498,63,19,2356
"Justice, Supreme Court, Place 5",0554,1567,526,2093,3240,64.60%,510,1398,74,36,2018
"Justice, Supreme Court, Place 5",0565,336,148,484,1414,34.23%,69,380,9,5,463
"Justice, Supreme Court, Place 5",0566,1189,441,1630,3029,53.81%,387,1127,39,22,1575
"Justice, Supreme Court, Place 5",0567,966,390,1356,2851,47.56%,315,921,23,11,1270
"Justice, Supreme Court, Place 5",0568,1836,697,2533,3638,69.63%,1501,805,83,34,2423
"Justice, Supreme Court, Place 5",0569,2036,747,2783,4125,67.47%,1220,1296,98,46,2660
"Justice, Supreme Court, Place 5",0570,771,278,1049,1598,65.64%,340,597,42,20,999
"Justice, Supreme Court, Place 5",0571,521,314,835,1950,42.82%,216,542,17,20,795
"Justice, Supreme Court, Place 5",0572,1531,444,1975,3308,59.70%,789,1033,54,32,1908
"Justice, Supreme Court, Place 5",0573,490,215,705,1625,43.38%,17,670,4,5,696
"Justice, Supreme Court, Place 5",0574,112,74,186,391,47.57%,17,154,0,4,175
"Justice, Supreme Court, Place 5",0575,1906,535,2441,3557,68.63%,1256,990,94,20,2360
"Justice, Supreme Court, Place 5",0576,1110,375,1485,2830,52.47%,84,1320,17,26,1447
"Justice, Supreme Court, Place 5",0577,887,205,1092,1586,68.85%,605,407,25,19,1056
"Justice, Supreme Court, Place 5",0578,1026,405,1431,1862,76.85%,807,497,54,13,1371
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0579,287,181,468,1139,41.09%,71,366,6,7,450
"Justice, Supreme Court, Place 5",0580,366,108,474,985,48.12%,20,439,7,4,470
"Justice, Supreme Court, Place 5",0581,457,137,594,1033,57.50%,14,549,3,9,575
"Justice, Supreme Court, Place 5",0582,543,232,775,1607,48.23%,51,685,9,7,752
"Justice, Supreme Court, Place 5",0583,434,155,589,1286,45.80%,20,547,4,5,576
"Justice, Supreme Court, Place 5",0584,367,120,487,1062,45.86%,33,429,6,4,472
"Justice, Supreme Court, Place 5",0585,830,280,1110,2346,47.31%,48,1019,14,8,1089
"Justice, Supreme Court, Place 5",0586,1793,790,2583,4521,57.13%,1373,1027,67,43,2510
"Justice, Supreme Court, Place 5",0587,1208,431,1639,2870,57.11%,508,1038,33,14,1593
"Justice, Supreme Court, Place 5",0588,1941,606,2547,3780,67.38%,1592,784,85,30,2491
"Justice, Supreme Court, Place 5",0589,1540,545,2085,3780,55.16%,917,1027,60,25,2029
"Justice, Supreme Court, Place 5",0590,1230,400,1630,2176,74.91%,1186,330,46,14,1576
"Justice, Supreme Court, Place 5",0591,652,462,1114,2274,48.99%,239,800,18,14,1071
"Justice, Supreme Court, Place 5",0592,449,272,721,1446,49.86%,133,527,17,15,692
"Justice, Supreme Court, Place 5",0593,1581,755,2316,4179,55.42%,866,1273,61,38,2238
"Justice, Supreme Court, Place 5",0594,1244,316,1560,2578,60.51%,399,1093,23,20,1535
"Justice, Supreme Court, Place 5",0595,601,299,900,1833,49.10%,120,714,13,25,872
"Justice, Supreme Court, Place 5",0596,1380,501,1881,3574,52.63%,776,923,80,38,1817
"Justice, Supreme Court, Place 5",0597,1205,609,1814,3587,50.57%,587,1082,52,23,1744
"Justice, Supreme Court, Place 5",0598,2389,731,3120,5253,59.39%,973,1929,88,44,3034
"Justice, Supreme Court, Place 5",0599,1380,493,1873,3005,62.33%,608,1164,40,19,1831
"Justice, Supreme Court, Place 5",0600,1603,776,2379,4204,56.59%,735,1458,54,34,2281
"Justice, Supreme Court, Place 5",0601,2223,670,2893,4151,69.69%,1978,738,81,25,2822
"Justice, Supreme Court, Place 5",0602,756,234,990,1441,68.70%,644,289,27,10,970
"Justice, Supreme Court, Place 5",0603,2344,725,3069,4666,65.77%,1636,1192,109,51,2988
"Justice, Supreme Court, Place 5",0604,1818,375,2193,3189,68.77%,1773,292,47,20,2132
"Justice, Supreme Court, Place 5",0605,1714,599,2313,4217,54.85%,481,1675,44,27,2227
"Justice, Supreme Court, Place 5",0606,319,111,430,970,44.33%,10,395,4,5,414
"Justice, Supreme Court, Place 5",0607,163,51,214,712,30.06%,23,181,1,2,207
"Justice, Supreme Court, Place 5",0608,156,77,233,570,40.88%,67,147,7,1,222
"Justice, Supreme Court, Place 5",0609,2040,729,2769,4305,64.32%,1506,1083,56,39,2684
"Justice, Supreme Court, Place 5",0610,666,343,1009,2086,48.37%,380,552,23,17,972
"Justice, Supreme Court, Place 5",0611,980,229,1209,2527,47.84%,49,1112,12,14,1187
"Justice, Supreme Court, Place 5",0612,1930,431,2361,3388,69.69%,1692,505,79,24,2300
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0613,938,339,1277,2368,53.93%,194,1011,12,25,1242
"Justice, Supreme Court, Place 5",0614,1950,645,2595,4566,56.83%,711,1746,42,28,2527
"Justice, Supreme Court, Place 5",0615,1,1075,301,1377,2086,66.01%,665,609,42,20,1336
"Justice, Supreme Court, Place 5",0616,1811,611,2422,3516,68.89%,1508,718,78,34,2338
"Justice, Supreme Court, Place 5",0617,1708,650,2358,4179,56.42%,729,1472,57,32,2290
"Justice, Supreme Court, Place 5",0618,1701,545,2246,3801,59.09%,866,1243,62,30,2201
"Justice, Supreme Court, Place 5",0619,2793,663,3456,4916,70.30%,2382,871,109,26,3388
"Justice, Supreme Court, Place 5",0620,1749,333,2082,3318,62.75%,1012,938,35,17,2002
"Justice, Supreme Court, Place 5",0621,536,200,736,1272,57.86%,280,388,24,16,708
"Justice, Supreme Court, Place 5",0622,2133,591,2724,4562,59.71%,1360,1163,72,34,2629
"Justice, Supreme Court, Place 5",0623,1962,461,2423,3919,61.83%,1433,819,57,39,2348
"Justice, Supreme Court, Place 5",0624,298,59,357,456,78.29%,265,74,8,2,349
"Justice, Supreme Court, Place 5",0625,925,372,1297,1864,69.58%,645,543,46,17,1251
"Justice, Supreme Court, Place 5",0626,2285,784,3069,4816,63.73%,1500,1325,101,34,2960
"Justice, Supreme Court, Place 5",0627,935,649,1584,3235,48.96%,384,1088,25,23,1520
"Justice, Supreme Court, Place 5",0628,717,545,1262,2420,52.15%,409,759,19,12,1199
"Justice, Supreme Court, Place 5",0629,162,96,258,750,34.40%,26,222,5,2,255
"Justice, Supreme Court, Place 5",0630,2680,541,3221,4738,67.98%,310,2751,41,42,3144
"Justice, Supreme Court, Place 5",0631,1844,398,2242,3263,68.71%,1396,678,68,27,2169
"Justice, Supreme Court, Place 5",0632,4,1,5,241,2.07%,0,5,0,0,5
"Justice, Supreme Court, Place 5",0633,2287,601,2888,3912,73.82%,1869,846,72,21,2808
"Justice, Supreme Court, Place 5",0634,1439,499,1938,3259,59.47%,1028,777,58,28,1891
"Justice, Supreme Court, Place 5",0635,1647,520,2167,3512,61.70%,1499,495,91,24,2109
"Justice, Supreme Court, Place 5",0636,2303,922,3225,4569,70.58%,2719,337,79,15,3150
"Justice, Supreme Court, Place 5",0637,1098,423,1521,2591,58.70%,301,1081,31,26,1439
"Justice, Supreme Court, Place 5",0638,850,348,1198,2310,51.86%,92,1046,10,15,1163
"Justice, Supreme Court, Place 5",0639,1387,284,1671,2560,65.27%,1228,333,45,17,1623
"Justice, Supreme Court, Place 5",0640,1619,615,2234,3927,56.89%,1178,900,68,29,2175
"Justice, Supreme Court, Place 5",0641,1637,683,2320,3840,60.42%,1290,888,54,26,2258
"Justice, Supreme Court, Place 5",0642,1030,270,1300,1783,72.91%,978,259,25,9,1271
"Justice, Supreme Court, Place 5",0643,1951,593,2544,4189,60.73%,1117,1259,71,23,2470
"Justice, Supreme Court, Place 5",0644,2090,689,2779,4446,62.51%,1511,1048,86,50,2695
"Justice, Supreme Court, Place 5",0645,2156,769,2925,4517,64.76%,1110,1554,111,48,2823
"Justice, Supreme Court, Place 5",0646,925,399,1324,2422,54.67%,304,916,30,16,1266
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0647,1373,526,1899,4349,43.67%,402,1335,19,23,1779
"Justice, Supreme Court, Place 5",0648,1863,500,2363,3487,67.77%,1560,663,71,17,2311
"Justice, Supreme Court, Place 5",0649,1554,775,2329,4755,48.98%,549,1627,35,27,2238
"Justice, Supreme Court, Place 5",0650,2035,819,2854,4039,70.66%,1801,868,85,22,2776
"Justice, Supreme Court, Place 5",0651,1734,551,2285,3873,59.00%,1132,987,64,23,2206
"Justice, Supreme Court, Place 5",0652,1167,545,1712,2979,57.47%,255,1380,17,12,1664
"Justice, Supreme Court, Place 5",0653,187,110,297,604,49.17%,57,221,6,3,287
"Justice, Supreme Court, Place 5",0654,2387,698,3085,5063,60.93%,1487,1407,62,31,2987
"Justice, Supreme Court, Place 5",0655,1953,751,2724,4495,60.60%,1374,1113,110,35,2632
"Justice, Supreme Court, Place 5",0656,1107,401,1508,2737,55.10%,69,1383,3,12,1467
"Justice, Supreme Court, Place 5",0657,684,276,960,1487,64.56%,303,593,20,20,936
"Justice, Supreme Court, Place 5",0658,1299,494,1793,2901,61.81%,1034,638,66,18,1756
"Justice, Supreme Court, Place 5",0659,2810,733,3543,5161,68.65%,2330,1012,84,32,3458
"Justice, Supreme Court, Place 5",0660,1575,345,1920,3087,62.20%,181,1647,25,20,1873
"Justice, Supreme Court, Place 5",0661,1951,774,2725,4363,62.46%,1268,1264,69,41,2642
"Justice, Supreme Court, Place 5",0662,2268,571,2839,4002,70.94%,2209,495,59,15,2778
"Justice, Supreme Court, Place 5",0663,1339,448,1787,2340,76.37%,825,782,76,23,1706
"Justice, Supreme Court, Place 5",0664,909,513,1422,2992,47.53%,249,1084,26,15,1374
"Justice, Supreme Court, Place 5",0665,1327,360,1687,2354,71.67%,1289,282,48,17,1636
"Justice, Supreme Court, Place 5",0666,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0667,1112,400,1512,2175,69.52%,1076,339,35,11,1461
"Justice, Supreme Court, Place 5",0668,1557,719,2276,3669,62.03%,1272,844,80,25,2221
"Justice, Supreme Court, Place 5",0669,1896,702,2598,3585,72.47%,1682,753,71,26,2532
"Justice, Supreme Court, Place 5",0670,1996,416,2412,3335,72.32%,1798,475,66,19,2358
"Justice, Supreme Court, Place 5",0671,1401,588,1989,3198,62.20%,1013,832,72,15,1932
"Justice, Supreme Court, Place 5",0672,1727,489,2216,3433,64.55%,1456,623,69,20,2168
"Justice, Supreme Court, Place 5",0673,1525,467,2092,3051,68.57%,1611,362,51,17,2041
"Justice, Supreme Court, Place 5",0674,2358,610,2968,4228,70.20%,2043,746,76,29,2894
"Justice, Supreme Court, Place 5",0675,1,0,1,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 5",0676,1088,465,1553,2976,52.18%,535,885,45,25,1490
"Justice, Supreme Court, Place 5",0677,423,259,682,1300,52.46%,152,474,13,8,647
"Justice, Supreme Court, Place 5",0678,1169,294,1463,2660,55.00%,136,1265,12,16,1429
"Justice, Supreme Court, Place 5",0679,1719,529,2248,3542,63.47%,1509,606,47,17,2179
"Justice, Supreme Court, Place 5",0680,100,17,117,179,65.36%,44,61,8,3,116
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0681,e,0,6,4,150.00%,2,3,1,0,6
"Justice, Supreme Court, Place 5",0682,2114,690,2804,4313,65.01%,1934,702,71,33,2740
"Justice, Supreme Court, Place 5",0683,82,5,87,302,28.81%,19,62,2,1,84
"Justice, Supreme Court, Place 5",0684,1584,640,2324,3559,65.30%,1355,805,70,26,2256
"Justice, Supreme Court, Place 5",0685,139,28,167,285,58.60%,74,72,7,2,155
"Justice, Supreme Court, Place 5",0686,53,5,58,221,26.24%,11,45,1,0,57
"Justice, Supreme Court, Place 5",0687,1512,400,1912,2713,70.48%,1190,587,44,24,1845
"Justice, Supreme Court, Place 5",0688,2333,594,2927,3922,74.63%,2208,560,75,24,2867
"Justice, Supreme Court, Place 5",0689,728,604,1332,2449,54.39%,516,705,31,18,1270
"Justice, Supreme Court, Place 5",0690,1973,553,2526,3614,69.89%,1862,510,80,17,2469
"Justice, Supreme Court, Place 5",0691,2132,551,2683,3690,72.71%,1976,566,73,14,2629
"Justice, Supreme Court, Place 5",0692,1280,678,1958,3118,62.80%,1299,491,81,32,1903
"Justice, Supreme Court, Place 5",0693,309,110,419,681,61.53%,100,279,13,9,401
"Justice, Supreme Court, Place 5",0694,1006,319,1325,2478,53.47%,498,751,22,19,1290
"Justice, Supreme Court, Place 5",0695,630,315,945,1842,51.30%,518,344,23,20,905
"Justice, Supreme Court, Place 5",0696,727,312,1039,2027,51.26%,584,382,33,19,1018
"Justice, Supreme Court, Place 5",0697,1299,552,1851,3238,57.16%,422,1314,37,30,1803
"Justice, Supreme Court, Place 5",0698,1276,520,1796,3339,53.79%,201,1498,24,26,1749
"Justice, Supreme Court, Place 5",0699,1277,398,1675,2387,70.17%,981,540,56,18,1595
"Justice, Supreme Court, Place 5",0700,726,247,973,1536,63.35%,792,137,15,11,955
"Justice, Supreme Court, Place 5",0701,210,73,283,614,46.09%,115,142,4,6,267
"Justice, Supreme Court, Place 5",0702,183,69,252,550,45.82%,29,210,6,1,246
"Justice, Supreme Court, Place 5",0703,899,528,1427,1943,73.44%,966,377,39,11,1393
"Justice, Supreme Court, Place 5",0704,1699,512,2211,3121,70.84%,1721,375,49,12,2157
"Justice, Supreme Court, Place 5",0705,331,206,537,1513,35.49%,49,462,6,10,527
"Justice, Supreme Court, Place 5",0706,1252,372,1524,2821,57.57%,558,917,49,31,1555
"Justice, Supreme Court, Place 5",0707,378,69,447,757,59.05%,256,153,15,6,430
"Justice, Supreme Court, Place 5",0708,162,98,260,592,43.92%,78,166,2,3,249
"Justice, Supreme Court, Place 5",0709,2258,528,2786,4136,67.36%,1375,1214,87,23,2699
"Justice, Supreme Court, Place 5",0710,1136,450,1586,2096,75.67%,800,622,68,19,1509
"Justice, Supreme Court, Place 5",0711,1981,599,2580,3820,67.54%,1252,1160,52,32,2496
"Justice, Supreme Court, Place 5",0712,1720,627,2347,4002,58.65%,768,1438,54,32,2292
"Justice, Supreme Court, Place 5",0713,770,365,1135,2006,56.58%,493,554,36,18,1101
"Justice, Supreme Court, Place 5",0714,102,28,130,306,42.48%,51,66,4,2,123
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0715,553,239,792,1549,51.13%,352,387,15,12,766
"Justice, Supreme Court, Place 5",0716,1218,419,1637,2720,60.18%,1094,432,41,24,1591
"Justice, Supreme Court, Place 5",0717,976,232,1208,2082,58.02%,153,993,10,12,1168
"Justice, Supreme Court, Place 5",0718,2244,872,3116,4412,70.63%,1912,968,73,35,2988
"Justice, Supreme Court, Place 5",0719,624,223,847,1644,51.52%,394,388,23,9,814
"Justice, Supreme Court, Place 5",0720,2498,709,3207,4709,68.10%,2045,925,119,27,3116
"Justice, Supreme Court, Place 5",0721,1467,603,2070,2926,70.75%,1227,653,85,29,1994
"Justice, Supreme Court, Place 5",0722,1930,609,2539,4638,54.74%,152,2254,33,23,2462
"Justice, Supreme Court, Place 5",0723,898,261,1159,1959,59.16%,213,879,20,15,1127
"Justice, Supreme Court, Place 5",0724,395,146,541,800,67.63%,341,164,14,2,521
"Justice, Supreme Court, Place 5",0725,976,294,1270,2336,54.37%,482,685,22,23,1212
"Justice, Supreme Court, Place 5",0726,1271,321,1592,2207,72.13%,1331,188,29,7,1555
"Justice, Supreme Court, Place 5",0727,983,415,1398,2708,51.62%,338,951,49,24,1362
"Justice, Supreme Court, Place 5",0728,399,198,597,942,63.38%,321,225,27,6,579
"Justice, Supreme Court, Place 5",0729,235,49,284,471,60.30%,151,115,8,2,276
"Justice, Supreme Court, Place 5",0730,1368,406,1774,2435,72.85%,1058,580,54,13,1705
"Justice, Supreme Court, Place 5",0731,2090,624,2714,4834,56.14%,1058,1485,61,37,2641
"Justice, Supreme Court, Place 5",0732,793,449,1242,1943,63.92%,658,468,37,26,1189
"Justice, Supreme Court, Place 5",0733,55,25,80,303,26.40%,23,52,0,2,77
"Justice, Supreme Court, Place 5",0734,2309,556,2865,4294,66.72%,1784,925,70,24,2803
"Justice, Supreme Court, Place 5",0735,158,61,219,251,87.25%,109,101,4,2,216
"Justice, Supreme Court, Place 5",0736,14,3,17,42,40.48%,0,12,1,1,14
"Justice, Supreme Court, Place 5",0737,21,6,27,56,48.21%,21,5,1,0,27
"Justice, Supreme Court, Place 5",0738,435,214,649,1497,43.35%,102,515,13,10,640
"Justice, Supreme Court, Place 5",0739,980,440,1420,2971,47.80%,580,732,41,19,1372
"Justice, Supreme Court, Place 5",0740,281,169,450,1005,44.78%,220,199,6,4,429
"Justice, Supreme Court, Place 5",0741,924,262,1186,1895,62.59%,263,849,16,17,1145
"Justice, Supreme Court, Place 5",0742,1538,498,2036,2859,71.21%,1211,691,48,14,1964
"Justice, Supreme Court, Place 5",0743,54,60,114,234,48.72%,37,68,3,1,109
"Justice, Supreme Court, Place 5",0744,1010,444,1454,2103,69.14%,792,542,40,34,1408
"Justice, Supreme Court, Place 5",0745,1215,446,1661,2543,65.32%,945,574,58,31,1608
"Justice, Supreme Court, Place 5",0746,245,121,366,732,50.00%,161,162,13,7,343
"Justice, Supreme Court, Place 5",0747,1746,693,2439,4096,59.55%,994,1262,72,44,2372
"Justice, Supreme Court, Place 5",0748,565,245,810,1556,52.06%,344,376,43,25,788
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0749,115,1,116,432,26.85%,18,94,1,0,113
"Justice, Supreme Court, Place 5",0750,294,122,416,809,51.42%,215,162,23,5,405
"Justice, Supreme Court, Place 5",0751,2944,1013,3957,5893,67.15%,2279,1386,134,51,3850
"Justice, Supreme Court, Place 5",0752,660,227,887,1484,59.77%,568,258,20,5,851
"Justice, Supreme Court, Place 5",0753,259,53,312,512,60.94%,112,175,9,7,303
"Justice, Supreme Court, Place 5",0754,388,262,650,1590,40.88%,32,585,9,8,634
"Justice, Supreme Court, Place 5",0755,1785,955,2740,5015,54.64%,842,1678,70,46,2636
"Justice, Supreme Court, Place 5",0756,688,309,997,1723,57.86%,304,632,16,12,964
"Justice, Supreme Court, Place 5",0757,1867,601,2468,4792,51.50%,367,1955,52,29,2403
"Justice, Supreme Court, Place 5",0758,2106,595,2701,3803,71.02%,1974,560,73,20,2627
"Justice, Supreme Court, Place 5",0759,1389,375,1764,2779,63.48%,979,662,49,17,1707
"Justice, Supreme Court, Place 5",0760,1219,268,1487,2162,68.78%,1156,246,40,6,1448
"Justice, Supreme Court, Place 5",0761,1090,167,1257,1598,78.66%,843,337,31,10,1221
"Justice, Supreme Court, Place 5",0762,930,303,1233,1828,67.45%,521,629,26,9,1185
"Justice, Supreme Court, Place 5",0763,370,264,634,1249,50.76%,172,416,12,11,611
"Justice, Supreme Court, Place 5",0764,2473,677,3150,4827,65.26%,1792,1148,80,31,3051
"Justice, Supreme Court, Place 5",0765,2060,874,2934,5742,51.10%,729,2000,67,41,2837
"Justice, Supreme Court, Place 5",0766,126,59,185,428,43.22%,27,135,4,4,170
"Justice, Supreme Court, Place 5",0767,31,15,46,92,50.00%,17,27,0,0,44
"Justice, Supreme Court, Place 5",0768,1479,387,1866,2643,70.60%,1394,359,57,14,1824
"Justice, Supreme Court, Place 5",0769,85,14,99,184,53.80%,8,90,1,0,99
"Justice, Supreme Court, Place 5",0770,103,42,145,388,37.37%,47,90,1,2,140
"Justice, Supreme Court, Place 5",0771,572,210,782,1588,49.24%,323,405,21,13,762
"Justice, Supreme Court, Place 5",0772,2808,477,3285,4606,71.32%,2318,775,85,19,3197
"Justice, Supreme Court, Place 5",0773,1696,638,2334,4414,52.88%,534,1602,36,26,2198
"Justice, Supreme Court, Place 5",0774,154,55,220,426,51.64%,53,155,4,3,215
"Justice, Supreme Court, Place 5",0775,50,1,51,102,50.00%,1,48,1,0,50
"Justice, Supreme Court, Place 5",0776,1436,538,1974,3276,60.26%,1070,766,61,27,1924
"Justice, Supreme Court, Place 5",0777,202,105,307,767,40.03%,69,220,7,2,298
"Justice, Supreme Court, Place 5",0778,0,3,3,0,0.00%,0,3,0,0,3
"Justice, Supreme Court, Place 5",0779,263,160,423,1019,41.51%,91,287,11,6,395
"Justice, Supreme Court, Place 5",0780,170,130,300,666,45.05%,89,182,2,3,276
"Justice, Supreme Court, Place 5",0781,1236,612,1848,3782,48.86%,538,1142,35,11,1726
"Justice, Supreme Court, Place 5",0782,1048,368,1416,2355,60.13%,798,496,54,16,1364
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0783,197,90,287,520,55.19%,20,255,3,5,283
"Justice, Supreme Court, Place 5",0784,408,119,527,1062,49.62%,16,488,2,8,514
"Justice, Supreme Court, Place 5",0785,1234,357,1591,1896,83.91%,769,694,64,22,1549
"Justice, Supreme Court, Place 5",0786,397,177,574,1258,45.63%,166,365,11,9,551
"Justice, Supreme Court, Place 5",0787,180,83,263,542,48.52%,71,170,7,3,251
"Justice, Supreme Court, Place 5",0788,2,0,2,13,15.38%,2,0,0,0,2
"Justice, Supreme Court, Place 5",0789,1377,420,1797,2998,59.94%,993,676,49,23,1741
"Justice, Supreme Court, Place 5",0790,1143,329,1472,2523,58.34%,475,908,34,15,1432
"Justice, Supreme Court, Place 5",0791,9,3,12,29,41.38%,1,9,1,1,12
"Justice, Supreme Court, Place 5",0792,545,415,1063,1954,54.40%,227,771,14,15,1027
"Justice, Supreme Court, Place 5",0793,985,416,1401,2620,53.47%,680,617,24,25,1346
"Justice, Supreme Court, Place 5",0794,626,411,1037,3208,32.33%,92,884,19,15,1010
"Justice, Supreme Court, Place 5",0795,396,2,398,1281,31.07%,105,263,5,5,378
"Justice, Supreme Court, Place 5",0796,1372,455,1537,3041,60.41%,710,1008,50,25,1793
"Justice, Supreme Court, Place 5",0797,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0798,222,142,364,521,69.87%,124,204,8,15,351
"Justice, Supreme Court, Place 5",0799,55,26,84,171,49.12%,16,66,1,1,84
"Justice, Supreme Court, Place 5",0800,1935,730,2665,4216,63.21%,1532,929,93,35,2589
"Justice, Supreme Court, Place 5",0801,90,44,134,261,51.34%,39,87,3,3,132
"Justice, Supreme Court, Place 5",0802,54,21,75,224,33.48%,16,50,5,1,72
"Justice, Supreme Court, Place 5",0803,2557,547,3214,4514,71.20%,2148,905,60,17,3130
"Justice, Supreme Court, Place 5",0804,2703,682,3385,5303,63.83%,1691,1481,98,36,3306
"Justice, Supreme Court, Place 5",0805,1599,454,2053,2874,71.43%,1527,385,61,15,1988
"Justice, Supreme Court, Place 5",0806,1003,324,1327,1889,70.25%,768,470,41,13,1292
"Justice, Supreme Court, Place 5",0807,797,349,1146,2163,52.98%,182,886,27,22,1117
"Justice, Supreme Court, Place 5",0808,143,57,200,232,86.21%,61,112,16,4,193
"Justice, Supreme Court, Place 5",0809,19,7,25,98,26.53%,12,12,1,0,25
"Justice, Supreme Court, Place 5",0810,47,31,78,197,39.59%,11,63,0,0,74
"Justice, Supreme Court, Place 5",0811,52,68,150,277,54.15%,27,117,0,2,146
"Justice, Supreme Court, Place 5",0812,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0813,1742,434,2176,3488,62.39%,901,1139,48,33,2121
"Justice, Supreme Court, Place 5",0814,1975,827,2803,5483,51.12%,526,2089,54,41,2710
"Justice, Supreme Court, Place 5",0815,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0816,23,10,33,64,51.56%,4,24,1,1,30
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0817,2791,550,3341,4700,71.09%,2242,918,87,30,3277
"Justice, Supreme Court, Place 5",0818,209,104,313,737,42.47%,61,236,3,3,303
"Justice, Supreme Court, Place 5",0819,108,31,139,228,60.96%,71,58,1,2,132
"Justice, Supreme Court, Place 5",0820,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 5",0821,362,188,550,1295,42.47%,70,445,9,12,536
"Justice, Supreme Court, Place 5",0822,571,185,756,1574,48.03%,37,690,3,2,732
"Justice, Supreme Court, Place 5",0823,1339,410,1749,3017,57.97%,875,753,51,24,1703
"Justice, Supreme Court, Place 5",0824,1059,410,1469,2762,53.19%,296,1087,30,23,1436
"Justice, Supreme Court, Place 5",0825,9,7,16,21,76.19%,3,10,3,0,16
"Justice, Supreme Court, Place 5",0826,177,70,247,355,69.58%,122,102,4,5,233
"Justice, Supreme Court, Place 5",0827,218,234,452,1042,43.38%,130,290,10,13,443
"Justice, Supreme Court, Place 5",0828,1174,281,1455,1965,74.05%,1084,290,34,9,1417
"Justice, Supreme Court, Place 5",0829,101,19,120,235,51.06%,34,77,3,2,116
"Justice, Supreme Court, Place 5",0830,2,2,4,2,200.00%,3,0,0,0,3
"Justice, Supreme Court, Place 5",0831,8,5,13,36,36.11%,6,6,0,0,12
"Justice, Supreme Court, Place 5",0832,125,50,175,364,48.08%,39,123,2,4,168
"Justice, Supreme Court, Place 5",0833,3,2,5,20,25.00%,2,3,0,0,5
"Justice, Supreme Court, Place 5",0834,142,61,203,388,52.32%,21,175,3,1,200
"Justice, Supreme Court, Place 5",0835,87,71,158,311,50.80%,33,115,2,4,154
"Justice, Supreme Court, Place 5",0836,128,0,128,248,51.61%,12,102,3,1,118
"Justice, Supreme Court, Place 5",0837,0,0,0,0,0.00%,0,0,0,0,0
