Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0086,2040,493,2533,3449,73.44%,1077,1198,134,38,2447
"Justice, Supreme Court, Place 5",0087,1452,719,2171,2839,76.47%,1252,770,58,9,2089
"Justice, Supreme Court, Place 5",0088,338,141,479,784,61.10%,294,139,22,4,459
"Justice, Supreme Court, Place 5",0089,399,424,823,1094,75.23%,422,315,29,10,776
"Justice, Supreme Court, Place 5",0090,1860,890,2750,3883,70.82%,1898,651,96,26,2671
"Justice, Supreme Court, Place 5",0091,673,339,1012,1724,58.70%,540,364,36,26,966
"Justice, Supreme Court, Place 5",0092,1266,474,1740,2260,76.99%,1048,562,53,26,1689
"Justice, Supreme Court, Place 5",0093,1049,619,1668,3536,47.17%,449,1118,27,23,1617
"Justice, Supreme Court, Place 5",0094,202,53,255,580,45.69%,43,204,5,5,257
"Justice, Supreme Court, Place 5",0095,2025,534,2560,3394,75.43%,1538,837,88,22,2485
"Justice, Supreme Court, Place 5",0096,828,306,1134,2060,55.05%,158,910,17,14,1099
"Justice, Supreme Court, Place 5",0097,2515,467,2982,4414,67.56%,2144,626,84,34,2888
"Justice, Supreme Court, Place 5",0098,1385,594,1979,3161,62.61%,1572,293,41,19,1925
"Justice, Supreme Court, Place 5",0099,681,295,976,2192,44.53%,384,519,19,20,942
"Justice, Supreme Court, Place 5",0100,531,276,807,1825,44.22%,305,439,23,16,783
"Justice, Supreme Court, Place 5",0101,221,129,350,988,35.43%,81,242,6,13,342
"Justice, Supreme Court, Place 5",0102,581,227,808,1907,42.37%,190,563,10,9,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0103,2148,985,3133,5097,61.47%,1432,1509,79,36,3056
"Justice, Supreme Court, Place 5",0104,915,211,1126,1920,58.65%,32,1054,7,7,1100
"Justice, Supreme Court, Place 5",0105,709,433,1142,2304,49.57%,259,784,26,22,1091
"Justice, Supreme Court, Place 5",0106,73,59,132,299,44.15%,43,84,1,2,130
"Justice, Supreme Court, Place 5",0107,594,403,997,2230,44.71%,134,795,14,16,959
"Justice, Supreme Court, Place 5",0108,1464,448,1912,3674,52.04%,885,886,50,23,1844
"Justice, Supreme Court, Place 5",0109,1098,278,1376,2909,47.30%,40,1279,4,16,1339
"Justice, Supreme Court, Place 5",0110,1664,481,2145,3222,66.57%,1191,837,47,22,2097
"Justice, Supreme Court, Place 5",0111,2701,866,3567,4792,74.44%,2381,947,105,38,3471
"Justice, Supreme Court, Place 5",0112,1509,598,2107,3188,66.09%,1313,635,81,16,2045
"Justice, Supreme Court, Place 5",0113,1308,418,1726,2718,63.50%,844,775,42,22,1683
"Justice, Supreme Court, Place 5",0114,2294,506,2800,3885,72.07%,1972,658,78,24,2732
"Justice, Supreme Court, Place 5",0115,609,272,881,1843,47.80%,80,748,8,12,848
"Justice, Supreme Court, Place 5",0116,1898,599,2497,3194,78.18%,1793,560,58,15,2426
"Justice, Supreme Court, Place 5",0117,574,379,953,1900,50.16%,300,557,31,22,910
"Justice, Supreme Court, Place 5",0118,1825,530,2355,3181,74.03%,1154,1030,75,31,2290
"Justice, Supreme Court, Place 5",0119,2763,409,3172,4682,67.75%,2384,599,80,29,3092
"Justice, Supreme Court, Place 5",0120,1812,588,2400,3732,64.31%,1339,889,72,28,2328
"Justice, Supreme Court, Place 5",0121,354,221,575,966,59.52%,339,202,17,6,564
"Justice, Supreme Court, Place 5",0122,733,284,1017,1904,53.41%,53,911,9,10,983
"Justice, Supreme Court, Place 5",0123,750,287,1037,1585,65.43%,242,687,46,28,1003
"Justice, Supreme Court, Place 5",0124,3137,888,4025,5393,74.63%,3066,760,94,29,3949
"Justice, Supreme Court, Place 5",0125,1207,400,1607,2593,61.97%,812,678,54,27,1571
"Justice, Supreme Court, Place 5",0126,2021,427,2448,3380,72.43%,2011,305,64,13,2393
"Justice, Supreme Court, Place 5",0127,979,214,1193,2091,57.05%,807,289,34,16,1146
"Justice, Supreme Court, Place 5",0128,1107,812,1719,2322,74.03%,978,607,39,9,1633
"Justice, Supreme Court, Place 5",0129,2549,1052,3601,5172,69.62%,1980,1329,103,52,3464
"Justice, Supreme Court, Place 5",0130,1314,433,1747,2289,76.32%,1180,462,27,12,1681
"Justice, Supreme Court, Place 5",0131,801,371,1172,2147,54.59%,222,891,15,18,1146
"Justice, Supreme Court, Place 5",0132,1030,322,1352,2378,56.85%,43,1263,11,8,1325
"Justice, Supreme Court, Place 5",0133,1412,746,2158,2690,80.22%,1109,869,67,20,2065
"Justice, Supreme Court, Place 5",0134,594,345,939,1513,62.06%,344,534,8,16,902
