Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0590,1230,400,1630,2176,74.91%,1241,323,1564
"Chief Justice, 1st Court of Appeals",0591,651,462,1113,2274,48.94%,269,786,1055
"Chief Justice, 1st Court of Appeals",0592,449,272,721,1446,49.86%,139,546,685
"Chief Justice, 1st Court of Appeals",0593,1581,755,2316,4179,55.42%,879,1310,2189
"Chief Justice, 1st Court of Appeals",0594,1243,316,1559,2578,60.47%,414,1104,1518
"Chief Justice, 1st Court of Appeals",0595,601,299,900,1833,49.10%,139,729,868
"Chief Justice, 1st Court of Appeals",0596,1378,501,1879,3574,52.57%,831,952,1783
"Chief Justice, 1st Court of Appeals",0597,1204,609,1813,3587,50.54%,611,1114,1725
"Chief Justice, 1st Court of Appeals",0598,2389,731,3120,5253,59.39%,1032,1953,2985
"Chief Justice, 1st Court of Appeals",0599,1378,493,1871,3005,62.26%,630,1184,1814
"Chief Justice, 1st Court of Appeals",0600,1603,776,2379,4204,56.59%,778,1482,2260
"Chief Justice, 1st Court of Appeals",0601,2220,670,2890,4151,69.62%,2054,751,2805
"Chief Justice, 1st Court of Appeals",0602,754,234,988,1441,68.56%,651,297,948
"Chief Justice, 1st Court of Appeals",0603,2340,725,3065,4666,65.69%,1717,1230,2947
"Chief Justice, 1st Court of Appeals",0604,1817,375,2192,3189,68.74%,1773,329,2102
"Chief Justice, 1st Court of Appeals",0605,1713,599,2312,4217,54.83%,512,1688,2200
"Chief Justice, 1st Court of Appeals",0606,319,111,430,970,44.33%,12,403,415
"Chief Justice, 1st Court of Appeals",0607,163,51,214,712,30.06%,24,182,206
"Chief Justice, 1st Court of Appeals",0608,156,77,233,570,40.88%,77,144,221
"Chief Justice, 1st Court of Appeals",0609,2037,729,2766,4305,64.25%,1588,1069,2657
"Chief Justice, 1st Court of Appeals",0610,665,343,1008,2086,48.32%,402,545,947
"Chief Justice, 1st Court of Appeals",0611,980,229,1209,2527,47.84%,52,1125,1177
"Chief Justice, 1st Court of Appeals",0612,1930,431,2361,3388,69.69%,1744,527,2271
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0613,937,339,1276,2368,53.89%,207,1013,1220
"Chief Justice, 1st Court of Appeals",0614,1949,645,2594,4566,56.81%,761,1722,2483
"Chief Justice, 1st Court of Appeals",0615,1075,301,1376,2086,65.96%,708,616,1324
"Chief Justice, 1st Court of Appeals",0616,1809,611,2420,3516,68.83%,1569,740,2309
"Chief Justice, 1st Court of Appeals",0617,1704,650,2354,4179,56.33%,767,1490,2257
"Chief Justice, 1st Court of Appeals",0618,1699,545,2244,3801,59.04%,905,1263,2168
"Chief Justice, 1st Court of Appeals",0619,2793,663,3456,4916,70.30%,2502,871,3373
"Chief Justice, 1st Court of Appeals",0620,1748,333,2081,3318,62.72%,1061,933,1994
"Chief Justice, 1st Court of Appeals",0621,536,200,736,1272,57.86%,303,394,697
"Chief Justice, 1st Court of Appeals",0622,2131,591,2722,4562,59.67%,1435,1165,2600
"Chief Justice, 1st Court of Appeals",0623,1960,461,2421,3919,61.78%,1487,843,2330
"Chief Justice, 1st Court of Appeals",0624,297,59,356,456,78.07%,266,80,346
"Chief Justice, 1st Court of Appeals",0625,924,372,1296,1864,69.53%,710,532,1242
"Chief Justice, 1st Court of Appeals",0626,2281,784,3065,4816,63.64%,1598,1329,2927
"Chief Justice, 1st Court of Appeals",0627,935,649,1584,3235,48.96%,402,1112,1514
"Chief Justice, 1st Court of Appeals",0628,716,545,1261,2420,52.11%,422,750,1172
"Chief Justice, 1st Court of Appeals",0629,162,96,258,750,34.40%,33,216,249
"Chief Justice, 1st Court of Appeals",0630,2671,541,3212,4738,67.79%,335,2791,3126
"Chief Justice, 1st Court of Appeals",0631,1842,398,2240,3263,68.65%,1459,690,2149
"Chief Justice, 1st Court of Appeals",0632,4,1,5,241,2.07%,0,5,5
"Chief Justice, 1st Court of Appeals",0633,2286,601,2887,3912,73.80%,1917,870,2787
"Chief Justice, 1st Court of Appeals",0634,1437,499,1936,3259,59.40%,1071,794,1865
"Chief Justice, 1st Court of Appeals",0635,1646,520,2166,3512,61.67%,1548,526,2074
"Chief Justice, 1st Court of Appeals",0636,2303,922,3225,4569,70.58%,2758,364,3122
"Chief Justice, 1st Court of Appeals",0637,1095,423,1518,2591,58.59%,348,1056,1404
"Chief Justice, 1st Court of Appeals",0638,850,348,1198,2310,51.86%,101,1066,1167
"Chief Justice, 1st Court of Appeals",0639,1387,284,1671,2560,65.27%,1264,339,1603
"Chief Justice, 1st Court of Appeals",0640,1619,615,2234,3927,56.89%,1234,927,2161
"Chief Justice, 1st Court of Appeals",0641,1637,683,2320,3840,60.42%,1322,911,2233
"Chief Justice, 1st Court of Appeals",0642,1030,270,1300,1783,72.91%,1008,256,1264
"Chief Justice, 1st Court of Appeals",0643,1951,593,2544,4189,60.73%,1183,1280,2463
"Chief Justice, 1st Court of Appeals",0644,2087,689,2776,4446,62.44%,1570,1096,2666
"Chief Justice, 1st Court of Appeals",0645,2151,769,2920,4517,64.64%,1203,1584,2787
"Chief Justice, 1st Court of Appeals",0646,925,399,1324,2422,54.67%,327,928,1255
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0647,1373,526,1899,4349,43.67%,406,1374,1780
"Chief Justice, 1st Court of Appeals",0648,1859,500,2359,3487,67.65%,1627,655,2282
"Chief Justice, 1st Court of Appeals",0649,1549,775,2324,4755,48.87%,569,1647,2216
"Chief Justice, 1st Court of Appeals",0650,2033,819,2852,4039,70.61%,1910,842,2752
"Chief Justice, 1st Court of Appeals",0651,1734,551,2285,3873,59.00%,1208,986,2194
"Chief Justice, 1st Court of Appeals",0652,1167,545,1712,2979,57.47%,280,1386,1666
"Chief Justice, 1st Court of Appeals",0653,186,110,296,604,49.01%,61,224,285
"Chief Justice, 1st Court of Appeals",0654,2387,698,3085,5063,60.93%,1535,1412,2947
"Chief Justice, 1st Court of Appeals",0655,1953,761,2724,4495,60.60%,1464,1122,2586
"Chief Justice, 1st Court of Appeals",0656,1106,401,1507,2737,55.06%,76,1380,1456
"Chief Justice, 1st Court of Appeals",0657,684,276,960,1487,64.56%,319,598,917
"Chief Justice, 1st Court of Appeals",0658,1299,494,1793,2901,61.81%,1080,652,1732
"Chief Justice, 1st Court of Appeals",0659,2808,733,3541,5161,68.61%,2387,1027,3414
"Chief Justice, 1st Court of Appeals",0660,1575,345,1920,3087,62.20%,192,1664,1856
"Chief Justice, 1st Court of Appeals",0661,1949,774,2723,4363,62.41%,1316,1291,2607
"Chief Justice, 1st Court of Appeals",0662,2268,571,2839,4002,70.94%,2259,492,2751
"Chief Justice, 1st Court of Appeals",0663,1338,448,1786,2340,76.32%,926,741,1667
"Chief Justice, 1st Court of Appeals",0664,909,513,1422,2992,47.53%,267,1083,1350
"Chief Justice, 1st Court of Appeals",0665,1327,360,1687,2354,71.67%,1307,319,1626
"Chief Justice, 1st Court of Appeals",0666,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0667,1109,400,1509,2175,69.38%,1122,326,1448
"Chief Justice, 1st Court of Appeals",0668,1552,719,2271,3669,61.90%,1328,860,2188
"Chief Justice, 1st Court of Appeals",0669,1889,702,2591,3585,72.27%,1751,741,2492
"Chief Justice, 1st Court of Appeals",0670,1996,416,2412,3335,72.32%,1897,431,2328
"Chief Justice, 1st Court of Appeals",0671,1398,588,1986,3198,62.10%,1057,851,1908
"Chief Justice, 1st Court of Appeals",0672,1724,489,2213,3433,64.46%,1488,660,2148
"Chief Justice, 1st Court of Appeals",0673,1525,467,2092,3051,68.57%,1621,408,2029
"Chief Justice, 1st Court of Appeals",0674,2356,610,2966,4228,70.15%,2096,771,2867
"Chief Justice, 1st Court of Appeals",0675,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0676,1087,465,1552,2976,52.15%,574,903,1477
"Chief Justice, 1st Court of Appeals",0677,423,259,682,1300,52.46%,164,468,632
"Chief Justice, 1st Court of Appeals",0678,1164,294,1458,2660,54.81%,153,1253,1406
"Chief Justice, 1st Court of Appeals",0679,1718,529,2247,3542,63.44%,1517,636,2153
"Chief Justice, 1st Court of Appeals",0680,98,17,115,179,64.25%,51,62,113
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0681,e,0,6,4,150.00%,2,4,6
"Chief Justice, 1st Court of Appeals",0682,2113,690,2803,4313,64.99%,1977,731,2708
"Chief Justice, 1st Court of Appeals",0683,82,5,87,302,28.81%,20,63,83
"Chief Justice, 1st Court of Appeals",0684,1581,640,2321,3559,65.21%,1407,822,2229
"Chief Justice, 1st Court of Appeals",0685,139,28,167,285,58.60%,81,72,153
"Chief Justice, 1st Court of Appeals",0686,53,5,58,221,26.24%,16,40,56
"Chief Justice, 1st Court of Appeals",0687,1510,400,1910,2713,70.40%,1242,589,1831
"Chief Justice, 1st Court of Appeals",0688,2333,594,2927,3922,74.63%,2282,565,2847
"Chief Justice, 1st Court of Appeals",0689,727,604,1331,2449,54.35%,549,693,1242
"Chief Justice, 1st Court of Appeals",0690,1957,553,2520,3614,69.73%,1903,522,2425
"Chief Justice, 1st Court of Appeals",0691,2132,551,2683,3690,72.71%,2032,574,2606
"Chief Justice, 1st Court of Appeals",0692,1279,678,1957,3118,62.76%,1359,507,1866
"Chief Justice, 1st Court of Appeals",0693,309,110,419,681,61.53%,115,281,396
"Chief Justice, 1st Court of Appeals",0694,1005,319,1324,2478,53.43%,519,758,1277
"Chief Justice, 1st Court of Appeals",0695,628,315,943,1842,51.19%,540,354,894
"Chief Justice, 1st Court of Appeals",0696,727,312,1039,2027,51.26%,596,411,1007
"Chief Justice, 1st Court of Appeals",0697,1299,552,1851,3238,57.16%,456,1325,1781
"Chief Justice, 1st Court of Appeals",0698,1275,520,1795,3339,53.76%,210,1516,1726
"Chief Justice, 1st Court of Appeals",0699,1277,398,1675,2387,70.17%,1043,535,1578
"Chief Justice, 1st Court of Appeals",0700,726,247,973,1536,63.35%,794,149,943
"Chief Justice, 1st Court of Appeals",0701,208,73,281,614,45.77%,116,141,257
"Chief Justice, 1st Court of Appeals",0702,183,69,252,550,45.82%,37,204,241
"Chief Justice, 1st Court of Appeals",0703,899,528,1427,1943,73.44%,1016,357,1373
"Chief Justice, 1st Court of Appeals",0704,1698,512,2210,3121,70.81%,1755,386,2141
"Chief Justice, 1st Court of Appeals",0705,331,206,537,1513,35.49%,55,466,521
"Chief Justice, 1st Court of Appeals",0706,1248,372,1620,2821,57.43%,604,924,1528
"Chief Justice, 1st Court of Appeals",0707,377,69,446,757,58.92%,269,159,428
"Chief Justice, 1st Court of Appeals",0708,162,98,260,592,43.92%,83,165,248
"Chief Justice, 1st Court of Appeals",0709,2257,528,2785,4136,67.34%,1463,1221,2684
"Chief Justice, 1st Court of Appeals",0710,1132,450,1582,2096,75.48%,872,616,1488
"Chief Justice, 1st Court of Appeals",0711,1980,599,2579,3820,67.51%,1349,1118,2467
"Chief Justice, 1st Court of Appeals",0712,1720,627,2347,4002,58.65%,816,1464,2280
"Chief Justice, 1st Court of Appeals",0713,770,365,1135,2006,56.58%,524,567,1091
"Chief Justice, 1st Court of Appeals",0714,102,28,130,306,42.48%,57,63,120
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0715,553,239,792,1549,51.13%,368,384,752
"Chief Justice, 1st Court of Appeals",0716,1218,419,1637,2720,60.18%,1125,448,1573
"Chief Justice, 1st Court of Appeals",0717,974,232,1206,2082,57.93%,160,994,1154
"Chief Justice, 1st Court of Appeals",0718,2243,872,3115,4412,70.60%,1979,968,2947
"Chief Justice, 1st Court of Appeals",0719,624,223,847,1644,51.52%,401,400,801
"Chief Justice, 1st Court of Appeals",0720,2498,709,3207,4709,68.10%,2135,959,3094
"Chief Justice, 1st Court of Appeals",0721,1455,503,2059,2926,70.71%,1311,656,1967
"Chief Justice, 1st Court of Appeals",0722,1929,609,2538,4638,54.72%,158,2286,2444
"Chief Justice, 1st Court of Appeals",0723,897,261,1158,1959,59.11%,225,886,1111
"Chief Justice, 1st Court of Appeals",0724,395,146,541,800,67.63%,356,166,522
"Chief Justice, 1st Court of Appeals",0725,976,294,1270,2336,54.37%,486,708,1194
"Chief Justice, 1st Court of Appeals",0726,1271,321,1592,2207,72.13%,1358,190,1548
"Chief Justice, 1st Court of Appeals",0727,983,415,1398,2708,51.62%,379,970,1349
"Chief Justice, 1st Court of Appeals",0728,399,198,597,942,63.38%,351,215,566
"Chief Justice, 1st Court of Appeals",0729,235,49,284,471,60.30%,153,120,273
"Chief Justice, 1st Court of Appeals",0730,1361,406,1767,2435,72.57%,1123,562,1685
"Chief Justice, 1st Court of Appeals",0731,2087,624,2711,4834,56.08%,1084,1513,2597
"Chief Justice, 1st Court of Appeals",0732,793,449,1242,1943,63.92%,705,464,1169
"Chief Justice, 1st Court of Appeals",0733,55,25,80,303,26.40%,24,52,76
"Chief Justice, 1st Court of Appeals",0734,2307,556,2863,4294,66.67%,1823,938,2761
"Chief Justice, 1st Court of Appeals",0735,157,61,218,251,86.85%,120,94,214
"Chief Justice, 1st Court of Appeals",0736,14,3,17,42,40.48%,1,13,14
"Chief Justice, 1st Court of Appeals",0737,21,6,27,56,48.21%,20,7,27
"Chief Justice, 1st Court of Appeals",0738,435,214,649,1497,43.35%,108,525,633
"Chief Justice, 1st Court of Appeals",0739,979,440,1419,2971,47.76%,595,754,1349
"Chief Justice, 1st Court of Appeals",0740,280,169,449,1005,44.68%,223,199,422
"Chief Justice, 1st Court of Appeals",0741,923,262,1185,1895,62.53%,287,839,1126
"Chief Justice, 1st Court of Appeals",0742,1536,498,2034,2859,71.14%,1243,711,1954
"Chief Justice, 1st Court of Appeals",0743,54,60,114,234,48.72%,36,72,108
"Chief Justice, 1st Court of Appeals",0744,1010,444,1454,2103,69.14%,853,533,1386
"Chief Justice, 1st Court of Appeals",0745,1214,446,1660,2543,65.28%,1005,587,1592
"Chief Justice, 1st Court of Appeals",0746,245,121,366,732,50.00%,171,164,335
"Chief Justice, 1st Court of Appeals",0747,1746,693,2439,4096,59.55%,1038,1305,2343
"Chief Justice, 1st Court of Appeals",0748,564,245,809,1556,51.99%,370,400,770
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0749,115,1,116,432,26.85%,19,94,113
"Chief Justice, 1st Court of Appeals",0750,294,122,416,809,51.42%,222,170,392
"Chief Justice, 1st Court of Appeals",0751,2937,1013,3950,5893,67.03%,2376,1422,3798
"Chief Justice, 1st Court of Appeals",0752,660,227,887,1484,59.77%,573,275,848
"Chief Justice, 1st Court of Appeals",0753,258,53,311,512,60.74%,121,175,296
"Chief Justice, 1st Court of Appeals",0754,388,262,650,1590,40.88%,35,598,633
"Chief Justice, 1st Court of Appeals",0755,1784,955,2739,5015,54.62%,930,1668,2598
"Chief Justice, 1st Court of Appeals",0756,687,309,996,1723,57.81%,315,635,950
"Chief Justice, 1st Court of Appeals",0757,1867,601,2468,4792,51.50%,396,1987,2383
"Chief Justice, 1st Court of Appeals",0758,2105,595,2700,3803,71.00%,2024,563,2587
"Chief Justice, 1st Court of Appeals",0759,1389,375,1764,2779,63.48%,1021,670,1691
"Chief Justice, 1st Court of Appeals",0760,1219,268,1487,2162,68.78%,1212,222,1434
"Chief Justice, 1st Court of Appeals",0761,1089,167,1256,1598,78.60%,908,306,1214
"Chief Justice, 1st Court of Appeals",0762,929,303,1232,1828,67.40%,546,627,1173
"Chief Justice, 1st Court of Appeals",0763,370,264,634,1249,50.76%,195,410,605
"Chief Justice, 1st Court of Appeals",0764,2472,677,3149,4827,65.24%,1859,1152,3011
"Chief Justice, 1st Court of Appeals",0765,2056,874,2930,5742,51.03%,784,2037,2821
"Chief Justice, 1st Court of Appeals",0766,126,59,185,428,43.22%,30,140,170
"Chief Justice, 1st Court of Appeals",0767,31,15,46,92,50.00%,20,23,43
"Chief Justice, 1st Court of Appeals",0768,1479,387,1866,2643,70.60%,1444,366,1810
"Chief Justice, 1st Court of Appeals",0769,85,14,99,184,53.80%,6,92,98
"Chief Justice, 1st Court of Appeals",0770,103,42,145,388,37.37%,45,92,137
"Chief Justice, 1st Court of Appeals",0771,572,210,782,1588,49.24%,325,421,746
"Chief Justice, 1st Court of Appeals",0772,2807,477,3284,4606,71.30%,2425,735,3160
"Chief Justice, 1st Court of Appeals",0773,1694,638,2332,4414,52.83%,578,1601,2179
"Chief Justice, 1st Court of Appeals",0774,151,66,217,426,50.94%,49,161,210
"Chief Justice, 1st Court of Appeals",0775,50,1,51,102,50.00%,1,49,50
"Chief Justice, 1st Court of Appeals",0776,1433,538,1971,3276,60.16%,1095,797,1892
"Chief Justice, 1st Court of Appeals",0777,201,105,306,767,39.90%,78,215,293
"Chief Justice, 1st Court of Appeals",0778,0,3,3,0,0.00%,0,3,3
"Chief Justice, 1st Court of Appeals",0779,263,160,423,1019,41.51%,91,291,382
"Chief Justice, 1st Court of Appeals",0780,170,130,300,666,45.05%,92,182,274
"Chief Justice, 1st Court of Appeals",0781,1235,612,1847,3782,48.84%,561,1148,1709
"Chief Justice, 1st Court of Appeals",0782,1048,368,1416,2355,60.13%,825,518,1343
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0783,197,90,287,520,55.19%,23,256,279
"Chief Justice, 1st Court of Appeals",0784,408,119,527,1062,49.62%,16,492,508
"Chief Justice, 1st Court of Appeals",0785,1230,357,1587,1896,83.70%,817,705,1522
"Chief Justice, 1st Court of Appeals",0786,396,177,573,1258,45.55%,172,376,548
"Chief Justice, 1st Court of Appeals",0787,180,83,263,542,48.52%,75,169,244
"Chief Justice, 1st Court of Appeals",0788,2,0,2,13,15.38%,2,0,2
"Chief Justice, 1st Court of Appeals",0789,1377,420,1797,2998,59.94%,1034,702,1736
"Chief Justice, 1st Court of Appeals",0790,1143,329,1472,2523,58.34%,501,916,1417
"Chief Justice, 1st Court of Appeals",0791,9,3,12,29,41.38%,3,9,12
"Chief Justice, 1st Court of Appeals",0792,545,415,1063,1954,54.40%,245,767,1012
"Chief Justice, 1st Court of Appeals",0793,984,416,1400,2620,53.44%,706,623,1329
"Chief Justice, 1st Court of Appeals",0794,626,411,1037,3208,32.33%,105,895,1000
"Chief Justice, 1st Court of Appeals",0795,396,2,398,1281,31.07%,113,255,368
"Chief Justice, 1st Court of Appeals",0796,1371,455,1535,3041,60.37%,754,1025,1779
"Chief Justice, 1st Court of Appeals",0797,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0798,222,142,364,521,69.87%,134,211,345
"Chief Justice, 1st Court of Appeals",0799,55,26,84,171,49.12%,15,68,83
"Chief Justice, 1st Court of Appeals",0800,1934,730,2664,4216,63.19%,1626,936,2562
"Chief Justice, 1st Court of Appeals",0801,90,44,134,261,51.34%,43,85,128
"Chief Justice, 1st Court of Appeals",0802,54,21,75,224,33.48%,19,52,71
"Chief Justice, 1st Court of Appeals",0803,2555,547,3213,4514,71.18%,2223,882,3105
"Chief Justice, 1st Court of Appeals",0804,2703,682,3385,5303,63.83%,1767,1513,3280
"Chief Justice, 1st Court of Appeals",0805,1598,454,2052,2874,71.40%,1572,393,1965
"Chief Justice, 1st Court of Appeals",0806,1002,324,1326,1889,70.20%,794,490,1284
"Chief Justice, 1st Court of Appeals",0807,793,349,1142,2163,52.80%,198,909,1107
"Chief Justice, 1st Court of Appeals",0808,142,57,199,232,85.78%,70,117,187
"Chief Justice, 1st Court of Appeals",0809,19,7,26,98,26.53%,13,12,25
"Chief Justice, 1st Court of Appeals",0810,47,31,78,197,39.59%,11,59,70
"Chief Justice, 1st Court of Appeals",0811,52,68,150,277,54.15%,29,114,143
"Chief Justice, 1st Court of Appeals",0812,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0813,1742,434,2176,3488,62.39%,937,1164,2101
"Chief Justice, 1st Court of Appeals",0814,1973,827,2800,5483,51.07%,561,2139,2700
"Chief Justice, 1st Court of Appeals",0815,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0816,23,10,33,64,51.56%,4,26,30
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0817,2789,550,3339,4700,71.04%,2312,926,3238
"Chief Justice, 1st Court of Appeals",0818,209,104,313,737,42.47%,66,235,301
"Chief Justice, 1st Court of Appeals",0819,108,31,139,228,60.96%,79,51,130
"Chief Justice, 1st Court of Appeals",0820,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0821,362,188,550,1295,42.47%,72,451,523
"Chief Justice, 1st Court of Appeals",0822,571,185,756,1574,48.03%,28,695,723
"Chief Justice, 1st Court of Appeals",0823,1339,410,1749,3017,57.97%,926,748,1674
"Chief Justice, 1st Court of Appeals",0824,1057,410,1467,2762,53.11%,305,1109,1414
"Chief Justice, 1st Court of Appeals",0825,9,7,16,21,76.19%,3,12,15
"Chief Justice, 1st Court of Appeals",0826,177,70,247,355,69.58%,131,101,232
"Chief Justice, 1st Court of Appeals",0827,218,234,452,1042,43.38%,143,299,442
"Chief Justice, 1st Court of Appeals",0828,1174,281,1455,1965,74.05%,1124,273,1397
"Chief Justice, 1st Court of Appeals",0829,101,19,120,235,51.06%,38,76,114
"Chief Justice, 1st Court of Appeals",0830,2,2,4,2,200.00%,4,0,4
"Chief Justice, 1st Court of Appeals",0831,8,5,13,36,36.11%,6,6,12
"Chief Justice, 1st Court of Appeals",0832,124,50,174,364,47.80%,43,122,165
"Chief Justice, 1st Court of Appeals",0833,3,2,5,20,25.00%,1,4,5
"Chief Justice, 1st Court of Appeals",0834,142,61,203,388,52.32%,22,177,199
"Chief Justice, 1st Court of Appeals",0835,87,71,158,311,50.80%,41,109,150
"Chief Justice, 1st Court of Appeals",0836,128,0,128,248,51.61%,19,100,119
"Chief Justice, 1st Court of Appeals",0837,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0838,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0839,419,174,593,1190,49.83%,129,441,570
"Chief Justice, 1st Court of Appeals",0840,829,228,1057,1780,59.38%,348,659,1007
"Chief Justice, 1st Court of Appeals",0841,1474,475,1949,3431,56.81%,436,1447,1883
"Chief Justice, 1st Court of Appeals",0842,1340,513,1853,3390,54.66%,715,1051,1766
"Chief Justice, 1st Court of Appeals",0843,595,298,893,1387,64.38%,158,697,855
"Chief Justice, 1st Court of Appeals",0844,4,0,4,10,40.00%,0,4,4
"Chief Justice, 1st Court of Appeals",0845,152,13,165,218,75.69%,101,56,157
"Chief Justice, 1st Court of Appeals",0846,61,22,83,229,36.24%,1,79,80
"Chief Justice, 1st Court of Appeals",0847,993,330,1323,2310,57.27%,348,932,1280
"Chief Justice, 1st Court of Appeals",0848,1011,201,1212,1875,64.64%,389,769,1158
"Chief Justice, 1st Court of Appeals",0849,731,455,1186,2272,52.20%,314,786,1100
"Chief Justice, 1st Court of Appeals",0850,129,19,148,208,71.15%,59,83,142
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0851,1886,441,2327,3597,64.69%,1526,712,2238
"Chief Justice, 1st Court of Appeals",0852,0,0,0,1,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0853,1637,487,2124,2986,71.13%,1566,495,2061
"Chief Justice, 1st Court of Appeals",0854,40,19,59,175,33.71%,9,48,57
"Chief Justice, 1st Court of Appeals",0855,7,2,9,21,42.86%,5,3,8
"Chief Justice, 1st Court of Appeals",0856,0,3,3,0,0.00%,0,1,1
"Chief Justice, 1st Court of Appeals",0857,0,0,0,1,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0858,121,35,156,334,46.71%,5,142,147
"Chief Justice, 1st Court of Appeals",0859,391,143,534,945,56.51%,113,396,509
"Chief Justice, 1st Court of Appeals",0860,1,1,2,0,0.00%,0,2,2
"Chief Justice, 1st Court of Appeals",0861,777,272,1049,1941,54.04%,167,849,1016
"Chief Justice, 1st Court of Appeals",0862,1989,508,2497,3739,66.78%,1438,969,2407
"Chief Justice, 1st Court of Appeals",0863,192,64,256,581,44.06%,14,236,250
"Chief Justice, 1st Court of Appeals",0864,693,574,1267,2708,46.79%,271,925,1196
"Chief Justice, 1st Court of Appeals",0865,9,2,11,21,52.38%,1,10,11
"Chief Justice, 1st Court of Appeals",0866,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0867,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0868,737,495,1232,2446,50.37%,307,864,1171
"Chief Justice, 1st Court of Appeals",0869,166,55,221,480,46.04%,28,188,216
"Chief Justice, 1st Court of Appeals",0870,0,2,2,0,0.00%,1,1,2
"Chief Justice, 1st Court of Appeals",0871,2,1,3,3,100.00%,1,2,3
"Chief Justice, 1st Court of Appeals",0872,16,6,22,68,32.35%,12,10,22
"Chief Justice, 1st Court of Appeals",0873,296,111,407,778,52.31%,99,296,395
"Chief Justice, 1st Court of Appeals",0874,1681,670,2351,3294,71.37%,1691,573,2264
"Chief Justice, 1st Court of Appeals",0875,1948,501,2449,3592,68.18%,1138,1225,2363
"Chief Justice, 1st Court of Appeals",0876,1945,577,2522,3485,72.37%,1739,701,2440
"Chief Justice, 1st Court of Appeals",0877,1805,528,2333,3651,63.90%,881,1376,2257
"Chief Justice, 1st Court of Appeals",0878,685,110,795,1039,76.52%,634,131,765
"Chief Justice, 1st Court of Appeals",0879,1215,413,1628,2843,57.26%,672,889,1561
"Chief Justice, 1st Court of Appeals",0880,1355,471,1826,2467,74.02%,1357,410,1767
"Chief Justice, 1st Court of Appeals",0881,2465,927,3392,5638,60.16%,891,2392,3283
"Chief Justice, 1st Court of Appeals",0882,1952,595,2547,4317,59.00%,763,1679,2442
"Chief Justice, 1st Court of Appeals",0883,2252,928,3180,5613,56.65%,554,2505,3059
"Chief Justice, 1st Court of Appeals",0884,149,55,204,396,51.52%,30,168,198
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0885,1571,323,1894,2811,67.38%,1056,782,1838
"Chief Justice, 1st Court of Appeals",0886,496,152,648,906,71.52%,353,253,606
"Chief Justice, 1st Court of Appeals",0887,234,95,329,492,66.87%,169,132,301
"Chief Justice, 1st Court of Appeals",0888,817,289,1106,1867,59.24%,351,712,1063
"Chief Justice, 1st Court of Appeals",0889,113,28,141,238,59.24%,36,98,134
"Chief Justice, 1st Court of Appeals",0890,447,98,545,1214,44.89%,232,276,508
