Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0090,1859,890,2749,3883,70.80%,2006,641,2647
"Chief Justice, 1st Court of Appeals",0091,673,339,1012,1724,58.70%,553,396,949
"Chief Justice, 1st Court of Appeals",0092,1263,474,1737,2260,76.86%,1123,536,1659
"Chief Justice, 1st Court of Appeals",0093,1048,619,1667,3536,47.14%,474,1116,1590
"Chief Justice, 1st Court of Appeals",0094,202,63,265,580,45.69%,47,204,251
"Chief Justice, 1st Court of Appeals",0095,2022,534,2556,3394,75.31%,1684,784,2468
"Chief Justice, 1st Court of Appeals",0096,828,306,1134,2060,55.05%,148,931,1079
"Chief Justice, 1st Court of Appeals",0097,2513,467,2980,4414,67.51%,2169,690,2859
"Chief Justice, 1st Court of Appeals",0098,1385,594,1979,3161,62.61%,1588,321,1909
"Chief Justice, 1st Court of Appeals",0099,681,295,976,2192,44.53%,400,535,935
"Chief Justice, 1st Court of Appeals",0100,529,276,805,1825,44.11%,325,448,773
"Chief Justice, 1st Court of Appeals",0101,221,129,350,988,35.43%,84,252,336
"Chief Justice, 1st Court of Appeals",0102,581,227,808,1907,42.37%,203,562,765
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0103,2146,985,3131,5097,61.43%,1461,1570,3031
"Chief Justice, 1st Court of Appeals",0104,914,211,1125,1920,58.59%,31,1059,1090
"Chief Justice, 1st Court of Appeals",0105,709,433,1142,2304,49.57%,268,791,1059
"Chief Justice, 1st Court of Appeals",0106,73,59,132,299,44.15%,43,84,127
"Chief Justice, 1st Court of Appeals",0107,592,403,995,2230,44.62%,152,801,953
"Chief Justice, 1st Court of Appeals",0108,1463,448,1911,3674,52.01%,891,905,1796
"Chief Justice, 1st Court of Appeals",0109,1098,278,1376,2909,47.30%,47,1282,1329
"Chief Justice, 1st Court of Appeals",0110,1662,481,2143,3222,66.51%,1209,853,2062
"Chief Justice, 1st Court of Appeals",0111,2700,866,3566,4792,74.42%,2458,980,3438
"Chief Justice, 1st Court of Appeals",0112,1507,598,2105,3188,66.03%,1373,645,2018
"Chief Justice, 1st Court of Appeals",0113,1307,418,1725,2718,63.47%,893,774,1667
"Chief Justice, 1st Court of Appeals",0114,2290,506,2796,3885,71.97%,2008,680,2688
"Chief Justice, 1st Court of Appeals",0115,609,272,881,1843,47.80%,80,760,840
"Chief Justice, 1st Court of Appeals",0116,1898,599,2497,3194,78.18%,1886,523,2409
"Chief Justice, 1st Court of Appeals",0117,573,379,952,1900,50.11%,328,559,887
"Chief Justice, 1st Court of Appeals",0118,1823,530,2353,3181,73.97%,1220,1033,2253
"Chief Justice, 1st Court of Appeals",0119,2761,409,3170,4682,67.71%,2452,600,3052
"Chief Justice, 1st Court of Appeals",0120,1807,588,2395,3732,64.17%,1406,878,2284
"Chief Justice, 1st Court of Appeals",0121,354,221,575,966,59.52%,349,207,556
"Chief Justice, 1st Court of Appeals",0122,732,284,1016,1904,53.36%,60,909,969
"Chief Justice, 1st Court of Appeals",0123,749,287,1036,1585,65.36%,305,688,993
"Chief Justice, 1st Court of Appeals",0124,3136,888,4024,5393,74.62%,3134,779,3913
"Chief Justice, 1st Court of Appeals",0125,1207,400,1607,2593,61.97%,841,700,1541
"Chief Justice, 1st Court of Appeals",0126,2017,427,2444,3380,72.31%,2040,314,2354
"Chief Justice, 1st Court of Appeals",0127,978,214,1192,2091,57.01%,819,316,1135
"Chief Justice, 1st Court of Appeals",0128,1107,612,1719,2322,74.03%,1092,516,1608
"Chief Justice, 1st Court of Appeals",0129,2543,1052,3595,5172,69.51%,2113,1320,3433
"Chief Justice, 1st Court of Appeals",0130,1312,433,1745,2289,76.23%,1261,421,1682
"Chief Justice, 1st Court of Appeals",0131,798,371,1169,2147,54.45%,254,887,1141
"Chief Justice, 1st Court of Appeals",0132,1030,322,1352,2378,56.85%,42,1279,1321
"Chief Justice, 1st Court of Appeals",0133,1411,746,2157,2690,80.19%,1258,779,2037
"Chief Justice, 1st Court of Appeals",0134,593,345,938,1513,62.00%,371,521,892
"Chief Justice, 1st Court of Appeals",0135,1615,551,2166,2777,78.00%,1436,620,2056
"Chief Justice, 1st Court of Appeals",0136,982,352,1334,2116,63.04%,88,1197,1285
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0137,993,259,1252,1986,63.04%,824,384,1208
"Chief Justice, 1st Court of Appeals",0138,600,228,828,1723,48.06%,40,764,804
"Chief Justice, 1st Court of Appeals",0139,1940,601,2541,3435,73.97%,1207,1178,2385
"Chief Justice, 1st Court of Appeals",0140,1518,510,2028,3270,62.02%,340,1588,1928
"Chief Justice, 1st Court of Appeals",0141,217,153,370,904,40.93%,195,147,342
"Chief Justice, 1st Court of Appeals",0142,293,140,433,933,46.41%,86,316,402
"Chief Justice, 1st Court of Appeals",0143,1868,267,2135,2582,82.69%,1390,683,2073
"Chief Justice, 1st Court of Appeals",0144,442,125,567,1086,52.21%,19,524,543
"Chief Justice, 1st Court of Appeals",0145,560,256,816,1564,52.17%,17,774,791
"Chief Justice, 1st Court of Appeals",0146,1000,494,1494,2073,72.07%,650,772,1422
