Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0188,499,306,805,1711,47.05%,249,520,769
"District Judge, 11th Judicial District",0189,804,279,1083,1505,71.96%,582,435,1017
"District Judge, 11th Judicial District",0190,571,326,897,1849,48.51%,253,588,841
"District Judge, 11th Judicial District",0191,327,259,586,1408,41.62%,169,391,560
"District Judge, 11th Judicial District",0192,757,259,1016,1959,51.86%,66,909,975
"District Judge, 11th Judicial District",0193,375,211,586,1099,53.32%,23,540,563
"District Judge, 11th Judicial District",0194,1138,449,1587,2172,73.07%,437,1063,1500
"District Judge, 11th Judicial District",0195,606,344,950,1739,54.63%,54,852,906
"District Judge, 11th Judicial District",0196,132,37,169,313,53.99%,13,144,157
"District Judge, 11th Judicial District",0197,995,372,1368,2969,46.08%,49,1275,1324
"District Judge, 11th Judicial District",0198,161,82,243,619,39.26%,13,221,234
"District Judge, 11th Judicial District",0199,1929,815,2744,4063,67.54%,2008,623,2631
"District Judge, 11th Judicial District",0200,2307,377,2684,3692,72.70%,1175,1349,2524
"District Judge, 11th Judicial District",0201,221,105,326,773,42.17%,16,304,320
"District Judge, 11th Judicial District",0202,421,233,654,1410,46.38%,27,603,630
"District Judge, 11th Judicial District",0203,298,111,409,988,41.40%,62,320,382
"District Judge, 11th Judicial District",0204,2099,577,2676,3568,75.00%,1365,1111,2476
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0205,771,171,942,1724,54.64%,31,888,919
"District Judge, 11th Judicial District",0206,1277,494,1771,2965,59.73%,502,1140,1642
"District Judge, 11th Judicial District",0207,605,212,817,1166,70.07%,252,507,759
"District Judge, 11th Judicial District",0208,909,338,1247,2256,55.27%,274,890,1164
"District Judge, 11th Judicial District",0209,0,0,0,0,0.00%,0,0,0
