Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0644,2087,689,2776,4446,62.44%,1558,1109,2667
"District Judge, 11th Judicial District",0645,2145,769,2914,4517,64.51%,1147,1623,2770
"District Judge, 11th Judicial District",0646,925,399,1324,2422,54.67%,327,927,1254
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0647,1372,526,1898,4349,43.64%,399,1376,1775
"District Judge, 11th Judicial District",0648,1859,500,2359,3487,67.65%,1611,664,2275
"District Judge, 11th Judicial District",0649,1549,775,2324,4755,48.87%,550,1664,2214
"District Judge, 11th Judicial District",0650,2033,819,2852,4039,70.61%,1869,866,2735
"District Judge, 11th Judicial District",0651,1734,551,2285,3873,59.00%,1182,1002,2184
"District Judge, 11th Judicial District",0652,1165,545,1710,2979,57.40%,262,1399,1661
"District Judge, 11th Judicial District",0653,185,110,295,604,48.84%,66,217,283
"District Judge, 11th Judicial District",0654,2381,698,3079,5063,60.81%,1506,1424,2930
"District Judge, 11th Judicial District",0655,1959,761,2720,4495,60.51%,1414,1161,2575
"District Judge, 11th Judicial District",0656,1106,401,1507,2737,55.06%,70,1390,1460
"District Judge, 11th Judicial District",0657,683,276,959,1487,64.49%,315,594,909
"District Judge, 11th Judicial District",0658,1299,494,1793,2901,61.81%,1075,657,1732
"District Judge, 11th Judicial District",0659,2806,733,3539,5161,68.57%,2369,1033,3402
"District Judge, 11th Judicial District",0660,1575,345,1920,3087,62.20%,195,1664,1859
"District Judge, 11th Judicial District",0661,1945,774,2720,4363,62.34%,1274,1316,2590
"District Judge, 11th Judicial District",0662,2267,571,2838,4002,70.91%,2221,513,2734
"District Judge, 11th Judicial District",0663,1338,448,1786,2340,76.32%,872,774,1646
"District Judge, 11th Judicial District",0664,909,513,1422,2992,47.53%,267,1084,1351
"District Judge, 11th Judicial District",0665,1327,360,1687,2354,71.67%,1301,326,1627
"District Judge, 11th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0667,1109,400,1509,2175,69.38%,1098,346,1444
"District Judge, 11th Judicial District",0668,1552,719,2271,3669,61.90%,1312,878,2190
"District Judge, 11th Judicial District",0669,1889,702,2591,3585,72.27%,1703,776,2479
"District Judge, 11th Judicial District",0670,1996,416,2412,3335,72.32%,1869,448,2317
"District Judge, 11th Judicial District",0671,1398,588,1986,3198,62.10%,1038,864,1902
"District Judge, 11th Judicial District",0672,1724,489,2213,3433,64.46%,1484,655,2139
"District Judge, 11th Judicial District",0673,1525,467,2092,3051,68.57%,1629,398,2027
"District Judge, 11th Judicial District",0674,2354,610,2964,4228,70.10%,2086,768,2854
"District Judge, 11th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0676,1087,465,1552,2976,52.15%,571,907,1478
"District Judge, 11th Judicial District",0677,423,259,682,1300,52.46%,157,470,627
"District Judge, 11th Judicial District",0678,1164,294,1458,2660,54.81%,144,1264,1408
"District Judge, 11th Judicial District",0679,1718,529,2247,3542,63.44%,1517,623,2140
"District Judge, 11th Judicial District",0680,98,17,115,179,64.25%,49,62,111
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0681,e,0,6,4,150.00%,2,4,6
"District Judge, 11th Judicial District",0682,2112,690,2802,4313,64.97%,1957,740,2697
"District Judge, 11th Judicial District",0683,82,5,87,302,28.81%,22,60,82
"District Judge, 11th Judicial District",0684,1580,640,2320,3559,65.19%,1395,828,2223
"District Judge, 11th Judicial District",0685,139,28,167,285,58.60%,79,70,149
"District Judge, 11th Judicial District",0686,53,5,58,221,26.24%,16,40,56
"District Judge, 11th Judicial District",0687,1510,400,1910,2713,70.40%,1212,600,1812
"District Judge, 11th Judicial District",0688,2333,594,2927,3922,74.63%,2265,569,2834
"District Judge, 11th Judicial District",0689,725,604,1330,2449,54.31%,537,696,1233
"District Judge, 11th Judicial District",0690,1957,553,2520,3614,69.73%,1889,532,2421
"District Judge, 11th Judicial District",0691,2131,551,2682,3690,72.68%,2015,577,2592
"District Judge, 11th Judicial District",0692,1278,678,1956,3118,62.73%,1325,534,1859
"District Judge, 11th Judicial District",0693,309,110,419,681,61.53%,109,286,395
"District Judge, 11th Judicial District",0694,1005,319,1324,2478,53.43%,515,766,1281
"District Judge, 11th Judicial District",0695,628,315,943,1842,51.19%,536,355,891
"District Judge, 11th Judicial District",0696,723,312,1035,2027,51.06%,599,404,1003
"District Judge, 11th Judicial District",0697,1299,552,1851,3238,57.16%,448,1326,1774
"District Judge, 11th Judicial District",0698,1275,520,1795,3339,53.76%,202,1529,1731
"District Judge, 11th Judicial District",0699,1276,398,1674,2387,70.13%,1033,528,1561
"District Judge, 11th Judicial District",0700,726,247,973,1536,63.35%,799,143,942
"District Judge, 11th Judicial District",0701,208,73,281,614,45.77%,116,141,257
"District Judge, 11th Judicial District",0702,183,69,252,550,45.82%,37,204,241
"District Judge, 11th Judicial District",0703,899,528,1427,1943,73.44%,991,369,1360
"District Judge, 11th Judicial District",0704,1698,512,2210,3121,70.81%,1754,377,2131
"District Judge, 11th Judicial District",0705,331,206,537,1513,35.49%,56,467,523
"District Judge, 11th Judicial District",0706,1248,372,1620,2821,57.43%,569,948,1517
"District Judge, 11th Judicial District",0707,377,69,446,757,58.92%,259,164,423
"District Judge, 11th Judicial District",0708,162,98,260,592,43.92%,80,167,247
"District Judge, 11th Judicial District",0709,2257,528,2785,4136,67.34%,1428,1242,2670
"District Judge, 11th Judicial District",0710,1132,450,1582,2096,75.48%,823,652,1475
"District Judge, 11th Judicial District",0711,1978,599,2577,3820,67.46%,1293,1170,2463
"District Judge, 11th Judicial District",0712,1720,627,2347,4002,58.65%,810,1463,2273
"District Judge, 11th Judicial District",0713,770,365,1135,2006,56.58%,515,571,1086
"District Judge, 11th Judicial District",0714,102,28,130,306,42.48%,57,65,122
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0715,553,239,792,1549,51.13%,354,398,752
"District Judge, 11th Judicial District",0716,1215,419,1635,2720,60.11%,1116,454,1570
"District Judge, 11th Judicial District",0717,974,232,1206,2082,57.93%,162,997,1159
"District Judge, 11th Judicial District",0718,2243,872,3115,4412,70.60%,1935,995,2930
"District Judge, 11th Judicial District",0719,624,223,847,1644,51.52%,398,402,800
"District Judge, 11th Judicial District",0720,2498,709,3207,4709,68.10%,2099,970,3069
"District Judge, 11th Judicial District",0721,1455,603,2059,2926,70.71%,1293,665,1958
"District Judge, 11th Judicial District",0722,1929,609,2538,4638,54.72%,171,2277,2448
"District Judge, 11th Judicial District",0723,897,261,1158,1959,59.11%,217,892,1109
"District Judge, 11th Judicial District",0724,395,146,541,800,67.63%,348,168,516
"District Judge, 11th Judicial District",0725,976,294,1270,2336,54.37%,486,707,1193
"District Judge, 11th Judicial District",0726,1271,321,1592,2207,72.13%,1351,193,1544
"District Judge, 11th Judicial District",0727,981,415,1396,2708,51.55%,363,981,1344
"District Judge, 11th Judicial District",0728,399,198,597,942,63.38%,342,225,567
"District Judge, 11th Judicial District",0729,235,49,284,471,60.30%,153,120,273
"District Judge, 11th Judicial District",0730,1360,406,1766,2435,72.53%,1084,588,1672
"District Judge, 11th Judicial District",0731,2087,624,2711,4834,56.08%,1083,1513,2596
"District Judge, 11th Judicial District",0732,791,449,1240,1943,63.82%,692,477,1169
"District Judge, 11th Judicial District",0733,55,25,80,303,26.40%,25,51,76
"District Judge, 11th Judicial District",0734,2307,556,2863,4294,66.67%,1815,938,2753
"District Judge, 11th Judicial District",0735,157,61,218,251,86.85%,118,94,212
"District Judge, 11th Judicial District",0736,14,3,17,42,40.48%,0,14,14
"District Judge, 11th Judicial District",0737,21,6,27,56,48.21%,20,7,27
"District Judge, 11th Judicial District",0738,435,214,649,1497,43.35%,101,531,632
"District Judge, 11th Judicial District",0739,978,440,1418,2971,47.73%,597,760,1357
"District Judge, 11th Judicial District",0740,280,169,449,1005,44.68%,224,198,422
"District Judge, 11th Judicial District",0741,923,262,1185,1895,62.53%,283,837,1120
"District Judge, 11th Judicial District",0742,1532,498,2030,2859,71.00%,1230,707,1937
"District Judge, 11th Judicial District",0743,54,60,114,234,48.72%,37,69,106
"District Judge, 11th Judicial District",0744,1009,444,1453,2103,69.09%,830,550,1380
"District Judge, 11th Judicial District",0745,1213,446,1659,2543,65.24%,985,598,1583
"District Judge, 11th Judicial District",0746,244,121,365,732,49.86%,165,171,336
"District Judge, 11th Judicial District",0747,1746,693,2439,4096,59.55%,1010,1327,2337
"District Judge, 11th Judicial District",0748,563,245,808,1556,51.93%,370,404,774
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0749,115,1,116,432,26.85%,16,96,112
"District Judge, 11th Judicial District",0750,294,122,416,809,51.42%,222,169,391
"District Judge, 11th Judicial District",0751,2931,1013,3944,5893,66.93%,2335,1447,3782
"District Judge, 11th Judicial District",0752,659,227,886,1484,59.70%,561,282,843
"District Judge, 11th Judicial District",0753,258,53,311,512,60.74%,119,178,297
"District Judge, 11th Judicial District",0754,386,262,648,1590,40.75%,31,600,631
"District Judge, 11th Judicial District",0755,1782,955,2737,5015,54.58%,895,1692,2587
"District Judge, 11th Judicial District",0756,687,309,996,1723,57.81%,307,643,950
"District Judge, 11th Judicial District",0757,1867,601,2468,4792,51.50%,434,1952,2386
"District Judge, 11th Judicial District",0758,2104,595,2699,3803,70.97%,2006,574,2580
"District Judge, 11th Judicial District",0759,1389,375,1764,2779,63.48%,987,694,1681
"District Judge, 11th Judicial District",0760,1219,268,1487,2162,68.78%,1182,248,1430
"District Judge, 11th Judicial District",0761,1088,167,1255,1598,78.54%,864,328,1192
"District Judge, 11th Judicial District",0762,924,303,1227,1828,67.12%,543,628,1171
"District Judge, 11th Judicial District",0763,370,264,634,1249,50.76%,183,418,601
"District Judge, 11th Judicial District",0764,2472,677,3149,4827,65.24%,1844,1161,3005
"District Judge, 11th Judicial District",0765,2051,874,2925,5742,50.94%,756,2056,2812
"District Judge, 11th Judicial District",0766,126,59,185,428,43.22%,25,141,166
"District Judge, 11th Judicial District",0767,31,15,46,92,50.00%,21,22,43
"District Judge, 11th Judicial District",0768,1479,387,1866,2643,70.60%,1414,381,1795
"District Judge, 11th Judicial District",0769,85,14,99,184,53.80%,6,91,97
"District Judge, 11th Judicial District",0770,103,42,145,388,37.37%,46,93,139
"District Judge, 11th Judicial District",0771,572,210,782,1588,49.24%,323,424,747
"District Judge, 11th Judicial District",0772,2805,477,3282,4606,71.25%,2366,768,3134
"District Judge, 11th Judicial District",0773,1693,638,2331,4414,52.81%,563,1616,2179
"District Judge, 11th Judicial District",0774,150,66,216,426,50.70%,57,153,210
"District Judge, 11th Judicial District",0775,50,1,51,102,50.00%,1,49,50
"District Judge, 11th Judicial District",0776,1432,538,1970,3276,60.13%,1088,796,1884
"District Judge, 11th Judicial District",0777,201,105,306,767,39.90%,71,223,294
"District Judge, 11th Judicial District",0778,0,3,3,0,0.00%,0,3,3
"District Judge, 11th Judicial District",0779,263,160,423,1019,41.51%,100,286,386
"District Judge, 11th Judicial District",0780,170,130,300,666,45.05%,94,180,274
"District Judge, 11th Judicial District",0781,1235,612,1847,3782,48.84%,552,1150,1702
"District Judge, 11th Judicial District",0782,1048,368,1416,2355,60.13%,822,519,1341
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0783,197,90,287,520,55.19%,20,258,278
"District Judge, 11th Judicial District",0784,408,119,527,1062,49.62%,23,484,507
"District Judge, 11th Judicial District",0785,1229,357,1586,1896,83.65%,809,710,1519
"District Judge, 11th Judicial District",0786,396,177,573,1258,45.55%,176,369,545
"District Judge, 11th Judicial District",0787,180,83,263,542,48.52%,78,167,245
"District Judge, 11th Judicial District",0788,2,0,2,13,15.38%,2,0,2
"District Judge, 11th Judicial District",0789,1377,420,1797,2998,59.94%,1022,708,1730
"District Judge, 11th Judicial District",0790,1143,329,1472,2523,58.34%,487,928,1415
"District Judge, 11th Judicial District",0791,9,3,12,29,41.38%,3,9,12
"District Judge, 11th Judicial District",0792,648,415,1063,1954,54.40%,240,768,1008
"District Judge, 11th Judicial District",0793,984,416,1400,2620,53.44%,694,627,1321
"District Judge, 11th Judicial District",0794,626,411,1037,3208,32.33%,108,894,1002
"District Judge, 11th Judicial District",0795,396,2,398,1281,31.07%,110,258,368
"District Judge, 11th Judicial District",0796,1371,455,1835,3041,60.37%,729,1047,1776
"District Judge, 11th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0798,222,142,364,521,69.87%,134,211,345
"District Judge, 11th Judicial District",0799,58,26,84,171,49.12%,14,69,83
"District Judge, 11th Judicial District",0800,1934,730,2664,4216,63.19%,1565,980,2545
"District Judge, 11th Judicial District",0801,90,44,134,261,51.34%,41,88,129
"District Judge, 11th Judicial District",0802,54,21,75,224,33.48%,1,7,55,72
"District Judge, 11th Judicial District",0803,2655,547,3212,4514,71.16%,2174,915,3089
"District Judge, 11th Judicial District",0804,2703,682,3385,5303,63.83%,1744,1524,3268
"District Judge, 11th Judicial District",0805,1597,454,2051,2874,71.36%,1555,408,1963
"District Judge, 11th Judicial District",0806,1001,324,1325,1889,70.14%,795,488,1283
"District Judge, 11th Judicial District",0807,792,349,1141,2163,52.75%,194,908,1102
"District Judge, 11th Judicial District",0808,142,57,199,232,85.78%,69,116,185
"District Judge, 11th Judicial District",0809,19,7,26,98,26.53%,13,12,25
"District Judge, 11th Judicial District",0810,47,31,78,197,39.59%,10,61,71
"District Judge, 11th Judicial District",0811,82,68,150,277,54.15%,30,113,143
"District Judge, 11th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0813,1742,434,2176,3488,62.39%,939,1162,2101
"District Judge, 11th Judicial District",0814,1968,827,2795,5483,50.98%,547,2143,2690
"District Judge, 11th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0816,23,10,33,64,51.56%,4,27,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0817,2787,550,3337,4700,71.00%,2290,939,3229
"District Judge, 11th Judicial District",0818,208,104,312,737,42.33%,63,237,300
"District Judge, 11th Judicial District",0819,108,31,139,228,60.96%,69,56,125
"District Judge, 11th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0821,362,188,550,1295,42.47%,71,450,521
"District Judge, 11th Judicial District",0822,571,185,756,1574,48.03%,28,696,724
"District Judge, 11th Judicial District",0823,1339,410,1749,3017,57.97%,910,762,1672
"District Judge, 11th Judicial District",0824,1057,410,1467,2762,53.11%,310,1107,1417
"District Judge, 11th Judicial District",0825,9,7,16,21,76.19%,3,12,15
"District Judge, 11th Judicial District",0826,177,70,247,355,69.58%,127,102,229
"District Judge, 11th Judicial District",0827,218,234,452,1042,43.38%,145,296,441
"District Judge, 11th Judicial District",0828,1174,281,1455,1965,74.05%,1103,290,1393
"District Judge, 11th Judicial District",0829,101,19,120,235,51.06%,33,80,113
"District Judge, 11th Judicial District",0830,2,2,4,2,200.00%,4,0,4
"District Judge, 11th Judicial District",0831,8,5,13,36,36.11%,6,6,12
"District Judge, 11th Judicial District",0832,124,50,174,364,47.80%,40,124,164
"District Judge, 11th Judicial District",0833,3,2,5,20,25.00%,1,4,5
"District Judge, 11th Judicial District",0834,142,61,203,388,52.32%,20,180,200
"District Judge, 11th Judicial District",0835,87,71,158,311,50.80%,41,112,153
"District Judge, 11th Judicial District",0836,128,0,128,248,51.61%,11,109,120
"District Judge, 11th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0839,419,174,593,1190,49.83%,123,445,568
"District Judge, 11th Judicial District",0840,829,228,1057,1780,59.38%,339,666,1005
"District Judge, 11th Judicial District",0841,1473,475,1948,3431,56.78%,436,1445,1881
"District Judge, 11th Judicial District",0842,1338,513,1851,3390,54.60%,700,1056,1756
"District Judge, 11th Judicial District",0843,595,298,893,1387,64.38%,162,694,856
"District Judge, 11th Judicial District",0844,4,0,4,10,40.00%,0,4,4
"District Judge, 11th Judicial District",0845,151,13,164,218,75.23%,99,57,156
"District Judge, 11th Judicial District",0846,51,22,83,229,36.24%,2,80,82
"District Judge, 11th Judicial District",0847,993,330,1323,2310,57.27%,342,934,1276
"District Judge, 11th Judicial District",0848,1011,201,1212,1875,64.64%,371,781,1152
"District Judge, 11th Judicial District",0849,731,455,1186,2272,52.20%,309,792,1101
"District Judge, 11th Judicial District",0850,129,19,148,208,71.15%,56,85,141
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0851,1885,441,2326,3597,64.66%,1504,719,2223
"District Judge, 11th Judicial District",0852,0,0,0,1,0.00%,0,0,0
"District Judge, 11th Judicial District",0853,1637,487,2124,2986,71.13%,1536,508,2044
"District Judge, 11th Judicial District",0854,40,19,59,175,33.71%,10,47,57
"District Judge, 11th Judicial District",0855,7,2,9,21,42.86%,4,4,8
"District Judge, 11th Judicial District",0856,0,3,3,0,0.00%,0,1,1
"District Judge, 11th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 11th Judicial District",0858,121,35,156,334,46.71%,5,142,147
"District Judge, 11th Judicial District",0859,391,143,534,945,56.51%,111,399,510
"District Judge, 11th Judicial District",0860,1,1,2,0,0.00%,0,2,2
"District Judge, 11th Judicial District",0861,777,272,1049,1941,54.04%,166,848,1014
"District Judge, 11th Judicial District",0862,1989,508,2497,3739,66.78%,1429,976,2405
"District Judge, 11th Judicial District",0863,192,64,256,581,44.06%,14,236,250
"District Judge, 11th Judicial District",0864,693,574,1267,2708,46.79%,278,916,1194
"District Judge, 11th Judicial District",0865,9,2,11,21,52.38%,0,11,11
"District Judge, 11th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0868,736,495,1231,2446,50.33%,312,860,1172
"District Judge, 11th Judicial District",0869,165,55,220,480,45.83%,33,181,214
"District Judge, 11th Judicial District",0870,0,2,2,0,0.00%,2,0,2
"District Judge, 11th Judicial District",0871,2,1,3,3,100.00%,1,2,3
"District Judge, 11th Judicial District",0872,16,6,22,68,32.35%,12,10,22
"District Judge, 11th Judicial District",0873,296,111,407,778,52.31%,94,302,396
"District Judge, 11th Judicial District",0874,1681,670,2351,3294,71.37%,1661,595,2256
"District Judge, 11th Judicial District",0875,1947,501,2448,3592,68.15%,1120,1242,2362
"District Judge, 11th Judicial District",0876,1945,577,2522,3485,72.37%,1720,708,2428
"District Judge, 11th Judicial District",0877,1803,528,2331,3651,63.85%,858,1397,2255
"District Judge, 11th Judicial District",0878,685,110,795,1039,76.52%,631,132,763
"District Judge, 11th Judicial District",0879,1215,413,1628,2843,57.26%,665,895,1560
"District Judge, 11th Judicial District",0880,1354,471,1825,2467,73.98%,1347,416,1763
"District Judge, 11th Judicial District",0881,2465,927,3392,5638,60.16%,875,2406,3281
"District Judge, 11th Judicial District",0882,1952,595,2547,4317,59.00%,735,1695,2430
"District Judge, 11th Judicial District",0883,2252,928,3180,5613,56.65%,543,2513,3056
"District Judge, 11th Judicial District",0884,149,55,204,396,51.52%,29,170,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0885,1570,323,1893,2811,67.34%,1044,787,1831
"District Judge, 11th Judicial District",0886,495,152,647,906,71.41,%,332,261,593
"District Judge, 11th Judicial District",0887,234,95,329,492,66.87%,170,129,299
"District Judge, 11th Judicial District",0888,817,289,1106,1867,59.24%,345,720,1065
"District Judge, 11th Judicial District",0889,113,28,141,238,59.24%,39,93,132
"District Judge, 11th Judicial District",0890,445,98,543,1214,44.73%,217,284,501
"District Judge, 11th Judicial District",0891,753,194,947,1376,68.82%,354,543,897
"District Judge, 11th Judicial District",0892,420,123,543,900,60.33%,177,331,508
"District Judge, 11th Judicial District",0893,1,4,5,9,55.56%,2,3,5
"District Judge, 11th Judicial District",0894,801,305,1106,2087,52.99%,152,917,1069
"District Judge, 11th Judicial District",0895,417,252,669,834,80.22%,287,337,624
"District Judge, 11th Judicial District",0896,838,254,1092,1467,74.44%,386,646,1032
"District Judge, 11th Judicial District",0897,812,365,1177,1766,66.65%,611,509,1120
"District Judge, 11th Judicial District",0898,792,301,1093,1821,60.02%,421,637,1058
"District Judge, 11th Judicial District",0899,745,165,911,1264,72.07%,565,322,887
"District Judge, 11th Judicial District",0900,7,0,7,12,58.33%,1,6,7
"District Judge, 11th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0902,1310,361,1671,2217,75.37%,841,724,1565
"District Judge, 11th Judicial District",0903,1314,354,1668,2558,65.21%,1192,421,1613
"District Judge, 11th Judicial District",0904,2,0,2,8,25.00%,1,1,2
"District Judge, 11th Judicial District",0905,390,136,526,946,55.60%,196,309,505
"District Judge, 11th Judicial District",0906,19,3,22,28,78.57%,9,13,22
"District Judge, 11th Judicial District",0907,53,37,90,201,44.78%,8,80,88
"District Judge, 11th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0909,7,1,8,21,38.10%,2,6,8
"District Judge, 11th Judicial District",0910,78,37,115,236,48.73%,36,70,106
"District Judge, 11th Judicial District",0911,237,63,300,576,52.08%,186,105,291
"District Judge, 11th Judicial District",0912,712,167,879,1341,65.55%,498,337,835
"District Judge, 11th Judicial District",0913,102,12,114,241,47.30%,21,88,109
"District Judge, 11th Judicial District",0914,42,0,42,124,33.87%,9,31,40
"District Judge, 11th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0916,1472,308,1780,2205,80.73%,1328,381,1709
"District Judge, 11th Judicial District",0917,33,9,42,147,28.57%,4,34,38
"District Judge, 11th Judicial District",0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0919,1,0,1,1,100.00%,0,1,1
"District Judge, 11th Judicial District",0920,41,13,54,79,68.35%,32,20,52
"District Judge, 11th Judicial District",0921,27,6,33,61,54.10%,8,25,33
"District Judge, 11th Judicial District",0922,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0923,2331,350,2681,3536,75.82%,1973,644,2617
"District Judge, 11th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0926,550,149,699,967,72.29%,467,199,666
"District Judge, 11th Judicial District",0927,966,173,1139,1771,64.31%,549,511,1060
"District Judge, 11th Judicial District",0928,4,1,5,7,71.43%,0,5,5
"District Judge, 11th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0930,217,83,300,606,49.50%,18,270,288
"District Judge, 11th Judicial District",0931,87,28,115,141,81.56%,45,57,102
"District Judge, 11th Judicial District",0932,0,1,1,0,0.00%,0,1,1
"District Judge, 11th Judicial District",0933,297,93,390,668,58.38%,117,260,377
"District Judge, 11th Judicial District",0934,9,4,13,37,35.14%,8,5,13
"District Judge, 11th Judicial District",0935,12,9,21,55,38.18%,8,12,20
"District Judge, 11th Judicial District",0936,23,9,32,76,42.11%,8,21,29
"District Judge, 11th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0938,72,19,91,255,35.69%,30,60,90
"District Judge, 11th Judicial District",0939,1,1,2,4,50.00%,1,1,2
"District Judge, 11th Judicial District",0940,9,3,12,28,42.86%,1,11,12
"District Judge, 11th Judicial District",0941,284,144,428,870,49.20%,201,204,405
"District Judge, 11th Judicial District",0942,102,16,118,152,77.63%,78,38,116
"District Judge, 11th Judicial District",0943,192,28,220,774,28.42%,50,156,206
"District Judge, 11th Judicial District",0944,1,0,1,1,100.00%,0,1,1
"District Judge, 11th Judicial District",0945,8,6,14,21,66.67%,1,12,13
"District Judge, 11th Judicial District",0946,4,2,6,14,42.86%,1,5,6
"District Judge, 11th Judicial District",0947,428,198,626,820,76.34%,306,279,585
"District Judge, 11th Judicial District",0948,0,0,0,1,0.00%,0,0,0
"District Judge, 11th Judicial District",0949,84,61,145,210,69.05%,65,72,137
"District Judge, 11th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0951,114,62,176,304,57.89%,39,127,166
"District Judge, 11th Judicial District",0952,32,15,47,65,72.31%,30,15,45
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0953,4,0,4,8,50.00%,0,4,4
"District Judge, 11th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0955,3528,572,4100,5108,80.27%,2851,1077,3928
"District Judge, 11th Judicial District",0956,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0957,282,39,321,585,54.87%,37,273,310
"District Judge, 11th Judicial District",0958,430,231,661,1202,54.99%,122,509,631
"District Judge, 11th Judicial District",0959,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0960,829,235,1064,1471,72.33%,223,805,1028
"District Judge, 11th Judicial District",0961,820,318,1138,2369,48.04%,184,908,1092
"District Judge, 11th Judicial District",0962,33,12,45,88,51.14%,9,34,43
"District Judge, 11th Judicial District",0963,225,91,316,528,59.85%,124,175,299
"District Judge, 11th Judicial District",0964,2145,325,2470,3179,77.70%,1385,985,2370
"District Judge, 11th Judicial District",0965,101,35,136,345,39.42%,91,39,130
"District Judge, 11th Judicial District",0966,368,189,557,1332,41.82%,132,393,525
"District Judge, 11th Judicial District",0967,82,24,106,186,56.99%,38,63,101
"District Judge, 11th Judicial District",0968,455,127,582,906,64.24%,117,447,564
"District Judge, 11th Judicial District",0969,299,71,370,624,59.29%,10,348,358
"District Judge, 11th Judicial District",0970,223,102,325,810,40.12%,33,269,302
"District Judge, 11th Judicial District",0971,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0972,0,0,0,0,0.00%,0,0,0
"District Judge, 11th Judicial District",0973,504,138,642,999,64.26%,393,214,607
"District Judge, 11th Judicial District",0974,0,1,1,0,0.00%,1,0,1
"District Judge, 11th Judicial District",0975,104,26,130,190,68.42%,59,61,120
"District Judge, 11th Judicial District",0976,190,152,342,712,48.03%,162,154,316
"District Judge, 11th Judicial District",0977,160,108,268,617,43.44%,90,169,259
"District Judge, 11th Judicial District",0978,0,0,0,0,0.00%,0,0,0
