Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP SaraJane Milligan,DEM Eric William Carter,Totals
"Justice of the Peace, Precinct 1, Place 1",0875,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 1, Place 1",0877,423,259,882,1300,52.48%,158,474,832
"Justice of the Peace, Precinct 1, Place 1",0880,98,17,115,179,84.25%,48,84,112
"Justice of the Peace, Precinct 1, Place 1",0881,e,0,8,4,150.00%,3,3,8
"Justice of the Peace, Precinct 1, Place 1",0883,82,5,87,302,28.81%,23,80,83
"Justice of the Peace, Precinct 1, Place 1",0897,1299,552,1851,3238,57.18%,428,1353,1781
"Justice of the Peace, Precinct 1, Place 1",0701,208,73,281,814,45.77%,119,140,259
"Justice of the Peace, Precinct 1, Place 1",0702,183,89,252,550,45.82%,34,208,242
"Justice of the Peace, Precinct 1, Place 1",0707,377,89,448,757,58.92%,281,159,420
"Justice of the Peace, Precinct 1, Place 1",0710,1132,450,1582,2098,75.48%,819,848,1485
"Justice of the Peace, Precinct 1, Place 1",0714,102,28,130,308,42.48%,58,85,123
"Justice of the Peace, Precinct 1, Place 1",0723,897,281,1158,1959,59.11%,218,894,1112
"Justice of the Peace, Precinct 1, Place 1",0775,50,1,51,102,50.00%,1,49,50
"Justice of the Peace, Precinct 1, Place 1",0778,0,3,3,0,0.00%,0,3,3
"Justice of the Peace, Precinct 1, Place 1",0779,283,180,423,1019,41.51%,102,287,389
"Justice of the Peace, Precinct 1, Place 1",0780,170,130,300,888,45.05%,94,183,277
"Justice of the Peace, Precinct 1, Place 1",0787,180,83,283,542,48.52%,74,172,248
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP SaraJane Milligan,DEM Eric William Carter,Totals
"Justice of the Peace, Precinct 1, Place 1",0792,648,415,1063,1954,54.40%,244,768,1012
"Justice of the Peace, Precinct 1, Place 1",0795,396,2,398,1281,31.07%,107,258,365
"Justice of the Peace, Precinct 1, Place 1",0802,54,21,75,224,33.48%,19,52,71
"Justice of the Peace, Precinct 1, Place 1",0808,142,57,199,232,85.78%,69,116,185
"Justice of the Peace, Precinct 1, Place 1",0809,19,7,26,98,26.53%,13,12,25
"Justice of the Peace, Precinct 1, Place 1",0830,2,2,4,2,200.00%,4,0,4
"Justice of the Peace, Precinct 1, Place 1",0833,3,2,5,20,25.00%,1,4,5
"Justice of the Peace, Precinct 1, Place 1",0835,87,71,158,311,50.80%,43,107,150
"Justice of the Peace, Precinct 1, Place 1",0836,128,0,128,248,51.61%,9,109,118
"Justice of the Peace, Precinct 1, Place 1",0837,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 1, Place 1",0848,1011,201,1212,1875,64.64%,356,801,1157
"Justice of the Peace, Precinct 1, Place 1",0855,7,2,9,21,42.86%,4,4,8
"Justice of the Peace, Precinct 1, Place 1",0859,391,143,534,945,56.51%,107,403,510
"Justice of the Peace, Precinct 1, Place 1",0861,777,272,1049,1941,54.04%,159,857,1016
"Justice of the Peace, Precinct 1, Place 1",0854,693,574,1267,2708,46.79%,281,912,1193
"Justice of the Peace, Precinct 1, Place 1",0868,736,495,1231,2446,50.33%,307,861,1168
"Justice of the Peace, Precinct 1, Place 1",0870,0,2,2,0,0.00%,2,0,2
"Justice of the Peace, Precinct 1, Place 1",0884,149,55,204,396,51.52%,27,172,199
"Justice of the Peace, Precinct 1, Place 1",0886,495,152,647,906,71.41,%,323,273,596
"Justice of the Peace, Precinct 1, Place 1",0887,234,95,329,492,66.87%,166,128,294
"Justice of the Peace, Precinct 1, Place 1",0890,445,98,543,1214,44.73%,213,283,496
"Justice of the Peace, Precinct 1, Place 1",0895,417,252,669,834,80.22%,248,363,611
"Justice of the Peace, Precinct 1, Place 1",0896,838,254,1092,1467,74.44%,340,679,1019
"Justice of the Peace, Precinct 1, Place 1",0902,1310,361,1671,2217,75.37%,802,742,1544
"Justice of the Peace, Precinct 1, Place 1",0906,19,3,22,28,78.57%,11,11,22
"Justice of the Peace, Precinct 1, Place 1",0909,7,1,8,21,38.10%,2,5,7
"Justice of the Peace, Precinct 1, Place 1",0910,78,37,115,236,48.73%,36,71,107
"Justice of the Peace, Precinct 1, Place 1",0914,42,0,42,124,33.87%,8,33,41
"Justice of the Peace, Precinct 1, Place 1",0918,3,1,4,7,57.14%,1,3,4
"Justice of the Peace, Precinct 1, Place 1",0922,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 1, Place 1",0927,966,173,1139,1771,64.31%,547,515,1062
"Justice of the Peace, Precinct 1, Place 1",0928,4,1,5,7,71.43%,0,5,5
"Justice of the Peace, Precinct 1, Place 1",0930,217,83,300,606,49.50%,19,270,289
"Justice of the Peace, Precinct 1, Place 1",0934,9,4,13,37,35.14%,7,6,13
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP SaraJane Milligan,DEM Eric William Carter,Totals
"Justice of the Peace, Precinct 1, Place 1",0936,23,9,32,76,42.11%,8,20,28
"Justice of the Peace, Precinct 1, Place 1",0956,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 1, Place 1",0961,820,318,1138,2369,48.04%,168,923,1091
"Justice of the Peace, Precinct 1, Place 1",0962,33,12,45,88,51.14%,7,33,40
"Justice of the Peace, Precinct 1, Place 1",0966,368,189,557,1332,41.82%,127,394,521
"Justice of the Peace, Precinct 1, Place 1",0970,223,102,325,810,40.12%,33,271,304
"Justice of the Peace, Precinct 1, Place 1",0971,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 1, Place 1",0975,104,26,130,190,68.42%,57,63,120
"Justice of the Peace, Precinct 1, Place 1",0977,160,108,268,617,43.44%,90,168,258
"Justice of the Peace, Precinct 1, Place 1",0987,476,130,606,1183,51.23%,44,537,581
"Justice of the Peace, Precinct 1, Place 1",0989,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 1, Place 1",0993,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 1, Place 1",1003,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 1, Place 1",1004,349,114,453,691,67.00%,216,223,439
"Justice of the Peace, Precinct 1, Place 1",1011,9,6,15,31,48.39%,10,5,15
"Justice of the Peace, Precinct 1, Place 1",Totals;,160026,64106,224126,662009,77548,162514,210062
