Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0162,364,267,631,1312,48.09%,153,432,585
"District Judge, 80th Judicial District",0163,1080,524,1604,3075,52.16%,433,1008,1441
"District Judge, 80th Judicial District",0164,441,258,699,1407,49.68%,23,648,671
"District Judge, 80th Judicial District",0165,1169,469,1638,2460,66.59%,900,647,1547
"District Judge, 80th Judicial District",0166,562,261,823,1171,70.28%,258,515,773
"District Judge, 80th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 80th Judicial District",0168,196,59,255,512,49.80%,6,245,251
"District Judge, 80th Judicial District",0169,985,247,1232,2548,48.35%,32,1161,1193
"District Judge, 80th Judicial District",0170,663,262,925,1958,47.24%,404,453,857
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0171,482,283,765,1648,46.42%,43,686,729
"District Judge, 80th Judicial District",0172,245,103,348,661,52.65%,82,249,331
"District Judge, 80th Judicial District",0173,2259,683,2942,3966,74.18%,2139,671,2810
"District Judge, 80th Judicial District",0174,1715,707,2423,3389,71.50%,1514,764,2278
"District Judge, 80th Judicial District",0175,1402,691,2093,2711,77.20%,964,990,1954
"District Judge, 80th Judicial District",0176,767,375,1142,1533,74.49%,502,557,1059
"District Judge, 80th Judicial District",0177,937,333,1270,1715,74.05%,633,549,1182
"District Judge, 80th Judicial District",0178,1116,273,1389,1795,77.38%,831,464,1295
"District Judge, 80th Judicial District",0179,771,244,1015,1673,60.67%,463,491,954
"District Judge, 80th Judicial District",0180,928,463,1391,2914,47.74%,56,1281,1337
"District Judge, 80th Judicial District",0181,697,439,1136,2195,51.75%,253,824,1077
"District Judge, 80th Judicial District",0182,1943,994,2937,4071,72.14%,1425,1298,2723
"District Judge, 80th Judicial District",0183,1286,715,2001,2535,78.93%,1113,755,1868
"District Judge, 80th Judicial District",0184,278,219,497,1048,47.42%,126,339,465
"District Judge, 80th Judicial District",0185,709,444,1153,2054,56.13%,302,785,1087
"District Judge, 80th Judicial District",0186,252,150,402,798,50.38%,33,357,390
"District Judge, 80th Judicial District",0187,95,51,147,309,47.57%,25,110,135
"District Judge, 80th Judicial District",0188,499,306,805,1711,47.05%,259,514,773
"District Judge, 80th Judicial District",0189,804,279,1083,1505,71.96%,578,440,1018
"District Judge, 80th Judicial District",0190,571,326,897,1849,48.51%,251,591,842
"District Judge, 80th Judicial District",0191,327,259,586,1408,41.62%,171,389,560
"District Judge, 80th Judicial District",0192,757,259,1016,1959,51.86%,58,914,972
"District Judge, 80th Judicial District",0193,375,211,586,1099,53.32%,22,539,561
"District Judge, 80th Judicial District",0194,1138,449,1587,2172,73.07%,407,1084,1491
"District Judge, 80th Judicial District",0195,606,344,950,1739,54.63%,45,855,900
"District Judge, 80th Judicial District",0196,132,37,169,313,53.99%,14,143,157
"District Judge, 80th Judicial District",0197,995,372,1368,2969,46.08%,41,1279,1320
"District Judge, 80th Judicial District",0198,161,82,243,619,39.26%,10,223,233
"District Judge, 80th Judicial District",0199,1929,815,2744,4063,67.54%,1991,633,2624
"District Judge, 80th Judicial District",0200,2307,377,2684,3692,72.70%,1114,1403,2517
"District Judge, 80th Judicial District",0201,221,105,326,773,42.17%,10,309,319
"District Judge, 80th Judicial District",0202,421,233,654,1410,46.38%,23,606,629
"District Judge, 80th Judicial District",0203,298,111,409,988,41.40%,62,322,384
"District Judge, 80th Judicial District",0204,2099,577,2676,3568,75.00%,1334,1142,2476
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0205,771,171,942,1724,54.64%,26,892,918
"District Judge, 80th Judicial District",0206,1277,494,1771,2965,59.73%,502,1148,1650
"District Judge, 80th Judicial District",0207,605,212,817,1166,70.07%,252,512,764
"District Judge, 80th Judicial District",0208,909,338,1247,2256,55.27%,276,885,1161
"District Judge, 80th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0210,1259,489,1748,2781,62.86%,260,1416,1676
"District Judge, 80th Judicial District",0211,964,595,1559,3130,49.81%,424,1028,1452
"District Judge, 80th Judicial District",0212,309,323,632,1370,46.13%,102,490,592
"District Judge, 80th Judicial District",0213,1782,795,2577,3406,75.66%,1827,649,2476
