Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Richard C. Vara,Totals
"Justice of the Peace, Precinct 6, Place 1",0530,375,212,587,1236,47.49%,472,472
"Justice of the Peace, Precinct 6, Place 1",0560,290,247,537,1141,47.06%,460,460
"Justice of the Peace, Precinct 6, Place 1",0736,14,3,17,42,40.48%,13,13
"Justice of the Peace, Precinct 6, Place 1",0766,126,59,185,428,43.22%,148,148
"Justice of the Peace, Precinct 6, Place 1",0844,4,0,4,10,40.00%,4,4
"Justice of the Peace, Precinct 6, Place 1",0846,61,22,83,229,36.24%,80,80
"Justice of the Peace, Precinct 6, Place 1",0852,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 1",0854,40,19,59,175,33.71%,54,54
"Justice of the Peace, Precinct 6, Place 1",0856,0,3,3,0,0.00%,1,1
"Justice of the Peace, Precinct 6, Place 1",0865,9,2,11,21,52.38%,10,10
"Justice of the Peace, Precinct 6, Place 1",0866,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 1",0867,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 1",0871,2,1,3,3,100.00%,3,3
"Justice of the Peace, Precinct 6, Place 1",0889,113,28,141,238,59.24%,113,113
"Justice of the Peace, Precinct 6, Place 1",0892,420,123,543,900,60.33%,377,377
"Justice of the Peace, Precinct 6, Place 1",0900,7,0,7,12,58.33%,6,6
"Justice of the Peace, Precinct 6, Place 1",0917,33,9,42,147,28.57%,35,35
"Justice of the Peace, Precinct 6, Place 1",0921,27,6,33,61,54.10%,26,26
"Justice of the Peace, Precinct 6, Place 1",0924,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 1",0929,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 1",0940,9,3,12,28,42.86%,12,12
"Justice of the Peace, Precinct 6, Place 1",0945,8,6,14,21,66.67%,13,13
"Justice of the Peace, Precinct 6, Place 1",0946,4,2,6,14,42.86%,5,5
"Justice of the Peace, Precinct 6, Place 1",0953,4,0,4,8,50.00%,4,4
"Justice of the Peace, Precinct 6, Place 1",0978,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 1",0999,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 1",1005,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 6, Place 1",Totals;,21800,10411,32211,62497,26839,26839
