Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lincoln Goodwin,DEM Vicky Printers Reynolds,Totals
"Justice of the Peace, Precinct 4, Place 1",0629,162,96,258,750,34.40%,31,218,249
"Justice of the Peace, Precinct 4, Place 1",0631,1841,398,2239,3263,68.62%,1457,684,2141
"Justice of the Peace, Precinct 4, Place 1",0633,2286,601,2887,3912,73.80%,1942,833,2775
"Justice of the Peace, Precinct 4, Place 1",0634,1435,499,1934,3259,59.34%,1068,789,1857
"Justice of the Peace, Precinct 4, Place 1",0635,1645,520,2165,3512,61.65%,1551,516,2067
"Justice of the Peace, Precinct 4, Place 1",0640,1619,615,2234,3927,56.89%,1226,925,2151
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lincoln Goodwin,DEM Vicky Printers Reynolds,Totals
"Justice of the Peace, Precinct 4, Place 1",0641,1637,683,2320,3840,60.42%,1324,901,2225
"Justice of the Peace, Precinct 4, Place 1",0648,1859,500,2359,3487,67.65%,1622,659,2281
"Justice of the Peace, Precinct 4, Place 1",0657,683,276,959,1487,64.49%,315,601,916
"Justice of the Peace, Precinct 4, Place 1",0658,1299,494,1793,2901,61.81%,1067,663,1730
"Justice of the Peace, Precinct 4, Place 1",0659,2806,733,3539,5161,68.57%,2373,1026,3399
"Justice of the Peace, Precinct 4, Place 1",0660,1575,345,1920,3087,62.20%,185,1679,1864
"Justice of the Peace, Precinct 4, Place 1",0661,1946,774,2720,4363,62.34%,1297,1293,2590
"Justice of the Peace, Precinct 4, Place 1",0666,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 4, Place 1",0668,1552,719,2271,3669,61.90%,1319,869,2188
"Justice of the Peace, Precinct 4, Place 1",0669,1889,702,2591,3585,72.27%,1733,748,2481
"Justice of the Peace, Precinct 4, Place 1",0670,1996,416,2412,3335,72.32%,1874,438,2312
"Justice of the Peace, Precinct 4, Place 1",0671,1398,588,1986,3198,62.10%,1041,858,1899
"Justice of the Peace, Precinct 4, Place 1",0672,1724,489,2213,3433,64.46%,1484,660,2144
"Justice of the Peace, Precinct 4, Place 1",0574,2354,510,2954,4228,70.10%,2097,759,2856
"Justice of the Peace, Precinct 4, Place 1",0678,1154,294,1458,2660,54.81%,146,1263,1409
"Justice of the Peace, Precinct 4, Place 1",0684,1680,640,2320,3559,65.19%,1388,834,2222
"Justice of the Peace, Precinct 4, Place 1",0687,1510,400,1910,2713,70.40%,1217,598,1815
"Justice of the Peace, Precinct 4, Place 1",0688,2333,594,2927,3922,74.63%,2276,557,2833
"Justice of the Peace, Precinct 4, Place 1",0690,1967,553,2520,3614,69.73%,1900,515,2415
"Justice of the Peace, Precinct 4, Place 1",0691,2131,551,2582,3690,72.68%,2024,568,2592
"Justice of the Peace, Precinct 4, Place 1",0694,1005,319,1324,2478,53.43%,523,751,1274
"Justice of the Peace, Precinct 4, Place 1",0698,1275,520,1795,3339,53.76%,204,1533,1737
"Justice of the Peace, Precinct 4, Place 1",0705,331,206,537,1513,35.49%,51,474,525
"Justice of the Peace, Precinct 4, Place 1",0713,770,365,1135,2006,56.58%,521,566,1087
"Justice of the Peace, Precinct 4, Place 1",0717,974,232,1206,2082,57.93%,152,1006,1158
"Justice of the Peace, Precinct 4, Place 1",0726,1271,321,1592,2207,72.13%,1358,184,1542
"Justice of the Peace, Precinct 4, Place 1",0729,235,49,284,471,60.30%,157,116,273
"Justice of the Peace, Precinct 4, Place 1",0734,2307,556,2863,4294,66.67%,1826,931,2757
"Justice of the Peace, Precinct 4, Place 1",0735,157,61,218,251,86.85%,115,97,212
"Justice of the Peace, Precinct 4, Place 1",0737,21,6,27,56,48.21%,20,7,27
"Justice of the Peace, Precinct 4, Place 1",0738,435,214,649,1497,43.35%,101,531,632
"Justice of the Peace, Precinct 4, Place 1",0747,1746,693,2439,4096,59.55%,1015,1323,2338
"Justice of the Peace, Precinct 4, Place 1",0753,258,53,311,512,60.74%,124,172,296
"Justice of the Peace, Precinct 4, Place 1",0756,687,309,996,1723,57.81%,307,642,949
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lincoln Goodwin,DEM Vicky Printers Reynolds,Totals
"Justice of the Peace, Precinct 4, Place 1",0757,1867,601,2468,4792,51.50%,389,1989,2378
"Justice of the Peace, Precinct 4, Place 1",0758,2104,595,2699,3803,70.97%,2016,569,2585
"Justice of the Peace, Precinct 4, Place 1",0759,1389,375,1764,2779,63.48%,996,686,1682
"Justice of the Peace, Precinct 4, Place 1",0760,1219,268,1487,2162,68.78%,1194,241,1435
"Justice of the Peace, Precinct 4, Place 1",0764,2472,677,3149,4827,65.24%,1840,1165,3005
"Justice of the Peace, Precinct 4, Place 1",0767,31,15,46,92,50.00%,19,25,44
"Justice of the Peace, Precinct 4, Place 1",0768,1479,387,1866,2643,70.60%,1428,367,1795
"Justice of the Peace, Precinct 4, Place 1",0776,1432,538,1970,3276,60.13%,1078,804,1882
"Justice of the Peace, Precinct 4, Place 1",0783,197,90,287,520,55.19%,23,254,277
"Justice of the Peace, Precinct 4, Place 1",0788,2,0,2,13,15.38%,2,0,2
"Justice of the Peace, Precinct 4, Place 1",0794,626,411,1037,3208,32.33%,105,901,1006
"Justice of the Peace, Precinct 4, Place 1",0805,1597,454,2051,2874,71.36%,1574,391,1965
"Justice of the Peace, Precinct 4, Place 1",0806,1001,324,1325,1889,70.14%,793,491,1284
"Justice of the Peace, Precinct 4, Place 1",0817,2787,550,3337,4700,71.00%,2303,935,3238
"Justice of the Peace, Precinct 4, Place 1",0823,1339,410,1749,3017,57.97%,907,771,1678
"Justice of the Peace, Precinct 4, Place 1",0825,9,7,16,21,76.19%,3,12,15
"Justice of the Peace, Precinct 4, Place 1",0828,1174,281,1455,1965,74.05%,1106,287,1393
"Justice of the Peace, Precinct 4, Place 1",0834,142,61,203,388,52.32%,19,181,200
"Justice of the Peace, Precinct 4, Place 1",0840,829,228,1057,1780,59.38%,336,673,1009
"Justice of the Peace, Precinct 4, Place 1",0841,1473,475,1948,3431,56.78%,447,1441,1888
"Justice of the Peace, Precinct 4, Place 1",0851,1885,441,2326,3597,64.66%,1523,704,2227
"Justice of the Peace, Precinct 4, Place 1",0853,1637,487,2124,2986,71.13%,1571,476,2047
"Justice of the Peace, Precinct 4, Place 1",0873,296,111,407,778,52.31%,96,298,394
"Justice of the Peace, Precinct 4, Place 1",0874,1681,670,2351,3294,71.37%,1682,577,2259
"Justice of the Peace, Precinct 4, Place 1",0876,1945,577,2522,3485,72.37%,1735,688,2423
"Justice of the Peace, Precinct 4, Place 1",0878,585,110,795,1039,76.52%,636,127,763
"Justice of the Peace, Precinct 4, Place 1",0880,1354,471,1825,2467,73.98%,1384,395,1779
"Justice of the Peace, Precinct 4, Place 1",0883,2252,928,3180,5613,56.65%,533,2523,3056
"Justice of the Peace, Precinct 4, Place 1",0885,1570,323,1893,2811,67.34%,1034,794,1828
"Justice of the Peace, Precinct 4, Place 1",0888,817,289,1106,1867,59.24%,342,720,1062
"Justice of the Peace, Precinct 4, Place 1",0894,801,305,1106,2087,52.99%,159,908,1067
"Justice of the Peace, Precinct 4, Place 1",0897,812,365,1177,1766,66.65%,608,510,1118
"Justice of the Peace, Precinct 4, Place 1",0901,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 4, Place 1",0903,1314,354,1668,2558,65.21%,1202,411,1613
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lincoln Goodwin,DEM Vicky Printers Reynolds,Totals
"Justice of the Peace, Precinct 4, Place 1",0904,2,0,2,8,25.00%,1,1,2
"Justice of the Peace, Precinct 4, Place 1",0911,237,63,300,576,52.08%,186,104,290
"Justice of the Peace, Precinct 4, Place 1",0912,712,167,879,1341,65.55%,502,333,835
"Justice of the Peace, Precinct 4, Place 1",091,5,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 4, Place 1",0916,1472,308,1780,2205,80.73%,1341,365,1706
"Justice of the Peace, Precinct 4, Place 1",0926,550,149,699,967,72.29%,472,196,668
"Justice of the Peace, Precinct 4, Place 1",0955,3528,572,4100,5108,80.27%,2853,1064,3917
"Justice of the Peace, Precinct 4, Place 1",0957,282,39,321,585,54.87%,39,270,309
"Justice of the Peace, Precinct 4, Place 1",0958,430,231,661,1202,54.99%,125,505,630
"Justice of the Peace, Precinct 4, Place 1",0959,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 4, Place 1",0960,829,235,1064,1471,72.33%,223,805,1028
"Justice of the Peace, Precinct 4, Place 1",0967,82,24,106,186,56.99%,37,62,99
"Justice of the Peace, Precinct 4, Place 1",0968,455,127,582,906,64.24%,118,447,565
"Justice of the Peace, Precinct 4, Place 1",0979,0,0,0,0,0.00%,0,0,0
"Justice of the Peace, Precinct 4, Place 1",0980,686,333,1019,1412,72.17%,694,275,969
"Justice of the Peace, Precinct 4, Place 1",0981,12,2,14,31,45.16%,1,13,14
"Justice of the Peace, Precinct 4, Place 1",0982,1898,501,2399,2916,82.27%,1781,522,2303
"Justice of the Peace, Precinct 4, Place 1",0983,65,17,82,198,41.41,%,45,35,80
"Justice of the Peace, Precinct 4, Place 1",0990,5,6,11,66,16.67%,3,8,11
"Justice of the Peace, Precinct 4, Place 1",0997,521,283,804,1909,42.12%,140,646,786
"Justice of the Peace, Precinct 4, Place 1",0998,24,12,36,68,52.94%,23,11,34
"Justice of the Peace, Precinct 4, Place 1",1007,694,306,1000,1775,56.34%,214,748,962
"Justice of the Peace, Precinct 4, Place 1",1012,543,362,905,1633,55.42%,222,639,861
"Justice of the Peace, Precinct 4, Place 1",Totals:,268025,82810,350835,541890,205879,130893,336772
