Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0548,882,395,1277,2339,54.60%,549,647,29,16,1241
"Justice, Supreme Court, Place 9",0549,1106,447,1553,2786,55.74%,210,1266,22,16,1514
"Justice, Supreme Court, Place 9",0550,1175,553,1728,3245,53.25%,733,890,44,17,1684
"Justice, Supreme Court, Place 9",0551,2588,793,3381,4428,76.36%,2469,728,65,16,3278
"Justice, Supreme Court, Place 9",0552,2093,784,2877,3762,76.48%,2247,465,77,19,2808
"Justice, Supreme Court, Place 9",0553,964,317,1281,2193,58.41%,473,725,36,17,1251
"Justice, Supreme Court, Place 9",0554,597,271,868,1774,48.93%,178,646,11,5,840
"Justice, Supreme Court, Place 9",0555,642,390,1032,2286,45.14%,179,791,17,14,1001
"Justice, Supreme Court, Place 9",0556,760,435,1195,2491,47.97%,239,885,19,13,1156
"Justice, Supreme Court, Place 9",0557,925,460,1385,2955,46.87%,404,839,27,14,1284
"Justice, Supreme Court, Place 9",0558,1815,721,2536,4718,53.75%,714,1652,59,42,2467
"Justice, Supreme Court, Place 9",0559,1917,701,2618,4984,52.53%,576,1847,76,41,2540
"Justice, Supreme Court, Place 9",0560,290,247,537,1141,47.06%,114,384,6,9,513
"Justice, Supreme Court, Place 9",0561,1025,624,1649,3138,52.55%,930,580,51,31,1592
"Justice, Supreme Court, Place 9",0562,222,116,338,691,48.91%,51,252,2,5,310
"Justice, Supreme Court, Place 9",0563,2075,337,2412,3468,69.55%,1797,474,64,10,2345
"Justice, Supreme Court, Place 9",0554,1567,526,2093,3240,64.60%,571,1334,81,36,2022
"Justice, Supreme Court, Place 9",0565,336,148,484,1414,34.23%,85,367,8,6,466
"Justice, Supreme Court, Place 9",0566,1189,441,1630,3029,53.81%,400,1107,46,23,1576
"Justice, Supreme Court, Place 9",0567,966,390,1356,2851,47.56%,341,893,22,15,1271
"Justice, Supreme Court, Place 9",0568,1836,697,2533,3638,69.63%,1575,725,91,29,2420
"Justice, Supreme Court, Place 9",0569,2036,747,2783,4125,67.47%,1305,1220,89,49,2663
"Justice, Supreme Court, Place 9",0570,771,278,1049,1598,65.64%,376,566,43,17,1002
"Justice, Supreme Court, Place 9",0571,521,314,835,1950,42.82%,272,497,18,11,798
"Justice, Supreme Court, Place 9",0572,1531,444,1975,3308,59.70%,829,990,64,31,1914
"Justice, Supreme Court, Place 9",0573,490,215,705,1625,43.38%,20,666,4,6,696
"Justice, Supreme Court, Place 9",0574,112,74,186,391,47.57%,29,146,1,3,179
"Justice, Supreme Court, Place 9",0575,1906,535,2441,3557,68.63%,1282,978,92,18,2370
"Justice, Supreme Court, Place 9",0576,1110,375,1485,2830,52.47%,91,1312,24,17,1444
"Justice, Supreme Court, Place 9",0577,887,205,1092,1586,68.85%,651,364,23,14,1052
"Justice, Supreme Court, Place 9",0578,1026,405,1431,1862,76.85%,886,413,48,15,1362
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0579,287,181,468,1139,41.09%,81,349,12,4,446
"Justice, Supreme Court, Place 9",0580,366,108,474,985,48.12%,19,443,6,2,470
"Justice, Supreme Court, Place 9",0581,457,137,594,1033,57.50%,26,547,3,3,579
"Justice, Supreme Court, Place 9",0582,543,232,775,1607,48.23%,53,677,10,7,747
"Justice, Supreme Court, Place 9",0583,434,155,589,1286,45.80%,20,550,1,6,577
"Justice, Supreme Court, Place 9",0584,367,120,487,1062,45.86%,42,423,5,1,471
"Justice, Supreme Court, Place 9",0585,830,280,1110,2346,47.31%,63,1007,12,3,1085
"Justice, Supreme Court, Place 9",0586,1793,790,2583,4521,57.13%,1410,975,80,34,2499
"Justice, Supreme Court, Place 9",0587,1208,431,1639,2870,57.11%,519,1012,41,13,1585
"Justice, Supreme Court, Place 9",0588,1941,606,2547,3780,67.38%,1620,758,73,21,2472
"Justice, Supreme Court, Place 9",0589,1540,545,2085,3780,55.16%,965,981,59,31,2036
"Justice, Supreme Court, Place 9",0590,1230,400,1630,2176,74.91%,1223,290,50,9,1572
"Justice, Supreme Court, Place 9",0591,652,462,1114,2274,48.99%,296,737,15,13,1061
"Justice, Supreme Court, Place 9",0592,449,272,721,1446,49.86%,151,505,17,14,687
"Justice, Supreme Court, Place 9",0593,1551,755,2316,4179,55.42%,918,1219,51,37,2225
"Justice, Supreme Court, Place 9",0594,1244,316,1560,2578,60.51%,432,1057,26,17,1532
"Justice, Supreme Court, Place 9",0595,601,299,900,1833,49.10%,143,699,12,23,877
"Justice, Supreme Court, Place 9",0596,1380,501,1881,3574,52.63%,810,875,78,40,1803
"Justice, Supreme Court, Place 9",0597,1205,609,1814,3587,50.57%,612,1063,48,17,1740
"Justice, Supreme Court, Place 9",0598,2389,731,3120,5253,59.39%,1029,1861,82,44,3016
"Justice, Supreme Court, Place 9",0599,1380,493,1873,3005,62.33%,632,1125,46,19,1822
"Justice, Supreme Court, Place 9",0600,1603,776,2379,4204,56.59%,779,1417,49,38,2283
"Justice, Supreme Court, Place 9",0601,2223,670,2893,4151,69.69%,2013,692,85,27,2817
"Justice, Supreme Court, Place 9",0602,756,234,990,1441,68.70%,651,273,27,12,963
"Justice, Supreme Court, Place 9",0603,2344,725,3069,4666,65.77%,1648,1164,119,39,2970
"Justice, Supreme Court, Place 9",0604,1818,375,2193,3189,68.77%,1750,295,56,20,2121
"Justice, Supreme Court, Place 9",0605,1714,599,2313,4217,54.85%,551,1611,40,27,2229
"Justice, Supreme Court, Place 9",0606,319,111,430,970,44.33%,8,404,5,2,419
"Justice, Supreme Court, Place 9",0607,163,51,214,712,30.06%,24,178,2,2,206
"Justice, Supreme Court, Place 9",0608,156,77,233,570,40.88%,81,128,9,2,220
"Justice, Supreme Court, Place 9",0609,2040,729,2769,4305,64.32%,1570,1004,58,43,2675
"Justice, Supreme Court, Place 9",0610,666,343,1009,2086,48.37%,417,503,26,16,962
"Justice, Supreme Court, Place 9",0611,980,229,1209,2527,47.84%,51,1120,8,9,1188
"Justice, Supreme Court, Place 9",0612,1930,431,2361,3388,69.69%,1732,462,73,22,2289
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0613,938,339,1277,2368,53.93%,217,983,18,16,1234
"Justice, Supreme Court, Place 9",0614,1950,645,2595,4566,56.83%,750,1675,58,24,2507
"Justice, Supreme Court, Place 9",0615,1075,301,1377,2086,66.01%,697,578,36,18,1329
"Justice, Supreme Court, Place 9",0616,1811,611,2422,3516,68.89%,1532,683,86,40,2341
"Justice, Supreme Court, Place 9",0617,1708,650,2358,4179,56.42%,778,1417,57,38,2290
"Justice, Supreme Court, Place 9",0618,1701,545,2246,3801,59.09%,896,1191,68,32,2187
"Justice, Supreme Court, Place 9",0619,2793,663,3456,4916,70.30%,2425,801,128,29,3383
"Justice, Supreme Court, Place 9",0620,1749,333,2082,3318,62.75%,1071,876,42,14,2003
"Justice, Supreme Court, Place 9",0621,536,200,736,1272,57.86%,310,360,18,16,704
"Justice, Supreme Court, Place 9",0622,2133,591,2724,4562,59.71%,1415,1106,74,23,2618
"Justice, Supreme Court, Place 9",0623,1962,461,2423,3919,61.83%,1460,785,68,27,2340
"Justice, Supreme Court, Place 9",0624,298,59,357,456,78.29%,262,74,9,2,347
"Justice, Supreme Court, Place 9",0625,925,372,1297,1864,69.58%,688,506,45,17,1256
"Justice, Supreme Court, Place 9",0626,2285,784,3089,4816,63.73%,1570,1252,96,49,2967
"Justice, Supreme Court, Place 9",0627,935,649,1584,3235,48.96%,413,1063,29,22,1527
"Justice, Supreme Court, Place 9",0628,717,545,1262,2420,52.15%,458,707,17,12,1194
"Justice, Supreme Court, Place 9",0629,162,96,258,750,34.40%,33,213,7,1,254
"Justice, Supreme Court, Place 9",0630,2680,541,3221,4738,67.98%,347,2723,40,42,3152
"Justice, Supreme Court, Place 9",0631,1844,398,2242,3263,68.71%,1428,648,68,20,2164
"Justice, Supreme Court, Place 9",0632,4,1,5,241,2.07%,0,5,0,0,5
"Justice, Supreme Court, Place 9",0633,2287,601,2888,3912,73.82%,1930,773,77,22,2802
"Justice, Supreme Court, Place 9",0634,1439,499,1938,3259,59.47%,1053,742,63,22,1880
"Justice, Supreme Court, Place 9",0635,1647,520,2167,3512,61.70%,1520,462,92,24,2098
"Justice, Supreme Court, Place 9",0636,2303,922,3225,4569,70.58%,2697,342,78,18,3135
"Justice, Supreme Court, Place 9",0637,1098,423,1521,2591,58.70%,388,998,21,25,1432
"Justice, Supreme Court, Place 9",0638,850,348,1198,2310,51.86%,101,1044,10,13,1168
"Justice, Supreme Court, Place 9",0639,1387,284,1671,2560,65.27%,1229,323,51,10,1613
"Justice, Supreme Court, Place 9",0640,1619,615,2234,3927,56.89%,1212,866,74,30,2182
"Justice, Supreme Court, Place 9",0641,1637,683,2320,3840,60.42%,1304,857,57,27,2245
"Justice, Supreme Court, Place 9",0642,1030,270,1300,1783,72.91%,992,235,32,11,1270
"Justice, Supreme Court, Place 9",0643,1951,593,2544,4189,60.73%,1147,1224,72,29,2472
"Justice, Supreme Court, Place 9",0644,2090,689,2779,4446,62.51%,1522,1048,76,57,2703
"Justice, Supreme Court, Place 9",0645,2156,769,2925,4517,64.76%,1171,1514,98,41,2824
"Justice, Supreme Court, Place 9",0646,925,399,1324,2422,54.67%,330,892,27,17,1266
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0647,1373,526,1899,4349,43.67%,396,1335,31,24,1786
"Justice, Supreme Court, Place 9",0648,1863,500,2363,3487,67.77%,1585,633,66,18,2302
"Justice, Supreme Court, Place 9",0649,1554,775,2329,4755,48.98%,571,1605,38,31,2245
"Justice, Supreme Court, Place 9",0650,2035,819,2854,4039,70.66%,1882,787,82,26,2777
"Justice, Supreme Court, Place 9",0651,1734,551,2285,3873,59.00%,1186,919,76,27,2208
"Justice, Supreme Court, Place 9",0652,1167,545,1712,2979,57.47%,279,1369,14,11,1673
"Justice, Supreme Court, Place 9",0653,187,110,297,604,49.17%,70,208,5,3,286
"Justice, Supreme Court, Place 9",0654,2387,698,3085,5063,60.93%,1577,1316,64,26,2983
"Justice, Supreme Court, Place 9",0655,1953,761,2724,4495,60.60%,1423,1062,114,40,2639
"Justice, Supreme Court, Place 9",0656,1107,401,1508,2737,55.10%,75,1380,7,5,1467
"Justice, Supreme Court, Place 9",0657,684,276,960,1487,64.56%,330,561,21,15,927
"Justice, Supreme Court, Place 9",0658,1299,494,1793,2901,61.81%,1062,613,57,20,1752
"Justice, Supreme Court, Place 9",0659,2810,733,3543,5161,68.65%,2357,959,99,30,3445
"Justice, Supreme Court, Place 9",0660,1575,345,1920,3087,62.20%,192,1643,21,15,1871
"Justice, Supreme Court, Place 9",0661,1951,774,2725,4363,62.46%,1322,1196,71,39,2628
"Justice, Supreme Court, Place 9",0662,2268,571,2839,4002,70.94%,2215,463,74,22,2774
"Justice, Supreme Court, Place 9",0663,1339,448,1787,2340,76.37%,911,678,88,19,1696
"Justice, Supreme Court, Place 9",0664,909,513,1422,2992,47.53%,304,1013,28,20,1365
"Justice, Supreme Court, Place 9",0665,1327,360,1687,2354,71.67%,1288,284,53,17,1642
"Justice, Supreme Court, Place 9",0666,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0667,1112,400,1512,2175,69.52%,1099,315,40,14,1468
"Justice, Supreme Court, Place 9",0668,1557,719,2276,3669,62.03%,1306,790,91,20,2207
"Justice, Supreme Court, Place 9",0669,1896,702,2598,3585,72.47%,1727,699,67,28,2521
"Justice, Supreme Court, Place 9",0670,1996,416,2412,3335,72.32%,1874,387,75,18,2354
"Justice, Supreme Court, Place 9",0671,1401,588,1989,3198,62.20%,1039,787,80,22,1928
"Justice, Supreme Court, Place 9",0672,1727,489,2216,3433,64.55%,1472,608,70,21,2171
"Justice, Supreme Court, Place 9",0673,1525,467,2092,3051,68.57%,1596,366,66,18,2046
"Justice, Supreme Court, Place 9",0674,2358,610,2968,4228,70.20%,2081,703,78,25,2887
"Justice, Supreme Court, Place 9",0675,1,0,1,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 9",0676,1088,465,1553,2976,52.18%,569,847,54,29,1499
"Justice, Supreme Court, Place 9",0677,423,259,682,1300,52.46%,178,444,12,9,643
"Justice, Supreme Court, Place 9",0678,1169,294,1463,2660,55.00%,149,1246,11,12,1418
"Justice, Supreme Court, Place 9",0679,1719,529,2248,3542,63.47%,1529,576,58,17,2180
"Justice, Supreme Court, Place 9",0680,100,17,117,179,65.36%,45,60,9,2,116
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0681,6,0,6,4,150.00%,3,2,1,0,6
"Justice, Supreme Court, Place 9",0682,2114,690,2804,4313,65.01%,1940,677,78,40,2735
"Justice, Supreme Court, Place 9",0683,82,5,87,302,28.81%,25,55,4,0,84
"Justice, Supreme Court, Place 9",0684,1684,640,2324,3559,65.30%,1368,790,76,21,2255
"Justice, Supreme Court, Place 9",0685,139,28,167,285,58.60%,76,69,6,3,154
"Justice, Supreme Court, Place 9",0686,53,5,58,221,26.24%,15,42,0,0,57
"Justice, Supreme Court, Place 9",0687,1512,400,1912,2713,70.48%,1225,548,46,22,1841
"Justice, Supreme Court, Place 9",0688,2333,594,2927,3922,74.63%,2229,527,76,22,2854
"Justice, Supreme Court, Place 9",0689,728,604,1332,2449,54.39%,557,650,29,22,1258
"Justice, Supreme Court, Place 9",0690,1973,553,2526,3614,69.89%,1863,494,84,22,2463
"Justice, Supreme Court, Place 9",0691,2132,551,2683,3690,72.71%,1992,538,79,13,2622
"Justice, Supreme Court, Place 9",0692,1280,678,1958,3118,62.80%,1312,475,81,41,1909
"Justice, Supreme Court, Place 9",0693,309,110,419,681,61.53%,111,270,11,9,401
"Justice, Supreme Court, Place 9",0694,1006,319,1325,2478,53.47%,518,724,27,19,1288
"Justice, Supreme Court, Place 9",0695,630,315,945,1842,51.30%,530,325,30,18,903
"Justice, Supreme Court, Place 9",0696,727,312,1039,2027,51.26%,592,376,38,18,1024
"Justice, Supreme Court, Place 9",0697,1299,552,1851,3238,57.16%,454,1280,40,22,1796
"Justice, Supreme Court, Place 9",0698,1276,520,1796,3339,53.79%,213,1482,23,21,1739
"Justice, Supreme Court, Place 9",0699,1277,398,1675,2387,70.17%,1028,496,54,19,1597
"Justice, Supreme Court, Place 9",0700,726,247,973,1536,63.35%,794,132,21,3,950
"Justice, Supreme Court, Place 9",0701,210,73,283,614,46.09%,126,129,5,4,264
"Justice, Supreme Court, Place 9",0702,183,69,252,550,45.82%,38,198,8,2,246
"Justice, Supreme Court, Place 9",0703,899,528,1427,1943,73.44%,1004,334,40,17,1395
"Justice, Supreme Court, Place 9",0704,1699,512,2211,3121,70.84%,1727,356,58,19,2160
"Justice, Supreme Court, Place 9",0705,331,206,537,1513,35.49%,52,457,8,8,525
"Justice, Supreme Court, Place 9",0706,1252,372,1624,2821,57.57%,591,891,44,30,1556
"Justice, Supreme Court, Place 9",0707,378,69,447,757,59.05%,258,153,14,4,429
"Justice, Supreme Court, Place 9",0708,162,98,260,592,43.92%,88,155,2,3,248
"Justice, Supreme Court, Place 9",0709,2258,528,2786,4136,67.36%,1440,1144,102,25,2711
"Justice, Supreme Court, Place 9",0710,1136,450,1586,2096,75.67%,862,566,65,15,1508
"Justice, Supreme Court, Place 9",0711,1981,599,2580,3820,67.54%,1339,1075,54,34,2502
"Justice, Supreme Court, Place 9",0712,1720,627,2347,4002,58.65%,823,1388,60,27,2298
"Justice, Supreme Court, Place 9",0713,770,365,1135,2006,56.58%,512,543,33,18,1106
"Justice, Supreme Court, Place 9",0714,102,28,130,306,42.48%,60,58,4,1,123
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0715,553,239,792,1549,51.13%,373,370,13,13,769
"Justice, Supreme Court, Place 9",0716,1215,419,1637,2720,60.18%,1119,416,39,22,1596
"Justice, Supreme Court, Place 9",0717,976,232,1208,2082,58.02%,168,972,15,13,1168
"Justice, Supreme Court, Place 9",0718,2244,872,3116,4412,70.63%,1987,890,81,34,2992
"Justice, Supreme Court, Place 9",0719,624,223,847,1644,51.52%,416,369,17,14,816
"Justice, Supreme Court, Place 9",0720,2498,709,3207,4709,68.10%,2088,879,121,18,3106
"Justice, Supreme Court, Place 9",0721,1457,503,2070,2926,70.75%,1287,596,88,29,2000
"Justice, Supreme Court, Place 9",0722,1930,609,2539,4638,54.74%,179,2236,30,22,2467
"Justice, Supreme Court, Place 9",0723,898,261,1159,1959,59.16%,230,864,18,12,1124
"Justice, Supreme Court, Place 9",0724,395,146,541,800,67.63%,354,150,15,6,525
"Justice, Supreme Court, Place 9",0725,976,294,1270,2336,54.37%,488,681,19,16,1204
"Justice, Supreme Court, Place 9",0726,1271,321,1592,2207,72.13%,1345,166,30,9,1550
"Justice, Supreme Court, Place 9",0727,983,415,1398,2708,51.62%,367,937,39,25,1368
"Justice, Supreme Court, Place 9",0728,399,198,597,942,63.38%,336,207,28,8,579
"Justice, Supreme Court, Place 9",0729,235,49,284,471,60.30%,154,112,7,2,275
"Justice, Supreme Court, Place 9",0730,1368,406,1774,2435,72.85%,1120,509,54,20,1703
"Justice, Supreme Court, Place 9",0731,2090,624,2714,4834,56.14%,1095,1431,68,38,2632
"Justice, Supreme Court, Place 9",0732,793,449,1242,1943,63.92%,679,441,46,25,1191
"Justice, Supreme Court, Place 9",0733,55,25,80,303,26.40%,28,48,0,1,77
"Justice, Supreme Court, Place 9",0734,2309,556,2865,4294,66.72%,1793,890,68,27,2778
"Justice, Supreme Court, Place 9",0735,158,61,219,251,87.25%,115,92,5,2,214
"Justice, Supreme Court, Place 9",0736,14,3,17,42,40.48%,1,13,0,0,14
"Justice, Supreme Court, Place 9",0737,21,6,27,56,48.21%,20,6,1,0,27
"Justice, Supreme Court, Place 9",0738,435,214,649,1497,43.35%,106,518,10,4,638
"Justice, Supreme Court, Place 9",0739,980,440,1420,2971,47.80%,607,705,42,21,1375
"Justice, Supreme Court, Place 9",0740,281,169,450,1005,44.78%,226,190,8,5,429
"Justice, Supreme Court, Place 9",0741,924,262,1186,1895,62.59%,306,801,15,14,1136
"Justice, Supreme Court, Place 9",0742,1538,498,2036,2859,71.21%,1234,669,49,18,1970
"Justice, Supreme Court, Place 9",0743,54,60,114,234,48.72%,41,64,4,0,109
"Justice, Supreme Court, Place 9",0744,1010,444,1454,2103,69.14%,833,503,44,25,1405
"Justice, Supreme Court, Place 9",0745,1215,446,1661,2543,65.32%,971,548,65,27,1611
"Justice, Supreme Court, Place 9",0746,245,121,366,732,50.00%,173,156,8,8,345
"Justice, Supreme Court, Place 9",0747,1746,693,2439,4096,59.55%,1004,1242,70,40,2356
"Justice, Supreme Court, Place 9",0748,565,245,810,1556,52.06%,360,362,47,21,790
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0749,115,1,116,432,26.85%,19,92,1,0,112
"Justice, Supreme Court, Place 9",0750,294,122,416,809,51.42%,221,153,23,7,404
"Justice, Supreme Court, Place 9",0751,2944,1013,3957,5893,67.15%,2308,1349,136,42,3835
"Justice, Supreme Court, Place 9",0752,660,227,887,1484,59.77%,577,252,18,8,855
"Justice, Supreme Court, Place 9",0753,259,53,312,512,60.94%,116,171,8,6,301
"Justice, Supreme Court, Place 9",0754,388,262,650,1590,40.88%,29,588,8,11,636
"Justice, Supreme Court, Place 9",0755,1785,955,2740,5015,54.64%,967,1540,72,42,2621
"Justice, Supreme Court, Place 9",0756,688,309,997,1723,57.86%,321,611,16,7,955
"Justice, Supreme Court, Place 9",0757,1867,601,2468,4792,51.50%,391,1918,62,26,2397
"Justice, Supreme Court, Place 9",0758,2106,595,2701,3803,71.02%,1989,548,65,19,2621
"Justice, Supreme Court, Place 9",0759,1389,375,1764,2779,63.48%,1001,635,45,22,1703
"Justice, Supreme Court, Place 9",0760,1219,268,1487,2162,68.78%,1195,214,32,5,1446
"Justice, Supreme Court, Place 9",0761,1090,167,1257,1598,78.66%,898,280,33,7,1218
"Justice, Supreme Court, Place 9",0762,930,303,1233,1828,67.45%,572,582,20,11,1185
"Justice, Supreme Court, Place 9",0763,370,264,634,1249,50.76%,205,385,15,7,612
"Justice, Supreme Court, Place 9",0764,2473,677,3150,4827,65.26%,1843,1097,72,36,3048
"Justice, Supreme Court, Place 9",0765,2060,874,2934,5742,51.10%,754,1976,67,46,2843
"Justice, Supreme Court, Place 9",0766,126,59,185,428,43.22%,37,128,1,4,170
"Justice, Supreme Court, Place 9",0767,31,15,46,92,50.00%,23,21,0,0,44
"Justice, Supreme Court, Place 9",0768,1479,387,1866,2643,70.60%,1404,335,65,17,1821
"Justice, Supreme Court, Place 9",0769,85,14,99,184,53.80%,6,92,0,0,98
"Justice, Supreme Court, Place 9",0770,103,42,145,388,37.37%,47,86,4,1,138
"Justice, Supreme Court, Place 9",0771,572,210,782,1588,49.24%,334,382,26,15,757
"Justice, Supreme Court, Place 9",0772,2808,477,3285,4606,71.32%,2373,718,88,18,3197
"Justice, Supreme Court, Place 9",0773,1696,638,2334,4414,52.88%,564,1562,44,26,2196
"Justice, Supreme Court, Place 9",0774,154,55,220,426,51.64%,57,153,4,1,215
"Justice, Supreme Court, Place 9",0775,50,1,51,102,50.00%,1,49,0,0,50
"Justice, Supreme Court, Place 9",0776,1436,538,1974,3276,60.26%,1077,756,59,20,1912
"Justice, Supreme Court, Place 9",0777,202,105,307,767,40.03%,81,204,5,3,293
"Justice, Supreme Court, Place 9",0778,0,3,3,0,0.00%,1,2,0,0,3
"Justice, Supreme Court, Place 9",0779,263,160,423,1019,41.51%,109,266,9,8,392
"Justice, Supreme Court, Place 9",0780,170,130,300,666,45.05%,98,169,3,6,276
"Justice, Supreme Court, Place 9",0781,1236,612,1848,3782,48.86%,584,1079,42,19,1724
"Justice, Supreme Court, Place 9",0782,1048,368,1416,2355,60.13%,815,477,59,20,1371
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0783,197,90,287,520,55.19%,20,255,3,2,280
"Justice, Supreme Court, Place 9",0784,408,119,527,1062,49.62%,18,482,5,8,513
"Justice, Supreme Court, Place 9",0785,1234,357,1591,1896,83.91%,800,654,72,14,1540
"Justice, Supreme Court, Place 9",0786,397,177,574,1258,45.63%,182,353,10,6,551
"Justice, Supreme Court, Place 9",0787,180,83,263,542,48.52%,83,154,7,5,249
"Justice, Supreme Court, Place 9",0788,2,0,2,13,15.38%,2,0,0,0,2
"Justice, Supreme Court, Place 9",0789,1377,420,1797,2998,59.94%,1019,661,44,24,1748
"Justice, Supreme Court, Place 9",0790,1143,329,1472,2523,58.34%,506,880,35,15,1436
"Justice, Supreme Court, Place 9",0791,9,3,12,29,41.38%,2,8,1,1,12
"Justice, Supreme Court, Place 9",0792,648,415,1063,1954,54.40%,269,723,13,13,1018
"Justice, Supreme Court, Place 9",0793,985,416,1401,2620,53.47%,702,588,34,28,1352
"Justice, Supreme Court, Place 9",0794,626,411,1037,3208,32.33%,103,874,19,12,1008
"Justice, Supreme Court, Place 9",0795,396,2,398,1281,31.07%,125,241,4,4,374
"Justice, Supreme Court, Place 9",0796,1372,455,1537,3041,60.41%,722,994,49,21,1786
"Justice, Supreme Court, Place 9",0797,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0798,222,142,364,521,69.87%,146,187,6,12,351
"Justice, Supreme Court, Place 9",0799,55,26,84,171,49.12%,17,64,1,0,82
"Justice, Supreme Court, Place 9",0800,1935,730,2665,4216,63.21%,1569,877,100,35,2581
"Justice, Supreme Court, Place 9",0801,90,44,134,261,51.34%,49,80,1,1,131
"Justice, Supreme Court, Place 9",0802,54,21,75,224,33.48%,14,49,6,2,71
"Justice, Supreme Court, Place 9",0803,2557,547,3214,4514,71.20%,2189,857,63,19,3128
"Justice, Supreme Court, Place 9",0804,2703,682,3385,5303,63.83%,1745,1422,104,37,3308
"Justice, Supreme Court, Place 9",0805,1599,454,2053,2874,71.43%,1549,359,63,12,1983
"Justice, Supreme Court, Place 9",0806,1003,324,1327,1889,70.25%,780,458,41,14,1293
"Justice, Supreme Court, Place 9",0807,797,349,1146,2163,52.98%,186,877,35,20,1118
"Justice, Supreme Court, Place 9",0808,143,57,200,232,86.21%,69,102,18,3,192
"Justice, Supreme Court, Place 9",0809,19,7,25,98,26.53%,11,13,1,0,25
"Justice, Supreme Court, Place 9",0810,47,31,78,197,39.59%,15,57,1,0,73
"Justice, Supreme Court, Place 9",0811,52,68,150,277,54.15%,39,101,1,2,143
"Justice, Supreme Court, Place 9",0812,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0813,1742,434,2176,3488,62.39%,931,1093,56,33,2113
"Justice, Supreme Court, Place 9",0814,1975,827,2803,5483,51.12%,552,2071,50,43,2716
"Justice, Supreme Court, Place 9",0815,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0816,23,10,33,64,51.56%,5,24,0,2,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0817,2791,550,3341,4700,71.09%,2251,888,89,27,3255
"Justice, Supreme Court, Place 9",0818,209,104,313,737,42.47%,67,226,5,4,302
"Justice, Supreme Court, Place 9",0819,108,31,139,228,60.96%,76,51,2,2,131
"Justice, Supreme Court, Place 9",0820,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0821,362,188,550,1295,42.47%,79,433,8,7,527
"Justice, Supreme Court, Place 9",0822,571,185,756,1574,48.03%,28,696,4,2,730
"Justice, Supreme Court, Place 9",0823,1339,410,1749,3017,57.97%,904,702,59,23,1688
"Justice, Supreme Court, Place 9",0824,1059,410,1469,2762,53.19%,335,1036,29,24,1424
"Justice, Supreme Court, Place 9",0825,9,7,16,21,76.19%,3,11,1,1,16
"Justice, Supreme Court, Place 9",0826,177,70,247,355,69.58%,139,84,5,6,234
"Justice, Supreme Court, Place 9",0827,218,234,452,1042,43.38%,150,271,13,9,443
"Justice, Supreme Court, Place 9",0828,1174,281,1455,1965,74.05%,1102,264,32,13,1411
"Justice, Supreme Court, Place 9",0829,101,19,120,235,51.06%,34,79,3,1,117
"Justice, Supreme Court, Place 9",0830,2,2,4,2,200.00%,4,0,0,0,4
"Justice, Supreme Court, Place 9",0831,8,5,13,36,36.11%,6,5,0,0,11
