Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0103,2148,985,3133,5097,61.47%,1484,1433,89,45,3051
"Justice, Supreme Court, Place 9",0104,915,211,1126,1920,58.65%,28,1059,6,5,1098
"Justice, Supreme Court, Place 9",0105,709,433,1142,2304,49.57%,334,707,25,19,1085
"Justice, Supreme Court, Place 9",0106,73,59,132,299,44.15%,43,83,1,2,129
"Justice, Supreme Court, Place 9",0107,594,403,997,2230,44.71%,188,743,17,12,960
"Justice, Supreme Court, Place 9",0108,1464,448,1912,3674,52.04%,903,860,41,26,1830
"Justice, Supreme Court, Place 9",0109,1098,278,1376,2909,47.30%,34,1287,3,12,1336
"Justice, Supreme Court, Place 9",0110,1664,481,2145,3222,66.57%,1207,821,47,19,2094
"Justice, Supreme Court, Place 9",0111,2701,866,3567,4792,74.44%,2399,912,110,36,3457
"Justice, Supreme Court, Place 9",0112,1509,598,2107,3188,66.09%,1325,598,87,24,2034
"Justice, Supreme Court, Place 9",0113,1308,418,1726,2718,63.50%,882,736,37,18,1673
"Justice, Supreme Court, Place 9",0114,2294,506,2800,3885,72.07%,1959,635,95,32,2721
"Justice, Supreme Court, Place 9",0115,609,272,881,1843,47.80%,95,735,7,8,845
"Justice, Supreme Court, Place 9",0116,1898,599,2497,3194,78.18%,1892,466,56,15,2429
"Justice, Supreme Court, Place 9",0117,574,379,953,1900,50.16%,345,512,33,18,908
"Justice, Supreme Court, Place 9",0118,1825,530,2355,3181,74.03%,1223,960,71,29,2283
"Justice, Supreme Court, Place 9",0119,2763,409,3172,4682,67.75%,2410,544,85,36,3075
"Justice, Supreme Court, Place 9",0120,1812,588,2400,3732,64.31%,1407,812,71,20,2310
"Justice, Supreme Court, Place 9",0121,354,221,575,966,59.52%,348,181,21,10,560
"Justice, Supreme Court, Place 9",0122,733,284,1017,1904,53.41%,60,906,11,4,981
"Justice, Supreme Court, Place 9",0123,750,287,1037,1585,65.43%,307,628,40,25,1000
"Justice, Supreme Court, Place 9",0124,3137,888,4025,5393,74.63%,3077,724,106,33,3940
"Justice, Supreme Court, Place 9",0125,1207,400,1607,2593,61.97%,824,657,53,29,1563
"Justice, Supreme Court, Place 9",0126,2021,427,2448,3380,72.43%,2014,290,69,16,2389
"Justice, Supreme Court, Place 9",0127,979,214,1193,2091,57.05%,794,290,42,16,1142
"Justice, Supreme Court, Place 9",0128,1107,812,1719,2322,74.03%,1103,489,34,11,1637
"Justice, Supreme Court, Place 9",0129,2549,1052,3601,5172,69.62%,2098,1225,101,50,3474
"Justice, Supreme Court, Place 9",0130,1314,433,1747,2289,76.32%,1247,404,26,14,1691
"Justice, Supreme Court, Place 9",0131,801,371,1172,2147,54.59%,251,867,18,16,1152
"Justice, Supreme Court, Place 9",0132,1030,322,1352,2378,56.85%,41,1267,7,6,1321
"Justice, Supreme Court, Place 9",0133,1412,746,2158,2690,80.22%,1237,746,61,22,2066
"Justice, Supreme Court, Place 9",0134,594,345,939,1513,62.06%,388,480,20,17,905
"Justice, Supreme Court, Place 9",0135,1521,551,2172,2777,78.21%,1424,583,74,11,2092
"Justice, Supreme Court, Place 9",0136,985,352,1337,2116,63.19%,79,1164,22,25,1290
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0137,993,259,1252,1986,63.04%,805,357,44,14,1220
"Justice, Supreme Court, Place 9",0138,601,228,829,1723,48.11%,38,758,4,6,806
"Justice, Supreme Court, Place 9",0139,1947,601,2548,3435,74.18%,1196,1097,105,33,2431
"Justice, Supreme Court, Place 9",0140,1525,510,2035,3270,62.23%,349,1540,43,30,1962
"Justice, Supreme Court, Place 9",0141,217,153,370,904,40.93%,196,132,15,7,350
"Justice, Supreme Court, Place 9",0142,293,140,433,933,46.41%,104,288,7,4,403
