Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0133,1426,746,2172,2690,80.74%,593,457,13,4,1067
Straight Party,0134,594,345,939,1513,62.06%,233,344,2,6,585
Straight Party,0135,1531,551,2182,2777,78.57%,790,385,14,1,1190
Straight Party,0136,986,352,1338,2116,63.23%,31,808,3,2,844
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0137,994,259,1253,1986,63.09%,572,268,12,3,855
Straight Party,0138,601,228,829,1723,48.11%,20,628,3,1,652
Straight Party,0139,1953,501,2554,3435,74.64%,608,685,16,6,1315
Straight Party,0140,1528,510,2038,3270,62.32%,153,1014,14,5,1186
Straight Party,0141,217,153,370,904,40.93%,125,119,6,2,252
Straight Party,0142,294,140,434,933,46.52%,59,232,2,4,297
Straight Party,0143,1870,267,2137,2582,82.77%,976,488,15,3,1482
Straight Party,0144,442,125,567,1086,52.21%,8,431,1,3,443
Straight Party,0145,550,255,515,1564,52.17%,8,662,1,2,673
Straight Party,0146,1004,494,1498,2073,72.26%,333,459,15,5,812
Straight Party,0147,1412,354,1766,3211,55.00%,130,1115,6,6,1257
Straight Party,0148,1277,652,1929,2571,75.03%,370,563,9,3,945
Straight Party,0149,2945,573,3518,4756,73.97%,1320,1076,24,8,2428
Straight Party,0150,582,223,805,1574,51.14%,20,604,3,4,631
Straight Party,0151,282,107,389,826,47.09%,12,299,0,1,312
Straight Party,0152,839,524,1363,3059,44.56%,167,828,9,6,1010
Straight Party,0153,545,399,944,1873,50.40%,126,530,7,4,667
Straight Party,0154,916,289,1205,2293,52.55%,122,664,11,7,804
Straight Party,0155,2292,576,2868,4065,70.55%,1195,708,22,1,1926
Straight Party,0156,1420,403,1823,3223,56.56%,49,1204,3,6,1262
Straight Party,0157,880,278,1158,2265,51.13%,36,849,5,1,891
