Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0190,571,326,897,1849,48.51%,276,572,848
County Tax Assessor-Collector,0191,327,259,586,1408,41.62%,192,370,562
County Tax Assessor-Collector,0192,757,259,1016,1959,51.86%,87,893,980
County Tax Assessor-Collector,0193,375,211,586,1099,53.32%,30,537,567
County Tax Assessor-Collector,0194,1138,449,1587,2172,73.07%,471,1038,1509
County Tax Assessor-Collector,0195,606,344,950,1739,54.63%,70,837,907
County Tax Assessor-Collector,0196,132,37,169,313,53.99%,20,142,162
County Tax Assessor-Collector,0197,998,372,1368,2969,46.08%,57,1277,1334
County Tax Assessor-Collector,0198,161,82,243,619,39.26%,12,221,233
County Tax Assessor-Collector,0199,1929,815,2744,4063,67.54%,2097,575,2672
County Tax Assessor-Collector,0200,2307,377,2684,3692,72.70%,1268,1302,2570
County Tax Assessor-Collector,0201,221,105,326,773,42.17%,14,305,319
County Tax Assessor-Collector,0202,421,233,654,1410,46.38%,34,595,629
County Tax Assessor-Collector,0203,298,111,409,988,41.40%,82,303,385
County Tax Assessor-Collector,0204,2099,577,2676,3568,75.00%,1492,1055,2547
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0205,771,171,942,1724,54.64%,40,880,920
County Tax Assessor-Collector,0206,1277,494,1771,2965,59.73%,575,1107,1682
County Tax Assessor-Collector,0207,605,212,817,1166,70.07%,294,494,788
County Tax Assessor-Collector,0208,909,338,1247,2256,55.27%,345,852,1197
County Tax Assessor-Collector,0209,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0210,1259,489,1748,2781,62.86%,313,1381,1694
County Tax Assessor-Collector,0211,964,595,1559,3130,49.81%,484,993,1477
County Tax Assessor-Collector,0212,309,323,632,1370,46.13%,116,481,597
County Tax Assessor-Collector,0213,1782,795,2577,3406,75.66%,2015,486,2501
County Tax Assessor-Collector,0214,1016,418,1434,1911,75.04%,876,488,1364
County Tax Assessor-Collector,0215,1096,636,1732,2286,75.77%,1027,633,1660
County Tax Assessor-Collector,0216,778,244,1022,1966,51.98%,86,902,988
County Tax Assessor-Collector,0217,1545,618,2163,2736,79.06%,1362,720,2082
County Tax Assessor-Collector,0218,1099,457,1556,2467,63.07%,461,998,1459
County Tax Assessor-Collector,0219,1117,515,1632,2868,56.90%,189,1371,1560
County Tax Assessor-Collector,0220,832,306,1138,2362,48.18%,748,346,1094
County Tax Assessor-Collector,0221,1032,473,1505,2598,57.93%,569,880,1449
County Tax Assessor-Collector,0222,1460,671,2131,2728,78.12%,1020,1009,2029
County Tax Assessor-Collector,0223,1750,517,2267,3664,61.87%,660,1486,2146
County Tax Assessor-Collector,0224,1155,495,1551,2313,71.81%,765,824,1589
County Tax Assessor-Collector,0225,1353,596,1949,3689,52.83%,855,1028,1883
County Tax Assessor-Collector,0226,840,421,1261,2554,49.37%,288,923,1211
County Tax Assessor-Collector,0227,1071,359,1430,1810,79.01%,1037,343,1380
County Tax Assessor-Collector,0228,625,159,784,1175,66.72%,65,711,776
County Tax Assessor-Collector,0229,227,168,395,828,47.71%,122,254,376
County Tax Assessor-Collector,0230,353,185,518,1094,47.35%,38,465,503
County Tax Assessor-Collector,0231,801,445,1246,2376,52.44%,283,916,1199
County Tax Assessor-Collector,0232,941,438,1379,1826,75.52%,766,570,1336
County Tax Assessor-Collector,0233,2571,703,3274,4713,69.47%,1575,1535,3110
County Tax Assessor-Collector,0234,2419,728,3147,4042,77.86%,2328,711,3039
County Tax Assessor-Collector,0235,461,203,664,1421,46.73%,35,606,641
County Tax Assessor-Collector,0236,555,308,964,2104,45.82%,62,877,939
County Tax Assessor-Collector,0237,739,312,1051,2146,48.97%,35,994,1029
County Tax Assessor-Collector,0238,606,317,923,1948,47.38%,52,843,895
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0239,694,334,1028,1984,51.81%,50,959,1009
County Tax Assessor-Collector,0240,1007,292,1299,2601,49.94%,54,1222,1276
County Tax Assessor-Collector,0241,651,383,1034,2466,41,93%,357,642,999
County Tax Assessor-Collector,0242,506,314,820,1744,47.02%,378,394,772
County Tax Assessor-Collector,0243,244,42,286,475,60.21%,9,274,283
