Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0554,597,271,868,1774,48.93%,165,665,830
"Justice, 1st Court of Appeals District, Place 4",0555,842,390,1032,2286,45.14%,170,816,986
"Justice, 1st Court of Appeals District, Place 4",0556,780,435,1195,2491,47.97%,227,914,1141
"Justice, 1st Court of Appeals District, Place 4",0557,925,460,1385,2955,46.87%,386,892,1278
"Justice, 1st Court of Appeals District, Place 4",0558,1815,721,2538,4718,53.75%,721,1720,2441
"Justice, 1st Court of Appeals District, Place 4",0559,1909,701,2610,4984,52.37%,563,1937,2500
"Justice, 1st Court of Appeals District, Place 4",0560,290,247,537,1141,47.06%,95,407,502
"Justice, 1st Court of Appeals District, Place 4",0561,1024,624,1648,3138,52.52%,924,641,1565
"Justice, 1st Court of Appeals District, Place 4",0562,222,116,338,691,48.91%,44,264,308
"Justice, 1st Court of Appeals District, Place 4",0563,2072,337,2409,3468,69.46%,1795,522,2317
"Justice, 1st Court of Appeals District, Place 4",0564,1552,526,2078,3240,64.14%,547,1420,1967
"Justice, 1st Court of Appeals District, Place 4",0565,338,148,484,1414,34.23%,76,384,460
"Justice, 1st Court of Appeals District, Place 4",0566,1185,441,1626,3029,53.68%,394,1165,1559
"Justice, 1st Court of Appeals District, Place 4",0567,988,390,1356,2851,47.56%,310,957,1267
"Justice, 1st Court of Appeals District, Place 4",0568,1838,697,2533,3638,69.63%,1546,834,2380
"Justice, 1st Court of Appeals District, Place 4",0569,2031,747,2778,4125,67.35%,1275,1330,2605
"Justice, 1st Court of Appeals District, Place 4",0570,789,278,1047,1598,65.52%,363,612,975
"Justice, 1st Court of Appeals District, Place 4",0571,521,314,835,1950,42.82%,231,558,789
"Justice, 1st Court of Appeals District, Place 4",0572,1523,444,1967,3308,59.46%,815,1060,1875
"Justice, 1st Court of Appeals District, Place 4",0573,489,215,704,1625,43.32%,16,677,693
"Justice, 1st Court of Appeals District, Place 4",0574,112,74,186,391,47.57%,20,156,176
"Justice, 1st Court of Appeals District, Place 4",0575,1905,535,2440,3557,68.60%,1297,1037,2334
"Justice, 1st Court of Appeals District, Place 4",0576,1108,375,1483,2830,52.40%,83,1356,1439
"Justice, 1st Court of Appeals District, Place 4",0577,885,205,1090,1586,68.73%,620,409,1029
"Justice, 1st Court of Appeals District, Place 4",0578,1028,405,1431,1862,76.85%,836,499,1335
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0579,287,181,468,1139,41.09%,73,367,440
"Justice, 1st Court of Appeals District, Place 4",0580,366,108,474,985,48.12%,18,449,467
"Justice, 1st Court of Appeals District, Place 4",0581,456,137,593,1033,57.41%,15,561,576
"Justice, 1st Court of Appeals District, Place 4",0582,543,232,775,1607,48.23%,44,702,746
"Justice, 1st Court of Appeals District, Place 4",0583,433,155,588,1286,45.72%,16,557,573
"Justice, 1st Court of Appeals District, Place 4",0584,367,120,487,1062,45.86%,36,431,467
"Justice, 1st Court of Appeals District, Place 4",0585,829,280,1109,2346,47.27%,54,1022,1076
"Justice, 1st Court of Appeals District, Place 4",0586,1792,790,2582,4521,57.11%,1409,1067,2476
"Justice, 1st Court of Appeals District, Place 4",0587,1204,431,1635,2870,56.97%,510,1065,1575
"Justice, 1st Court of Appeals District, Place 4",0588,1940,606,2546,3780,67.35%,1639,811,2450
"Justice, 1st Court of Appeals District, Place 4",0589,1540,545,2085,3780,55.16%,949,1057,2006
"Justice, 1st Court of Appeals District, Place 4",0590,1230,400,1630,2176,74.91%,1219,338,1557
"Justice, 1st Court of Appeals District, Place 4",0591,651,462,1113,2274,48.94%,269,783,1052
"Justice, 1st Court of Appeals District, Place 4",0592,449,272,721,1446,49.86%,147,536,683
"Justice, 1st Court of Appeals District, Place 4",0593,1581,755,2316,4179,55.42%,878,1314,2192
"Justice, 1st Court of Appeals District, Place 4",0594,1243,316,1559,2578,60.47%,400,1119,1519
"Justice, 1st Court of Appeals District, Place 4",0595,601,299,900,1833,49.10%,134,733,867
"Justice, 1st Court of Appeals District, Place 4",0596,1378,501,1879,3574,52.57%,812,971,1783
"Justice, 1st Court of Appeals District, Place 4",0597,1204,609,1813,3587,50.54%,597,1125,1722
"Justice, 1st Court of Appeals District, Place 4",0598,2389,731,3120,5253,59.39%,1022,1970,2992
"Justice, 1st Court of Appeals District, Place 4",0599,1378,493,1871,3005,62.26%,618,1197,1815
"Justice, 1st Court of Appeals District, Place 4",0600,1603,776,2379,4204,56.59%,766,1493,2259
"Justice, 1st Court of Appeals District, Place 4",0601,2220,670,2890,4151,69.62%,2024,771,2795
"Justice, 1st Court of Appeals District, Place 4",0602,754,234,988,1441,68.56%,652,296,948
"Justice, 1st Court of Appeals District, Place 4",0603,2340,725,3065,4666,65.69%,1695,1244,2939
"Justice, 1st Court of Appeals District, Place 4",0604,1817,375,2192,3189,68.74%,1784,313,2097
"Justice, 1st Court of Appeals District, Place 4",0605,1713,599,2312,4217,54.83%,501,1693,2194
"Justice, 1st Court of Appeals District, Place 4",0606,319,111,430,970,44.33%,10,408,418
"Justice, 1st Court of Appeals District, Place 4",0607,163,51,214,712,30.06%,23,183,206
"Justice, 1st Court of Appeals District, Place 4",0608,156,77,233,570,40.88%,76,145,221
"Justice, 1st Court of Appeals District, Place 4",0609,2037,729,2766,4305,64.25%,1530,1116,2646
"Justice, 1st Court of Appeals District, Place 4",0610,665,343,1008,2086,48.32%,390,558,948
"Justice, 1st Court of Appeals District, Place 4",0611,980,229,1209,2527,47.84%,45,1139,1184
"Justice, 1st Court of Appeals District, Place 4",0612,1930,431,2361,3388,69.69%,1719,548,2267
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0613,937,339,1276,2368,53.89%,201,1019,1220
"Justice, 1st Court of Appeals District, Place 4",0614,1949,645,2594,4566,56.81%,731,1745,2476
"Justice, 1st Court of Appeals District, Place 4",0615,1075,301,1376,2086,65.96%,694,625,1319
"Justice, 1st Court of Appeals District, Place 4",0616,1809,611,2420,3516,68.83%,1550,754,2304
"Justice, 1st Court of Appeals District, Place 4",0617,1704,650,2354,4179,56.33%,748,1508,2256
"Justice, 1st Court of Appeals District, Place 4",0618,1699,545,2244,3801,59.04%,888,1279,2167
"Justice, 1st Court of Appeals District, Place 4",0619,2793,663,3456,4916,70.30%,2448,912,3360
"Justice, 1st Court of Appeals District, Place 4",0620,1748,333,2081,3318,62.72%,1026,958,1984
"Justice, 1st Court of Appeals District, Place 4",0621,536,200,736,1272,57.86%,292,402,694
"Justice, 1st Court of Appeals District, Place 4",0622,2131,591,2722,4562,59.67%,1406,1188,2594
"Justice, 1st Court of Appeals District, Place 4",0623,1960,461,2421,3919,61.78%,1466,861,2327
"Justice, 1st Court of Appeals District, Place 4",0624,297,59,356,456,78.07%,267,77,344
"Justice, 1st Court of Appeals District, Place 4",0625,924,372,1296,1864,69.53%,664,569,1233
"Justice, 1st Court of Appeals District, Place 4",0626,2281,784,3065,4816,63.64%,1529,1379,2908
"Justice, 1st Court of Appeals District, Place 4",0627,935,649,1584,3235,48.96%,403,1106,1509
"Justice, 1st Court of Appeals District, Place 4",0628,716,545,1261,2420,52.11%,417,769,1186
"Justice, 1st Court of Appeals District, Place 4",0629,162,96,258,750,34.40%,29,220,249
"Justice, 1st Court of Appeals District, Place 4",0630,2671,541,3212,4738,67.79%,318,2808,3126
"Justice, 1st Court of Appeals District, Place 4",0631,1842,398,2240,3263,68.65%,1428,716,2144
"Justice, 1st Court of Appeals District, Place 4",0632,4,1,5,241,2.07%,0,5,5
"Justice, 1st Court of Appeals District, Place 4",0633,2286,601,2887,3912,73.80%,1921,862,2783
"Justice, 1st Court of Appeals District, Place 4",0634,1437,499,1936,3259,59.40%,1059,806,1865
"Justice, 1st Court of Appeals District, Place 4",0635,1646,520,2166,3512,61.67%,1546,527,2073
"Justice, 1st Court of Appeals District, Place 4",0636,2303,922,3225,4569,70.58%,2741,370,3111
"Justice, 1st Court of Appeals District, Place 4",0637,1095,423,1518,2591,58.59%,330,1077,1407
"Justice, 1st Court of Appeals District, Place 4",0638,850,348,1198,2310,51.86%,96,1071,1167
"Justice, 1st Court of Appeals District, Place 4",0639,1387,284,1671,2560,65.27%,1237,358,1595
"Justice, 1st Court of Appeals District, Place 4",0640,1619,615,2234,3927,56.89%,1216,937,2153
"Justice, 1st Court of Appeals District, Place 4",0641,1637,683,2320,3840,60.42%,1299,920,2219
"Justice, 1st Court of Appeals District, Place 4",0642,1030,270,1300,1783,72.91%,983,275,1258
"Justice, 1st Court of Appeals District, Place 4",0643,1951,593,2544,4189,60.73%,1149,1302,2451
"Justice, 1st Court of Appeals District, Place 4",0644,2087,689,2776,4446,62.44%,1541,1123,2664
"Justice, 1st Court of Appeals District, Place 4",0645,2151,769,2920,4517,64.64%,1148,1634,2782
"Justice, 1st Court of Appeals District, Place 4",0646,925,399,1324,2422,54.67%,323,932,1255
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0647,1373,526,1899,4349,43.67%,391,1387,1778
"Justice, 1st Court of Appeals District, Place 4",0648,1859,500,2359,3487,67.65%,1602,675,2277
"Justice, 1st Court of Appeals District, Place 4",0649,1549,775,2324,4755,48.87%,553,1652,2205
"Justice, 1st Court of Appeals District, Place 4",0650,2033,819,2852,4039,70.61%,1843,897,2740
"Justice, 1st Court of Appeals District, Place 4",0651,1734,551,2285,3873,59.00%,1178,1008,2186
"Justice, 1st Court of Appeals District, Place 4",0652,1167,545,1712,2979,57.47%,264,1400,1664
"Justice, 1st Court of Appeals District, Place 4",0653,186,110,296,604,49.01%,62,223,285
"Justice, 1st Court of Appeals District, Place 4",0654,2387,698,3085,5063,60.93%,1499,1436,2935
"Justice, 1st Court of Appeals District, Place 4",0655,1953,761,2724,4495,60.60%,1430,1158,2588
"Justice, 1st Court of Appeals District, Place 4",0656,1106,401,1507,2737,55.06%,69,1391,1460
"Justice, 1st Court of Appeals District, Place 4",0657,684,276,960,1487,64.56%,310,602,912
"Justice, 1st Court of Appeals District, Place 4",0658,1299,494,1793,2901,61.81%,1068,660,1728
"Justice, 1st Court of Appeals District, Place 4",0659,2808,733,3541,5161,68.61%,2372,1037,3409
"Justice, 1st Court of Appeals District, Place 4",0660,1575,345,1920,3087,62.20%,179,1672,1851
"Justice, 1st Court of Appeals District, Place 4",0661,1949,774,2723,4363,62.41%,1308,1290,2598
"Justice, 1st Court of Appeals District, Place 4",0662,2268,571,2839,4002,70.94%,2237,501,2738
"Justice, 1st Court of Appeals District, Place 4",0663,1338,448,1786,2340,76.32%,861,791,1652
"Justice, 1st Court of Appeals District, Place 4",0664,909,513,1422,2992,47.53%,251,1094,1345
"Justice, 1st Court of Appeals District, Place 4",0665,1327,360,1687,2354,71.67%,1303,324,1627
"Justice, 1st Court of Appeals District, Place 4",0666,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0667,1109,400,1509,2175,69.38%,1097,350,1447
"Justice, 1st Court of Appeals District, Place 4",0668,1552,719,2271,3669,61.90%,1325,863,2188
"Justice, 1st Court of Appeals District, Place 4",0669,1889,702,2591,3585,72.27%,1699,782,2481
"Justice, 1st Court of Appeals District, Place 4",0670,1996,416,2412,3335,72.32%,1844,479,2323
"Justice, 1st Court of Appeals District, Place 4",0671,1398,588,1986,3198,62.10%,1041,862,1903
"Justice, 1st Court of Appeals District, Place 4",0672,1724,489,2213,3433,64.46%,1487,652,2139
"Justice, 1st Court of Appeals District, Place 4",0673,1525,467,2092,3051,68.57%,1622,404,2026
"Justice, 1st Court of Appeals District, Place 4",0674,2356,610,2966,4228,70.15%,2086,779,2865
"Justice, 1st Court of Appeals District, Place 4",0675,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0676,1087,465,1552,2976,52.15%,569,906,1475
"Justice, 1st Court of Appeals District, Place 4",0677,423,259,682,1300,52.46%,155,479,634
"Justice, 1st Court of Appeals District, Place 4",0678,1164,294,1458,2660,54.81%,136,1271,1407
"Justice, 1st Court of Appeals District, Place 4",0679,1718,529,2247,3542,63.44%,1515,629,2144
"Justice, 1st Court of Appeals District, Place 4",0680,98,17,115,179,64.25%,44,68,112
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0681,e,0,6,4,150.00%,2,4,6
"Justice, 1st Court of Appeals District, Place 4",0682,2113,690,2803,4313,64.99%,1957,746,2703
"Justice, 1st Court of Appeals District, Place 4",0683,82,5,87,302,28.81%,20,63,83
"Justice, 1st Court of Appeals District, Place 4",0684,1581,640,2321,3559,65.21%,1397,824,2221
"Justice, 1st Court of Appeals District, Place 4",0685,139,28,167,285,58.60%,69,79,148
"Justice, 1st Court of Appeals District, Place 4",0686,53,5,58,221,26.24%,16,40,56
"Justice, 1st Court of Appeals District, Place 4",0687,1510,400,1910,2713,70.40%,1209,610,1819
"Justice, 1st Court of Appeals District, Place 4",0688,2333,594,2927,3922,74.63%,2249,590,2839
"Justice, 1st Court of Appeals District, Place 4",0689,727,604,1331,2449,54.35%,543,699,1242
"Justice, 1st Court of Appeals District, Place 4",0690,1957,553,2520,3614,69.73%,1880,540,2420
"Justice, 1st Court of Appeals District, Place 4",0691,2132,551,2683,3690,72.71%,2028,573,2601
"Justice, 1st Court of Appeals District, Place 4",0692,1279,678,1957,3118,62.76%,1338,529,1867
"Justice, 1st Court of Appeals District, Place 4",0693,309,110,419,681,61.53%,105,287,392
"Justice, 1st Court of Appeals District, Place 4",0694,1005,319,1324,2478,53.43%,508,771,1279
"Justice, 1st Court of Appeals District, Place 4",0695,628,315,943,1842,51.19%,533,359,892
"Justice, 1st Court of Appeals District, Place 4",0696,727,312,1039,2027,51.26%,599,409,1008
"Justice, 1st Court of Appeals District, Place 4",0697,1299,552,1851,3238,57.16%,428,1348,1776
"Justice, 1st Court of Appeals District, Place 4",0698,1275,520,1795,3339,53.76%,199,1532,1731
"Justice, 1st Court of Appeals District, Place 4",0699,1277,398,1675,2387,70.17%,1017,546,1563
"Justice, 1st Court of Appeals District, Place 4",0700,726,247,973,1536,63.35%,801,144,945
"Justice, 1st Court of Appeals District, Place 4",0701,208,73,281,614,45.77%,116,141,257
"Justice, 1st Court of Appeals District, Place 4",0702,183,69,252,550,45.82%,32,211,243
"Justice, 1st Court of Appeals District, Place 4",0703,899,528,1427,1943,73.44%,980,387,1367
"Justice, 1st Court of Appeals District, Place 4",0704,1698,512,2210,3121,70.81%,1762,376,2138
"Justice, 1st Court of Appeals District, Place 4",0705,331,206,537,1513,35.49%,52,469,521
"Justice, 1st Court of Appeals District, Place 4",0706,1248,372,1620,2821,57.43%,563,963,1526
"Justice, 1st Court of Appeals District, Place 4",0707,377,69,446,757,58.92%,265,161,426
"Justice, 1st Court of Appeals District, Place 4",0708,162,98,260,592,43.92%,81,167,248
"Justice, 1st Court of Appeals District, Place 4",0709,2257,528,2785,4136,67.34%,1431,1248,2679
"Justice, 1st Court of Appeals District, Place 4",0710,1132,450,1582,2096,75.48%,834,642,1476
"Justice, 1st Court of Appeals District, Place 4",0711,1980,599,2579,3820,67.51%,1279,1182,2461
"Justice, 1st Court of Appeals District, Place 4",0712,1720,627,2347,4002,58.65%,815,1467,2282
"Justice, 1st Court of Appeals District, Place 4",0713,770,365,1135,2006,56.58%,511,576,1087
"Justice, 1st Court of Appeals District, Place 4",0714,102,28,130,306,42.48%,57,64,121
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0715,553,239,792,1549,51.13%,356,397,753
"Justice, 1st Court of Appeals District, Place 4",0716,1218,419,1637,2720,60.18%,1111,460,1571
"Justice, 1st Court of Appeals District, Place 4",0717,974,232,1206,2082,57.93%,154,1005,1159
"Justice, 1st Court of Appeals District, Place 4",0718,2243,872,3115,4412,70.60%,1936,1009,2945
"Justice, 1st Court of Appeals District, Place 4",0719,624,223,847,1644,51.52%,408,395,803
"Justice, 1st Court of Appeals District, Place 4",0720,2498,709,3207,4709,68.10%,2088,989,3077
"Justice, 1st Court of Appeals District, Place 4",0721,1455,603,2059,2926,70.71%,1260,703,1963
"Justice, 1st Court of Appeals District, Place 4",0722,1929,609,2538,4638,54.72%,159,2292,2451
"Justice, 1st Court of Appeals District, Place 4",0723,897,261,1158,1959,59.11%,209,900,1109
"Justice, 1st Court of Appeals District, Place 4",0724,395,146,541,800,67.63%,349,169,518
"Justice, 1st Court of Appeals District, Place 4",0725,976,294,1270,2336,54.37%,490,708,1198
"Justice, 1st Court of Appeals District, Place 4",0726,1271,321,1592,2207,72.13%,1346,199,1545
"Justice, 1st Court of Appeals District, Place 4",0727,983,415,1398,2708,51.62%,363,990,1353
"Justice, 1st Court of Appeals District, Place 4",0728,399,198,597,942,63.38%,338,228,566
"Justice, 1st Court of Appeals District, Place 4",0729,235,49,284,471,60.30%,154,119,273
"Justice, 1st Court of Appeals District, Place 4",0730,1361,406,1767,2435,72.57%,1083,594,1677
"Justice, 1st Court of Appeals District, Place 4",0731,2087,624,2711,4834,56.08%,1068,1528,2596
"Justice, 1st Court of Appeals District, Place 4",0732,793,449,1242,1943,63.92%,692,478,1170
"Justice, 1st Court of Appeals District, Place 4",0733,55,25,80,303,26.40%,23,53,76
"Justice, 1st Court of Appeals District, Place 4",0734,2307,556,2863,4294,66.67%,1814,939,2753
"Justice, 1st Court of Appeals District, Place 4",0735,157,61,218,251,86.85%,116,97,213
"Justice, 1st Court of Appeals District, Place 4",0736,14,3,17,42,40.48%,1,13,14
"Justice, 1st Court of Appeals District, Place 4",0737,21,6,27,56,48.21%,21,6,27
"Justice, 1st Court of Appeals District, Place 4",0738,435,214,649,1497,43.35%,98,533,631
"Justice, 1st Court of Appeals District, Place 4",0739,979,440,1419,2971,47.76%,596,757,1353
"Justice, 1st Court of Appeals District, Place 4",0740,280,169,449,1005,44.68%,220,201,421
"Justice, 1st Court of Appeals District, Place 4",0741,923,262,1185,1895,62.53%,284,845,1129
"Justice, 1st Court of Appeals District, Place 4",0742,1536,498,2034,2859,71.14%,1229,718,1947
"Justice, 1st Court of Appeals District, Place 4",0743,54,60,114,234,48.72%,35,71,106
"Justice, 1st Court of Appeals District, Place 4",0744,1010,444,1454,2103,69.14%,816,564,1380
"Justice, 1st Court of Appeals District, Place 4",0745,1214,446,1660,2543,65.28%,969,613,1582
"Justice, 1st Court of Appeals District, Place 4",0746,245,121,366,732,50.00%,165,171,336
"Justice, 1st Court of Appeals District, Place 4",0747,1746,693,2439,4096,59.55%,1015,1327,2342
"Justice, 1st Court of Appeals District, Place 4",0748,564,245,809,1556,51.99%,376,398,774
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0749,115,1,116,432,26.85%,17,93,110
"Justice, 1st Court of Appeals District, Place 4",0750,294,122,416,809,51.42%,218,173,391
"Justice, 1st Court of Appeals District, Place 4",0751,2937,1013,3950,5893,67.03%,2334,1455,3789
"Justice, 1st Court of Appeals District, Place 4",0752,660,227,887,1484,59.77%,571,273,844
"Justice, 1st Court of Appeals District, Place 4",0753,258,53,311,512,60.74%,121,176,297
"Justice, 1st Court of Appeals District, Place 4",0754,388,262,650,1590,40.88%,34,597,631
"Justice, 1st Court of Appeals District, Place 4",0755,1784,955,2739,5015,54.62%,894,1698,2592
"Justice, 1st Court of Appeals District, Place 4",0756,687,309,996,1723,57.81%,313,638,951
"Justice, 1st Court of Appeals District, Place 4",0757,1867,601,2468,4792,51.50%,387,1997,2384
"Justice, 1st Court of Appeals District, Place 4",0758,2105,595,2700,3803,71.00%,2001,578,2579
"Justice, 1st Court of Appeals District, Place 4",0759,1389,375,1764,2779,63.48%,999,690,1689
"Justice, 1st Court of Appeals District, Place 4",0760,1219,268,1487,2162,68.78%,1180,254,1434
"Justice, 1st Court of Appeals District, Place 4",0761,1089,167,1256,1598,78.60%,858,337,1195
"Justice, 1st Court of Appeals District, Place 4",0762,929,303,1232,1828,67.40%,545,630,1175
"Justice, 1st Court of Appeals District, Place 4",0763,370,264,634,1249,50.76%,195,409,604
"Justice, 1st Court of Appeals District, Place 4",0764,2472,677,3149,4827,65.24%,1837,1173,3010
"Justice, 1st Court of Appeals District, Place 4",0765,2056,874,2930,5742,51.03%,753,2060,2813
"Justice, 1st Court of Appeals District, Place 4",0766,126,59,185,428,43.22%,28,138,166
"Justice, 1st Court of Appeals District, Place 4",0767,31,15,46,92,50.00%,21,23,44
"Justice, 1st Court of Appeals District, Place 4",0768,1479,387,1866,2643,70.60%,1423,376,1799
"Justice, 1st Court of Appeals District, Place 4",0769,85,14,99,184,53.80%,6,92,98
"Justice, 1st Court of Appeals District, Place 4",0770,103,42,145,388,37.37%,47,91,138
"Justice, 1st Court of Appeals District, Place 4",0771,572,210,782,1588,49.24%,325,419,744
"Justice, 1st Court of Appeals District, Place 4",0772,2807,477,3284,4606,71.30%,2354,795,3149
"Justice, 1st Court of Appeals District, Place 4",0773,1694,638,2332,4414,52.83%,540,1639,2179
"Justice, 1st Court of Appeals District, Place 4",0774,151,66,217,426,50.94%,54,158,212
"Justice, 1st Court of Appeals District, Place 4",0775,50,1,51,102,50.00%,1,49,50
"Justice, 1st Court of Appeals District, Place 4",0776,1433,538,1971,3276,60.16%,1080,808,1888
"Justice, 1st Court of Appeals District, Place 4",0777,201,105,306,767,39.90%,76,217,293
"Justice, 1st Court of Appeals District, Place 4",0778,0,3,3,0,0.00%,0,3,3
"Justice, 1st Court of Appeals District, Place 4",0779,263,160,423,1019,41.51%,103,281,384
"Justice, 1st Court of Appeals District, Place 4",0780,170,130,300,666,45.05%,90,184,274
"Justice, 1st Court of Appeals District, Place 4",0781,1235,612,1847,3782,48.84%,552,1158,1710
"Justice, 1st Court of Appeals District, Place 4",0782,1048,368,1416,2355,60.13%,827,519,1346
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0783,197,90,287,520,55.19%,18,258,276
"Justice, 1st Court of Appeals District, Place 4",0784,408,119,527,1062,49.62%,15,494,509
"Justice, 1st Court of Appeals District, Place 4",0785,1230,357,1587,1896,83.70%,814,709,1523
"Justice, 1st Court of Appeals District, Place 4",0786,396,177,573,1258,45.55%,176,365,541
"Justice, 1st Court of Appeals District, Place 4",0787,180,83,263,542,48.52%,75,171,246
"Justice, 1st Court of Appeals District, Place 4",0788,2,0,2,13,15.38%,2,0,2
"Justice, 1st Court of Appeals District, Place 4",0789,1377,420,1797,2998,59.94%,1018,713,1731
"Justice, 1st Court of Appeals District, Place 4",0790,1143,329,1472,2523,58.34%,490,925,1415
"Justice, 1st Court of Appeals District, Place 4",0791,9,3,12,29,41.38%,3,9,12
"Justice, 1st Court of Appeals District, Place 4",0792,545,415,1063,1954,54.40%,240,770,1010
"Justice, 1st Court of Appeals District, Place 4",0793,984,416,1400,2620,53.44%,690,630,1320
"Justice, 1st Court of Appeals District, Place 4",0794,626,411,1037,3208,32.33%,102,904,1006
"Justice, 1st Court of Appeals District, Place 4",0795,396,2,398,1281,31.07%,112,256,368
"Justice, 1st Court of Appeals District, Place 4",0796,1371,455,1535,3041,60.37%,750,1026,1776
"Justice, 1st Court of Appeals District, Place 4",0797,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0798,222,142,364,521,69.87%,136,210,346
"Justice, 1st Court of Appeals District, Place 4",0799,55,26,84,171,49.12%,17,66,83
"Justice, 1st Court of Appeals District, Place 4",0800,1934,730,2664,4216,63.19%,1576,974,2550
"Justice, 1st Court of Appeals District, Place 4",0801,90,44,134,261,51.34%,40,88,128
"Justice, 1st Court of Appeals District, Place 4",0802,54,21,75,224,33.48%,1,7,55,72
"Justice, 1st Court of Appeals District, Place 4",0803,2555,547,3213,4514,71.18%,2170,921,3091
"Justice, 1st Court of Appeals District, Place 4",0804,2703,682,3385,5303,63.83%,1745,1521,3266
"Justice, 1st Court of Appeals District, Place 4",0805,1598,454,2052,2874,71.40%,1554,414,1968
"Justice, 1st Court of Appeals District, Place 4",0806,1002,324,1326,1889,70.20%,792,491,1283
"Justice, 1st Court of Appeals District, Place 4",0807,793,349,1142,2163,52.80%,191,914,1105
"Justice, 1st Court of Appeals District, Place 4",0808,142,57,199,232,85.78%,72,113,185
"Justice, 1st Court of Appeals District, Place 4",0809,19,7,26,98,26.53%,12,13,25
"Justice, 1st Court of Appeals District, Place 4",0810,47,31,78,197,39.59%,13,58,71
"Justice, 1st Court of Appeals District, Place 4",0811,52,68,150,277,54.15%,31,111,142
"Justice, 1st Court of Appeals District, Place 4",0812,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0813,1742,434,2176,3488,62.39%,922,1174,2096
"Justice, 1st Court of Appeals District, Place 4",0814,1973,827,2800,5483,51.07%,534,2166,2700
"Justice, 1st Court of Appeals District, Place 4",0815,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0816,23,10,33,64,51.56%,4,27,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0817,2789,550,3339,4700,71.04%,2294,943,3237
"Justice, 1st Court of Appeals District, Place 4",0818,209,104,313,737,42.47%,67,237,304
"Justice, 1st Court of Appeals District, Place 4",0819,108,31,139,228,60.96%,69,58,127
"Justice, 1st Court of Appeals District, Place 4",0820,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0821,362,188,550,1295,42.47%,68,456,524
"Justice, 1st Court of Appeals District, Place 4",0822,571,185,756,1574,48.03%,26,700,726
"Justice, 1st Court of Appeals District, Place 4",0823,1339,410,1749,3017,57.97%,909,764,1673
"Justice, 1st Court of Appeals District, Place 4",0824,1057,410,1467,2762,53.11%,305,1109,1414
"Justice, 1st Court of Appeals District, Place 4",0825,9,7,15,21,76.19%,3,12,15
"Justice, 1st Court of Appeals District, Place 4",0826,177,70,247,355,69.58%,124,105,229
"Justice, 1st Court of Appeals District, Place 4",0827,218,234,452,1042,43.38%,143,295,438
"Justice, 1st Court of Appeals District, Place 4",0828,1174,281,1455,1965,74.05%,1093,306,1399
"Justice, 1st Court of Appeals District, Place 4",0829,101,19,120,235,51.06%,32,82,114
"Justice, 1st Court of Appeals District, Place 4",0830,2,2,4,2,200.00%,4,0,4
"Justice, 1st Court of Appeals District, Place 4",0831,8,5,13,36,36.11%,6,6,12
"Justice, 1st Court of Appeals District, Place 4",0832,124,50,174,364,47.80%,44,122,166
"Justice, 1st Court of Appeals District, Place 4",0833,3,2,5,20,25.00%,1,4,5
"Justice, 1st Court of Appeals District, Place 4",0834,142,61,203,388,52.32%,20,180,200
"Justice, 1st Court of Appeals District, Place 4",0835,87,71,158,311,50.80%,38,113,151
