Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0166,562,261,823,1171,70.28%,264,509,773
"Justice, 1st Court of Appeals District, Place 4",0167,5,2,7,24,29.17%,0,6,6
"Justice, 1st Court of Appeals District, Place 4",0168,196,59,255,512,49.80%,5,246,251
"Justice, 1st Court of Appeals District, Place 4",0169,985,247,1232,2548,48.35%,37,1153,1190
"Justice, 1st Court of Appeals District, Place 4",0170,663,262,925,1958,47.24%,401,460,861
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0171,482,283,765,1648,46.42%,39,693,732
"Justice, 1st Court of Appeals District, Place 4",0172,245,103,348,661,52.65%,87,245,332
"Justice, 1st Court of Appeals District, Place 4",0173,2261,683,2944,3966,74.23%,2133,687,2820
"Justice, 1st Court of Appeals District, Place 4",0174,1717,707,2424,3389,71.53%,1523,761,2284
"Justice, 1st Court of Appeals District, Place 4",0175,1402,691,2093,2711,77.20%,1004,951,1955
"Justice, 1st Court of Appeals District, Place 4",0176,767,375,1142,1533,74.49%,523,532,1055
"Justice, 1st Court of Appeals District, Place 4",0177,938,333,1271,1715,74.11%,663,519,1182
"Justice, 1st Court of Appeals District, Place 4",0178,1116,273,1389,1795,77.38%,873,428,1301
"Justice, 1st Court of Appeals District, Place 4",0179,771,244,1015,1673,60.67%,459,494,953
"Justice, 1st Court of Appeals District, Place 4",0180,928,463,1391,2914,47.74%,46,1287,1333
"Justice, 1st Court of Appeals District, Place 4",0181,697,439,1136,2195,51.75%,248,826,1074
"Justice, 1st Court of Appeals District, Place 4",0182,1944,994,2938,4071,72.17%,1491,1241,2732
"Justice, 1st Court of Appeals District, Place 4",0183,1286,715,2001,2535,78.93%,1230,653,1883
"Justice, 1st Court of Appeals District, Place 4",0184,278,219,497,1048,47.42%,125,340,465
"Justice, 1st Court of Appeals District, Place 4",0185,709,444,1153,2054,56.13%,295,791,1086
"Justice, 1st Court of Appeals District, Place 4",0186,252,150,402,798,50.38%,30,358,388
"Justice, 1st Court of Appeals District, Place 4",0187,98,51,147,309,47.57%,20,115,135
"Justice, 1st Court of Appeals District, Place 4",0188,499,306,805,1711,47.05%,242,526,768
"Justice, 1st Court of Appeals District, Place 4",0189,804,279,1083,1505,71.96%,599,418,1017
"Justice, 1st Court of Appeals District, Place 4",0190,571,326,897,1849,48.51%,252,589,841
"Justice, 1st Court of Appeals District, Place 4",0191,327,259,586,1408,41.62%,162,396,558
"Justice, 1st Court of Appeals District, Place 4",0192,757,259,1016,1959,51.86%,57,919,976
"Justice, 1st Court of Appeals District, Place 4",0193,376,211,587,1099,53.41%,23,542,565
"Justice, 1st Court of Appeals District, Place 4",0194,1141,449,1590,2172,73.20%,421,1079,1500
"Justice, 1st Court of Appeals District, Place 4",0195,606,344,950,1739,54.63%,45,853,898
"Justice, 1st Court of Appeals District, Place 4",0196,132,37,169,313,53.99%,12,145,157
"Justice, 1st Court of Appeals District, Place 4",0197,998,372,1368,2969,46.08%,40,1283,1323
"Justice, 1st Court of Appeals District, Place 4",0198,161,82,243,619,39.26%,10,224,234
"Justice, 1st Court of Appeals District, Place 4",0199,1929,815,2744,4063,67.54%,2013,618,2631
"Justice, 1st Court of Appeals District, Place 4",0200,2308,377,2685,3692,72.72%,1165,1376,2541
"Justice, 1st Court of Appeals District, Place 4",0201,222,105,327,773,42.30%,11,310,321
"Justice, 1st Court of Appeals District, Place 4",0202,421,233,654,1410,46.38%,22,605,627
"Justice, 1st Court of Appeals District, Place 4",0203,298,111,409,988,41.40%,61,322,383
"Justice, 1st Court of Appeals District, Place 4",0204,2099,577,2676,3568,75.00%,1375,1120,2495
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0205,772,171,943,1724,54.70%,26,892,918
"Justice, 1st Court of Appeals District, Place 4",0206,1277,494,1771,2965,59.73%,508,1137,1645
"Justice, 1st Court of Appeals District, Place 4",0207,605,212,817,1166,70.07%,249,514,763
"Justice, 1st Court of Appeals District, Place 4",0208,909,338,1247,2256,55.27%,274,888,1162
"Justice, 1st Court of Appeals District, Place 4",0209,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 4",0210,1261,489,1750,2781,62.93%,267,1413,1680
"Justice, 1st Court of Appeals District, Place 4",0211,964,595,1559,3130,49.81%,419,1039,1458
"Justice, 1st Court of Appeals District, Place 4",0212,309,323,632,1370,46.13%,94,495,589
"Justice, 1st Court of Appeals District, Place 4",0213,1782,795,2577,3406,75.66%,1947,531,2478
