Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0427,439,155,594,1120,53.04%,187,358,9,554
"Judge, Court of Criminal Appeals, Place 6",0428,1689,865,2554,5151,49.58%,596,1779,45,2420
"Judge, Court of Criminal Appeals, Place 6",0429,948,649,1597,3311,48.23%,315,1165,38,1518
"Judge, Court of Criminal Appeals, Place 6",0430,527,291,818,1794,45.60%,121,625,20,766
"Judge, Court of Criminal Appeals, Place 6",0431,1222,604,1826,3860,47.31%,348,1343,57,1748
"Judge, Court of Criminal Appeals, Place 6",0432,458,249,707,1568,45.09%,195,440,32,667
"Judge, Court of Criminal Appeals, Place 6",0433,163,88,251,561,44.74%,50,175,12,237
"Judge, Court of Criminal Appeals, Place 6",0434,834,293,1127,1557,72.38%,602,433,36,1071
"Judge, Court of Criminal Appeals, Place 6",0435,1952,567,2519,3363,74.90%,1460,824,103,2387
"Judge, Court of Criminal Appeals, Place 6",0436,2013,678,2691,3809,70.65%,1393,1060,98,2551
"Judge, Court of Criminal Appeals, Place 6",0437,1148,425,1573,2094,75.12%,988,472,51,1511
"Judge, Court of Criminal Appeals, Place 6",0438,2292,475,2767,3789,73.03%,1792,747,89,2628
"Judge, Court of Criminal Appeals, Place 6",0439,1856,749,2605,3701,70.39%,1647,753,84,2484
"Judge, Court of Criminal Appeals, Place 6",0440,1499,749,2248,2973,75.61%,1634,460,52,2146
"Judge, Court of Criminal Appeals, Place 6",0441,824,408,1232,1695,72.68%,819,322,34,1175
"Judge, Court of Criminal Appeals, Place 6",0442,2442,685,3127,4315,72.47%,2411,489,124,3024
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0443,415,83,498,642,77.57%,338,121,15,474
"Judge, Court of Criminal Appeals, Place 6",0444,1623,679,2302,3625,63.50%,1162,931,97,2190
"Judge, Court of Criminal Appeals, Place 6",0445,1036,382,1418,2134,66.45%,798,515,47,1360
"Judge, Court of Criminal Appeals, Place 6",0446,89,45,134,309,43.37%,47,80,2,129
"Judge, Court of Criminal Appeals, Place 6",0447,2416,464,2880,3727,77.27%,1807,877,97,2781
"Judge, Court of Criminal Appeals, Place 6",0448,1766,529,2295,3155,72.74%,1200,845,113,2158
"Judge, Court of Criminal Appeals, Place 6",0449,73,26,99,225,44.00%,12,85,1,98
"Judge, Court of Criminal Appeals, Place 6",0450,1106,394,1500,2890,51.90%,361,1050,41,1452
"Judge, Court of Criminal Appeals, Place 6",0451,1720,367,2087,2771,75.32%,1601,379,38,2018
"Judge, Court of Criminal Appeals, Place 6",0452,1875,662,2537,3789,66.96%,1606,731,103,2440
"Judge, Court of Criminal Appeals, Place 6",0453,663,417,1080,2039,52.97%,271,718,39,1028
"Judge, Court of Criminal Appeals, Place 6",0454,1043,288,1331,2509,53.05%,25,1251,12,1288
"Judge, Court of Criminal Appeals, Place 6",0455,669,173,842,1713,49.15%,34,768,12,814
"Judge, Court of Criminal Appeals, Place 6",0456,1407,553,1960,3793,51.67%,996,829,59,1884
"Judge, Court of Criminal Appeals, Place 6",0457,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 6",0458,918,253,1171,2025,57.83%,68,1039,24,1131
"Judge, Court of Criminal Appeals, Place 6",0459,2362,432,2794,3942,70.88%,2031,595,90,2716
"Judge, Court of Criminal Appeals, Place 6",0460,1615,472,2087,3280,63.63%,482,1469,67,2018
"Judge, Court of Criminal Appeals, Place 6",0461,2244,669,2913,4054,71.85%,1680,979,95,2754
"Judge, Court of Criminal Appeals, Place 6",0462,1478,738,2216,3507,63.19%,689,1379,71,2139
"Judge, Court of Criminal Appeals, Place 6",0463,1675,564,2239,3773,59.34%,811,1287,79,2177
"Judge, Court of Criminal Appeals, Place 6",0464,967,582,1549,2343,66.11%,904,505,73,1482
"Judge, Court of Criminal Appeals, Place 6",0465,1629,594,2223,3778,58.84%,936,1118,85,2139
"Judge, Court of Criminal Appeals, Place 6",0466,2278,509,2787,4327,64.41%,1355,1276,69,2700
"Judge, Court of Criminal Appeals, Place 6",0467,502,225,727,1320,55.08%,145,542,14,701
"Judge, Court of Criminal Appeals, Place 6",0468,1380,747,2127,4040,52.65%,499,1474,63,2036
"Judge, Court of Criminal Appeals, Place 6",0469,1868,462,2330,3257,71.54%,1715,465,76,2256
"Judge, Court of Criminal Appeals, Place 6",0470,555,232,787,1358,57.95%,541,179,35,755
"Judge, Court of Criminal Appeals, Place 6",0471,1057,458,1515,2473,61.26%,1085,321,66,1472
"Judge, Court of Criminal Appeals, Place 6",0472,463,339,802,1131,70.91%,319,407,31,757
"Judge, Court of Criminal Appeals, Place 6",0473,944,390,1334,1787,74.65%,866,362,54,1282
"Judge, Court of Criminal Appeals, Place 6",0474,1421,624,2045,3127,65.40%,1259,633,85,1977
"Judge, Court of Criminal Appeals, Place 6",0475,791,261,1052,1936,54.34%,397,577,29,1003
"Judge, Court of Criminal Appeals, Place 6",0476,1078,405,1483,2458,60.33%,722,664,45,1431
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0477,2032,640,2672,4010,66.63%,1740,714,104,2558
"Judge, Court of Criminal Appeals, Place 6",0478,2273,683,2956,4696,62.95%,1748,1002,90,2840
"Judge, Court of Criminal Appeals, Place 6",0479,1978,755,2733,3851,70.97%,1887,662,99,2648
"Judge, Court of Criminal Appeals, Place 6",0480,1448,538,1986,2978,66.69%,1271,585,66,1922
"Judge, Court of Criminal Appeals, Place 6",0481,1759,667,2426,3609,67.22%,1667,577,79,2323
"Judge, Court of Criminal Appeals, Place 6",0482,2260,618,2878,4405,65.33%,1847,827,115,2789
"Judge, Court of Criminal Appeals, Place 6",0483,2312,538,2850,4495,63.40%,1380,1239,111,2730
"Judge, Court of Criminal Appeals, Place 6",0484,2021,700,2721,3981,68.35%,1639,896,98,2633
"Judge, Court of Criminal Appeals, Place 6",0485,2121,567,2588,4051,66.35%,1814,685,104,2603
"Judge, Court of Criminal Appeals, Place 6",0486,2310,721,3031,4195,72.25%,2173,638,117,2928
"Judge, Court of Criminal Appeals, Place 6",0487,1407,527,1934,4142,46.69%,453,1285,36,1774
"Judge, Court of Criminal Appeals, Place 6",0488,843,511,1354,2382,56.84%,353,892,45,1290
"Judge, Court of Criminal Appeals, Place 6",0489,865,344,1209,1958,61.75%,313,815,27,1155
"Judge, Court of Criminal Appeals, Place 6",0490,982,346,1328,2105,63.09%,392,835,43,1270
"Judge, Court of Criminal Appeals, Place 6",0491,947,488,1435,2110,68.01%,723,584,57,1364
"Judge, Court of Criminal Appeals, Place 6",0492,1222,396,1618,2552,63.40%,775,730,52,1557
"Judge, Court of Criminal Appeals, Place 6",0493,1404,555,1959,3338,58.69%,668,1128,65,1861
"Judge, Court of Criminal Appeals, Place 6",0494,1079,419,1498,2787,53.75%,168,1243,29,1440
"Judge, Court of Criminal Appeals, Place 6",0495,1414,376,1790,2488,71.95%,1155,508,50,1713
"Judge, Court of Criminal Appeals, Place 6",0496,687,549,1236,2325,53.16%,399,746,46,1191
"Judge, Court of Criminal Appeals, Place 6",0497,915,281,1197,2148,55.73%,48,1104,8,1160
"Judge, Court of Criminal Appeals, Place 6",0498,1072,423,1495,2527,59.16%,474,890,71,1435
"Judge, Court of Criminal Appeals, Place 6",0499,1434,397,1831,2336,78.38%,1247,477,46,1770
"Judge, Court of Criminal Appeals, Place 6",0500,1870,651,2521,3698,68.17%,1500,841,92,2433
"Judge, Court of Criminal Appeals, Place 6",0501,1149,406,1555,2016,77.13%,594,793,92,1479
"Judge, Court of Criminal Appeals, Place 6",0502,1355,293,1559,2595,63.93%,1228,321,44,1593
"Judge, Court of Criminal Appeals, Place 6",0503,1398,306,1704,2236,76.21%,1222,367,51,1640
"Judge, Court of Criminal Appeals, Place 6",0504,1271,482,1753,2318,75.63%,1033,569,78,1680
"Judge, Court of Criminal Appeals, Place 6",0505,1755,735,2490,4076,61.09%,1005,1242,110,2357
"Judge, Court of Criminal Appeals, Place 6",0506,1513,696,2209,3544,62.33%,310,1781,48,2139
"Judge, Court of Criminal Appeals, Place 6",0507,599,319,918,2562,35.83%,200,614,8,822
"Judge, Court of Criminal Appeals, Place 6",0508,1520,828,2348,4767,49.26%,610,1500,72,2182
"Judge, Court of Criminal Appeals, Place 6",0509,2507,669,3175,5153,61.63%,1874,1068,121,3063
"Judge, Court of Criminal Appeals, Place 6",0510,1707,666,2373,3822,62.09%,936,1272,98,2306
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0511,2935,574,3509,4620,75.95%,2048,1272,94,3414
"Judge, Court of Criminal Appeals, Place 6",0512,1669,871,2540,4559,55.71%,914,1443,85,2442
"Judge, Court of Criminal Appeals, Place 6",0513,1758,413,2171,3003,72.29%,1495,545,53,2093
"Judge, Court of Criminal Appeals, Place 6",0514,2289,613,2902,4378,66.29%,1896,798,108,2802
"Judge, Court of Criminal Appeals, Place 6",0515,1838,468,2306,3182,72.47%,1763,414,55,2232
"Judge, Court of Criminal Appeals, Place 6",0516,1317,363,1680,2799,60.02%,770,798,59,1627
"Judge, Court of Criminal Appeals, Place 6",0517,1612,509,2121,3744,56.65%,853,1099,90,2042
"Judge, Court of Criminal Appeals, Place 6",0518,1887,676,2563,4049,63.30%,1407,971,81,2459
"Judge, Court of Criminal Appeals, Place 6",0519,1423,518,1941,3098,62.65%,1261,542,80,1883
"Judge, Court of Criminal Appeals, Place 6",0520,1798,670,2468,5202,47.44%,356,1993,59,2408
"Judge, Court of Criminal Appeals, Place 6",0521,1352,578,1930,3070,62.87%,848,951,75,1874
"Judge, Court of Criminal Appeals, Place 6",0522,1508,464,1972,2815,70.05%,1364,473,82,1919
"Judge, Court of Criminal Appeals, Place 6",0523,1978,537,2515,4027,62.45%,1425,868,109,2402
"Judge, Court of Criminal Appeals, Place 6",0524,1396,637,2033,3598,56.50%,506,1389,59,1954
"Judge, Court of Criminal Appeals, Place 6",0525,1442,574,2016,3260,61.84%,397,1481,48,1926
"Judge, Court of Criminal Appeals, Place 6",0526,236,157,393,820,47.93%,82,270,19,371
"Judge, Court of Criminal Appeals, Place 6",0527,156,38,194,580,33.45%,71,107,4,182
"Judge, Court of Criminal Appeals, Place 6",0528,17,8,25,78,32.05%,1,22,1,24
"Judge, Court of Criminal Appeals, Place 6",0529,2108,434,2542,3842,66.16%,2019,345,94,2458
"Judge, Court of Criminal Appeals, Place 6",0530,376,212,588,1236,47.57%,103,415,24,542
"Judge, Court of Criminal Appeals, Place 6",0531,1235,166,1401,2250,62.27%,990,314,29,1333
"Judge, Court of Criminal Appeals, Place 6",0532,478,140,618,1058,58.41%,396,193,20,609
"Judge, Court of Criminal Appeals, Place 6",0533,353,169,522,1164,44.85%,242,233,18,493
"Judge, Court of Criminal Appeals, Place 6",0534,1898,577,2475,3918,63.17%,1641,657,75,2373
"Judge, Court of Criminal Appeals, Place 6",0535,132,62,194,413,46.97%,59,120,4,183
"Judge, Court of Criminal Appeals, Place 6",0536,2107,1053,3160,5637,56.06%,949,1936,105,2990
"Judge, Court of Criminal Appeals, Place 6",0537,1959,464,2423,3174,76.34%,1670,628,43,2341
"Judge, Court of Criminal Appeals, Place 6",0538,372,203,575,1332,43.17%,15,539,9,563
"Judge, Court of Criminal Appeals, Place 6",0539,811,234,1045,1535,68.08%,547,423,32,1002
"Judge, Court of Criminal Appeals, Place 6",0540,1008,349,1357,1759,77.15%,425,798,46,1269
"Judge, Court of Criminal Appeals, Place 6",0541,2172,761,2933,5001,58.65%,430,2300,88,2818
"Judge, Court of Criminal Appeals, Place 6",0542,1156,406,1562,2654,58.85%,91,1392,27,1510
"Judge, Court of Criminal Appeals, Place 6",0543,554,321,875,1658,52.77%,196,607,26,829
"Judge, Court of Criminal Appeals, Place 6",0544,84,54,138,313,44.09%,13,119,2,134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0545,2020,468,2488,3949,63.00%,1044,1261,78,2383
"Judge, Court of Criminal Appeals, Place 6",0546,1524,278,1802,2471,72.93%,1471,260,36,1767
"Judge, Court of Criminal Appeals, Place 6",0547,1414,270,1684,2534,66.46%,1040,492,85,1617
"Judge, Court of Criminal Appeals, Place 6",0548,882,395,1277,2339,54.60%,537,656,44,1237
"Judge, Court of Criminal Appeals, Place 6",0549,1106,447,1553,2786,55.74%,188,1299,25,1512
"Judge, Court of Criminal Appeals, Place 6",0550,1175,553,1728,3245,53.25%,692,930,57,1679
"Judge, Court of Criminal Appeals, Place 6",0551,2588,793,3381,4428,76.36%,2435,748,80,3263
"Judge, Court of Criminal Appeals, Place 6",0552,2093,784,2877,3762,76.48%,2218,492,84,2794
"Judge, Court of Criminal Appeals, Place 6",0553,964,317,1281,2193,58.41%,457,744,42,1243
"Judge, Court of Criminal Appeals, Place 6",0554,597,271,868,1774,48.93%,159,665,15,839
"Judge, Court of Criminal Appeals, Place 6",0555,642,390,1032,2286,45.14%,168,805,25,998
"Judge, Court of Criminal Appeals, Place 6",0556,760,435,1195,2491,47.97%,226,895,28,1149
"Judge, Court of Criminal Appeals, Place 6",0557,925,460,1385,2955,46.87%,368,867,43,1278
"Judge, Court of Criminal Appeals, Place 6",0558,1815,721,2536,4718,53.75%,711,1662,82,2455
"Judge, Court of Criminal Appeals, Place 6",0559,1917,701,2618,4984,52.53%,542,1874,98,2514
"Judge, Court of Criminal Appeals, Place 6",0560,290,247,537,1141,47.06%,82,407,19,508
"Judge, Court of Criminal Appeals, Place 6",0561,1025,624,1649,3138,52.55%,903,606,68,1577
"Judge, Court of Criminal Appeals, Place 6",0562,222,116,338,691,48.91%,38,266,4,308
"Judge, Court of Criminal Appeals, Place 6",0563,2075,337,2412,3468,69.55%,1760,502,73,2335
"Judge, Court of Criminal Appeals, Place 6",0564,1567,526,2093,3240,64.60%,520,1382,97,1999
"Judge, Court of Criminal Appeals, Place 6",0565,336,148,484,1414,34.23%,68,380,13,461
"Judge, Court of Criminal Appeals, Place 6",0566,1189,441,1630,3029,53.81%,378,1134,61,1573
"Judge, Court of Criminal Appeals, Place 6",0567,966,390,1356,2851,47.56%,310,921,35,1266
"Judge, Court of Criminal Appeals, Place 6",0568,1836,697,2533,3638,69.63%,1523,793,91,2407
"Judge, Court of Criminal Appeals, Place 6",0569,2036,747,2783,4125,67.47%,1232,1296,113,2641
"Judge, Court of Criminal Appeals, Place 6",0570,771,278,1049,1598,65.64%,350,597,45,992
"Judge, Court of Criminal Appeals, Place 6",0571,521,314,835,1950,42.82%,227,533,31,791
"Judge, Court of Criminal Appeals, Place 6",0572,1531,444,1975,3308,59.70%,801,1020,78,1899
"Judge, Court of Criminal Appeals, Place 6",0573,490,215,705,1625,43.38%,16,673,7,696
"Judge, Court of Criminal Appeals, Place 6",0574,112,74,186,391,47.57%,21,153,2,176
"Judge, Court of Criminal Appeals, Place 6",0575,1906,535,2441,3557,68.63%,1271,979,102,2352
"Judge, Court of Criminal Appeals, Place 6",0576,1110,375,1485,2830,52.47%,76,1337,30,1443
"Judge, Court of Criminal Appeals, Place 6",0577,887,205,1092,1586,68.85%,612,400,34,1046
"Judge, Court of Criminal Appeals, Place 6",0578,1026,405,1431,1862,76.85%,820,476,49,1345
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0579,287,181,468,1139,41.09%,72,356,15,443
"Judge, Court of Criminal Appeals, Place 6",0580,366,108,474,985,48.12%,20,440,7,467
"Judge, Court of Criminal Appeals, Place 6",0581,457,137,594,1033,57.50%,15,552,8,575
"Judge, Court of Criminal Appeals, Place 6",0582,543,232,775,1607,48.23%,47,686,12,745
"Judge, Court of Criminal Appeals, Place 6",0583,434,155,589,1286,45.80%,15,555,4,574
"Judge, Court of Criminal Appeals, Place 6",0584,367,120,487,1062,45.86%,32,430,7,469
"Judge, Court of Criminal Appeals, Place 6",0585,830,280,1110,2346,47.31%,49,1013,18,1080
"Judge, Court of Criminal Appeals, Place 6",0586,1793,790,2583,4521,57.13%,1373,1004,112,2489
"Judge, Court of Criminal Appeals, Place 6",0587,1208,431,1639,2870,57.11%,496,1036,49,1581
"Judge, Court of Criminal Appeals, Place 6",0588,1941,606,2547,3780,67.38%,1579,784,99,2462
"Judge, Court of Criminal Appeals, Place 6",0589,1540,545,2085,3780,55.16%,929,1018,79,2026
"Judge, Court of Criminal Appeals, Place 6",0590,1230,400,1630,2176,74.91%,1183,331,48,1562
"Judge, Court of Criminal Appeals, Place 6",0591,652,462,1114,2274,48.99%,253,772,34,1059
"Judge, Court of Criminal Appeals, Place 6",0592,449,272,721,1446,49.86%,136,529,22,687
"Judge, Court of Criminal Appeals, Place 6",0593,1581,755,2316,4179,55.42%,864,1264,89,2217
"Judge, Court of Criminal Appeals, Place 6",0594,1244,316,1560,2578,60.51%,400,1083,40,1523
"Judge, Court of Criminal Appeals, Place 6",0595,601,299,900,1833,49.10%,121,724,29,874
"Judge, Court of Criminal Appeals, Place 6",0596,1380,501,1881,3574,52.63%,779,920,108,1807
"Judge, Court of Criminal Appeals, Place 6",0597,1205,609,1814,3587,50.57%,575,1099,61,1735
"Judge, Court of Criminal Appeals, Place 6",0598,2389,731,3120,5253,59.39%,987,1904,121,3012
"Judge, Court of Criminal Appeals, Place 6",0599,1380,493,1873,3005,62.33%,604,1153,59,1816
"Judge, Court of Criminal Appeals, Place 6",0600,1603,776,2379,4204,56.59%,726,1472,69,2267
"Judge, Court of Criminal Appeals, Place 6",0601,2223,670,2893,4151,69.69%,1982,726,96,2804
"Judge, Court of Criminal Appeals, Place 6",0602,756,234,990,1441,68.70%,641,289,36,966
"Judge, Court of Criminal Appeals, Place 6",0603,2344,725,3069,4666,65.77%,1637,1190,145,2972
"Judge, Court of Criminal Appeals, Place 6",0604,1818,375,2193,3189,68.77%,1749,294,69,2112
"Judge, Court of Criminal Appeals, Place 6",0605,1714,599,2313,4217,54.85%,491,1654,62,2207
"Judge, Court of Criminal Appeals, Place 6",0606,319,111,430,970,44.33%,8,407,4,419
"Judge, Court of Criminal Appeals, Place 6",0607,163,51,214,712,30.06%,22,183,3,208
"Judge, Court of Criminal Appeals, Place 6",0608,156,77,233,570,40.88%,71,140,11,222
"Judge, Court of Criminal Appeals, Place 6",0609,2040,729,2769,4305,64.32%,1503,1071,91,2665
"Judge, Court of Criminal Appeals, Place 6",0610,666,343,1009,2086,48.37%,373,541,37,951
"Judge, Court of Criminal Appeals, Place 6",0611,980,229,1209,2527,47.84%,46,1133,9,1188
"Judge, Court of Criminal Appeals, Place 6",0612,1930,431,2361,3388,69.69%,1685,502,91,2278
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0613,938,339,1277,2368,53.93%,199,998,30,1227
