Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0041,712,264,976,1518,64.30%,392,522,38,952
"Judge, Court of Criminal Appeals, Place 6",0042,438,109,547,1062,51.51%,15,519,3,537
"Judge, Court of Criminal Appeals, Place 6",0043,817,300,1117,1972,56.64%,438,579,44,1061
"Judge, Court of Criminal Appeals, Place 6",0044,729,310,1039,2126,48.87%,201,705,52,958
"Judge, Court of Criminal Appeals, Place 6",0045,2263,1021,3284,5740,57.21%,608,2456,88,3152
"Judge, Court of Criminal Appeals, Place 6",0046,876,341,1217,2568,47.39%,172,929,48,1149
"Judge, Court of Criminal Appeals, Place 6",0047,507,268,775,1618,47.90%,39,700,13,752
"Judge, Court of Criminal Appeals, Place 6",0048,348,168,516,967,53.36%,46,429,13,488
"Judge, Court of Criminal Appeals, Place 6",0049,1548,731,2279,3709,61.45%,1449,678,72,2199
"Judge, Court of Criminal Appeals, Place 6",0050,1838,680,2518,4314,58.37%,1158,1205,79,2442
"Judge, Court of Criminal Appeals, Place 6",0051,829,271,1100,1734,63.44%,767,251,46,1064
"Judge, Court of Criminal Appeals, Place 6",0052,1408,456,1864,2581,72.22%,804,850,101,1755
"Judge, Court of Criminal Appeals, Place 6",0053,1680,613,2293,3083,74.38%,872,1138,128,2138
"Judge, Court of Criminal Appeals, Place 6",0054,1056,211,1267,1619,78.26%,583,542,61,1186
"Judge, Court of Criminal Appeals, Place 6",0055,1272,410,1682,2094,80.32%,646,822,110,1578
"Judge, Court of Criminal Appeals, Place 6",0056,698,283,981,1393,70.42%,539,352,47,938
"Judge, Court of Criminal Appeals, Place 6",0057,2045,567,2612,3325,78.56%,977,1327,154,2458
"Judge, Court of Criminal Appeals, Place 6",0058,1717,484,2201,3031,72.62%,922,1043,110,2075
"Judge, Court of Criminal Appeals, Place 6",0059,1594,439,2033,2671,76.11%,788,1047,95,1930
"Judge, Court of Criminal Appeals, Place 6",0060,1477,537,2014,2766,72.81%,491,1311,101,1903
"Judge, Court of Criminal Appeals, Place 6",0061,519,423,942,1847,51.00%,239,616,34,889
"Judge, Court of Criminal Appeals, Place 6",0062,689,452,1141,2195,51.98%,200,822,41,1063
"Judge, Court of Criminal Appeals, Place 6",0063,767,391,1158,1903,60.85%,880,198,33,1111
"Judge, Court of Criminal Appeals, Place 6",0064,678,368,1046,2220,47.12%,189,751,32,972
"Judge, Court of Criminal Appeals, Place 6",0065,639,435,1074,2178,49.31%,165,813,43,1021
"Judge, Court of Criminal Appeals, Place 6",0066,247,255,502,1135,44.23%,87,369,14,470
"Judge, Court of Criminal Appeals, Place 6",0067,944,521,1465,3019,48.53%,252,1070,45,1367
"Judge, Court of Criminal Appeals, Place 6",0068,1172,430,1602,3096,51.74%,36,1500,13,1549
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0069,375,222,597,1309,45.61%,94,443,17,554
"Judge, Court of Criminal Appeals, Place 6",0070,2297,670,2967,3815,77.77%,1576,1132,118,2826
"Judge, Court of Criminal Appeals, Place 6",0071,2719,947,3666,5016,73.09%,1670,1601,224,3495
"Judge, Court of Criminal Appeals, Place 6",0072,737,418,1155,2029,56.92%,273,782,39,1094
"Judge, Court of Criminal Appeals, Place 6",0073,813,282,1095,1621,67.55%,537,445,52,1034
"Judge, Court of Criminal Appeals, Place 6",0074,2503,268,2771,3578,77.45%,2012,576,73,2661
"Judge, Court of Criminal Appeals, Place 6",0075,1002,286,1288,1684,76.48%,536,602,83,1221
"Judge, Court of Criminal Appeals, Place 6",0076,1015,427,1442,2441,59.07%,661,662,53,1376
"Judge, Court of Criminal Appeals, Place 6",0077,2,5,7,1,7,41.18%,1,5,1,7
"Judge, Court of Criminal Appeals, Place 6",0078,619,254,873,1608,54.29%,217,557,37,811
"Judge, Court of Criminal Appeals, Place 6",0079,831,602,1433,2963,48.36%,234,1056,43,1333
"Judge, Court of Criminal Appeals, Place 6",0080,1175,466,1641,2840,57.78%,331,1190,45,1566
"Judge, Court of Criminal Appeals, Place 6",0081,776,273,1049,1964,53.41%,277,679,39,995
"Judge, Court of Criminal Appeals, Place 6",0082,1588,756,2344,3539,66.23%,1596,572,102,2270
"Judge, Court of Criminal Appeals, Place 6",0083,1834,540,2374,4174,56.88%,860,1376,67,2303
"Judge, Court of Criminal Appeals, Place 6",0084,573,257,830,1421,58.41%,562,217,27,806
"Judge, Court of Criminal Appeals, Place 6",0085,603,329,932,2169,42.97%,33,846,22,901
"Judge, Court of Criminal Appeals, Place 6",0086,2040,493,2533,3449,73.44%,1088,1158,162,2408
"Judge, Court of Criminal Appeals, Place 6",0087,1452,719,2171,2839,76.47%,1260,737,67,2064
"Judge, Court of Criminal Appeals, Place 6",0088,338,141,479,784,61.10%,298,138,22,458
"Judge, Court of Criminal Appeals, Place 6",0089,399,424,823,1094,75.23%,416,319,30,765
"Judge, Court of Criminal Appeals, Place 6",0090,1860,890,2750,3883,70.82%,1906,632,113,2651
"Judge, Court of Criminal Appeals, Place 6",0091,673,339,1012,1724,58.70%,527,373,58,958
"Judge, Court of Criminal Appeals, Place 6",0092,1266,474,1740,2260,76.99%,1068,529,72,1669
"Judge, Court of Criminal Appeals, Place 6",0093,1049,619,1668,3536,47.17%,442,1104,50,1596
"Judge, Court of Criminal Appeals, Place 6",0094,202,63,265,580,45.69%,41,198,14,253
"Judge, Court of Criminal Appeals, Place 6",0095,2025,534,2560,3394,75.43%,1546,810,101,2457
"Judge, Court of Criminal Appeals, Place 6",0096,828,306,1134,2060,55.05%,150,909,25,1084
"Judge, Court of Criminal Appeals, Place 6",0097,2515,467,2982,4414,67.56%,2139,627,98,2864
"Judge, Court of Criminal Appeals, Place 6",0098,1385,594,1979,3161,62.61%,1561,304,46,1911
"Judge, Court of Criminal Appeals, Place 6",0099,681,295,976,2192,44.53%,381,525,38,944
"Judge, Court of Criminal Appeals, Place 6",0100,531,276,807,1825,44.22%,303,437,41,781
"Judge, Court of Criminal Appeals, Place 6",0101,221,129,350,988,35.43%,77,245,13,335
"Judge, Court of Criminal Appeals, Place 6",0102,581,227,808,1907,42.37%,196,545,23,764
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael E. Keasler,DEM Robert Burns,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 6",0103,2148,985,3133,5097,61.47%,1432,1502,104,3038
"Judge, Court of Criminal Appeals, Place 6",0104,915,211,1126,1920,58.65%,21,1069,11,1101
"Judge, Court of Criminal Appeals, Place 6",0105,709,433,1142,2304,49.57%,266,760,44,1070
"Judge, Court of Criminal Appeals, Place 6",0106,73,59,132,299,44.15%,42,84,3,129
"Judge, Court of Criminal Appeals, Place 6",0107,594,403,997,2230,44.71%,153,774,28,955
"Judge, Court of Criminal Appeals, Place 6",0108,1464,448,1912,3674,52.04%,862,902,65,1829
"Judge, Court of Criminal Appeals, Place 6",0109,1098,278,1376,2909,47.30%,32,1283,13,1328
"Judge, Court of Criminal Appeals, Place 6",0110,1664,481,2145,3222,66.57%,1178,838,65,2081
"Judge, Court of Criminal Appeals, Place 6",0111,2701,866,3567,4792,74.44%,2387,939,116,3442
"Judge, Court of Criminal Appeals, Place 6",0112,1509,598,2107,3188,66.09%,1321,623,84,2028
"Judge, Court of Criminal Appeals, Place 6",0113,1308,418,1726,2718,63.50%,848,773,51,1672
"Judge, Court of Criminal Appeals, Place 6",0114,2294,506,2800,3885,72.07%,1974,650,89,2713
"Judge, Court of Criminal Appeals, Place 6",0115,609,272,881,1843,47.80%,77,754,11,842
"Judge, Court of Criminal Appeals, Place 6",0116,1898,599,2497,3194,78.18%,1793,543,66,2402
"Judge, Court of Criminal Appeals, Place 6",0117,574,379,953,1900,50.16%,305,544,47,896
"Judge, Court of Criminal Appeals, Place 6",0118,1825,530,2355,3181,74.03%,1178,1006,86,2270
"Judge, Court of Criminal Appeals, Place 6",0119,2763,409,3172,4682,67.75%,2380,588,98,3066
"Judge, Court of Criminal Appeals, Place 6",0120,1812,588,2400,3732,64.31%,1346,862,89,2297
"Judge, Court of Criminal Appeals, Place 6",0121,354,221,575,966,59.52%,344,192,25,561
"Judge, Court of Criminal Appeals, Place 6",0122,733,284,1017,1904,53.41%,48,915,18,981
"Judge, Court of Criminal Appeals, Place 6",0123,750,287,1037,1585,65.43%,243,688,59,990
"Judge, Court of Criminal Appeals, Place 6",0124,3137,888,4025,5393,74.63%,3041,776,112,3929
"Judge, Court of Criminal Appeals, Place 6",0125,1207,400,1607,2593,61.97%,811,685,63,1559
"Judge, Court of Criminal Appeals, Place 6",0126,2021,427,2448,3380,72.43%,1995,306,74,2375
"Judge, Court of Criminal Appeals, Place 6",0127,979,214,1193,2091,57.05%,795,292,49,1136
"Judge, Court of Criminal Appeals, Place 6",0128,1107,612,1719,2322,74.03%,986,577,48,1611
"Judge, Court of Criminal Appeals, Place 6",0129,2549,1052,3601,5172,69.62%,1987,1313,133,3433
"Judge, Court of Criminal Appeals, Place 6",0130,1314,433,1747,2289,76.32%,1176,464,31,1671
"Judge, Court of Criminal Appeals, Place 6",0131,801,371,1172,2147,54.59%,224,875,43,1142
"Judge, Court of Criminal Appeals, Place 6",0132,1030,322,1352,2378,56.85%,39,1266,18,1323
"Judge, Court of Criminal Appeals, Place 6",0133,1412,746,2158,2690,80.22%,1110,840,78,2028
"Judge, Court of Criminal Appeals, Place 6",0134,594,345,939,1513,62.06%,357,506,30,893
"Judge, Court of Criminal Appeals, Place 6",0135,1621,551,2172,2777,78.21%,1302,685,75,2062
"Judge, Court of Criminal Appeals, Place 6",0136,985,352,1337,2116,63.19%,65,1181,38,1284
