Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,Totals
"Member, State Board of Education, District 8",0898,792,301,1093,1821,60.02%,544,544
"Member, State Board of Education, District 8",0901,0,0,0,0,0.00%,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Cargill,Totals
"Member, State Board of Education, District 8",0907,53,37,90,201,44.78%,22,22
"Member, State Board of Education, District 8",0911,237,63,300,576,52.08%,205,205
"Member, State Board of Education, District 8",0912,712,167,879,1341,65.55%,566,566
"Member, State Board of Education, District 8",0913,102,12,114,241,47.30%,32,32
"Member, State Board of Education, District 8",0919,1,0,1,1,100.00%,1,1
"Member, State Board of Education, District 8",0920,41,13,54,79,68.35%,37,37
"Member, State Board of Education, District 8",0923,2331,350,2681,3536,75.82%,2125,2125
"Member, State Board of Education, District 8",0925,0,0,0,0,0.00%,0,0
"Member, State Board of Education, District 8",0941,285,144,429,870,49.31%,251,251
"Member, State Board of Education, District 8",0950,0,0,0,0,0.00%,0,0
"Member, State Board of Education, District 8",0951,114,62,176,304,57.89%,59,59
"Member, State Board of Education, District 8",0964,2146,325,2471,3179,77.73%,1621,1621
"Member, State Board of Education, District 8",0965,101,35,136,345,39.42%,101,101
"Member, State Board of Education, District 8",0967,82,24,106,186,56.99%,54,54
"Member, State Board of Education, District 8",0968,455,127,582,906,64.24%,209,209
"Member, State Board of Education, District 8",0979,0,0,0,0,0.00%,0,0
"Member, State Board of Education, District 8",0988,62,15,77,117,65.81%,71,71
"Member, State Board of Education, District 8",0992,456,106,562,1075,52.28%,300,300
"Member, State Board of Education, District 8",0996,403,70,473,708,66.81%,284,284
"Member, State Board of Education, District 8",1006,0,0,0,0,0.00%,0,0
"Member, State Board of Education, District 8",1008,620,107,727,1011,71.91%,599,599
"Member, State Board of Education, District 8",1009,0,0,0,0,0.00%,0,0
"Member, State Board of Education, District 8",Totals:,234014,76948,310962,490574,208003,208003
