Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0820,0,0,0,0,0.00%,0,0,0
District Attorney,0821,362,188,550,1295,42.47%,70,457,527
District Attorney,0822,571,185,756,1574,48.03%,37,692,729
District Attorney,0823,1339,410,1749,3017,57.97%,881,801,1682
District Attorney,0824,1057,410,1467,2762,53.11%,318,1104,1422
District Attorney,0825,9,7,16,21,76.19%,3,12,15
District Attorney,0826,177,70,247,355,69.58%,126,111,237
District Attorney,0827,218,234,452,1042,43.38%,131,308,439
District Attorney,0828,1174,281,1455,1965,74.05%,1058,348,1406
District Attorney,0829,101,19,120,235,51.06%,34,81,115
District Attorney,0830,2,2,4,2,200.00%,4,0,4
District Attorney,0831,8,5,13,36,36.11%,5,6,11
District Attorney,0832,124,50,174,364,47.80%,44,120,164
District Attorney,0833,3,2,5,20,25.00%,1,4,5
District Attorney,0834,142,61,203,388,52.32%,18,183,201
District Attorney,0835,87,71,158,311,50.80%,40,109,149
District Attorney,0836,128,0,128,248,51.61%,9,111,120
District Attorney,0837,0,0,0,0,0.00%,0,0,0
District Attorney,0838,0,0,0,0,0.00%,0,0,0
District Attorney,0839,419,174,593,1190,49.83%,127,447,574
District Attorney,0840,829,228,1057,1780,59.38%,345,675,1020
District Attorney,0841,1473,475,1948,3431,56.78%,437,1462,1899
District Attorney,0842,1338,513,1851,3390,54.60%,679,1094,1773
District Attorney,0843,595,298,893,1387,64.38%,172,684,856
District Attorney,0844,4,0,4,10,40.00%,0,4,4
District Attorney,0845,151,13,164,218,75.23%,90,67,157
District Attorney,0846,61,22,83,229,36.24%,2,79,81
District Attorney,0847,993,330,1323,2310,57.27%,336,940,1276
District Attorney,0848,1011,201,1212,1875,64.64%,351,824,1175
District Attorney,0849,731,455,1186,2272,52.20%,305,797,1102
District Attorney,0850,129,19,148,208,71.15%,59,86,145
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0851,1885,441,2326,3597,64.66%,1457,793,2250
District Attorney,0852,0,0,0,1,0.00%,0,0,0
District Attorney,0853,1637,487,2124,2986,71.13%,1486,584,2070
District Attorney,0854,40,19,59,175,33.71%,6,51,57
District Attorney,0855,7,2,9,21,42.86%,4,4,8
District Attorney,0856,0,3,3,0,0.00%,1,0,1
District Attorney,0857,0,0,0,1,0.00%,0,0,0
District Attorney,0858,121,35,156,334,46.71%,4,143,147
District Attorney,0859,391,143,534,945,56.51%,117,400,517
District Attorney,0860,1,1,2,0,0.00%,0,2,2
District Attorney,0861,777,272,1049,1941,54.04%,173,842,1015
District Attorney,0862,1989,508,2497,3739,66.78%,1385,1037,2422
District Attorney,0863,192,64,256,581,44.06%,19,232,251
District Attorney,0864,693,574,1267,2708,46.79%,282,922,1204
District Attorney,0865,9,2,11,21,52.38%,1,10,11
District Attorney,0866,0,0,0,0,0.00%,0,0,0
District Attorney,0867,0,0,0,0,0.00%,0,0,0
District Attorney,0868,736,495,1231,2446,50.33%,295,882,1177
District Attorney,0869,165,55,220,480,45.83%,28,189,217
District Attorney,0870,0,2,2,0,0.00%,2,0,2
District Attorney,0871,2,1,3,3,100.00%,0,3,3
District Attorney,0872,16,6,22,68,32.35%,11,11,22
District Attorney,0873,296,111,407,778,52.31%,97,299,396
District Attorney,0874,1681,670,2351,3294,71.37%,1604,671,2275
District Attorney,0875,1947,501,2448,3592,68.15%,1072,1298,2370
District Attorney,0876,1945,577,2522,3485,72.37%,1665,774,2439
District Attorney,0877,1803,528,2331,3651,63.85%,841,1421,2262
District Attorney,0878,685,110,795,1039,76.52%,617,151,768
District Attorney,0879,1215,413,1628,2843,57.26%,651,913,1564
District Attorney,0880,1354,471,1825,2467,73.98%,1297,470,1767
District Attorney,0881,2465,927,3392,5638,60.16%,882,2418,3300
District Attorney,0882,1952,595,2547,4317,59.00%,730,1727,2457
District Attorney,0883,2252,928,3180,5613,56.65%,540,2529,3069
District Attorney,0884,149,55,204,396,51.52%,29,170,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0885,1570,323,1893,2811,67.34%,1017,819,1836
District Attorney,0886,495,152,647,906,71.41,%,317,291,608
District Attorney,0887,234,95,329,492,66.87%,167,141,308
District Attorney,0888,817,289,1106,1867,59.24%,347,722,1069
District Attorney,0889,113,28,141,238,59.24%,34,101,135
District Attorney,0890,445,98,543,1214,44.73%,200,314,514
District Attorney,0891,753,194,947,1376,68.82%,318,602,920
District Attorney,0892,420,123,543,900,60.33%,182,330,512
District Attorney,0893,1,4,5,9,55.56%,2,3,5
District Attorney,0894,801,305,1106,2087,52.99%,156,914,1070
District Attorney,0895,417,252,669,834,80.22%,271,371,642
District Attorney,0896,838,254,1092,1467,74.44%,336,717,1053
District Attorney,0897,812,365,1177,1766,66.65%,598,538,1136
District Attorney,0898,792,301,1093,1821,60.02%,419,646,1065
District Attorney,0899,745,165,911,1264,72.07%,531,359,890
District Attorney,0900,7,0,7,12,58.33%,0,7,7
District Attorney,0901,0,0,0,0,0.00%,0,0,0
District Attorney,0902,1310,361,1671,2217,75.37%,793,805,1598
District Attorney,0903,1314,354,1668,2558,65.21%,1173,452,1625
District Attorney,0904,2,0,2,8,25.00%,1,1,2
District Attorney,0905,390,136,526,946,55.60%,192,319,511
District Attorney,0906,19,3,22,28,78.57%,10,12,22
District Attorney,0907,53,37,90,201,44.78%,7,81,88
District Attorney,0908,0,0,0,0,0.00%,0,0,0
District Attorney,0909,7,1,8,21,38.10%,1,6,7
District Attorney,0910,78,37,115,236,48.73%,38,70,108
District Attorney,0911,237,63,300,576,52.08%,181,113,294
District Attorney,0912,712,167,879,1341,65.55%,491,356,847
District Attorney,0913,102,12,114,241,47.30%,20,90,110
District Attorney,0914,42,0,42,124,33.87%,9,32,41
District Attorney,0915,0,0,0,0,0.00%,0,0,0
District Attorney,0916,1472,308,1780,2205,80.73%,1293,429,1722
District Attorney,0917,33,9,42,147,28.57%,4,34,38
District Attorney,0918,3,1,4,7,57.14%,2,2,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0919,1,0,1,1,100.00%,0,1,1
District Attorney,0920,41,13,54,79,68.35%,34,20,54
District Attorney,0921,27,6,33,61,54.10%,7,26,33
District Attorney,0922,0,0,0,0,0.00%,0,0,0
District Attorney,0923,2331,350,2681,3536,75.82%,1917,711,2628
District Attorney,0924,0,0,0,0,0.00%,0,0,0
District Attorney,0925,0,0,0,0,0.00%,0,0,0
District Attorney,0926,550,149,699,967,72.29%,461,219,660
District Attorney,0927,966,173,1139,1771,64.31%,526,569,1095
District Attorney,0928,4,1,5,7,71.43%,0,5,5
District Attorney,0929,0,0,0,0,0.00%,0,0,0
District Attorney,0930,217,83,300,606,49.50%,18,272,290
District Attorney,0931,67,28,115,141,81.56%,45,61,106
District Attorney,0932,0,1,1,0,0.00%,0,1,1
District Attorney,0933,297,93,390,668,58.38%,115,260,375
District Attorney,0934,9,4,13,37,35.14%,6,7,13
District Attorney,0935,12,9,21,55,38.18%,8,13,21
District Attorney,0936,23,9,32,76,42.11%,6,23,29
District Attorney,0937,0,0,0,0,0.00%,0,0,0
District Attorney,0938,72,19,91,255,35.69%,24,65,89
District Attorney,0939,1,1,2,4,50.00%,1,1,2
District Attorney,0940,9,3,12,28,42.86%,0,12,12
District Attorney,0941,264,144,428,870,49.20%,189,214,403
District Attorney,0942,102,16,118,152,77.63%,72,45,117
District Attorney,0943,192,28,220,774,28.42%,48,160,208
District Attorney,0944,1,0,1,1,100.00%,0,1,1
District Attorney,0945,6,6,14,21,66.67%,2,11,13
District Attorney,0946,4,2,6,14,42.86%,2,4,6
District Attorney,0947,426,198,626,820,76.34%,293,310,603
District Attorney,0948,0,0,0,1,0.00%,0,0,0
District Attorney,0949,64,61,145,210,69.05%,59,80,139
District Attorney,0950,0,0,0,0,0.00%,0,0,0
District Attorney,0951,114,62,176,304,57.89%,40,127,167
District Attorney,0952,32,15,47,65,72.31%,30,17,47
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0953,4,0,4,8,50.00%,0,4,4
District Attorney,0954,0,0,0,0,0.00%,0,0,0
District Attorney,0955,3528,572,4100,5108,80.27%,2774,1163,3937
District Attorney,0956,0,0,0,0,0.00%,0,0,0
District Attorney,0957,282,39,321,585,54.87%,44,268,312
District Attorney,0958,430,231,661,1202,54.99%,118,516,634
District Attorney,0959,0,0,0,0,0.00%,0,0,0
District Attorney,0960,829,235,1064,1471,72.33%,239,794,1033
District Attorney,0961,820,318,1138,2369,48.04%,185,907,1092
District Attorney,0962,33,12,45,88,51.14%,7,35,42
District Attorney,0963,225,91,316,528,59.85%,123,175,298
District Attorney,0964,2145,325,2470,3179,77.70%,1380,1015,2395
District Attorney,0965,101,35,136,345,39.42%,83,48,131
District Attorney,0966,368,189,557,1332,41.82%,122,402,524
District Attorney,0967,82,24,106,186,56.99%,40,61,101
District Attorney,0968,455,127,582,906,64.24%,123,436,559
District Attorney,0969,299,71,370,624,59.29%,13,352,365
District Attorney,0970,223,102,325,810,40.12%,38,267,305
District Attorney,0971,0,0,0,0,0.00%,0,0,0
District Attorney,0972,0,0,0,0,0.00%,0,0,0
District Attorney,0973,504,138,642,999,64.26%,376,243,619
District Attorney,0974,0,1,1,0,0.00%,1,0,1
District Attorney,0975,104,26,130,190,68.42%,54,66,120
District Attorney,0976,190,152,342,712,48.03%,158,165,323
District Attorney,0977,160,108,268,617,43.44%,89,171,260
District Attorney,0978,0,0,0,0,0.00%,0,0,0
District Attorney,0979,0,0,0,0,0.00%,0,0,0
District Attorney,0980,686,333,1019,1412,72.17%,696,291,987
District Attorney,0981,12,2,14,31,45.16%,1,12,13
District Attorney,0982,1898,501,2399,2916,82.27%,1741,585,2326
District Attorney,0983,55,17,82,198,41.41,%,42,38,80
District Attorney,0984,75,57,133,341,39.00%,12,119,131
District Attorney,0985,222,56,278,355,78.31%,117,149,266
District Attorney,0986,153,78,231,537,43.02%,24,200,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0987,476,130,606,1183,51.23%,48,537,585
District Attorney,0988,62,15,77,117,65.81%,64,11,75
District Attorney,0989,0,0,0,0,0.00%,0,0,0
District Attorney,0990,5,6,11,66,16.67%,4,7,11
District Attorney,0991,0,1,1,2,50.00%,0,1,1
District Attorney,0992,456,106,562,1075,52.28%,250,288,538
District Attorney,0993,0,0,0,0,0.00%,0,0,0
District Attorney,0994,56,12,68,75,90.67%,20,47,67
District Attorney,0995,753,193,946,1576,60.03%,104,812,916
District Attorney,0996,403,70,473,708,66.81%,233,220,453
District Attorney,0997,521,283,804,1909,42.12%,138,646,784
District Attorney,0998,24,12,36,68,52.94%,22,13,35
District Attorney,0999,0,0,0,0,0.00%,0,0,0
District Attorney,1000,122,22,144,428,33.64%,21,118,139
District Attorney,1001,519,280,799,1654,48.31%,154,607,761
District Attorney,1002,480,270,750,1804,41.57%,105,609,714
District Attorney,1003,0,0,0,0,0.00%,0,0,0
District Attorney,1004,349,114,463,691,67.00%,211,237,448
District Attorney,1005,0,0,0,0,0.00%,0,0,0
District Attorney,1006,0,0,0,0,0.00%,0,0,0
District Attorney,1007,694,306,1000,1775,56.34%,216,754,970
District Attorney,1008,620,107,727,1011,71.91%,538,170,708
District Attorney,1009,0,0,0,0,0.00%,0,0,0
District Attorney,1010,292,96,388,647,59.97%,73,304,377
District Attorney,1011,9,6,15,31,48.39%,7,6,13
District Attorney,1012,543,362,905,1633,55.42%,226,633,859
District Attorney,Totals:,981446,353327,1334773,2182980,588464,696955,1285419
