Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0171,482,283,765,1648,46.42%,43,690,733
District Attorney,0172,245,103,348,661,52.65%,85,248,333
District Attorney,0173,2259,683,2942,3966,74.18%,2102,734,2836
District Attorney,0174,1715,707,2423,3389,71.50%,1495,829,2324
District Attorney,0175,1402,691,2093,2711,77.20%,986,1025,2011
District Attorney,0176,767,375,1142,1533,74.49%,496,593,1089
District Attorney,0177,937,333,1270,1715,74.05%,636,583,1219
District Attorney,0178,1116,273,1389,1795,77.38%,839,492,1331
District Attorney,0179,771,244,1015,1673,60.67%,432,525,957
District Attorney,0180,928,463,1391,2914,47.74%,71,1270,1341
District Attorney,0181,697,439,1136,2195,51.75%,256,830,1086
District Attorney,0182,1943,994,2937,4071,72.14%,1493,1327,2820
District Attorney,0183,1286,715,2001,2535,78.93%,1179,740,1919
District Attorney,0184,278,219,497,1048,47.42%,121,353,474
District Attorney,0185,709,444,1153,2054,56.13%,299,800,1099
District Attorney,0186,252,150,402,798,50.38%,41,349,390
District Attorney,0187,95,51,147,309,47.57%,26,110,136
District Attorney,0188,499,306,805,1711,47.05%,249,521,770
District Attorney,0189,804,279,1083,1505,71.96%,555,491,1046
District Attorney,0190,571,326,897,1849,48.51%,251,594,845
District Attorney,0191,327,259,586,1408,41.62%,159,405,564
District Attorney,0192,757,259,1016,1959,51.86%,80,900,980
District Attorney,0193,375,211,586,1099,53.32%,30,543,573
District Attorney,0194,1138,449,1587,2172,73.07%,406,1117,1523
District Attorney,0195,606,344,950,1739,54.63%,66,845,911
District Attorney,0196,132,37,169,313,53.99%,15,146,161
District Attorney,0197,995,372,1368,2969,46.08%,57,1276,1333
District Attorney,0198,161,82,243,619,39.26%,9,223,232
District Attorney,0199,1929,815,2744,4063,67.54%,1951,695,2646
District Attorney,0200,2307,377,2684,3692,72.70%,1121,1465,2586
District Attorney,0201,221,105,326,773,42.17%,16,305,321
District Attorney,0202,421,233,654,1410,46.38%,31,598,629
District Attorney,0203,298,111,409,988,41.40%,69,320,389
District Attorney,0204,2099,577,2676,3568,75.00%,1319,1233,2552
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0205,771,171,942,1724,54.64%,29,895,924
District Attorney,0206,1277,494,1771,2965,59.73%,498,1183,1681
District Attorney,0207,605,212,817,1166,70.07%,252,537,789
District Attorney,0208,909,338,1247,2256,55.27%,306,881,1187
District Attorney,0209,0,0,0,0,0.00%,0,0,0
District Attorney,0210,1259,489,1748,2781,62.86%,267,1422,1689
District Attorney,0211,964,595,1559,3130,49.81%,411,1059,1470
District Attorney,0212,309,323,632,1370,46.13%,108,489,597
District Attorney,0213,1782,795,2577,3406,75.66%,1879,634,2513
District Attorney,0214,1016,418,1434,1911,75.04%,830,555,1385
District Attorney,0215,1096,636,1732,2286,75.77%,912,753,1665
District Attorney,0216,778,244,1022,1966,51.98%,76,912,988
District Attorney,0217,1545,618,2163,2736,79.06%,1246,859,2105
District Attorney,0218,1099,457,1555,2467,63.07%,386,1077,1463
District Attorney,0219,1117,515,1632,2868,56.90%,163,1395,1558
District Attorney,0220,832,306,1138,2362,48.18%,691,399,1090
District Attorney,0221,1032,473,1505,2598,57.93%,472,962,1434
District Attorney,0222,1460,671,2131,2728,78.12%,924,1103,2027
District Attorney,0223,1750,517,2267,3664,61.87%,567,1583,2150
District Attorney,0224,1155,495,1551,2313,71.81%,679,914,1593
District Attorney,0225,1353,596,1949,3689,52.83%,782,1101,1883
District Attorney,0226,840,421,1261,2554,49.37%,243,968,1211
District Attorney,0227,1071,359,1430,1810,79.01%,954,430,1384
District Attorney,0228,625,159,784,1175,66.72%,57,714,771
District Attorney,0229,227,168,395,828,47.71%,105,269,374
District Attorney,0230,353,155,518,1094,47.35%,32,472,504
District Attorney,0231,801,445,1246,2376,52.44%,262,936,1198
District Attorney,0232,941,438,1379,1826,75.52%,713,616,1329
District Attorney,0233,2571,703,3274,4713,69.47%,1379,1747,3126
District Attorney,0234,2419,728,3147,4042,77.86%,2174,867,3041
District Attorney,0235,461,203,664,1421,46.73%,32,607,639
District Attorney,0236,555,308,964,2104,45.82%,51,885,936
District Attorney,0237,739,312,1051,2146,48.97%,38,988,1026
District Attorney,0238,606,317,923,1948,47.38%,32,857,889
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0239,694,334,1028,1984,51.81,%,40,968,1008
District Attorney,0240,1007,292,1299,2601,49.94%,39,1236,1275
District Attorney,0241,651,383,1034,2466,41.93%,320,679,999
District Attorney,0242,506,314,820,1744,47.02%,358,410,768
District Attorney,0243,244,42,286,475,60.21%,10,272,282
District Attorney,0244,1409,538,1947,3296,59.07%,879,993,1872
District Attorney,0245,2100,811,2911,4679,62.21%,1729,1054,2783
District Attorney,0246,2209,482,2691,3971,67.77%,1644,966,2610
District Attorney,0247,440,376,816,1595,51.16%,35,767,802
District Attorney,0248,453,347,800,2147,37.26%,159,593,752
District Attorney,0249,1124,365,1489,2825,52.71%,883,575,1458
District Attorney,0250,288,183,471,925,50.92%,22,439,461
District Attorney,0251,806,378,1184,2132,55.53%,72,1075,1147
District Attorney,0252,925,309,1235,2292,53.88%,35,1175,1210
District Attorney,0253,759,311,1070,2154,49.68%,43,1008,1051
District Attorney,0254,411,280,691,1675,41.25%,153,501,654
District Attorney,0255,1253,586,1839,2489,73.89%,755,1013,1768
District Attorney,0256,1398,583,1981,3321,59.65%,642,1245,1887
District Attorney,0257,997,622,1619,3497,46.30%,359,1193,1552
District Attorney,0258,1948,608,2555,3346,76.39%,1707,770,2477
District Attorney,0259,1030,414,1444,2312,62.46%,53,1361,1414
District Attorney,0260,547,227,774,1300,59.54%,372,367,739
District Attorney,0261,442,531,973,1457,66.78%,269,656,925
District Attorney,0262,1847,676,2523,4397,57.38%,1257,1148,2405
District Attorney,0263,2208,665,2873,4016,71.54%,1967,810,2777
District Attorney,0264,1110,627,1737,3101,56.01%,812,850,1662
District Attorney,0265,1991,608,2599,3582,72.56%,1683,820,2503
District Attorney,0266,737,443,1180,2147,54.96%,414,716,1130
District Attorney,0267,421,293,714,1433,49.83%,248,427,675
District Attorney,0268,1174,689,1863,2528,73.69%,956,809,1765
District Attorney,0269,1305,365,1670,2114,79.00%,1181,441,1622
District Attorney,0270,1816,688,2504,3985,62.84%,1164,1248,2412
District Attorney,0271,1150,346,1496,2558,58.48%,48,1423,1471
District Attorney,0272,870,415,1285,2334,55.06%,419,807,1226
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0273,1175,647,1822,2485,73.32%,1325,449,1774
District Attorney,0274,1261,311,1572,2223,70.72%,910,598,1508
District Attorney,0275,585,334,919,2059,44.63%,149,739,888
District Attorney,0276,1027,255,1282,2458,52.16%,37,1219,1256
District Attorney,0277,573,338,911,1898,48.00%,306,577,883
District Attorney,0278,1059,469,1528,2602,58.72%,625,832,1457
District Attorney,0279,789,314,1103,2073,53.21%,576,478,1054
District Attorney,0280,444,362,806,1656,48.67%,205,556,761
District Attorney,0281,1287,590,1877,2507,74.87%,787,1009,1796
District Attorney,0282,773,604,1377,2144,64.23%,727,601,1328
District Attorney,0283,2351,1143,3494,6365,54.89%,501,2877,3378
District Attorney,0284,1585,574,2159,4079,52.93%,676,1393,2069
District Attorney,0285,1077,431,1508,2680,56.27%,117,1346,1463
District Attorney,0286,1708,545,2253,3757,59.97%,205,1980,2185
District Attorney,0287,851,408,1259,1658,75.93%,545,662,1207
District Attorney,0288,881,314,1195,2208,54.12%,37,1134,1171
District Attorney,0289,481,352,833,1584,52.59%,293,494,787
District Attorney,0290,705,332,1037,1623,63.89%,722,289,1011
