Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0156,1413,403,1815,3223,56.35%,98,1638,1736
"District Judge, 127th Judicial District",0157,880,278,1158,2265,51.13%,66,1055,1121
"District Judge, 127th Judicial District",0158,1143,365,1508,3049,49.46%,39,1430,1469
"District Judge, 127th Judicial District",0159,348,147,495,997,49.65%,71,408,479
"District Judge, 127th Judicial District",0160,286,67,353,717,49.23%,17,323,340
"District Judge, 127th Judicial District",0161,378,173,551,992,55.54%,15,513,528
"District Judge, 127th Judicial District",0162,364,267,631,1312,48.09%,147,436,583
"District Judge, 127th Judicial District",0163,1080,524,1604,3075,52.16%,426,1014,1440
"District Judge, 127th Judicial District",0164,441,258,699,1407,49.68%,25,645,670
"District Judge, 127th Judicial District",0165,1169,469,1638,2460,66.59%,884,653,1537
"District Judge, 127th Judicial District",0166,562,261,823,1171,70.28%,254,514,768
"District Judge, 127th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 127th Judicial District",0168,196,59,255,512,49.80%,6,243,249
"District Judge, 127th Judicial District",0169,985,247,1232,2548,48.35%,32,1159,1191
"District Judge, 127th Judicial District",0170,553,262,925,1958,47.24%,405,454,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0171,482,283,765,1648,46.42%,40,689,729
"District Judge, 127th Judicial District",0172,245,103,348,661,52.65%,78,251,329
"District Judge, 127th Judicial District",0173,2259,683,2942,3966,74.18%,2121,684,2805
"District Judge, 127th Judicial District",0174,171,5,707,2423,3389,71.50%,1517,769,2286
"District Judge, 127th Judicial District",0175,1402,691,2093,2711,77.20%,955,981,1936
"District Judge, 127th Judicial District",0176,767,375,1142,1533,74.49%,489,570,1059
"District Judge, 127th Judicial District",0177,937,333,1270,1715,74.05%,630,553,1183
"District Judge, 127th Judicial District",0178,1116,273,1389,1795,77.38%,845,453,1298
"District Judge, 127th Judicial District",0179,771,244,1015,1673,60.67%,457,491,948
"District Judge, 127th Judicial District",0180,928,463,1391,2914,47.74%,52,1280,1332
"District Judge, 127th Judicial District",0181,697,439,1136,2195,51.75%,245,830,1075
"District Judge, 127th Judicial District",0182,1943,994,2937,4071,72.14%,1458,1268,2726
"District Judge, 127th Judicial District",0183,1286,715,2001,2535,78.93%,1126,736,1862
"District Judge, 127th Judicial District",0184,278,219,497,1048,47.42%,126,334,460
"District Judge, 127th Judicial District",0185,709,444,1153,2054,56.13%,284,798,1082
"District Judge, 127th Judicial District",0186,252,150,402,798,50.38%,30,356,386
"District Judge, 127th Judicial District",0187,95,51,147,309,47.57%,22,112,134
"District Judge, 127th Judicial District",0188,499,306,805,1711,47.05%,241,527,768
"District Judge, 127th Judicial District",0189,804,279,1083,1505,71.96%,573,442,1015
"District Judge, 127th Judicial District",0190,571,326,897,1849,48.51%,257,586,843
"District Judge, 127th Judicial District",0191,327,259,586,1408,41.62%,168,392,560
"District Judge, 127th Judicial District",0192,757,259,1016,1959,51.86%,64,909,973
"District Judge, 127th Judicial District",0193,375,211,586,1099,53.32%,25,533,558
"District Judge, 127th Judicial District",0194,1138,449,1587,2172,73.07%,413,1077,1490
"District Judge, 127th Judicial District",0195,606,344,950,1739,54.63%,47,852,899
"District Judge, 127th Judicial District",0196,132,37,169,313,53.99%,14,143,157
"District Judge, 127th Judicial District",0197,995,372,1368,2969,46.08%,42,1277,1319
"District Judge, 127th Judicial District",0198,161,82,243,619,39.26%,10,223,233
"District Judge, 127th Judicial District",0199,1929,815,2744,4063,67.54%,1999,624,2623
"District Judge, 127th Judicial District",0200,2307,377,2684,3692,72.70%,1141,1380,2521
"District Judge, 127th Judicial District",0201,221,105,326,773,42.17%,12,308,320
"District Judge, 127th Judicial District",0202,421,233,654,1410,46.38%,28,601,629
"District Judge, 127th Judicial District",0203,298,111,409,988,41.40%,67,314,381
"District Judge, 127th Judicial District",0204,2099,577,2676,3568,75.00%,1309,1154,2463
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0205,771,171,942,1724,54.64%,25,890,915
"District Judge, 127th Judicial District",0206,1277,494,1771,2965,59.73%,494,1147,1641
"District Judge, 127th Judicial District",0207,505,212,817,1166,70.07%,246,510,756
"District Judge, 127th Judicial District",0208,909,338,1247,2256,55.27%,274,884,1158
"District Judge, 127th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0210,1259,489,1748,2781,62.86%,273,1402,1675
"District Judge, 127th Judicial District",0211,964,595,1559,3130,49.81%,417,1036,1453
"District Judge, 127th Judicial District",0212,309,323,632,1370,46.13%,97,491,588
"District Judge, 127th Judicial District",0213,1782,795,2577,3406,75.66%,1861,618,2479
"District Judge, 127th Judicial District",0214,1015,418,1434,1911,75.04%,780,556,1336
"District Judge, 127th Judicial District",0215,1096,636,1732,2286,75.77%,899,717,1616
"District Judge, 127th Judicial District",0216,778,244,1022,1966,51.98%,65,915,980
"District Judge, 127th Judicial District",0217,1545,618,2163,2736,79.06%,1196,866,2062
"District Judge, 127th Judicial District",0218,1099,457,1555,2467,63.07%,340,1086,1426
"District Judge, 127th Judicial District",0219,1117,515,1632,2868,56.90%,139,1404,1543
"District Judge, 127th Judicial District",0220,832,306,1138,2362,48.18%,691,384,1075
"District Judge, 127th Judicial District",0221,1032,473,1505,2598,57.93%,460,945,1405
"District Judge, 127th Judicial District",0222,1460,671,2131,2728,78.12%,851,1130,1981
"District Judge, 127th Judicial District",0223,1750,517,2267,3664,61.87%,561,1565,2126
"District Judge, 127th Judicial District",0224,1166,495,1551,2313,71.81%,684,863,1547
"District Judge, 127th Judicial District",0225,1353,596,1949,3689,52.83%,798,1068,1866
"District Judge, 127th Judicial District",0226,540,421,1261,2554,49.37%,235,965,1200
"District Judge, 127th Judicial District",0227,1071,359,1430,1810,79.01%,935,435,1370
"District Judge, 127th Judicial District",0228,625,159,784,1175,66.72%,45,725,770
"District Judge, 127th Judicial District",0229,227,168,395,828,47.71%,106,260,366
"District Judge, 127th Judicial District",0230,353,155,518,1094,47.35%,26,473,499
"District Judge, 127th Judicial District",0231,801,445,1246,2376,52.44%,256,925,1181
"District Judge, 127th Judicial District",0232,941,438,1379,1826,75.52%,680,611,1291
"District Judge, 127th Judicial District",0233,2571,703,3274,4713,69.47%,1418,1640,3058
"District Judge, 127th Judicial District",0234,2419,728,3147,4042,77.86%,2127,863,2990
"District Judge, 127th Judicial District",0235,451,203,664,1421,46.73%,28,602,630
"District Judge, 127th Judicial District",0236,555,308,964,2104,45.82%,46,886,932
"District Judge, 127th Judicial District",0237,739,312,1051,2146,48.97%,24,998,1022
"District Judge, 127th Judicial District",0238,505,317,923,1948,47.38%,32,852,884
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0239,694,334,1028,1984,51.81%,40,961,1001
"District Judge, 127th Judicial District",0240,1007,292,1299,2601,49.94%,31,1237,1268
"District Judge, 127th Judicial District",0241,651,383,1034,2466,41.93%,312,678,990
"District Judge, 127th Judicial District",0242,506,314,820,1744,47.02%,348,412,760
"District Judge, 127th Judicial District",0243,244,42,286,475,60.21%,7,276,283
"District Judge, 127th Judicial District",0244,1409,538,1947,3296,59.07%,900,952,1852
"District Judge, 127th Judicial District",0245,2100,811,2911,4679,62.21%,1792,971,2763
"District Judge, 127th Judicial District",0246,2209,482,2691,3971,67.77%,1640,946,2586
"District Judge, 127th Judicial District",0247,440,376,816,1595,51.16%,24,775,799
"District Judge, 127th Judicial District",0248,453,347,800,2147,37.26%,177,575,752
"District Judge, 127th Judicial District",0249,1124,365,1489,2825,52.71%,910,533,1443
"District Judge, 127th Judicial District",0250,288,183,471,925,50.92%,20,442,462
"District Judge, 127th Judicial District",0251,806,378,1184,2132,55.53%,63,1072,1135
"District Judge, 127th Judicial District",0252,925,309,1235,2292,53.88%,26,1171,1197
"District Judge, 127th Judicial District",0253,759,311,1070,2154,49.68%,32,1013,1045
"District Judge, 127th Judicial District",0254,411,280,691,1675,41.25%,148,504,652
"District Judge, 127th Judicial District",0255,1253,586,1839,2489,73.89%,762,956,1718
"District Judge, 127th Judicial District",0256,1398,583,1981,3321,59.65%,634,1231,1865
"District Judge, 127th Judicial District",0257,997,622,1619,3497,46.30%,352,1191,1543
"District Judge, 127th Judicial District",0258,1948,608,2555,3346,76.39%,1718,702,2420
"District Judge, 127th Judicial District",0259,1030,414,1444,2312,62.46%,35,1371,1406
"District Judge, 127th Judicial District",0260,547,227,774,1300,59.54%,363,364,727
"District Judge, 127th Judicial District",0261,442,531,973,1457,66.78%,264,647,911
"District Judge, 127th Judicial District",0262,1847,676,2523,4397,57.38%,1272,1106,2378
"District Judge, 127th Judicial District",0263,2208,665,2873,4016,71.54%,1975,763,2738
"District Judge, 127th Judicial District",0264,1110,627,1737,3101,56.01%,835,799,1634
"District Judge, 127th Judicial District",0265,1991,608,2599,3582,72.56%,1709,732,2441
"District Judge, 127th Judicial District",0266,737,443,1180,2147,54.96%,417,694,1111
"District Judge, 127th Judicial District",0267,421,293,714,1433,49.83%,252,421,673
"District Judge, 127th Judicial District",0268,1174,689,1863,2528,73.69%,949,773,1722
"District Judge, 127th Judicial District",0269,1305,365,1670,2114,79.00%,1175,406,1581
"District Judge, 127th Judicial District",0270,1816,688,2504,3985,62.84%,1178,1163,2341
"District Judge, 127th Judicial District",0271,1150,346,1496,2558,58.48%,39,1420,1459
"District Judge, 127th Judicial District",0272,870,415,1285,2334,55.06%,420,793,1213
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sarahjane Swanson,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0273,1175,647,1822,2485,73.32%,1342,409,1751
"District Judge, 127th Judicial District",0274,1251,311,1572,2223,70.72%,900,568,1468
"District Judge, 127th Judicial District",0275,585,334,919,2059,44.63%,144,739,883
"District Judge, 127th Judicial District",0276,1027,255,1282,2458,52.16%,22,1231,1253
"District Judge, 127th Judicial District",0277,573,338,911,1898,48.00%,305,570,875
"District Judge, 127th Judicial District",0278,1059,469,1528,2602,58.72%,623,818,1441
"District Judge, 127th Judicial District",0279,789,314,1103,2073,53.21%,601,448,1049
"District Judge, 127th Judicial District",0280,444,362,806,1656,48.67%,223,533,756
"District Judge, 127th Judicial District",0281,1287,590,1877,2507,74.87%,774,951,1725
"District Judge, 127th Judicial District",0282,773,604,1377,2144,64.23%,729,583,1312
"District Judge, 127th Judicial District",0283,2351,1143,3494,6365,54.89%,496,2867,3363
"District Judge, 127th Judicial District",0284,1585,574,2159,4079,52.93%,683,1363,2046
"District Judge, 127th Judicial District",0285,1077,431,1508,2680,56.27%,124,1333,1457
"District Judge, 127th Judicial District",0286,1708,545,2253,3757,59.97%,191,1985,2176
"District Judge, 127th Judicial District",0287,851,408,1259,1658,75.93%,563,625,1188
"District Judge, 127th Judicial District",0288,881,314,1195,2208,54.12%,33,1130,1163
"District Judge, 127th Judicial District",0289,481,352,833,1584,52.59%,291,479,770
"District Judge, 127th Judicial District",0290,705,332,1037,1623,63.89%,729,273,1002
"District Judge, 127th Judicial District",0291,503,233,836,1218,68.64%,328,460,788
"District Judge, 127th Judicial District",0292,549,178,727,1379,52.72%,87,612,699
"District Judge, 127th Judicial District",0293,778,475,1253,1811,69.19%,501,665,1166
"District Judge, 127th Judicial District",0294,852,198,1050,2054,51.12%,15,1016,1031
"District Judge, 127th Judicial District",0295,270,111,381,894,42.62%,12,359,371
"District Judge, 127th Judicial District",0296,701,385,1086,1705,63.70%,519,489,1008
"District Judge, 127th Judicial District",0297,729,341,1070,2055,52.07%,345,665,1010
"District Judge, 127th Judicial District",0298,1095,387,1482,2236,66.28%,702,712,1414
"District Judge, 127th Judicial District",0299,499,236,735,1506,48.80%,221,463,684
"District Judge, 127th Judicial District",0300,3385,728,4113,5480,75.05%,3005,933,3938
"District Judge, 127th Judicial District",0301,737,392,1129,2337,48.31%,377,688,1065
"District Judge, 127th Judicial District",0302,1197,591,1788,3277,54.56%,866,840,1706
"District Judge, 127th Judicial District",0303,1896,692,2588,3375,76.68%,1829,649,2478
"District Judge, 127th Judicial District",0304,1190,474,1664,2326,71.54%,837,704,1541
"District Judge, 127th Judicial District",0305,2154,645,2799,4838,57.85%,893,1789,2682
"District Judge, 127th Judicial District",0306,1095,299,1395,1896,73.58%,908,403,1311
