Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0001,1426,496,1922,2682,71.66%,667,983,105,83,1838
"Justice, Supreme Court, Place 3",0002,1007,370,1377,2099,65.60%,560,653,76,36,1325
"Justice, Supreme Court, Place 3",0003,875,336,1211,1625,74.52%,462,597,56,39,1154
"Justice, Supreme Court, Place 3",0004,955,369,1324,1709,77.47%,497,685,64,29,1275
"Justice, Supreme Court, Place 3",0005,760,380,1140,1470,77.55%,446,563,62,29,1100
"Justice, Supreme Court, Place 3",0006,1841,628,2469,4084,60.46%,1125,1088,90,89,2392
"Justice, Supreme Court, Place 3",0007,430,125,555,1002,55.39%,17,510,5,8,540
"Justice, Supreme Court, Place 3",0008,891,351,1242,1848,67.21%,579,539,49,31,1198
"Justice, Supreme Court, Place 3",0009,552,312,974,1861,52.34%,214,598,40,73,925
"Justice, Supreme Court, Place 3",0010,703,232,935,1830,51.09%,157,602,22,90,871
"Justice, Supreme Court, Place 3",0011,619,258,877,1748,50.17%,160,561,26,81,828
"Justice, Supreme Court, Place 3",0012,230,65,295,731,40.36%,142,121,7,14,284
"Justice, Supreme Court, Place 3",0013,1232,382,1614,2751,58.67%,1012,446,58,41,1557
"Justice, Supreme Court, Place 3",0014,992,429,1421,1924,73.86%,724,569,55,24,1372
"Justice, Supreme Court, Place 3",0015,1490,849,2339,2852,82.01%,1427,749,50,10,2236
"Justice, Supreme Court, Place 3",0016,683,189,872,1284,67.91%,397,374,47,23,841
"Justice, Supreme Court, Place 3",0017,452,293,745,1198,62.19%,299,370,23,17,709
"Justice, Supreme Court, Place 3",0018,744,367,1111,1456,76.30%,536,477,40,14,1067
"Justice, Supreme Court, Place 3",0019,652,293,945,1288,73.37%,302,516,66,25,909
"Justice, Supreme Court, Place 3",0020,1013,335,1348,2780,48.49%,408,765,83,41,1297
"Justice, Supreme Court, Place 3",0021,541,207,748,1229,60.86%,161,482,50,31,724
"Justice, Supreme Court, Place 3",0022,936,419,1355,2501,54.18%,205,1027,44,32,1308
"Justice, Supreme Court, Place 3",0023,132,74,206,551,37.39%,34,133,15,20,202
"Justice, Supreme Court, Place 3",0024,294,36,330,712,46.35%,63,233,11,15,322
"Justice, Supreme Court, Place 3",0025,241,292,533,1105,48.24%,24,479,3,14,520
"Justice, Supreme Court, Place 3",0026,835,313,1149,1969,58.35%,227,737,41,87,1092
"Justice, Supreme Court, Place 3",0027,1394,508,1902,3271,58.15%,372,1225,59,153,1809
"Justice, Supreme Court, Place 3",0028,1517,446,1963,3307,59.36%,1075,755,45,32,1907
"Justice, Supreme Court, Place 3",0029,648,490,1138,2722,41.81%,304,666,22,88,1080
"Justice, Supreme Court, Place 3",0030,1292,546,1838,2818,65.22%,523,1079,111,39,1752
"Justice, Supreme Court, Place 3",0031,786,453,1239,2656,46.65%,42,1117,24,12,1195
"Justice, Supreme Court, Place 3",0032,1269,504,1773,2728,64.99%,725,816,118,45,1704
"Justice, Supreme Court, Place 3",0033,2085,554,2640,3907,67.57%,953,1361,144,53,2511
"Justice, Supreme Court, Place 3",0034,1613,517,2130,3044,69.97%,480,1401,98,81,2060
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0035,5,0,5,14,35.71%,2,2,0,1,5
"Justice, Supreme Court, Place 3",0036,1032,516,1548,3100,49.94%,312,1056,37,73,1478
"Justice, Supreme Court, Place 3",0037,1537,409,1946,2467,78.88%,676,1059,83,38,1856
"Justice, Supreme Court, Place 3",0038,1879,436,2315,3081,75.14%,794,1273,103,43,2213
"Justice, Supreme Court, Place 3",0039,1711,492,2203,3070,71.76%,618,1355,92,46,2111
"Justice, Supreme Court, Place 3",0040,275,107,382,527,72.49%,215,143,8,3,369
"Justice, Supreme Court, Place 3",0041,712,264,976,1518,64.30%,391,483,47,26,947
"Justice, Supreme Court, Place 3",0042,438,109,547,1062,51.51,%,15,509,2,8,534
"Justice, Supreme Court, Place 3",0043,817,300,1117,1972,56.64%,443,542,38,49,1072
"Justice, Supreme Court, Place 3",0044,729,310,1039,2126,48.87%,194,648,30,95,967
"Justice, Supreme Court, Place 3",0045,2263,1021,3284,5740,57.21%,558,2396,76,126,3156
"Justice, Supreme Court, Place 3",0046,876,341,1217,2568,47.39%,157,873,34,87,1151
"Justice, Supreme Court, Place 3",0047,507,268,775,1618,47.90%,40,685,14,18,757
"Justice, Supreme Court, Place 3",0048,348,168,516,967,53.36%,50,418,11,16,495
"Justice, Supreme Court, Place 3",0049,1548,731,2279,3709,61.45%,1452,628,67,54,2201
"Justice, Supreme Court, Place 3",0050,1838,680,2518,4314,58.37%,1165,1165,75,41,2446
"Justice, Supreme Court, Place 3",0051,829,271,1100,1734,63.44%,755,246,42,24,1067
"Justice, Supreme Court, Place 3",0052,1408,456,1864,2581,72.22%,865,799,99,28,1791
"Justice, Supreme Court, Place 3",0053,1680,613,2293,3083,74.38%,955,1066,122,56,2199
"Justice, Supreme Court, Place 3",0054,1056,211,1267,1619,78.26%,612,532,54,22,1220
"Justice, Supreme Court, Place 3",0055,1272,410,1682,2094,80.32%,670,781,105,45,1601
"Justice, Supreme Court, Place 3",0056,698,283,981,1393,70.42%,546,346,37,24,953
"Justice, Supreme Court, Place 3",0057,2045,567,2612,3325,78.56%,1090,1212,135,72,2509
"Justice, Supreme Court, Place 3",0058,1717,484,2201,3031,72.62%,966,986,112,45,2109
"Justice, Supreme Court, Place 3",0059,1594,439,2033,2671,76.11%,837,966,103,48,1954
"Justice, Supreme Court, Place 3",0060,1477,537,2014,2766,72.81%,544,1232,89,72,1937
"Justice, Supreme Court, Place 3",0061,519,423,942,1847,51.00%,232,592,22,50,896
"Justice, Supreme Court, Place 3",0062,689,452,1141,2195,51.98%,186,765,21,105,1077
"Justice, Supreme Court, Place 3",0063,767,391,1158,1903,60.85%,879,190,38,12,1119
"Justice, Supreme Court, Place 3",0064,678,368,1046,2220,47.12%,180,710,19,70,979
"Justice, Supreme Court, Place 3",0065,639,435,1074,2178,49.31%,160,761,24,81,1026
"Justice, Supreme Court, Place 3",0066,247,255,502,1135,44.23%,84,357,7,31,479
"Justice, Supreme Court, Place 3",0067,944,521,1465,3019,48.53%,250,983,33,111,1377
"Justice, Supreme Court, Place 3",0068,1172,430,1602,3096,51.74%,42,1481,21,18,1562
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0069,375,222,597,1309,45.61%,80,405,17,50,552
"Justice, Supreme Court, Place 3",0070,2297,670,2967,3815,77.77%,1702,1024,84,46,2856
"Justice, Supreme Court, Place 3",0071,2719,947,3666,5016,73.09%,1703,1549,232,58,3542
"Justice, Supreme Court, Place 3",0072,737,418,1155,2029,56.92%,249,718,28,111,1106
"Justice, Supreme Court, Place 3",0073,813,282,1095,1621,67.55%,551,430,37,31,1049
"Justice, Supreme Court, Place 3",0074,2503,268,2771,3578,77.45%,2019,576,69,18,2682
"Justice, Supreme Court, Place 3",0075,1002,286,1288,1684,76.48%,544,571,83,37,1235
"Justice, Supreme Court, Place 3",0076,1015,427,1442,2441,59.07%,650,625,43,68,1386
"Justice, Supreme Court, Place 3",0077,2,5,7,1,7,41.18%,1,5,0,1,7
"Justice, Supreme Court, Place 3",0078,619,254,873,1608,54.29%,190,522,28,74,814
"Justice, Supreme Court, Place 3",0079,831,602,1433,2963,48.36%,220,965,27,144,1356
"Justice, Supreme Court, Place 3",0080,1175,466,1641,2840,57.78%,332,1131,30,74,1567
"Justice, Supreme Court, Place 3",0081,776,273,1049,1964,53.41%,269,643,18,63,993
"Justice, Supreme Court, Place 3",0082,1588,756,2344,3539,66.23%,1590,551,100,37,2278
"Justice, Supreme Court, Place 3",0083,1834,540,2374,4174,56.88%,858,1328,68,61,2315
"Justice, Supreme Court, Place 3",0084,573,257,830,1421,58.41%,556,204,24,22,806
"Justice, Supreme Court, Place 3",0085,603,329,932,2169,42.97%,42,821,23,19,905
"Justice, Supreme Court, Place 3",0086,2040,493,2533,3449,73.44%,1117,1119,143,59,2438
"Justice, Supreme Court, Place 3",0087,1452,719,2171,2839,76.47%,1360,656,61,10,2087
"Justice, Supreme Court, Place 3",0088,338,141,479,784,61.10%,292,137,25,7,461
"Justice, Supreme Court, Place 3",0089,399,424,823,1094,75.23%,463,275,31,11,780
"Justice, Supreme Court, Place 3",0090,1860,890,2750,3883,70.82%,1940,573,109,43,2665
"Justice, Supreme Court, Place 3",0091,673,339,1012,1724,58.70%,542,346,44,37,969
"Justice, Supreme Court, Place 3",0092,1266,474,1740,2260,76.99%,1112,488,64,27,1691
"Justice, Supreme Court, Place 3",0093,1049,619,1668,3536,47.17%,449,1034,35,89,1607
"Justice, Supreme Court, Place 3",0094,202,53,255,580,45.69%,45,182,9,21,257
"Justice, Supreme Court, Place 3",0095,2025,534,2560,3394,75.43%,1627,733,102,28,2490
"Justice, Supreme Court, Place 3",0096,828,306,1134,2060,55.05%,140,883,28,43,1094
"Justice, Supreme Court, Place 3",0097,2515,467,2982,4414,67.56%,2135,607,96,55,2893
"Justice, Supreme Court, Place 3",0098,1385,594,1979,3161,62.61%,1554,291,58,21,1924
"Justice, Supreme Court, Place 3",0099,681,295,976,2192,44.53%,373,497,24,47,941
"Justice, Supreme Court, Place 3",0100,531,276,807,1825,44.22%,305,414,24,41,784
"Justice, Supreme Court, Place 3",0101,221,129,350,988,35.43%,79,234,8,17,338
"Justice, Supreme Court, Place 3",0102,581,227,808,1907,42.37%,190,517,15,50,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0103,2148,985,3133,5097,61.47%,1415,1433,86,121,3055
"Justice, Supreme Court, Place 3",0104,915,211,1126,1920,58.65%,27,1049,5,17,1098
"Justice, Supreme Court, Place 3",0105,709,433,1142,2304,49.57%,260,713,31,83,1087
"Justice, Supreme Court, Place 3",0106,73,59,132,299,44.15%,41,84,0,6,131
"Justice, Supreme Court, Place 3",0107,594,403,997,2230,44.71%,135,732,21,71,959
"Justice, Supreme Court, Place 3",0108,1464,448,1912,3674,52.04%,876,849,53,55,1833
"Justice, Supreme Court, Place 3",0109,1098,278,1376,2909,47.30%,43,1259,15,24,1341
"Justice, Supreme Court, Place 3",0110,1664,481,2145,3222,66.57%,1186,800,65,40,2091
"Justice, Supreme Court, Place 3",0111,2701,866,3567,4792,74.44%,2373,892,120,65,3450
"Justice, Supreme Court, Place 3",0112,1509,598,2107,3188,66.09%,1325,577,94,34,2030
"Justice, Supreme Court, Place 3",0113,1308,418,1726,2718,63.50%,847,730,49,45,1671
"Justice, Supreme Court, Place 3",0114,2294,506,2800,3885,72.07%,1957,623,102,39,2721
"Justice, Supreme Court, Place 3",0115,609,272,881,1843,47.80%,78,732,6,28,844
"Justice, Supreme Court, Place 3",0116,1898,599,2497,3194,78.18%,1850,489,69,18,2426
"Justice, Supreme Court, Place 3",0117,574,379,953,1900,50.16%,303,511,38,53,905
"Justice, Supreme Court, Place 3",0118,1825,530,2355,3181,74.03%,1192,957,86,48,2283
"Justice, Supreme Court, Place 3",0119,2763,409,3172,4682,67.75%,2404,546,91,41,3082
"Justice, Supreme Court, Place 3",0120,1812,588,2400,3732,64.31%,1365,806,85,59,2315
"Justice, Supreme Court, Place 3",0121,354,221,575,966,59.52%,344,184,18,17,563
"Justice, Supreme Court, Place 3",0122,733,284,1017,1904,53.41%,49,897,15,18,979
"Justice, Supreme Court, Place 3",0123,750,287,1037,1585,65.43%,290,626,55,33,1004
"Justice, Supreme Court, Place 3",0124,3137,888,4025,5393,74.63%,3062,732,113,35,3942
"Justice, Supreme Court, Place 3",0125,1207,400,1607,2593,61.97%,803,662,49,47,1561
"Justice, Supreme Court, Place 3",0126,2021,427,2448,3380,72.43%,2006,281,78,20,2385
"Justice, Supreme Court, Place 3",0127,979,214,1193,2091,57.05%,790,287,45,21,1143
"Justice, Supreme Court, Place 3",0128,1107,812,1719,2322,74.03%,1057,515,44,15,1631
"Justice, Supreme Court, Place 3",0129,2549,1052,3601,5172,69.62%,2061,1222,121,69,3473
"Justice, Supreme Court, Place 3",0130,1314,433,1747,2289,76.32%,1220,417,35,13,1685
"Justice, Supreme Court, Place 3",0131,801,371,1172,2147,54.59%,211,857,25,54,1147
"Justice, Supreme Court, Place 3",0132,1030,322,1352,2378,56.85%,40,1253,20,12,1325
"Justice, Supreme Court, Place 3",0133,1412,746,2158,2690,80.22%,1213,755,70,27,2065
"Justice, Supreme Court, Place 3",0134,594,345,939,1513,62.06%,338,483,17,61,899
"Justice, Supreme Court, Place 3",0135,1521,551,2172,2777,78.21%,1390,606,76,15,2087
"Justice, Supreme Court, Place 3",0136,985,352,1337,2116,63.19%,77,1131,43,41,1292
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0137,993,259,1252,1986,63.04%,800,356,44,17,1217
"Justice, Supreme Court, Place 3",0138,601,228,829,1723,48.11%,26,745,10,22,803
"Justice, Supreme Court, Place 3",0139,1947,601,2548,3435,74.18%,1159,1124,120,37,2440
"Justice, Supreme Court, Place 3",0140,1525,510,2035,3270,62.23%,311,1534,60,46,1951
"Justice, Supreme Court, Place 3",0141,217,153,370,904,40.93%,192,135,9,14,350
"Justice, Supreme Court, Place 3",0142,293,140,433,933,46.41%,80,278,9,38,405
"Justice, Supreme Court, Place 3",0143,1868,267,2135,2582,82.69%,1357,662,57,17,2093
"Justice, Supreme Court, Place 3",0144,442,125,567,1086,52.21%,19,517,9,6,551
"Justice, Supreme Court, Place 3",0145,560,256,816,1564,52.17%,21,758,10,6,795
"Justice, Supreme Court, Place 3",0146,1000,494,1494,2073,72.07%,611,726,64,40,1441
"Justice, Supreme Court, Place 3",0147,1412,354,1766,3211,55.00%,210,1444,34,31,1719
"Justice, Supreme Court, Place 3",0148,1266,652,1918,2571,74.60%,821,942,51,17,1831
"Justice, Supreme Court, Place 3",0149,2941,573,3514,4756,73.89%,1855,1400,125,49,3429
"Justice, Supreme Court, Place 3",0150,582,223,805,1574,51.14%,28,719,8,23,778
"Justice, Supreme Court, Place 3",0151,282,107,389,826,47.09%,15,343,6,6,370
"Justice, Supreme Court, Place 3",0152,838,524,1362,3059,44.52%,243,936,25,94,1298
"Justice, Supreme Court, Place 3",0153,545,399,944,1873,50.40%,187,629,24,69,909
"Justice, Supreme Court, Place 3",0154,913,289,1202,2293,52.42%,212,783,24,108,1127
"Justice, Supreme Court, Place 3",0155,2275,576,2851,4065,70.14%,1753,918,60,28,2759
"Justice, Supreme Court, Place 3",0156,1415,403,1818,3223,56.41%,94,1586,33,42,1755
"Justice, Supreme Court, Place 3",0157,880,278,1158,2265,51.13%,64,1038,17,12,1131
"Justice, Supreme Court, Place 3",0158,1145,365,1510,3049,49.52%,35,1404,25,12,1476
"Justice, Supreme Court, Place 3",0159,350,147,497,997,49.85%,74,379,11,16,480
"Justice, Supreme Court, Place 3",0160,286,67,353,717,49.23%,12,321,4,6,343
"Justice, Supreme Court, Place 3",0161,378,173,551,992,55.54%,20,498,6,5,529
"Justice, Supreme Court, Place 3",0162,364,267,531,1312,48.09%,138,404,17,37,596
"Justice, Supreme Court, Place 3",0163,1083,524,1607,3075,52.26%,417,931,31,105,1484
"Justice, Supreme Court, Place 3",0164,441,258,699,1407,49.68%,21,633,10,4,668
"Justice, Supreme Court, Place 3",0165,1172,469,1641,2460,66.71%,892,578,68,45,1583
"Justice, Supreme Court, Place 3",0166,563,261,824,1171,70.37%,262,454,39,32,787
"Justice, Supreme Court, Place 3",0167,5,2,7,24,29.17%,1,5,0,1,7
"Justice, Supreme Court, Place 3",0168,196,59,255,512,49.80%,5,241,4,1,251
"Justice, Supreme Court, Place 3",0169,985,247,1232,2548,48.35%,34,1128,22,13,1197
"Justice, Supreme Court, Place 3",0170,554,262,926,1958,47.29%,394,419,28,40,881
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0171,482,283,765,1648,46.42%,37,668,9,20,734
"Justice, Supreme Court, Place 3",0172,245,103,348,661,52.65%,77,220,11,33,341
"Justice, Supreme Court, Place 3",0173,2262,683,2945,3966,74.26%,2115,612,92,39,2858
"Justice, Supreme Court, Place 3",0174,1718,707,2425,3389,71.56%,1584,632,85,32,2333
"Justice, Supreme Court, Place 3",0175,1403,691,2094,2711,77.24%,1067,838,66,27,1998
"Justice, Supreme Court, Place 3",0176,767,375,1142,1533,74.49%,552,487,29,6,1074
"Justice, Supreme Court, Place 3",0177,943,333,1276,1715,74.40%,672,460,59,25,1216
"Justice, Supreme Court, Place 3",0178,1116,273,1389,1795,77.38%,919,343,50,15,1327
"Justice, Supreme Court, Place 3",0179,773,244,1017,1673,60.79%,446,453,44,30,973
"Justice, Supreme Court, Place 3",0180,930,463,1393,2914,47.80%,49,1233,21,36,1339
"Justice, Supreme Court, Place 3",0181,698,439,1137,2195,51.80%,230,749,26,85,1090
"Justice, Supreme Court, Place 3",0182,1952,994,2946,4071,72.37%,1579,1111,84,31,2805
"Justice, Supreme Court, Place 3",0183,1289,715,2004,2535,79.05%,1288,584,40,12,1924
"Justice, Supreme Court, Place 3",0184,278,219,497,1048,47.42%,119,315,20,20,474
"Justice, Supreme Court, Place 3",0185,709,444,1153,2054,56.13%,289,739,23,50,1101
"Justice, Supreme Court, Place 3",0186,252,150,402,798,50.38%,26,339,1,24,390
"Justice, Supreme Court, Place 3",0187,96,51,147,309,47.57%,19,101,2,14,136
"Justice, Supreme Court, Place 3",0188,499,306,805,1711,47.05%,229,487,22,40,778
"Justice, Supreme Court, Place 3",0189,805,279,1084,1505,72.03%,574,401,45,23,1043
"Justice, Supreme Court, Place 3",0190,571,326,897,1849,48.51%,224,544,28,58,854
"Justice, Supreme Court, Place 3",0191,327,259,586,1408,41.62%,154,352,12,43,561
"Justice, Supreme Court, Place 3",0192,757,259,1016,1959,51.86%,69,873,23,18,983
"Justice, Supreme Court, Place 3",0193,376,211,587,1099,53.41%,21,507,18,22,568
"Justice, Supreme Court, Place 3",0194,1144,449,1593,2172,73.34%,436,978,67,46,1527
"Justice, Supreme Court, Place 3",0195,606,344,950,1739,54.63%,51,828,16,18,913
"Justice, Supreme Court, Place 3",0196,133,37,170,313,54.31%,15,131,9,8,163
"Justice, Supreme Court, Place 3",0197,995,372,1368,2969,46.08%,39,1237,23,29,1328
"Justice, Supreme Court, Place 3",0198,161,82,243,619,39.26%,9,211,4,8,232
"Justice, Supreme Court, Place 3",0199,1932,815,2747,4063,67.61%,1987,514,107,72,2680
"Justice, Supreme Court, Place 3",0200,2317,377,2694,3692,72.97%,1201,1242,104,42,2589
"Justice, Supreme Court, Place 3",0201,222,105,327,773,42.30%,11,299,5,4,319
"Justice, Supreme Court, Place 3",0202,421,233,654,1410,46.38%,26,581,11,12,630
"Justice, Supreme Court, Place 3",0203,298,111,409,988,41.40%,56,290,17,28,391
"Justice, Supreme Court, Place 3",0204,2104,577,2681,3568,75.14%,1364,1003,129,59,2555
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0205,772,171,943,1724,54.70%,24,879,10,9,922
"Justice, Supreme Court, Place 3",0206,1278,494,1772,2965,59.76%,497,1027,88,77,1689
"Justice, Supreme Court, Place 3",0207,606,212,818,1166,70.15%,247,453,33,51,784
"Justice, Supreme Court, Place 3",0208,910,338,1248,2256,55.32%,274,817,21,66,1178
"Justice, Supreme Court, Place 3",0209,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0210,1269,489,1758,2781,63.21%,255,1330,73,55,1713
"Justice, Supreme Court, Place 3",0211,965,595,1551,3130,49.87%,390,936,39,116,1481
"Justice, Supreme Court, Place 3",0212,309,323,632,1370,46.13%,96,452,11,43,602
"Justice, Supreme Court, Place 3",0213,1782,795,2577,3406,75.66%,2011,434,53,17,2515
"Justice, Supreme Court, Place 3",0214,1017,418,1435,1911,75.09%,838,459,52,18,1367
"Justice, Supreme Court, Place 3",0215,1097,636,1733,2286,75.81%,996,601,50,23,1670
"Justice, Supreme Court, Place 3",0216,778,244,1022,1966,51.98%,57,879,18,34,988
"Justice, Supreme Court, Place 3",0217,1547,618,2165,2736,79.13%,1417,609,47,29,2102
"Justice, Supreme Court, Place 3",0218,1101,457,1558,2467,63.15%,358,940,48,116,1462
"Justice, Supreme Court, Place 3",0219,1125,515,1641,2868,57.22%,146,1357,39,27,1569
"Justice, Supreme Court, Place 3",0220,833,306,1139,2362,48.22%,692,329,32,33,1086
"Justice, Supreme Court, Place 3",0221,1032,473,1505,2598,57.93%,450,868,28,85,1431
"Justice, Supreme Court, Place 3",0222,1461,671,2132,2728,78.15%,1081,896,45,12,2034
"Justice, Supreme Court, Place 3",0223,1766,517,2283,3664,62.31%,583,1422,111,72,2188
"Justice, Supreme Court, Place 3",0224,1165,495,1551,2313,71.81%,761,753,51,27,1592
"Justice, Supreme Court, Place 3",0225,1357,596,1953,3689,52.94%,786,992,78,43,1899
"Justice, Supreme Court, Place 3",0226,840,421,1261,2554,49.37%,216,871,23,107,1217
"Justice, Supreme Court, Place 3",0227,1071,359,1430,1810,79.01%,1077,271,31,8,1387
"Justice, Supreme Court, Place 3",0228,628,159,787,1175,66.98%,50,700,12,12,774
"Justice, Supreme Court, Place 3",0229,229,168,397,828,47.95%,99,238,6,33,376
"Justice, Supreme Court, Place 3",0230,354,155,519,1094,47.44%,19,465,13,6,503
"Justice, Supreme Court, Place 3",0231,802,445,1247,2376,52.48%,227,843,27,96,1193
"Justice, Supreme Court, Place 3",0232,942,438,1380,1826,75.58%,756,510,31,21,1318
"Justice, Supreme Court, Place 3",0233,2583,703,3286,4713,69.72%,1476,1453,165,61,3155
"Justice, Supreme Court, Place 3",0234,2425,728,3153,4042,78.01%,2336,649,54,17,3056
"Justice, Supreme Court, Place 3",0235,461,203,664,1421,46.73%,26,594,10,12,642
"Justice, Supreme Court, Place 3",0236,555,308,964,2104,45.82%,43,851,14,26,934
"Justice, Supreme Court, Place 3",0237,740,312,1052,2146,49.02%,32,965,9,20,1026
"Justice, Supreme Court, Place 3",0238,607,317,924,1948,47.43%,27,817,13,27,884
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0239,694,334,1028,1984,51.81%,34,943,12,19,1008
"Justice, Supreme Court, Place 3",0240,1008,292,1300,2601,49.98%,33,1211,13,15,1272
"Justice, Supreme Court, Place 3",0241,652,383,1035,2466,41.97%,302,622,18,54,996
"Justice, Supreme Court, Place 3",0242,507,314,821,1744,47.08%,336,376,23,40,775
"Justice, Supreme Court, Place 3",0243,245,42,287,475,60.42%,5,273,2,2,282
"Justice, Supreme Court, Place 3",0244,1412,538,1950,3296,59.16%,879,877,62,67,1885
"Justice, Supreme Court, Place 3",0245,2103,811,2914,4679,62.28%,1728,890,112,79,2809
"Justice, Supreme Court, Place 3",0246,2214,482,2696,3971,67.89%,1609,873,73,55,2610
"Justice, Supreme Court, Place 3",0247,441,376,817,1595,51.22%,24,752,13,15,804
"Justice, Supreme Court, Place 3",0248,454,347,801,2147,37.31%,163,539,17,53,772
"Justice, Supreme Court, Place 3",0249,1127,365,1492,2825,52.81%,902,485,47,32,1466
"Justice, Supreme Court, Place 3",0250,288,183,471,925,50.92%,18,432,8,5,463
"Justice, Supreme Court, Place 3",0251,806,378,1184,2132,55.53%,65,1057,13,10,1145
"Justice, Supreme Court, Place 3",0252,927,309,1236,2292,53.93%,25,1150,15,16,1206
"Justice, Supreme Court, Place 3",0253,760,311,1071,2154,49.72%,29,991,18,14,1052
"Justice, Supreme Court, Place 3",0254,411,280,691,1675,41.25%,139,474,19,33,665
"Justice, Supreme Court, Place 3",0255,1257,586,1843,2489,74.05%,820,848,66,29,1763
"Justice, Supreme Court, Place 3",0256,1398,583,1981,3321,59.65%,628,1116,61,88,1893
"Justice, Supreme Court, Place 3",0257,999,622,1621,3497,46.35%,349,1092,34,91,1566
"Justice, Supreme Court, Place 3",0258,1948,608,2556,3346,76.39%,1815,563,75,22,2475
"Justice, Supreme Court, Place 3",0259,1031,414,1445,2312,62.50%,33,1338,23,19,1413
"Justice, Supreme Court, Place 3",0260,548,227,775,1300,59.62%,372,336,19,19,746
"Justice, Supreme Court, Place 3",0261,442,531,973,1457,66.78%,236,610,27,51,924
"Justice, Supreme Court, Place 3",0262,1849,676,2525,4397,57.43%,1297,954,115,59,2425
"Justice, Supreme Court, Place 3",0263,2212,665,2877,4016,71.64%,1964,700,74,45,2783
"Justice, Supreme Court, Place 3",0264,1114,627,1741,3101,56.14%,814,714,71,69,1668
"Justice, Supreme Court, Place 3",0265,1995,608,2603,3582,72.67%,1819,584,80,29,2512
"Justice, Supreme Court, Place 3",0266,737,443,1180,2147,54.96%,410,635,28,62,1135
"Justice, Supreme Court, Place 3",0267,421,293,714,1433,49.83%,237,387,24,32,680
"Justice, Supreme Court, Place 3",0268,1178,689,1867,2528,73.85%,1040,672,56,17,1785
"Justice, Supreme Court, Place 3",0269,1307,365,1672,2114,79.09%,1265,315,23,10,1613
"Justice, Supreme Court, Place 3",0270,1816,688,2504,3985,62.84%,1191,1033,74,101,2399
"Justice, Supreme Court, Place 3",0271,1150,346,1496,2558,58.48%,40,1401,17,11,1469
"Justice, Supreme Court, Place 3",0272,871,415,1286,2334,55.10%,425,709,57,45,1236
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0273,1176,647,1823,2485,73.36%,1421,311,40,12,1784
"Justice, Supreme Court, Place 3",0274,1263,311,1574,2223,70.81%,966,463,47,33,1509
"Justice, Supreme Court, Place 3",0275,586,334,920,2059,44.68%,145,699,22,32,898
"Justice, Supreme Court, Place 3",0276,1027,255,1282,2458,52.16%,20,1211,18,10,1259
"Justice, Supreme Court, Place 3",0277,573,338,911,1898,48.00%,290,526,24,40,880
"Justice, Supreme Court, Place 3",0278,1059,469,1528,2602,58.72%,600,743,38,78,1459
"Justice, Supreme Court, Place 3",0279,790,314,1104,2073,53.26%,584,408,39,36,1067
"Justice, Supreme Court, Place 3",0280,444,362,806,1656,48.67%,208,499,27,47,781
"Justice, Supreme Court, Place 3",0281,1287,590,1877,2507,74.87%,925,779,53,18,1775
"Justice, Supreme Court, Place 3",0282,777,604,1381,2144,64.41%,737,517,52,29,1335
