Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0817,2791,550,3341,4700,71.09%,2249,861,107,52,3269
"Justice, Supreme Court, Place 3",0818,209,104,313,737,42.47%,59,229,6,8,302
"Justice, Supreme Court, Place 3",0819,108,31,139,228,60.96%,72,56,2,2,132
"Justice, Supreme Court, Place 3",0820,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0821,362,188,550,1295,42.47%,67,424,11,26,528
"Justice, Supreme Court, Place 3",0822,571,185,756,1574,48.03%,27,687,7,8,729
"Justice, Supreme Court, Place 3",0823,1339,410,1749,3017,57.97%,879,706,57,46,1688
"Justice, Supreme Court, Place 3",0824,1059,410,1469,2762,53.19%,296,1031,33,64,1424
"Justice, Supreme Court, Place 3",0825,9,7,15,21,76.19%,3,10,2,1,16
"Justice, Supreme Court, Place 3",0826,177,70,247,355,69.58%,130,94,5,5,234
"Justice, Supreme Court, Place 3",0827,218,234,452,1042,43.38%,126,278,10,26,440
"Justice, Supreme Court, Place 3",0828,1174,281,1455,1965,74.05%,1109,248,47,12,1416
"Justice, Supreme Court, Place 3",0829,101,19,120,235,51.06%,34,76,3,3,116
"Justice, Supreme Court, Place 3",0830,2,2,4,2,200.00%,4,0,0,0,4
"Justice, Supreme Court, Place 3",0831,8,5,13,36,36.11%,6,5,0,1,12
"Justice, Supreme Court, Place 3",0832,125,50,175,364,48.08%,42,115,5,6,168
"Justice, Supreme Court, Place 3",0833,3,2,5,20,25.00%,1,4,0,0,5
"Justice, Supreme Court, Place 3",0834,142,61,203,388,52.32%,18,177,5,0,200
"Justice, Supreme Court, Place 3",0835,87,71,158,311,50.80%,38,98,1,17,154
"Justice, Supreme Court, Place 3",0836,128,0,128,248,51.61%,11,105,1,3,120
"Justice, Supreme Court, Place 3",0837,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0838,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0839,419,174,593,1190,49.83%,116,403,31,24,574
"Justice, Supreme Court, Place 3",0840,831,228,1059,1780,59.49%,320,631,34,35,1020
"Justice, Supreme Court, Place 3",0841,1475,475,1950,3431,56.83%,425,1354,53,55,1887
"Justice, Supreme Court, Place 3",0842,1340,513,1853,3390,54.66%,662,978,70,73,1783
"Justice, Supreme Court, Place 3",0843,595,298,893,1387,64.38%,148,657,19,40,864
"Justice, Supreme Court, Place 3",0844,4,0,4,10,40.00%,0,4,0,0,4
"Justice, Supreme Court, Place 3",0845,152,13,165,218,75.69%,94,57,6,2,159
"Justice, Supreme Court, Place 3",0846,61,22,83,229,36.24%,2,75,0,5,82
"Justice, Supreme Court, Place 3",0847,993,330,1323,2310,57.27%,337,883,26,43,1289
"Justice, Supreme Court, Place 3",0848,1014,201,1215,1875,64.80%,352,747,31,35,1165
"Justice, Supreme Court, Place 3",0849,731,455,1186,2272,52.20%,283,713,35,92,1123
"Justice, Supreme Court, Place 3",0850,129,19,148,208,71.15%,49,76,3,15,143
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0851,1886,441,2327,3597,64.69%,1466,661,83,42,2252
"Justice, Supreme Court, Place 3",0852,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0853,1538,487,2125,2986,71.17%,1519,457,73,27,2076
"Justice, Supreme Court, Place 3",0854,40,19,59,175,33.71%,6,48,1,3,58
"Justice, Supreme Court, Place 3",0855,7,2,9,21,42.86%,4,3,1,1,9
"Justice, Supreme Court, Place 3",0856,0,3,3,0,0.00%,0,0,1,0,1
"Justice, Supreme Court, Place 3",0857,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0858,122,35,157,334,47.01%,5,144,1,1,151
"Justice, Supreme Court, Place 3",0859,391,143,534,945,56.51%,108,378,11,16,513
"Justice, Supreme Court, Place 3",0860,1,1,2,0,0.00%,0,2,0,0,2
"Justice, Supreme Court, Place 3",0861,777,272,1049,1941,54.04%,158,811,24,27,1020
"Justice, Supreme Court, Place 3",0862,1989,508,2497,3739,66.78%,1400,902,76,51,2429
"Justice, Supreme Court, Place 3",0863,192,64,256,581,44.06%,12,237,1,1,251
"Justice, Supreme Court, Place 3",0864,693,574,1267,2708,46.79%,246,871,18,80,1215
"Justice, Supreme Court, Place 3",0865,9,2,11,21,52.38%,0,10,1,0,11
"Justice, Supreme Court, Place 3",0866,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0867,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0868,737,495,1232,2446,50.37%,287,811,24,55,1177
"Justice, Supreme Court, Place 3",0869,166,55,221,480,46.04%,30,176,5,3,214
"Justice, Supreme Court, Place 3",0870,0,2,2,0,0.00%,2,0,0,0,2
"Justice, Supreme Court, Place 3",0871,2,1,3,3,100.00%,0,2,1,0,3
"Justice, Supreme Court, Place 3",0872,16,6,22,68,32.35%,12,10,0,0,22
"Justice, Supreme Court, Place 3",0873,296,111,407,778,52.31%,94,282,6,15,397
"Justice, Supreme Court, Place 3",0874,1682,670,2352,3294,71.40%,1638,524,65,57,2284
"Justice, Supreme Court, Place 3",0875,1950,501,2451,3592,68.23%,1085,1147,85,67,2384
"Justice, Supreme Court, Place 3",0876,1947,577,2524,3485,72.42%,1693,655,70,34,2452
"Justice, Supreme Court, Place 3",0877,1805,528,2334,3651,63.93%,821,1321,84,54,2280
"Justice, Supreme Court, Place 3",0878,685,110,795,1039,76.52%,628,119,21,4,772
"Justice, Supreme Court, Place 3",0879,1217,413,1630,2843,57.33%,636,834,68,41,1579
"Justice, Supreme Court, Place 3",0880,1357,471,1828,2467,74.10%,1337,378,45,24,1784
"Justice, Supreme Court, Place 3",0881,2467,927,3394,5638,60.20%,827,2287,116,81,3311
"Justice, Supreme Court, Place 3",0882,1954,595,2549,4317,59.05%,723,1604,61,66,2454
"Justice, Supreme Court, Place 3",0883,2253,928,3181,5613,56.67%,508,2364,66,141,3079
"Justice, Supreme Court, Place 3",0884,149,55,204,396,51.52%,27,166,2,6,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0885,1573,323,1896,2811,67.45%,1025,744,49,40,1858
"Justice, Supreme Court, Place 3",0886,498,152,650,906,71.74%,339,229,42,13,623
"Justice, Supreme Court, Place 3",0887,235,95,330,492,67.07%,167,120,25,3,315
"Justice, Supreme Court, Place 3",0888,820,289,1109,1867,59.40%,334,658,34,41,1067
"Justice, Supreme Court, Place 3",0889,114,28,142,238,59.66%,35,84,10,7,136
"Justice, Supreme Court, Place 3",0890,449,98,547,1214,45.06%,217,257,35,13,522
"Justice, Supreme Court, Place 3",0891,753,194,947,1376,68.82%,357,510,30,17,914
"Justice, Supreme Court, Place 3",0892,428,123,551,900,61.22%,182,292,32,25,531
"Justice, Supreme Court, Place 3",0893,1,4,5,9,55.56%,2,3,0,0,5
"Justice, Supreme Court, Place 3",0894,805,305,1110,2087,53.19%,142,877,35,27,1081
"Justice, Supreme Court, Place 3",0895,419,252,671,834,80.46%,308,300,24,9,641
"Justice, Supreme Court, Place 3",0896,841,254,1095,1467,74.64%,400,608,24,26,1058
"Justice, Supreme Court, Place 3",0897,814,365,1179,1766,66.76%,581,475,50,28,1134
"Justice, Supreme Court, Place 3",0898,792,301,1093,1821,60.02%,412,584,38,31,1065
"Justice, Supreme Court, Place 3",0899,747,165,912,1264,72.15%,543,310,35,9,897
"Justice, Supreme Court, Place 3",0900,7,0,7,12,58.33%,1,6,0,0,7
"Justice, Supreme Court, Place 3",0901,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0902,1311,361,1672,2217,75.42%,851,631,83,45,1610
"Justice, Supreme Court, Place 3",0903,1315,354,1669,2558,65.25%,1182,377,44,31,1634
"Justice, Supreme Court, Place 3",0904,2,0,2,8,25.00%,1,1,0,0,2
"Justice, Supreme Court, Place 3",0905,390,136,526,946,55.60%,177,299,9,26,511
"Justice, Supreme Court, Place 3",0906,19,3,22,28,78.57%,13,9,0,0,22
"Justice, Supreme Court, Place 3",0907,53,37,90,201,44.78%,9,77,2,1,89
"Justice, Supreme Court, Place 3",0908,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0909,7,1,8,21,38.10%,2,5,0,1,8
"Justice, Supreme Court, Place 3",0910,78,37,115,236,48.73%,33,61,4,11,109
"Justice, Supreme Court, Place 3",0911,237,63,300,576,52.08%,179,98,6,9,292
"Justice, Supreme Court, Place 3",0912,712,167,879,1341,65.55%,489,300,29,28,846
"Justice, Supreme Court, Place 3",0913,102,12,114,241,47.30%,20,86,0,3,109
"Justice, Supreme Court, Place 3",0914,42,0,42,124,33.87%,9,27,1,2,39
"Justice, Supreme Court, Place 3",0915,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0916,1474,308,1782,2205,80.82%,1302,332,71,26,1731
"Justice, Supreme Court, Place 3",0917,34,9,43,147,29.25%,4,33,1,1,39
"Justice, Supreme Court, Place 3",0918,3,1,4,7,57.14%,1,3,0,0,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra Lehrmann,DEM Mike Westergren,LIB Kathie Glass,GRN Rodolfo Rivera Munoz,Totals
"Justice, Supreme Court, Place 3",0919,1,0,1,1,100.00%,0,1,0,0,1
"Justice, Supreme Court, Place 3",0920,41,13,54,79,68.35%,31,17,4,0,52
"Justice, Supreme Court, Place 3",0921,27,6,33,61,54.10%,6,25,0,2,33
"Justice, Supreme Court, Place 3",0922,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0923,2334,350,2684,3536,75.90%,1937,601,81,16,2635
"Justice, Supreme Court, Place 3",0924,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0925,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0926,550,149,899,967,72.29%,459,192,23,7,681
"Justice, Supreme Court, Place 3",0927,970,173,1143,1771,64.54%,550,468,44,33,1095
"Justice, Supreme Court, Place 3",0928,4,1,5,7,71.43%,0,5,0,0,5
"Justice, Supreme Court, Place 3",0929,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0930,217,83,300,606,49.50%,15,255,5,14,289
"Justice, Supreme Court, Place 3",0931,87,28,115,141,81.56%,50,53,3,1,107
"Justice, Supreme Court, Place 3",0932,0,1,1,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 3",0933,297,93,390,668,58.38%,113,243,15,8,379
"Justice, Supreme Court, Place 3",0934,9,4,13,37,35.14%,7,6,0,0,13
"Justice, Supreme Court, Place 3",0935,12,9,21,55,38.18%,7,12,0,1,20
"Justice, Supreme Court, Place 3",0936,23,9,32,76,42.11%,7,18,0,5,30
"Justice, Supreme Court, Place 3",0937,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 3",0938,72,19,91,255,35.69%,25,61,2,2,90
