Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Heap,Totals
"Constable, Precinct 5",0731,2087,624,2711,4834,56.08%,1407,1407
"Constable, Precinct 5",0751,2931,1013,3944,5893,66.93%,2774,2774
"Constable, Precinct 5",0761,1088,167,1255,1598,78.54%,947,947
"Constable, Precinct 5",0765,2051,874,2925,5742,50.94%,1052,1052
"Constable, Precinct 5",0771,572,210,782,1588,49.24%,417,417
"Constable, Precinct 5",0772,2805,477,3282,4606,71.25%,2647,2647
"Constable, Precinct 5",0773,1593,638,2331,4414,52.81%,771,771
"Constable, Precinct 5",0781,1235,612,1847,3782,48.84%,732,732
"Constable, Precinct 5",0785,1229,357,1586,1896,83.65%,1005,1005
"Constable, Precinct 5",0789,1377,420,1797,2998,59.94%,1179,1179
"Constable, Precinct 5",0790,1143,329,1472,2523,58.34%,661,661
"Constable, Precinct 5",0796,1371,465,1836,3041,60.37%,924,924
"Constable, Precinct 5",0800,1934,730,2664,4216,63.19%,1813,1813
"Constable, Precinct 5",0803,2665,547,3212,4514,71.16%,2384,2384
"Constable, Precinct 5",0804,2703,682,3385,5303,63.83%,2036,2036
"Constable, Precinct 5",0807,792,349,1141,2163,52.75%,328,328
"Constable, Precinct 5",0813,1742,434,2176,3488,62.39%,1218,1218
"Constable, Precinct 5",0814,1968,827,2795,5483,50.98%,853,853
"Constable, Precinct 5",0826,177,70,247,355,69.58%,149,149
"Constable, Precinct 5",0829,101,19,120,235,51.06%,46,46
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ted Heap,Totals
"Constable, Precinct 5",0839,419,174,593,1190,49.83%,203,203
"Constable, Precinct 5",0862,1989,508,2497,3739,66.78%,1643,1643
"Constable, Precinct 5",0869,165,55,220,480,45.83%,51,51
"Constable, Precinct 5",0875,1947,501,2448,3592,68.15%,1379,1379
"Constable, Precinct 5",0877,1803,528,2331,3651,63.85%,1137,1137
"Constable, Precinct 5",0879,1215,413,1628,2843,57.26%,847,847
"Constable, Precinct 5",0881,2465,927,3392,5638,60.16%,1262,1262
"Constable, Precinct 5",0882,1952,595,2547,4317,59.00%,1034,1034
"Constable, Precinct 5",0898,792,301,1093,1821,60.02%,557,557
"Constable, Precinct 5",0899,745,165,911,1264,72.07%,637,637
"Constable, Precinct 5",0913,102,12,114,241,47.30%,28,28
"Constable, Precinct 5",0919,1,0,1,1,100.00%,1,1
"Constable, Precinct 5",0923,2331,350,2681,3536,75.82%,2144,2144
"Constable, Precinct 5",0938,72,19,91,255,35.69%,33,33
"Constable, Precinct 5",0939,1,1,2,4,50.00%,1,1
"Constable, Precinct 5",0942,102,16,118,152,77.63%,89,89
"Constable, Precinct 5",0943,192,28,220,774,28.42%,67,67
"Constable, Precinct 5",0944,1,0,1,1,100.00%,0,0
"Constable, Precinct 5",0951,114,62,176,304,57.89%,60,60
"Constable, Precinct 5",0952,32,15,47,65,72.31%,37,37
"Constable, Precinct 5",0973,504,138,642,999,64.26%,452,452
"Constable, Precinct 5",0984,76,57,133,341,39.00%,22,22
"Constable, Precinct 5",0985,222,56,278,355,78.31%,151,151
"Constable, Precinct 5",0986,153,78,231,537,43.02%,44,44
"Constable, Precinct 5",0991,0,1,1,2,50.00%,0,0
"Constable, Precinct 5",0992,456,106,562,1075,52.28%,299,299
"Constable, Precinct 5",1000,122,22,144,428,33.64%,41,41
"Constable, Precinct 5",1001,519,280,799,1654,48.31%,222,222
"Constable, Precinct 5",1002,480,270,750,1804,41.57%,167,167
"Constable, Precinct 5",1006,0,0,0,0,0.00%,0,0
"Constable, Precinct 5",1009,0,0,0,0,0.00%,0,0
"Constable, Precinct 5",Totals;,259509,90060,649569,562082,205188,205188
