Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0269,1307,365,1672,2114,79.09%,1205,360,23,6,1594
"Judge, Court of Criminal Appeals, Place 2",0270,1816,688,2504,3985,62.84%,1180,1050,90,63,2383
"Judge, Court of Criminal Appeals, Place 2",0271,1150,346,1496,2558,58.48%,32,1417,11,10,1470
"Judge, Court of Criminal Appeals, Place 2",0272,871,415,1286,2334,55.10%,418,737,52,25,1232
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0273,1176,647,1823,2485,73.36%,1365,372,31,7,1775
"Judge, Court of Criminal Appeals, Place 2",0274,1263,311,1574,2223,70.81%,925,491,48,25,1489
"Judge, Court of Criminal Appeals, Place 2",0275,586,334,920,2059,44.68%,142,716,20,16,894
"Judge, Court of Criminal Appeals, Place 2",0276,1027,255,1282,2458,52.16%,19,1226,8,5,1258
"Judge, Court of Criminal Appeals, Place 2",0277,573,338,911,1898,48.00%,297,544,22,18,881
"Judge, Court of Criminal Appeals, Place 2",0278,1059,469,1528,2602,58.72%,606,784,36,30,1456
"Judge, Court of Criminal Appeals, Place 2",0279,790,314,1104,2073,53.26%,596,421,36,16,1069
"Judge, Court of Criminal Appeals, Place 2",0280,444,362,806,1656,48.67%,213,524,22,10,769
"Judge, Court of Criminal Appeals, Place 2",0281,1287,590,1877,2507,74.87%,805,872,52,12,1741
"Judge, Court of Criminal Appeals, Place 2",0282,777,604,1381,2144,64.41%,727,536,41,22,1326
"Judge, Court of Criminal Appeals, Place 2",0283,2353,1143,3496,6365,54.93%,459,2812,65,65,3401
"Judge, Court of Criminal Appeals, Place 2",0284,1592,574,2166,4079,53.10%,664,1315,50,35,2064
"Judge, Court of Criminal Appeals, Place 2",0285,1080,431,1511,2680,56.38%,117,1318,12,18,1465
"Judge, Court of Criminal Appeals, Place 2",0286,1714,545,2259,3757,60.13%,186,1961,25,24,2196
"Judge, Court of Criminal Appeals, Place 2",0287,853,408,1261,1658,76.06%,563,572,47,24,1206
"Judge, Court of Criminal Appeals, Place 2",0288,883,314,1197,2208,54.21%,30,1130,2,9,1171
"Judge, Court of Criminal Appeals, Place 2",0289,481,352,833,1584,52.59%,289,468,18,13,788
"Judge, Court of Criminal Appeals, Place 2",0290,705,332,1037,1623,63.89%,737,243,30,9,1019
"Judge, Court of Criminal Appeals, Place 2",0291,604,233,837,1218,68.72%,342,426,26,3,797
"Judge, Court of Criminal Appeals, Place 2",0292,549,178,727,1379,52.72%,79,600,9,10,698
"Judge, Court of Criminal Appeals, Place 2",0293,778,475,1253,1811,69.19%,483,626,52,20,1181
"Judge, Court of Criminal Appeals, Place 2",0294,852,198,1050,2054,51.12%,11,1005,10,6,1032
"Judge, Court of Criminal Appeals, Place 2",0295,270,111,381,894,42.62%,11,356,2,2,371
"Judge, Court of Criminal Appeals, Place 2",0296,701,385,1086,1705,63.70%,519,454,36,15,1024
"Judge, Court of Criminal Appeals, Place 2",0297,730,341,1071,2055,52.12%,351,618,35,23,1027
"Judge, Court of Criminal Appeals, Place 2",0298,1096,387,1483,2236,66.32%,689,660,64,23,1436
"Judge, Court of Criminal Appeals, Place 2",0299,499,236,735,1506,48.80%,213,448,12,26,699
"Judge, Court of Criminal Appeals, Place 2",0300,3386,728,4114,5480,75.07%,2990,861,118,23,3992
"Judge, Court of Criminal Appeals, Place 2",0301,737,392,1129,2337,48.31%,356,675,31,18,1080
"Judge, Court of Criminal Appeals, Place 2",0302,1199,591,1790,3277,54.62%,843,799,66,24,1732
"Judge, Court of Criminal Appeals, Place 2",0303,1902,692,2594,3375,76.86%,1894,560,40,8,2502
"Judge, Court of Criminal Appeals, Place 2",0304,1190,474,1664,2326,71.54%,835,659,57,22,1573
"Judge, Court of Criminal Appeals, Place 2",0305,2156,645,2801,4838,57.90%,848,1743,69,40,2700
"Judge, Court of Criminal Appeals, Place 2",0306,1096,299,1395,1896,73.58%,928,361,39,7,1335
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0307,1458,801,2259,3270,69.08%,1390,623,110,36,2159
"Judge, Court of Criminal Appeals, Place 2",0308,527,225,752,1457,51.61%,174,507,16,19,716
"Judge, Court of Criminal Appeals, Place 2",0309,2151,591,2752,3495,78.74%,2036,548,51,15,2650
"Judge, Court of Criminal Appeals, Place 2",0310,710,326,1036,1464,70.77%,603,339,33,13,988
"Judge, Court of Criminal Appeals, Place 2",0311,932,643,1575,3222,48.88%,674,732,32,36,1474
"Judge, Court of Criminal Appeals, Place 2",0312,1713,552,2265,3724,60.82%,1105,952,71,45,2173
"Judge, Court of Criminal Appeals, Place 2",0313,23,8,31,61,50.82%,15,8,1,1,25
"Judge, Court of Criminal Appeals, Place 2",0314,3000,817,3817,5606,68.09%,2080,1481,97,47,3705
"Judge, Court of Criminal Appeals, Place 2",0315,803,353,1158,1636,70.66%,625,440,24,13,1102
"Judge, Court of Criminal Appeals, Place 2",0316,741,340,1081,1513,71.45%,542,428,36,16,1022
"Judge, Court of Criminal Appeals, Place 2",0317,594,252,846,1661,50.93%,202,566,20,18,806
"Judge, Court of Criminal Appeals, Place 2",0318,1729,529,2258,3776,59.80%,112,2030,30,23,2195
"Judge, Court of Criminal Appeals, Place 2",0319,996,271,1267,2199,57.62%,71,1140,15,9,1235
"Judge, Court of Criminal Appeals, Place 2",0320,556,238,794,1570,50.57%,268,465,15,12,760
"Judge, Court of Criminal Appeals, Place 2",0321,887,363,1230,2483,49.54%,317,773,30,32,1152
"Judge, Court of Criminal Appeals, Place 2",0322,426,124,550,1210,45.45%,148,368,17,5,538
"Judge, Court of Criminal Appeals, Place 2",0323,700,296,996,1793,55.55%,346,554,40,16,956
"Judge, Court of Criminal Appeals, Place 2",0324,1445,560,2005,2607,76.91%,1175,649,73,17,1914
"Judge, Court of Criminal Appeals, Place 2",0325,802,257,1059,2176,48.67%,175,795,16,19,1005
"Judge, Court of Criminal Appeals, Place 2",0326,271,129,400,736,54.35%,138,225,4,7,374
"Judge, Court of Criminal Appeals, Place 2",0327,740,141,881,1758,50.11%,22,814,6,9,851
"Judge, Court of Criminal Appeals, Place 2",0328,425,286,711,1631,43.59%,202,448,19,13,682
"Judge, Court of Criminal Appeals, Place 2",0329,592,260,852,1621,52.56%,229,551,21,16,817
"Judge, Court of Criminal Appeals, Place 2",0330,864,326,1190,2146,55.45%,497,579,45,17,1138
"Judge, Court of Criminal Appeals, Place 2",0331,888,234,1122,1612,69.60%,658,364,46,12,1080
"Judge, Court of Criminal Appeals, Place 2",0332,1359,503,1882,2926,63.64%,174,1573,17,27,1791
"Judge, Court of Criminal Appeals, Place 2",0333,1387,942,2329,3296,70.66%,1547,562,102,35,2246
"Judge, Court of Criminal Appeals, Place 2",0334,247,104,351,786,44.66%,52,274,4,8,338
"Judge, Court of Criminal Appeals, Place 2",0335,489,293,782,1679,46.58%,181,520,20,15,736
"Judge, Court of Criminal Appeals, Place 2",0336,2496,689,3185,4771,66.76%,317,2699,54,39,3109
"Judge, Court of Criminal Appeals, Place 2",0337,371,155,526,1108,47.47%,70,411,7,7,495
"Judge, Court of Criminal Appeals, Place 2",0338,1627,632,2259,5001,45.17%,563,1521,38,32,2154
"Judge, Court of Criminal Appeals, Place 2",0339,705,303,1008,1909,52.80%,196,716,21,19,952
"Judge, Court of Criminal Appeals, Place 2",0340,2042,654,2696,4012,67.20%,1808,657,96,36,2597
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0341,380,278,658,1372,47.96%,149,450,12,10,621
"Judge, Court of Criminal Appeals, Place 2",0342,312,225,537,1092,49.18%,106,391,9,7,513
"Judge, Court of Criminal Appeals, Place 2",0343,723,370,1093,2099,52.07%,190,795,22,27,1034
"Judge, Court of Criminal Appeals, Place 2",0344,381,207,588,1225,48.00%,16,532,8,5,561
"Judge, Court of Criminal Appeals, Place 2",0345,580,349,929,1945,47.76%,157,662,43,18,880
"Judge, Court of Criminal Appeals, Place 2",0346,1,0,1,1,100.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0347,1462,618,2080,3614,57.55%,1167,760,56,35,2018
"Judge, Court of Criminal Appeals, Place 2",0348,832,242,1074,1796,59.80%,686,304,33,13,1036
"Judge, Court of Criminal Appeals, Place 2",0349,459,369,828,1372,60.35%,472,287,34,13,806
"Judge, Court of Criminal Appeals, Place 2",0350,1590,582,2272,3269,69.50%,742,1266,87,40,2135
"Judge, Court of Criminal Appeals, Place 2",0351,2857,570,3427,4799,71.41%,2485,706,104,20,3315
"Judge, Court of Criminal Appeals, Place 2",0352,2025,538,2563,4278,59.91%,1708,674,68,39,2489
"Judge, Court of Criminal Appeals, Place 2",0353,1715,659,2374,4156,57.12%,383,1853,31,24,2291
"Judge, Court of Criminal Appeals, Place 2",0354,1572,429,2001,3520,56.85%,437,1422,32,31,1922
"Judge, Court of Criminal Appeals, Place 2",0355,821,239,1050,1714,61.84%,107,899,15,8,1029
"Judge, Court of Criminal Appeals, Place 2",0356,1544,582,2126,3126,68.01%,1089,841,82,19,2031
"Judge, Court of Criminal Appeals, Place 2",0357,1886,557,2443,3685,66.30%,1684,574,79,27,2364
"Judge, Court of Criminal Appeals, Place 2",0358,775,376,1151,2634,43.70%,125,967,16,11,1119
"Judge, Court of Criminal Appeals, Place 2",0359,805,496,1301,3320,39.19%,131,1093,23,18,1265
"Judge, Court of Criminal Appeals, Place 2",0360,1867,597,2464,3309,74.46%,1098,1122,72,32,2324
"Judge, Court of Criminal Appeals, Place 2",0361,332,688,1020,1808,56.42%,140,744,33,18,935
"Judge, Court of Criminal Appeals, Place 2",0362,2865,553,3418,5161,66.23%,2303,881,101,24,3309
"Judge, Court of Criminal Appeals, Place 2",0363,1826,635,2461,4160,59.16%,959,1357,55,35,2406
"Judge, Court of Criminal Appeals, Place 2",0364,1190,528,1718,2827,60.77%,740,810,57,30,1637
"Judge, Court of Criminal Appeals, Place 2",0365,828,174,1002,1348,74.33%,107,855,9,9,980
"Judge, Court of Criminal Appeals, Place 2",0366,989,524,1513,2887,52.41%,304,1087,36,33,1460
"Judge, Court of Criminal Appeals, Place 2",0367,455,204,659,1256,52.47%,138,463,16,11,628
"Judge, Court of Criminal Appeals, Place 2",0368,433,122,555,1024,54.20%,143,384,5,5,537
"Judge, Court of Criminal Appeals, Place 2",0369,136,29,165,678,24.34%,48,80,16,8,152
"Judge, Court of Criminal Appeals, Place 2",0370,2525,627,3152,4531,69.57%,2149,791,77,38,3055
"Judge, Court of Criminal Appeals, Place 2",0371,210,78,288,537,53.63%,11,264,4,5,284
"Judge, Court of Criminal Appeals, Place 2",0372,510,180,690,1274,54.16%,73,577,7,10,667
"Judge, Court of Criminal Appeals, Place 2",0373,61,13,74,163,45.40%,0,69,2,0,71
"Judge, Court of Criminal Appeals, Place 2",0374,175,165,341,720,47.36%,80,241,4,5,330
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0375,747,510,1257,2836,44.32%,406,749,20,19,1194
"Judge, Court of Criminal Appeals, Place 2",0376,755,344,1099,2060,53.35%,385,626,21,13,1045
"Judge, Court of Criminal Appeals, Place 2",0377,1382,643,2025,3137,64.55%,1451,402,75,30,1958
"Judge, Court of Criminal Appeals, Place 2",0378,622,447,1069,1856,57.60%,602,367,48,16,1033
"Judge, Court of Criminal Appeals, Place 2",0379,857,388,1245,2149,57.93%,101,1074,22,18,1215
"Judge, Court of Criminal Appeals, Place 2",0380,2736,551,3287,4380,75.05%,1643,1424,106,27,3200
"Judge, Court of Criminal Appeals, Place 2",0381,1185,432,1518,3141,51.51%,594,908,32,21,1555
"Judge, Court of Criminal Appeals, Place 2",0382,429,206,635,1035,61.35%,376,211,18,10,615
"Judge, Court of Criminal Appeals, Place 2",0383,723,458,1181,2373,49.77%,325,734,36,27,1122
"Judge, Court of Criminal Appeals, Place 2",0384,1153,444,1597,2725,58.61%,332,1178,16,9,1535
"Judge, Court of Criminal Appeals, Place 2",0385,1142,561,1703,2207,77.16%,1250,356,21,9,1636
"Judge, Court of Criminal Appeals, Place 2",0386,1658,419,2077,3105,66.89%,1426,544,41,15,2026
"Judge, Court of Criminal Appeals, Place 2",0387,1706,780,2486,4340,57.28%,1594,722,55,37,2408
"Judge, Court of Criminal Appeals, Place 2",0388,2899,711,3510,5413,66.69%,1639,1729,91,43,3502
"Judge, Court of Criminal Appeals, Place 2",0389,408,293,701,1359,51.58%,81,539,31,22,673
"Judge, Court of Criminal Appeals, Place 2",0390,708,271,979,1482,66.06%,113,788,31,14,946
"Judge, Court of Criminal Appeals, Place 2",0391,992,336,1328,1978,67.14%,736,481,45,19,1281
"Judge, Court of Criminal Appeals, Place 2",0392,653,145,798,1426,55.96%,11,745,9,8,773
"Judge, Court of Criminal Appeals, Place 2",0393,427,257,684,1274,53.69%,294,320,29,16,659
"Judge, Court of Criminal Appeals, Place 2",0394,236,126,362,914,39.61%,107,223,8,6,344
"Judge, Court of Criminal Appeals, Place 2",0395,1007,371,1378,1875,73.49%,871,372,60,13,1316
"Judge, Court of Criminal Appeals, Place 2",0396,1036,204,1240,2072,59.85%,28,1163,7,7,1205
"Judge, Court of Criminal Appeals, Place 2",0397,204,117,321,796,40.33%,107,183,6,9,305
"Judge, Court of Criminal Appeals, Place 2",0398,1762,654,2416,4200,57.52%,1031,1186,70,39,2326
"Judge, Court of Criminal Appeals, Place 2",0399,1294,546,1840,3340,55.09%,665,1057,42,26,1790
"Judge, Court of Criminal Appeals, Place 2",0400,1457,372,1839,2661,69.11%,1140,573,55,22,1790
"Judge, Court of Criminal Appeals, Place 2",0401,703,257,960,1971,48.71%,40,867,5,9,921
"Judge, Court of Criminal Appeals, Place 2",0402,898,262,1160,1911,60.70%,65,1046,5,12,1128
"Judge, Court of Criminal Appeals, Place 2",0403,959,387,1346,1719,78.30%,663,543,40,18,1264
"Judge, Court of Criminal Appeals, Place 2",0404,1034,445,1479,2717,54.44%,664,711,32,22,1429
"Judge, Court of Criminal Appeals, Place 2",0405,1914,457,2371,3067,77.31%,1728,538,41,11,2318
"Judge, Court of Criminal Appeals, Place 2",0406,275,65,340,649,52.39%,7,315,4,3,329
"Judge, Court of Criminal Appeals, Place 2",0407,1704,860,2564,3969,64.60%,1434,881,98,35,2448
"Judge, Court of Criminal Appeals, Place 2",0408,521,313,834,1740,47.93%,241,515,28,7,791
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0409,501,280,781,1608,48.57%,214,486,25,15,740
"Judge, Court of Criminal Appeals, Place 2",0410,382,96,478,934,51.18%,79,365,8,8,460
"Judge, Court of Criminal Appeals, Place 2",0411,699,418,1117,2426,46.04%,263,756,23,27,1069
"Judge, Court of Criminal Appeals, Place 2",0412,156,80,236,478,49.37%,11,213,2,3,229
"Judge, Court of Criminal Appeals, Place 2",0413,1549,456,2005,3081,65.08%,705,1159,37,20,1921
"Judge, Court of Criminal Appeals, Place 2",0414,1577,514,2091,3586,58.31%,1458,490,62,17,2027
"Judge, Court of Criminal Appeals, Place 2",0415,1076,573,1649,2284,72.20%,1062,450,59,18,1589
"Judge, Court of Criminal Appeals, Place 2",0416,1444,845,2289,4009,57.10%,1040,1012,104,42,2198
"Judge, Court of Criminal Appeals, Place 2",0417,1105,397,1502,2589,58.01%,588,787,51,23,1449
"Judge, Court of Criminal Appeals, Place 2",0418,1337,663,2000,3940,50.76%,610,1194,58,38,1900
"Judge, Court of Criminal Appeals, Place 2",0419,1166,477,1643,2702,60.81%,882,636,46,19,1583
"Judge, Court of Criminal Appeals, Place 2",0420,2690,731,3421,4946,69.17%,2684,526,91,22,3323
"Judge, Court of Criminal Appeals, Place 2",0421,1242,273,1515,2023,74.89%,673,731,46,25,1475
"Judge, Court of Criminal Appeals, Place 2",0422,1357,401,1758,3348,52.81%,53,1642,8,22,1725
"Judge, Court of Criminal Appeals, Place 2",0423,31,e,288,604,1423,42.45%,115,449,7,12,583
"Judge, Court of Criminal Appeals, Place 2",0424,548,158,706,1079,65.43%,346,297,25,16,684
"Judge, Court of Criminal Appeals, Place 2",0425,257,139,396,878,45.10%,104,260,10,7,381
"Judge, Court of Criminal Appeals, Place 2",0426,487,228,715,1266,56.48%,336,318,18,8,680
"Judge, Court of Criminal Appeals, Place 2",0427,439,155,594,1120,53.04%,189,354,10,3,556
"Judge, Court of Criminal Appeals, Place 2",0428,1689,865,2554,5151,49.58%,607,1753,37,28,2425
"Judge, Court of Criminal Appeals, Place 2",0429,948,649,1597,3311,48.23%,301,1163,34,18,1516
"Judge, Court of Criminal Appeals, Place 2",0430,527,291,818,1794,45.60%,120,608,22,21,771
"Judge, Court of Criminal Appeals, Place 2",0431,1222,604,1826,3860,47.31%,355,1317,43,39,1754
"Judge, Court of Criminal Appeals, Place 2",0432,458,249,707,1568,45.09%,202,423,27,15,667
"Judge, Court of Criminal Appeals, Place 2",0433,163,88,251,561,44.74%,48,174,9,8,239
"Judge, Court of Criminal Appeals, Place 2",0434,834,293,1127,1557,72.38%,596,431,35,17,1079
"Judge, Court of Criminal Appeals, Place 2",0435,1952,567,2519,3363,74.90%,1482,807,89,26,2404
"Judge, Court of Criminal Appeals, Place 2",0436,2013,678,2691,3809,70.65%,1404,1018,96,45,2563
"Judge, Court of Criminal Appeals, Place 2",0437,1148,425,1573,2094,75.12%,1005,450,44,9,1508
"Judge, Court of Criminal Appeals, Place 2",0438,2292,475,2767,3789,73.03%,1817,737,73,20,2647
"Judge, Court of Criminal Appeals, Place 2",0439,1856,749,2605,3701,70.39%,1659,732,79,21,2491
"Judge, Court of Criminal Appeals, Place 2",0440,1499,749,2248,2973,75.61%,1657,445,51,6,2159
"Judge, Court of Criminal Appeals, Place 2",0441,824,408,1232,1695,72.68%,820,319,32,10,1181
"Judge, Court of Criminal Appeals, Place 2",0442,2442,685,3127,4315,72.47%,2409,490,109,19,3027
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0443,415,83,498,642,77.57%,344,113,16,3,476
"Judge, Court of Criminal Appeals, Place 2",0444,1623,679,2302,3625,63.50%,1170,895,89,33,2187
"Judge, Court of Criminal Appeals, Place 2",0445,1035,382,1418,2134,66.45%,815,497,37,16,1365
"Judge, Court of Criminal Appeals, Place 2",0446,89,45,134,309,43.37%,44,82,3,0,129
"Judge, Court of Criminal Appeals, Place 2",0447,2416,464,2880,3727,77.27%,1799,859,98,28,2784
"Judge, Court of Criminal Appeals, Place 2",0448,1766,529,2295,3155,72.74%,1217,822,103,31,2173
"Judge, Court of Criminal Appeals, Place 2",0449,73,26,99,225,44.00%,12,86,0,0,98
"Judge, Court of Criminal Appeals, Place 2",0450,1106,394,1500,2890,51.90%,358,1035,40,21,1454
"Judge, Court of Criminal Appeals, Place 2",0451,1720,367,2087,2771,75.32%,1601,373,41,7,2022
"Judge, Court of Criminal Appeals, Place 2",0452,1875,662,2537,3789,66.96%,1614,710,78,42,2444
"Judge, Court of Criminal Appeals, Place 2",0453,663,417,1080,2039,52.97%,266,713,22,27,1028
"Judge, Court of Criminal Appeals, Place 2",0454,1043,288,1331,2509,53.05%,23,1260,9,4,1296
"Judge, Court of Criminal Appeals, Place 2",0455,669,173,842,1713,49.15%,33,768,6,5,812
"Judge, Court of Criminal Appeals, Place 2",0456,1407,553,1950,3793,51.67%,996,825,44,22,1887
"Judge, Court of Criminal Appeals, Place 2",0457,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0458,918,253,1171,2025,57.83%,71,1031,15,14,1131
"Judge, Court of Criminal Appeals, Place 2",0459,2362,432,2794,3942,70.88%,2045,576,87,18,2726
"Judge, Court of Criminal Appeals, Place 2",0460,1615,472,2087,3280,63.63%,478,1472,41,36,2027
"Judge, Court of Criminal Appeals, Place 2",0461,2244,669,2913,4054,71.85%,1694,967,77,24,2762
"Judge, Court of Criminal Appeals, Place 2",0462,1478,738,2216,3507,63.19%,693,1374,46,28,2141
"Judge, Court of Criminal Appeals, Place 2",0463,1575,564,2239,3773,59.34%,808,1281,62,35,2186
"Judge, Court of Criminal Appeals, Place 2",0464,967,582,1549,2343,66.11%,898,503,68,17,1486
"Judge, Court of Criminal Appeals, Place 2",0465,1629,594,2223,3778,58.84%,944,1107,62,29,2142
"Judge, Court of Criminal Appeals, Place 2",0466,2278,509,2787,4327,64.41%,1356,1261,53,34,2704
"Judge, Court of Criminal Appeals, Place 2",0467,502,225,727,1320,55.08%,152,530,12,8,702
"Judge, Court of Criminal Appeals, Place 2",0468,1380,747,2127,4040,52.65%,494,1473,45,33,2045
"Judge, Court of Criminal Appeals, Place 2",0469,1858,462,2330,3257,71.54%,1714,466,66,15,2261
"Judge, Court of Criminal Appeals, Place 2",0470,555,232,787,1358,57.95%,543,181,25,9,758
"Judge, Court of Criminal Appeals, Place 2",0471,1057,458,1515,2473,61.26%,1088,314,54,16,1472
"Judge, Court of Criminal Appeals, Place 2",0472,463,339,802,1131,70.91%,324,401,28,9,762
"Judge, Court of Criminal Appeals, Place 2",0473,944,390,1334,1787,74.65%,869,356,47,13,1285
"Judge, Court of Criminal Appeals, Place 2",0474,1421,624,2045,3127,65.40%,1256,629,75,22,1982
"Judge, Court of Criminal Appeals, Place 2",0475,791,251,1052,1936,54.34%,387,583,24,13,1007
"Judge, Court of Criminal Appeals, Place 2",0476,1078,405,1483,2458,60.33%,733,632,46,19,1430
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0477,2032,640,2672,4010,66.63%,1738,721,96,20,2575
"Judge, Court of Criminal Appeals, Place 2",0478,2273,683,2956,4696,62.95%,1760,957,99,35,2851
"Judge, Court of Criminal Appeals, Place 2",0479,1978,755,2733,3851,70.97%,1910,642,84,19,2655
"Judge, Court of Criminal Appeals, Place 2",0480,1448,538,1986,2978,66.69%,1280,573,64,13,1930
"Judge, Court of Criminal Appeals, Place 2",0481,1759,667,2426,3609,67.22%,1660,549,85,32,2326
"Judge, Court of Criminal Appeals, Place 2",0482,2260,618,2878,4405,65.33%,1832,817,114,35,2798
"Judge, Court of Criminal Appeals, Place 2",0483,2312,538,2850,4495,63.40%,1399,1191,105,45,2740
"Judge, Court of Criminal Appeals, Place 2",0484,2021,700,2721,3981,68.35%,1636,884,86,30,2636
"Judge, Court of Criminal Appeals, Place 2",0485,2121,567,2688,4051,66.35%,1819,668,106,14,2607
"Judge, Court of Criminal Appeals, Place 2",0486,2310,721,3031,4195,72.25%,2191,619,103,24,2937
"Judge, Court of Criminal Appeals, Place 2",0487,1407,527,1934,4142,46.69%,433,1273,33,29,1768
"Judge, Court of Criminal Appeals, Place 2",0488,843,511,1354,2382,56.84%,357,885,31,18,1291
"Judge, Court of Criminal Appeals, Place 2",0489,865,344,1209,1958,61.75%,301,820,30,12,1163
"Judge, Court of Criminal Appeals, Place 2",0490,982,346,1328,2105,63.09%,379,835,42,15,1271
"Judge, Court of Criminal Appeals, Place 2",0491,947,488,1435,2110,68.01%,728,587,44,19,1378
"Judge, Court of Criminal Appeals, Place 2",0492,1222,396,1618,2552,63.40%,777,727,44,13,1561
"Judge, Court of Criminal Appeals, Place 2",0493,1404,555,1959,3338,58.69%,660,1107,57,37,1861
"Judge, Court of Criminal Appeals, Place 2",0494,1079,419,1498,2787,53.75%,174,1218,28,27,1447
"Judge, Court of Criminal Appeals, Place 2",0495,1414,376,1790,2488,71.95%,1160,499,49,10,1718
"Judge, Court of Criminal Appeals, Place 2",0496,687,549,1236,2325,53.16%,394,743,24,24,1185
"Judge, Court of Criminal Appeals, Place 2",0497,915,281,1197,2148,55.73%,49,1102,5,7,1163
"Judge, Court of Criminal Appeals, Place 2",0498,1072,423,1495,2527,59.16%,465,885,60,30,1440
"Judge, Court of Criminal Appeals, Place 2",0499,1434,397,1831,2336,78.38%,1242,475,36,18,1771
"Judge, Court of Criminal Appeals, Place 2",0500,1870,651,2521,3698,68.17%,1486,833,80,35,2434
"Judge, Court of Criminal Appeals, Place 2",0501,1149,406,1555,2016,77.13%,593,793,74,17,1477
"Judge, Court of Criminal Appeals, Place 2",0502,1355,293,1559,2595,63.93%,1230,313,37,12,1592
"Judge, Court of Criminal Appeals, Place 2",0503,1398,306,1704,2236,76.21%,1220,357,55,14,1646
"Judge, Court of Criminal Appeals, Place 2",0504,1271,482,1753,2318,75.63%,1046,556,77,12,1691
"Judge, Court of Criminal Appeals, Place 2",0505,1755,735,2490,4076,61.09%,1020,1198,99,55,2372
"Judge, Court of Criminal Appeals, Place 2",0506,1513,696,2209,3544,62.33%,311,1773,34,25,2143
"Judge, Court of Criminal Appeals, Place 2",0507,599,319,918,2562,35.83%,196,604,12,5,817
"Judge, Court of Criminal Appeals, Place 2",0508,1520,828,2348,4767,49.26%,612,1481,56,36,2185
"Judge, Court of Criminal Appeals, Place 2",0509,2507,669,3175,5153,61.63%,1887,1036,112,33,3068
"Judge, Court of Criminal Appeals, Place 2",0510,1707,666,2373,3822,62.09%,939,1241,95,38,2313
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0511,2935,574,3509,4620,75.95%,2032,1264,93,30,3419
"Judge, Court of Criminal Appeals, Place 2",0512,1669,871,2540,4559,55.71%,915,1421,73,35,2444
"Judge, Court of Criminal Appeals, Place 2",0513,1758,413,2171,3003,72.29%,1486,544,58,11,2099
"Judge, Court of Criminal Appeals, Place 2",0514,2289,613,2902,4378,66.29%,1895,787,102,30,2814
"Judge, Court of Criminal Appeals, Place 2",0515,1838,468,2306,3182,72.47%,1773,406,46,12,2237
"Judge, Court of Criminal Appeals, Place 2",0516,1317,363,1680,2799,60.02%,764,779,53,31,1627
"Judge, Court of Criminal Appeals, Place 2",0517,1612,509,2121,3744,56.65%,863,1075,69,38,2045
"Judge, Court of Criminal Appeals, Place 2",0518,1887,676,2563,4049,63.30%,1415,954,75,22,2466
"Judge, Court of Criminal Appeals, Place 2",0519,1423,518,1941,3098,62.65%,1254,531,70,32,1887
