Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0893,1,4,5,9,55.56%,2,3,0,0,5
"Judge, Court of Criminal Appeals, Place 2",0894,805,305,1110,2087,53.19%,144,893,23,16,1076
"Judge, Court of Criminal Appeals, Place 2",0895,419,252,671,834,80.46%,277,325,24,7,633
"Judge, Court of Criminal Appeals, Place 2",0896,841,254,1095,1467,74.64%,363,634,28,25,1050
"Judge, Court of Criminal Appeals, Place 2",0897,814,365,1179,1766,66.76%,579,492,45,15,1131
"Judge, Court of Criminal Appeals, Place 2",0898,792,301,1093,1821,60.02%,409,599,42,15,1065
"Judge, Court of Criminal Appeals, Place 2",0899,747,165,912,1264,72.15%,544,310,31,9,894
"Judge, Court of Criminal Appeals, Place 2",0900,7,0,7,12,58.33%,1,6,0,0,7
"Judge, Court of Criminal Appeals, Place 2",0901,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0902,1311,361,1672,2217,75.42%,824,668,81,29,1602
"Judge, Court of Criminal Appeals, Place 2",0903,1315,354,1669,2558,65.25%,1174,394,40,18,1626
"Judge, Court of Criminal Appeals, Place 2",0904,2,0,2,8,25.00%,1,1,0,0,2
"Judge, Court of Criminal Appeals, Place 2",0905,390,136,526,946,55.60%,186,306,12,6,510
"Judge, Court of Criminal Appeals, Place 2",0906,19,3,22,28,78.57%,13,9,0,0,22
"Judge, Court of Criminal Appeals, Place 2",0907,53,37,90,201,44.78%,7,80,1,1,89
"Judge, Court of Criminal Appeals, Place 2",0908,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0909,7,1,8,21,38.10%,2,5,1,0,8
"Judge, Court of Criminal Appeals, Place 2",0910,78,37,115,236,48.73%,33,66,4,4,107
"Judge, Court of Criminal Appeals, Place 2",0911,237,63,300,576,52.08%,184,98,6,4,292
"Judge, Court of Criminal Appeals, Place 2",0912,712,167,879,1341,65.55%,482,322,25,14,843
"Judge, Court of Criminal Appeals, Place 2",0913,102,12,114,241,47.30%,19,86,1,2,108
"Judge, Court of Criminal Appeals, Place 2",0914,42,0,42,124,33.87%,9,28,3,0,40
"Judge, Court of Criminal Appeals, Place 2",0915,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0916,1474,308,1782,2205,80.82%,1293,357,66,11,1727
"Judge, Court of Criminal Appeals, Place 2",0917,34,9,43,147,29.25%,5,31,0,2,38
"Judge, Court of Criminal Appeals, Place 2",0918,3,1,4,7,57.14%,1,3,0,0,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0919,1,0,1,1,100.00%,1,0,0,0,1
"Judge, Court of Criminal Appeals, Place 2",0920,41,13,54,79,68.35%,29,21,2,0,52
"Judge, Court of Criminal Appeals, Place 2",0921,27,6,33,61,54.10%,7,25,1,0,33
"Judge, Court of Criminal Appeals, Place 2",0922,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0923,2334,350,2684,3536,75.90%,1943,629,57,3,2632
"Judge, Court of Criminal Appeals, Place 2",0924,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0925,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0926,550,149,699,967,72.29%,454,192,25,4,675
"Judge, Court of Criminal Appeals, Place 2",0927,970,173,1143,1771,64.54%,533,481,50,14,1078
"Judge, Court of Criminal Appeals, Place 2",0928,4,1,5,7,71.43%,0,5,0,0,5
"Judge, Court of Criminal Appeals, Place 2",0929,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0930,21,7,83,300,606,49.50%,1,7,269,2,1,289
"Judge, Court of Criminal Appeals, Place 2",0931,87,28,115,141,81.56%,52,50,4,2,108
"Judge, Court of Criminal Appeals, Place 2",0932,0,1,1,0,0.00%,0,1,0,0,1
"Judge, Court of Criminal Appeals, Place 2",0933,297,93,390,668,58.38%,109,247,14,7,377
"Judge, Court of Criminal Appeals, Place 2",0934,9,4,13,37,35.14%,7,6,0,0,13
"Judge, Court of Criminal Appeals, Place 2",0935,12,9,21,55,38.18%,8,11,0,1,20
"Judge, Court of Criminal Appeals, Place 2",0936,23,9,32,76,42.11%,8,21,0,0,29
"Judge, Court of Criminal Appeals, Place 2",0937,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0938,72,19,91,255,35.69%,28,60,1,1,90
"Judge, Court of Criminal Appeals, Place 2",0939,1,1,2,4,50.00%,1,1,0,0,2
"Judge, Court of Criminal Appeals, Place 2",0940,9,3,12,28,42.86%,1,11,0,0,12
"Judge, Court of Criminal Appeals, Place 2",0941,286,144,430,870,49.43%,189,191,23,9,412
"Judge, Court of Criminal Appeals, Place 2",0942,102,16,118,152,77.63%,77,35,5,0,117
"Judge, Court of Criminal Appeals, Place 2",0943,192,28,220,774,28.42%,47,150,3,8,208
"Judge, Court of Criminal Appeals, Place 2",0944,1,0,1,1,100.00%,0,1,0,0,1
"Judge, Court of Criminal Appeals, Place 2",0945,8,6,14,21,66.67%,0,12,2,0,14
"Judge, Court of Criminal Appeals, Place 2",0946,4,2,6,14,42.86%,1,5,0,0,6
"Judge, Court of Criminal Appeals, Place 2",0947,428,198,626,820,76.34%,293,271,27,5,596
"Judge, Court of Criminal Appeals, Place 2",0948,0,0,0,1,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0949,84,61,145,210,69.05%,62,62,8,4,136
"Judge, Court of Criminal Appeals, Place 2",0950,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0951,114,62,176,304,57.89%,41,120,2,5,168
"Judge, Court of Criminal Appeals, Place 2",0952,32,15,47,65,72.31%,23,21,2,0,46
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0953,4,0,4,8,50.00%,0,4,0,0,4
"Judge, Court of Criminal Appeals, Place 2",0954,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0955,3541,572,4113,5108,80.52%,2802,1047,104,18,3971
"Judge, Court of Criminal Appeals, Place 2",0956,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0957,284,39,323,585,55.21%,36,267,5,4,312
"Judge, Court of Criminal Appeals, Place 2",0958,431,231,662,1202,55.07%,117,495,19,9,640
"Judge, Court of Criminal Appeals, Place 2",0959,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0960,831,235,1066,1471,72.47%,218,792,17,12,1039
"Judge, Court of Criminal Appeals, Place 2",0961,821,318,1139,2369,48.08%,166,886,28,14,1094
"Judge, Court of Criminal Appeals, Place 2",0962,33,12,45,88,51.14%,8,26,6,4,44
"Judge, Court of Criminal Appeals, Place 2",0963,225,91,316,528,59.85%,116,161,10,14,301
"Judge, Court of Criminal Appeals, Place 2",0964,2148,325,2473,3179,77.79%,1367,955,59,19,2400
"Judge, Court of Criminal Appeals, Place 2",0965,102,35,137,345,39.71%,88,35,5,5,133
"Judge, Court of Criminal Appeals, Place 2",0966,368,189,557,1332,41.82%,130,378,15,8,531
"Judge, Court of Criminal Appeals, Place 2",0967,82,24,106,186,56.99%,37,57,6,2,102
"Judge, Court of Criminal Appeals, Place 2",0968,455,127,582,906,64.24%,125,427,11,2,565
"Judge, Court of Criminal Appeals, Place 2",0969,299,71,370,624,59.29%,7,353,1,2,363
"Judge, Court of Criminal Appeals, Place 2",0970,224,102,326,810,40.25%,32,264,1,7,304
"Judge, Court of Criminal Appeals, Place 2",0971,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0972,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0973,505,138,643,999,64.36%,395,194,24,10,623
"Judge, Court of Criminal Appeals, Place 2",0974,0,1,1,0,0.00%,1,0,0,0,1
"Judge, Court of Criminal Appeals, Place 2",0975,104,26,130,190,68.42%,55,58,7,2,122
"Judge, Court of Criminal Appeals, Place 2",0976,190,152,342,712,48.03%,161,150,4,10,325
"Judge, Court of Criminal Appeals, Place 2",0977,160,108,268,617,43.44%,83,160,7,10,260
"Judge, Court of Criminal Appeals, Place 2",0978,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0979,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0980,686,333,1019,1412,72.17%,678,253,33,8,972
"Judge, Court of Criminal Appeals, Place 2",0981,12,2,14,31,45.16%,1,12,0,0,13
"Judge, Court of Criminal Appeals, Place 2",0982,1900,501,2401,2916,82.34%,1742,492,83,17,2334
"Judge, Court of Criminal Appeals, Place 2",0983,55,17,82,198,41.41,%,38,33,8,1,80
"Judge, Court of Criminal Appeals, Place 2",0984,76,57,133,341,39.00%,11,115,3,2,131
"Judge, Court of Criminal Appeals, Place 2",0985,222,56,278,355,78.31%,123,132,10,4,269
"Judge, Court of Criminal Appeals, Place 2",0986,154,78,232,537,43.20%,22,197,3,4,226
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary Lou Keel,"DEM Lawrence ""Larry"" Meyers",LIB Mark Ash,GRN Adam King Blackwell Reposa,Totals
"Judge, Court of Criminal Appeals, Place 2",0987,477,130,607,1183,51.31%,34,537,5,8,584
"Judge, Court of Criminal Appeals, Place 2",0988,52,15,77,117,65.81%,65,7,3,0,75
"Judge, Court of Criminal Appeals, Place 2",0989,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0990,5,6,11,66,16.67%,4,6,1,0,11
"Judge, Court of Criminal Appeals, Place 2",0991,0,1,1,2,50.00%,0,1,0,0,1
"Judge, Court of Criminal Appeals, Place 2",0992,456,106,562,1075,52.28%,250,261,19,4,534
"Judge, Court of Criminal Appeals, Place 2",0993,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",0994,55,12,68,75,90.67%,19,43,3,2,67
"Judge, Court of Criminal Appeals, Place 2",0995,754,193,947,1576,60.09%,97,792,8,15,912
"Judge, Court of Criminal Appeals, Place 2",0996,403,70,473,708,66.81%,241,188,10,9,448
"Judge, Court of Criminal Appeals, Place 2",0997,525,283,808,1909,42.33%,133,626,21,11,791
"Judge, Court of Criminal Appeals, Place 2",0998,24,12,36,68,52.94%,21,11,3,0,35
"Judge, Court of Criminal Appeals, Place 2",0999,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",1000,123,22,145,428,33.88%,23,108,4,6,141
"Judge, Court of Criminal Appeals, Place 2",1001,519,280,799,1654,48.31%,150,584,11,12,757
"Judge, Court of Criminal Appeals, Place 2",1002,481,270,751,1804,41.63%,100,586,12,13,711
"Judge, Court of Criminal Appeals, Place 2",1003,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",1004,351,114,465,691,67.29%,214,210,17,6,447
"Judge, Court of Criminal Appeals, Place 2",1005,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",1006,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",1007,595,306,1002,1775,56.45%,196,727,30,17,970
"Judge, Court of Criminal Appeals, Place 2",1008,520,107,727,1011,71.91%,548,125,21,9,703
"Judge, Court of Criminal Appeals, Place 2",1009,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 2",1010,293,96,389,647,60.12%,67,298,7,3,375
"Judge, Court of Criminal Appeals, Place 2",1011,9,6,15,31,48.39%,10,5,0,0,15
"Judge, Court of Criminal Appeals, Place 2",1012,545,362,907,1633,55.54%,213,622,23,14,872
"Judge, Court of Criminal Appeals, Place 2",Totals;,983140,353327,1336467,2182980,589629,641040,37387,17513,1285569
