Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0119,2755,409,3164,4682,67.58%,2373,642,3015
"District Judge, 178th Judicial District",0120,1804,588,2392,3732,64.09%,1337,926,2263
"District Judge, 178th Judicial District",0121,354,221,575,966,59.52%,349,209,558
"District Judge, 178th Judicial District",0122,732,284,1016,1904,53.36%,46,930,976
"District Judge, 178th Judicial District",0123,749,287,1036,1585,65.36%,250,730,980
"District Judge, 178th Judicial District",0124,3136,888,4024,5393,74.62%,3044,845,3889
"District Judge, 178th Judicial District",0125,1207,400,1607,2593,61.97%,819,716,1535
"District Judge, 178th Judicial District",0126,2017,427,2444,3380,72.31%,1995,345,2340
"District Judge, 178th Judicial District",0127,978,214,1192,2091,57.01%,801,321,1122
"District Judge, 178th Judicial District",0128,1107,612,1719,2322,74.03%,928,649,1577
"District Judge, 178th Judicial District",0129,2540,1052,3592,5172,69.45%,1889,1503,3392
"District Judge, 178th Judicial District",0130,1310,433,1743,2289,76.15%,1154,503,1657
"District Judge, 178th Judicial District",0131,798,371,1169,2147,54.45%,228,905,1133
"District Judge, 178th Judicial District",0132,1028,322,1350,2378,56.77%,40,1279,1319
"District Judge, 178th Judicial District",0133,1411,746,2157,2690,80.19%,1029,965,1994
"District Judge, 178th Judicial District",0134,593,345,938,1513,62.00%,348,531,879
"District Judge, 178th Judicial District",0135,1614,551,2165,2777,77.96%,1210,813,2023
"District Judge, 178th Judicial District",0136,982,352,1334,2116,63.04%,70,1207,1277
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0137,993,259,1252,1986,63.04%,794,400,1194
"District Judge, 178th Judicial District",0138,600,228,828,1723,48.06%,31,773,804
"District Judge, 178th Judicial District",0139,1939,601,2540,3435,73.94%,1040,1299,2339
"District Judge, 178th Judicial District",0140,1513,510,2023,3270,61.87%,301,1610,1911
"District Judge, 178th Judicial District",0141,217,153,370,904,40.93%,186,154,340
"District Judge, 178th Judicial District",0142,293,140,433,933,46.41%,78,319,397
"District Judge, 178th Judicial District",0143,1868,267,2135,2582,82.69%,1347,712,2059
"District Judge, 178th Judicial District",0144,442,125,567,1086,52.21%,15,531,546
"District Judge, 178th Judicial District",0145,560,256,816,1564,52.17%,13,777,790
"District Judge, 178th Judicial District",0146,1000,494,1494,2073,72.07%,560,843,1403
"District Judge, 178th Judicial District",0147,1411,354,1765,3211,54.97%,207,1495,1702
"District Judge, 178th Judicial District",0148,1265,652,1917,2571,74.56%,640,1140,1780
"District Judge, 178th Judicial District",0149,2938,573,3511,4756,73.82%,1859,1517,3376
"District Judge, 178th Judicial District",0150,582,223,805,1574,51.14%,27,749,776
"District Judge, 178th Judicial District",0151,282,107,389,826,47.09%,15,356,371
"District Judge, 178th Judicial District",0152,838,524,1362,3059,44.52%,254,1027,1281
"District Judge, 178th Judicial District",0153,544,399,943,1873,50.35%,195,697,892
"District Judge, 178th Judicial District",0154,913,289,1202,2293,52.42%,228,882,1110
"District Judge, 178th Judicial District",0155,2275,576,2851,4065,70.14%,1704,996,2700
"District Judge, 178th Judicial District",0156,1413,403,1816,3223,56.35%,83,1658,1741
"District Judge, 178th Judicial District",0157,880,278,1158,2265,51.13%,61,1061,1122
"District Judge, 178th Judicial District",0158,1143,365,1508,3049,49.46%,31,1434,1465
"District Judge, 178th Judicial District",0159,348,147,495,997,49.65%,70,405,475
"District Judge, 178th Judicial District",0160,286,67,353,717,49.23%,13,327,340
"District Judge, 178th Judicial District",0161,378,173,551,992,55.54%,13,516,529
"District Judge, 178th Judicial District",0162,364,267,631,1312,48.09%,145,438,583
"District Judge, 178th Judicial District",0163,1080,524,1604,3075,52.16%,400,1031,1431
"District Judge, 178th Judicial District",0164,441,258,699,1407,49.68%,21,652,673
"District Judge, 178th Judicial District",0165,1169,469,1638,2460,66.59%,865,668,1533
"District Judge, 178th Judicial District",0166,562,261,823,1171,70.28%,256,513,769
"District Judge, 178th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 178th Judicial District",0168,196,59,255,512,49.80%,4,245,249
"District Judge, 178th Judicial District",0169,985,247,1232,2548,48.35%,35,1156,1191
"District Judge, 178th Judicial District",0170,663,262,925,1958,47.24%,394,465,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0171,482,283,765,1648,46.42%,35,691,726
"District Judge, 178th Judicial District",0172,245,103,348,661,52.65%,79,250,329
"District Judge, 178th Judicial District",0173,2259,683,2942,3966,74.18%,2098,705,2803
"District Judge, 178th Judicial District",0174,171,5,707,2423,3389,71.50%,1487,790,2277
"District Judge, 178th Judicial District",0175,1402,691,2093,2711,77.20%,915,1020,1935
"District Judge, 178th Judicial District",0176,767,375,1142,1533,74.49%,482,566,1048
"District Judge, 178th Judicial District",0177,937,333,1270,1715,74.05%,599,572,1171
"District Judge, 178th Judicial District",0178,1116,273,1389,1795,77.38%,806,475,1281
"District Judge, 178th Judicial District",0179,771,244,1015,1673,60.67%,436,510,946
"District Judge, 178th Judicial District",0180,928,463,1391,2914,47.74%,44,1288,1332
"District Judge, 178th Judicial District",0181,697,439,1136,2195,51.75%,244,831,1075
"District Judge, 178th Judicial District",0182,1943,994,2937,4071,72.14%,1376,1328,2704
"District Judge, 178th Judicial District",0183,1286,715,2001,2535,78.93%,1068,783,1851
"District Judge, 178th Judicial District",0184,278,219,497,1048,47.42%,119,340,459
"District Judge, 178th Judicial District",0185,709,444,1153,2054,56.13%,280,805,1085
"District Judge, 178th Judicial District",0186,252,150,402,798,50.38%,30,354,384
"District Judge, 178th Judicial District",0187,95,51,147,309,47.57%,23,112,135
"District Judge, 178th Judicial District",0188,499,306,805,1711,47.05%,238,530,768
"District Judge, 178th Judicial District",0189,804,279,1083,1505,71.96%,539,477,1016
"District Judge, 178th Judicial District",0190,571,326,897,1849,48.51%,249,595,844
"District Judge, 178th Judicial District",0191,327,259,586,1408,41.62%,163,398,561
"District Judge, 178th Judicial District",0192,757,259,1016,1959,51.86%,49,925,974
