Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0649,1554,775,2329,4755,48.98%,515,1580,67,74,2236
Railroad Commissioner,0650,2035,819,2854,4039,70.66%,1765,780,174,55,2774
Railroad Commissioner,0651,1734,551,2285,3873,59.00%,1102,915,120,69,2206
Railroad Commissioner,0652,1167,545,1712,2979,57.47%,254,1340,39,31,1664
Railroad Commissioner,0653,187,110,297,604,49.17%,59,208,8,13,288
Railroad Commissioner,0654,2387,698,3085,5063,60.93%,1428,1308,125,122,2983
Railroad Commissioner,0655,1953,761,2724,4495,60.60%,1338,1047,169,73,2627
Railroad Commissioner,0656,1107,401,1508,2737,55.10%,61,1370,13,18,1462
Railroad Commissioner,0657,684,276,960,1487,64.56%,301,553,35,37,926
Railroad Commissioner,0658,1299,494,1793,2901,61.81%,996,598,105,47,1746
Railroad Commissioner,0659,2810,733,3543,5161,68.65%,2280,930,168,60,3438
Railroad Commissioner,0660,1575,345,1920,3087,62.20%,162,1626,41,34,1863
Railroad Commissioner,0661,1951,774,2725,4363,62.46%,1221,1187,140,91,2639
Railroad Commissioner,0662,2268,571,2839,4002,70.94%,2167,458,103,50,2778
Railroad Commissioner,0663,1339,448,1787,2340,76.37%,790,663,198,54,1705
Railroad Commissioner,0664,909,513,1422,2992,47.53%,242,1008,32,83,1365
Railroad Commissioner,0665,1327,360,1687,2354,71.67%,1268,275,60,39,1642
Railroad Commissioner,0666,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0667,1112,400,1512,2175,69.52%,1051,305,94,23,1473
Railroad Commissioner,0668,1557,719,2276,3669,62.03%,1239,761,141,65,2206
Railroad Commissioner,0669,1896,702,2598,3585,72.47%,1631,690,163,39,2523
Railroad Commissioner,0670,1996,416,2412,3335,72.32%,1752,372,188,47,2359
Railroad Commissioner,0671,1401,588,1989,3198,62.20%,967,800,109,47,1923
Railroad Commissioner,0672,1727,489,221,5,3433,64.55%,1434,595,96,43,2168
Railroad Commissioner,0673,1525,467,2092,3051,68.57%,1577,359,78,30,2044
Railroad Commissioner,0674,2358,610,2968,4228,70.20%,2023,686,129,53,2891
Railroad Commissioner,0675,1,0,1,0,0.00%,1,0,0,0,1
Railroad Commissioner,0676,1088,465,1553,2976,52.18%,520,824,84,62,1490
Railroad Commissioner,0677,423,259,682,1300,52.46%,138,442,21,40,641
Railroad Commissioner,0678,1169,294,1463,2660,55.00%,132,1239,16,26,1413
Railroad Commissioner,0679,1719,529,2248,3542,63.47%,1476,563,76,60,2175
Railroad Commissioner,0680,100,17,117,179,65.36%,40,50,19,6,115
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0681,6,0,6,4,150.00%,4,2,0,0,6
Railroad Commissioner,0682,2114,690,2804,4313,65.01%,1884,667,109,66,2726
Railroad Commissioner,0683,82,5,87,302,28.81%,19,56,5,4,84
Railroad Commissioner,0684,1684,640,2324,3559,65.30%,1319,765,105,55,2244
Railroad Commissioner,0685,139,28,167,285,58.60%,75,66,9,5,155
Railroad Commissioner,0686,53,5,58,221,26.24%,14,36,4,2,56
Railroad Commissioner,0687,1512,400,1912,2713,70.48%,1166,540,91,48,1845
Railroad Commissioner,0688,2333,594,2927,3922,74.63%,2148,497,155,51,2851
Railroad Commissioner,0689,728,604,1332,2449,54.39%,503,650,56,53,1262
Railroad Commissioner,0690,1973,553,2526,3614,69.89%,1816,463,142,36,2457
Railroad Commissioner,0691,2132,551,2683,3690,72.71%,1935,526,122,30,2613
Railroad Commissioner,0692,1280,678,1958,3118,62.80%,1276,432,136,56,1900
Railroad Commissioner,0693,309,110,419,681,61.53%,91,278,22,10,401
Railroad Commissioner,0694,1006,319,1325,2478,53.47%,484,709,49,43,1285
Railroad Commissioner,0695,630,315,945,1842,51.30%,515,321,42,27,905
Railroad Commissioner,0696,727,312,1039,2027,51.26%,574,362,40,43,1019
Railroad Commissioner,0697,1299,552,1851,3238,57.16%,407,1266,54,64,1791
Railroad Commissioner,0698,1276,520,1796,3339,53.79%,180,1477,30,50,1737
Railroad Commissioner,0699,1277,398,1675,2387,70.17%,942,462,144,40,1588
Railroad Commissioner,0700,726,247,973,1536,63.35%,782,130,24,13,949
Railroad Commissioner,0701,210,73,283,614,46.09%,114,129,3,18,264
Railroad Commissioner,0702,183,69,252,550,45.82%,25,196,8,18,247
Railroad Commissioner,0703,899,528,1427,1943,73.44%,937,329,108,20,1394
Railroad Commissioner,0704,1699,512,2211,3121,70.84%,1701,342,83,34,2160
Railroad Commissioner,0705,331,206,537,1513,35.49%,46,459,5,12,522
Railroad Commissioner,0706,1252,372,1624,2821,57.57%,531,871,83,62,1547
Railroad Commissioner,0707,378,69,447,757,59.05%,244,146,26,14,430
Railroad Commissioner,0708,162,98,260,592,43.92%,76,160,2,11,249
Railroad Commissioner,0709,2258,528,2786,4136,67.36%,1362,1121,156,63,2702
Railroad Commissioner,0710,1136,450,1586,2096,75.67%,787,508,184,27,1506
Railroad Commissioner,0711,1981,599,2580,3820,67.54%,1199,1036,178,70,2483
Railroad Commissioner,0712,1720,627,2347,4002,58.65%,753,1359,90,96,2298
Railroad Commissioner,0713,770,365,1135,2006,56.58%,498,525,47,39,1109
Railroad Commissioner,0714,102,28,130,306,42.48%,52,60,1,9,122
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0715,553,239,792,1549,51.13%,352,359,25,27,763
Railroad Commissioner,0716,1218,419,1637,2720,60.18%,1085,403,63,40,1591
Railroad Commissioner,0717,976,232,1208,2082,58.02%,139,955,23,43,1160
Railroad Commissioner,0718,2244,872,3116,4412,70.63%,1868,872,192,55,2987
Railroad Commissioner,0719,624,223,847,1644,51.52%,385,370,29,26,810
Railroad Commissioner,0720,2498,709,3207,4709,68.10%,1989,878,179,61,3107
Railroad Commissioner,0721,1457,503,2070,2926,70.75%,1194,566,188,51,1999
Railroad Commissioner,0722,1930,609,2539,4638,54.74%,139,2187,53,79,2458
Railroad Commissioner,0723,898,261,1159,1959,59.16%,203,858,34,29,1124
Railroad Commissioner,0724,395,146,541,800,67.63%,328,139,42,14,523
Railroad Commissioner,0725,976,294,1270,2336,54.37%,462,674,31,41,1208
Railroad Commissioner,0726,1271,321,1592,2207,72.13%,1315,160,62,16,1553
Railroad Commissioner,0727,983,415,1398,2708,51.62%,310,912,85,51,1358
Railroad Commissioner,0728,399,198,597,942,63.38%,317,192,51,17,577
Railroad Commissioner,0729,235,49,284,471,60.30%,147,111,9,8,275
Railroad Commissioner,0730,1368,406,1774,2435,72.85%,1039,525,118,26,1708
Railroad Commissioner,0731,2090,624,2714,4834,56.14%,1019,1398,93,111,2621
Railroad Commissioner,0732,793,449,1242,1943,63.92%,643,413,95,40,1191
Railroad Commissioner,0733,55,25,80,303,26.40%,24,47,2,3,76
Railroad Commissioner,0734,2309,555,2855,4294,66.72%,1751,879,107,49,2786
Railroad Commissioner,0735,158,61,219,251,87.25%,112,89,11,4,216
Railroad Commissioner,0736,14,3,17,42,40.48%,1,13,0,1,15
Railroad Commissioner,0737,21,6,27,56,48.21%,20,6,1,0,27
Railroad Commissioner,0738,435,214,649,1497,43.35%,95,512,19,15,641
Railroad Commissioner,0739,980,440,1420,2971,47.80%,556,702,47,57,1362
Railroad Commissioner,0740,281,169,450,1005,44.78%,216,186,10,15,427
Railroad Commissioner,0741,924,262,1186,1895,62.59%,260,793,23,63,1139
Railroad Commissioner,0742,1538,498,2036,2859,71.21%,1185,654,91,33,1963
Railroad Commissioner,0743,54,60,114,234,48.72%,33,61,8,6,108
Railroad Commissioner,0744,1010,444,1454,2103,69.14%,779,465,107,53,1404
Railroad Commissioner,0745,1215,446,1661,2543,65.32%,913,525,126,45,1609
Railroad Commissioner,0746,245,121,366,732,50.00%,161,154,17,13,345
Railroad Commissioner,0747,1746,693,2439,4096,59.55%,965,1231,82,84,2362
Railroad Commissioner,0748,565,245,810,1556,52.06%,334,345,67,39,785
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0749,115,1,116,432,26.85%,18,89,3,2,112
Railroad Commissioner,0750,294,122,416,809,51.42%,211,152,24,16,403
Railroad Commissioner,0751,2944,1013,3957,5893,67.15%,2266,1295,195,83,3839
Railroad Commissioner,0752,660,227,887,1484,59.77%,545,250,30,22,847
Railroad Commissioner,0753,259,53,312,512,60.94%,113,169,16,7,305
Railroad Commissioner,0754,388,262,650,1590,40.88%,28,580,11,13,632
Railroad Commissioner,0755,1785,955,2740,5015,54.64%,829,1541,106,147,2623
Railroad Commissioner,0756,688,309,997,1723,57.86%,294,605,25,38,962
Railroad Commissioner,0757,1867,601,2468,4792,51.50%,353,1899,67,66,2385
Railroad Commissioner,0758,2106,595,2701,3803,71.02%,1930,514,131,39,2614
Railroad Commissioner,0759,1389,375,1764,2779,63.48%,952,630,77,43,1702
Railroad Commissioner,0760,1219,268,1487,2162,68.78%,1124,212,98,15,1449
Railroad Commissioner,0761,1090,167,1257,1598,78.66%,825,276,99,13,1213
Railroad Commissioner,0762,930,303,1233,1828,67.45%,511,575,33,62,1181
Railroad Commissioner,0763,370,264,634,1249,50.76%,162,390,20,39,611
Railroad Commissioner,0764,2473,677,3150,4827,65.26%,1757,1092,126,72,3047
Railroad Commissioner,0765,2060,874,2934,5742,51.10%,700,1922,129,87,2838
Railroad Commissioner,0766,126,59,185,428,43.22%,25,122,9,14,170
Railroad Commissioner,0767,31,15,46,92,50.00%,16,21,2,5,44
Railroad Commissioner,0768,1479,387,1866,2643,70.60%,1340,332,123,28,1823
Railroad Commissioner,0769,85,14,99,184,53.80%,6,90,0,1,97
Railroad Commissioner,0770,103,42,145,388,37.37%,44,82,3,9,138
Railroad Commissioner,0771,572,210,782,1588,49.24%,308,379,34,30,751
Railroad Commissioner,0772,2808,477,3285,4606,71.32%,2245,671,242,37,3195
Railroad Commissioner,0773,1696,638,2334,4414,52.88%,528,1548,61,57,2194
Railroad Commissioner,0774,154,55,220,426,51.64%,51,151,7,7,216
Railroad Commissioner,0775,50,1,51,102,50.00%,1,49,0,0,50
Railroad Commissioner,0776,1436,538,1974,3276,60.26%,1027,746,85,60,1918
Railroad Commissioner,0777,202,105,307,767,40.03%,64,206,9,17,296
Railroad Commissioner,0778,0,3,3,0,0.00%,0,2,0,1,3
Railroad Commissioner,0779,263,160,423,1019,41.51%,92,259,14,28,393
Railroad Commissioner,0780,170,130,300,666,45.05%,80,177,6,14,277
Railroad Commissioner,0781,1236,612,1848,3782,48.86%,517,1070,69,60,1716
Railroad Commissioner,0782,1048,368,1416,2355,60.13%,793,449,78,41,1361
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0783,197,90,287,520,55.19%,20,250,6,2,278
Railroad Commissioner,0784,408,119,527,1062,49.62%,11,487,5,11,514
Railroad Commissioner,0785,1234,357,1591,1896,83.91%,758,659,81,47,1545
Railroad Commissioner,0786,397,177,574,1258,45.63%,157,342,18,37,554
Railroad Commissioner,0787,180,83,263,542,48.52%,66,159,7,17,249
Railroad Commissioner,0788,2,0,2,13,15.38%,2,0,0,0,2
Railroad Commissioner,0789,1377,420,1797,2998,59.94%,959,642,98,37,1736
Railroad Commissioner,0790,1143,329,1472,2523,58.34%,456,861,68,44,1429
Railroad Commissioner,0791,9,3,12,29,41.38%,1,7,1,3,12
Railroad Commissioner,0792,648,415,1063,1954,54.40%,220,720,16,60,1016
Railroad Commissioner,0793,985,416,1401,2620,53.47%,650,582,52,60,1344
Railroad Commissioner,0794,626,411,1037,3208,32.33%,91,863,30,24,1008
Railroad Commissioner,0795,396,2,398,1281,31.07%,103,244,12,20,379
Railroad Commissioner,0796,1372,455,1537,3041,60.41%,697,975,69,47,1788
Railroad Commissioner,0797,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0798,222,142,364,521,69.87%,124,183,22,25,354
Railroad Commissioner,0799,55,26,84,171,49.12%,13,63,2,6,84
Railroad Commissioner,0800,1935,730,2665,4216,63.21%,1490,842,168,85,2585
Railroad Commissioner,0801,90,44,134,261,51.34%,40,85,2,6,133
Railroad Commissioner,0802,54,21,75,224,33.48%,16,47,6,2,71
Railroad Commissioner,0803,2557,547,3214,4514,71.20%,2070,849,165,42,3126
Railroad Commissioner,0804,2703,682,3385,5303,63.83%,1645,1382,168,103,3298
Railroad Commissioner,0805,1599,454,2053,2874,71.43%,1485,344,124,32,1985
Railroad Commissioner,0806,1003,324,1327,1889,70.25%,756,446,57,31,1290
Railroad Commissioner,0807,797,349,1146,2163,52.98%,172,839,52,48,1111
Railroad Commissioner,0808,143,57,200,232,86.21%,70,94,24,6,194
Railroad Commissioner,0809,19,7,25,98,26.53%,11,12,2,0,25
Railroad Commissioner,0810,47,31,78,197,39.59%,9,56,1,7,73
Railroad Commissioner,0811,52,68,150,277,54.15%,26,97,3,19,145
Railroad Commissioner,0812,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0813,1742,434,2176,3488,62.39%,856,1090,83,80,2109
Railroad Commissioner,0814,1975,827,2803,5483,51.12%,498,2022,93,97,2710
Railroad Commissioner,0815,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0816,23,10,33,64,51.56%,4,20,2,4,30
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0817,2791,550,3341,4700,71.09%,2219,847,145,59,3270
Railroad Commissioner,0818,209,104,313,737,42.47%,59,227,7,8,301
Railroad Commissioner,0819,108,31,139,228,60.96%,62,57,7,2,128
Railroad Commissioner,0820,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0821,362,188,550,1295,42.47%,64,425,17,25,531
Railroad Commissioner,0822,571,185,756,1574,48.03%,24,690,9,8,731
Railroad Commissioner,0823,1339,410,1749,3017,57.97%,847,697,88,57,1689
Railroad Commissioner,0824,1059,410,1469,2762,53.19%,281,1036,44,65,1426
Railroad Commissioner,0825,9,7,16,21,76.19%,4,10,2,0,16
Railroad Commissioner,0826,177,70,247,355,69.58%,119,86,20,7,232
Railroad Commissioner,0827,218,234,452,1042,43.38%,125,273,15,25,438
Railroad Commissioner,0828,1174,281,1455,1965,74.05%,1049,241,102,20,1412
Railroad Commissioner,0829,101,19,120,235,51.06%,32,76,5,4,117
Railroad Commissioner,0830,2,2,4,2,200.00%,4,0,0,0,4
Railroad Commissioner,0831,8,5,13,36,36.11%,6,5,0,1,12
Railroad Commissioner,0832,125,50,175,364,48.08%,41,109,8,10,168
Railroad Commissioner,0833,3,2,5,20,25.00%,1,4,0,0,5
Railroad Commissioner,0834,142,61,203,388,52.32%,19,177,3,1,200
Railroad Commissioner,0835,87,71,158,311,50.80%,38,99,2,14,153
Railroad Commissioner,0836,128,0,128,248,51.61%,8,106,3,3,120
Railroad Commissioner,0837,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0838,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0839,419,174,593,1190,49.83%,109,394,36,36,575
Railroad Commissioner,0840,831,228,1059,1780,59.49%,331,635,26,30,1022
Railroad Commissioner,0841,1475,475,1950,3431,56.83%,405,1378,47,59,1889
Railroad Commissioner,0842,1340,513,1853,3390,54.66%,651,963,85,78,1777
Railroad Commissioner,0843,595,298,893,1387,64.38%,145,669,23,33,870
Railroad Commissioner,0844,4,0,4,10,40.00%,0,4,0,0,4
Railroad Commissioner,0845,152,13,165,218,75.69%,96,56,6,3,161
Railroad Commissioner,0846,61,22,83,229,36.24%,1,72,0,7,80
Railroad Commissioner,0847,993,330,1323,2310,57.27%,320,892,34,41,1287
Railroad Commissioner,0848,1014,201,1215,1875,64.80%,341,736,59,39,1175
Railroad Commissioner,0849,731,455,1186,2272,52.20%,273,716,42,88,1119
Railroad Commissioner,0850,129,19,148,208,71.15%,51,76,4,10,141
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0851,1886,441,2327,3597,64.69%,1409,667,124,51,2251
Railroad Commissioner,0852,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0853,1538,487,2125,2986,71.17%,1457,435,154,37,2083
Railroad Commissioner,0854,40,19,59,175,33.71%,7,48,0,3,58
Railroad Commissioner,0855,7,2,9,21,42.86%,4,3,1,1,9
Railroad Commissioner,0856,0,3,3,0,0.00%,1,0,0,0,1
Railroad Commissioner,0857,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0858,122,35,157,334,47.01%,4,143,2,0,149
Railroad Commissioner,0859,391,143,534,945,56.51%,99,383,14,18,514
Railroad Commissioner,0860,1,1,2,0,0.00%,0,2,0,0,2
Railroad Commissioner,0861,777,272,1049,1941,54.04%,149,819,24,28,1020
Railroad Commissioner,0862,1989,508,2497,3739,66.78%,1374,891,92,62,2419
Railroad Commissioner,0863,192,64,256,581,44.06%,14,233,2,1,250
Railroad Commissioner,0864,693,574,1267,2708,46.79%,253,865,30,63,1211
Railroad Commissioner,0865,9,2,11,21,52.38%,0,10,0,1,11
Railroad Commissioner,0866,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0867,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0868,737,495,1232,2446,50.37%,279,823,30,48,1180
Railroad Commissioner,0869,166,55,221,480,46.04%,24,177,8,3,212
Railroad Commissioner,0870,0,2,2,0,0.00%,2,0,0,0,2
Railroad Commissioner,0871,2,1,3,3,100.00%,0,2,1,0,3
Railroad Commissioner,0872,16,6,22,68,32.35%,11,10,1,0,22
Railroad Commissioner,0873,296,111,407,778,52.31%,94,283,7,16,400
Railroad Commissioner,0874,1682,670,2352,3294,71.40%,1583,539,126,35,2283
Railroad Commissioner,0875,1950,501,2451,3592,68.23%,1058,1143,97,80,2378
Railroad Commissioner,0876,1947,577,2524,3485,72.42%,1660,652,105,34,2451
Railroad Commissioner,0877,1805,528,2334,3651,63.93%,800,1310,95,70,2275
Railroad Commissioner,0878,685,110,795,1039,76.52%,607,117,37,9,770
Railroad Commissioner,0879,1217,413,1630,2843,57.33%,625,830,71,56,1582
Railroad Commissioner,0880,1357,471,1828,2467,74.10%,1304,376,88,22,1790
Railroad Commissioner,0881,2467,927,3394,5638,60.20%,831,2253,122,95,3301
Railroad Commissioner,0882,1954,595,2549,4317,59.05%,694,1597,83,83,2457
Railroad Commissioner,0883,2253,928,3181,5613,56.67%,482,2397,70,137,3086
Railroad Commissioner,0884,149,55,204,396,51.52%,27,165,3,6,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0885,1573,323,1896,2811,67.45%,1012,753,53,41,1859
Railroad Commissioner,0886,498,152,650,906,71.74%,311,201,95,19,626
Railroad Commissioner,0887,235,95,330,492,67.07%,162,105,44,3,314
Railroad Commissioner,0888,820,289,1109,1867,59.40%,325,670,30,41,1066
Railroad Commissioner,0889,114,28,142,238,59.66%,35,78,17,6,136
Railroad Commissioner,0890,449,98,547,1214,45.06%,190,246,69,15,520
Railroad Commissioner,0891,753,194,947,1376,68.82%,303,484,104,29,920
Railroad Commissioner,0892,428,123,551,900,61.22%,162,273,70,21,526
Railroad Commissioner,0893,1,4,5,9,55.56%,2,3,0,0,5
Railroad Commissioner,0894,805,305,1110,2087,53.19%,133,883,34,31,1081
Railroad Commissioner,0895,419,252,671,834,80.46%,230,278,119,13,640
Railroad Commissioner,0896,841,254,1095,1467,74.64%,313,552,149,36,1050
Railroad Commissioner,0897,814,365,1179,1766,66.76%,565,480,61,32,1138
Railroad Commissioner,0898,792,301,1093,1821,60.02%,404,575,37,47,1063
Railroad Commissioner,0899,747,165,912,1264,72.15%,530,286,64,18,898
Railroad Commissioner,0900,7,0,7,12,58.33%,1,6,0,0,7
Railroad Commissioner,0901,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0902,1311,361,1672,2217,75.42%,774,596,187,55,1612
Railroad Commissioner,0903,1315,354,1669,2558,65.25%,1137,375,84,29,1625
Railroad Commissioner,0904,2,0,2,8,25.00%,0,1,1,0,2
Railroad Commissioner,0905,390,136,526,946,55.60%,179,299,8,25,511
Railroad Commissioner,0906,19,3,22,28,78.57%,10,6,5,1,22
Railroad Commissioner,0907,53,37,90,201,44.78%,8,77,2,2,89
Railroad Commissioner,0908,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0909,7,1,8,21,38.10%,2,5,0,1,8
Railroad Commissioner,0910,78,37,115,236,48.73%,31,62,7,8,108
Railroad Commissioner,0911,237,63,300,576,52.08%,177,98,12,9,296
Railroad Commissioner,0912,712,167,879,1341,65.55%,476,318,32,28,854
Railroad Commissioner,0913,102,12,114,241,47.30%,20,85,1,3,109
Railroad Commissioner,0914,42,0,42,124,33.87%,9,28,2,1,40
Railroad Commissioner,0915,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0916,1474,308,1782,2205,80.82%,1267,340,91,22,1720
Railroad Commissioner,0917,34,9,43,147,29.25%,3,33,0,1,37
Railroad Commissioner,0918,3,1,4,7,57.14%,2,2,0,0,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0919,1,0,1,1,100.00%,0,0,1,0,1
Railroad Commissioner,0920,41,13,54,79,68.35%,29,20,4,0,53
Railroad Commissioner,0921,27,6,33,61,54.10%,6,25,1,1,33
Railroad Commissioner,0922,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0923,2334,350,2684,3536,75.90%,1903,586,118,24,2631
Railroad Commissioner,0924,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0925,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0926,550,149,699,967,72.29%,456,171,39,12,678
Railroad Commissioner,0927,970,173,1143,1771,64.54%,507,441,99,40,1087
Railroad Commissioner,0928,4,1,5,7,71.43%,0,5,0,0,5
Railroad Commissioner,0929,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0930,217,83,300,606,49.50%,14,264,5,4,287
Railroad Commissioner,0931,87,28,115,141,81.56%,47,51,9,1,108
Railroad Commissioner,0932,0,1,1,0,0.00%,0,1,0,0,1
Railroad Commissioner,0933,297,93,390,668,58.38%,108,226,29,12,375
Railroad Commissioner,0934,9,4,13,37,35.14%,7,6,0,0,13
Railroad Commissioner,0935,12,9,21,55,38.18%,8,11,0,1,20
Railroad Commissioner,0936,23,9,32,76,42.11%,8,18,1,2,29
Railroad Commissioner,0937,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0938,72,19,91,255,35.69%,25,59,4,1,89
Railroad Commissioner,0939,1,1,2,4,50.00%,1,1,0,0,2
Railroad Commissioner,0940,9,3,12,28,42.86%,1,11,0,0,12
Railroad Commissioner,0941,286,144,430,870,49.43%,180,185,30,16,411
Railroad Commissioner,0942,102,16,118,152,77.63%,75,31,10,1,117
Railroad Commissioner,0943,192,28,220,774,28.42%,45,149,6,7,207
Railroad Commissioner,0944,1,0,1,1,100.00%,0,1,0,0,1
Railroad Commissioner,0945,8,6,14,21,66.67%,1,7,3,2,13
Railroad Commissioner,0946,4,2,6,14,42.86%,1,5,0,0,6
Railroad Commissioner,0947,428,198,626,820,76.34%,275,228,81,16,600
Railroad Commissioner,0948,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0949,84,61,145,210,69.05%,59,53,16,10,138
Railroad Commissioner,0950,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0951,114,62,176,304,57.89%,38,120,3,7,168
Railroad Commissioner,0952,32,15,47,65,72.31%,23,14,10,0,47
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0953,4,0,4,8,50.00%,0,3,0,1,4
Railroad Commissioner,0954,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0955,3541,572,4113,5108,80.52%,2735,981,216,42,3974
Railroad Commissioner,0956,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0957,284,39,323,585,55.21%,33,261,7,8,309
Railroad Commissioner,0958,431,231,662,1202,55.07%,107,481,21,33,642
Railroad Commissioner,0959,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0960,831,235,1066,1471,72.47%,201,793,23,21,1038
Railroad Commissioner,0961,821,318,1139,2369,48.08%,158,881,22,38,1099
Railroad Commissioner,0962,33,12,45,88,51.14%,6,30,4,4,44
Railroad Commissioner,0963,225,91,316,528,59.85%,119,153,10,21,303
Railroad Commissioner,0964,2148,325,2473,3179,77.79%,1351,918,92,42,2403
Railroad Commissioner,0965,102,35,137,345,39.71%,81,33,10,8,132
Railroad Commissioner,0966,368,189,557,1332,41.82%,114,372,26,21,533
Railroad Commissioner,0967,82,24,106,186,56.99%,32,59,6,4,101
Railroad Commissioner,0968,455,127,582,906,64.24%,113,418,14,19,564
Railroad Commissioner,0969,299,71,370,624,59.29%,5,346,4,7,362
Railroad Commissioner,0970,224,102,326,810,40.25%,29,271,2,6,308
Railroad Commissioner,0971,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0972,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0973,505,138,643,999,64.36%,387,174,50,16,627
Railroad Commissioner,0974,0,1,1,0,0.00%,1,0,0,0,1
Railroad Commissioner,0975,104,26,130,190,68.42%,54,54,11,3,122
Railroad Commissioner,0976,190,152,342,712,48.03%,151,144,10,20,325
Railroad Commissioner,0977,160,108,268,617,43.44%,89,150,5,15,259
Railroad Commissioner,0978,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0979,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0980,686,333,1019,1412,72.17%,669,238,62,16,985
Railroad Commissioner,0981,12,2,14,31,45.16%,1,12,0,0,13
Railroad Commissioner,0982,1900,501,2401,2916,82.34%,1713,466,116,47,2342
Railroad Commissioner,0983,55,17,82,198,41.41,%,37,35,6,2,80
Railroad Commissioner,0984,76,57,133,341,39.00%,11,116,2,3,132
Railroad Commissioner,0985,222,56,278,355,78.31%,114,129,18,9,270
Railroad Commissioner,0986,154,78,232,537,43.20%,21,191,4,10,226
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0987,477,130,607,1183,51.31%,35,531,4,16,586
