Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0131,801,371,1172,2147,54.59%,213,841,23,61,1138
Railroad Commissioner,0132,1030,322,1352,2378,56.85%,36,1257,17,15,1325
Railroad Commissioner,0133,1412,746,2158,2690,80.22%,1069,728,227,44,2068
Railroad Commissioner,0134,594,345,939,1513,62.06%,334,482,25,61,902
Railroad Commissioner,0135,1521,551,2172,2777,78.21%,1242,576,233,28,2079
Railroad Commissioner,0136,985,352,1337,2116,63.19%,66,1129,52,50,1297
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0137,993,259,1252,1986,63.04%,769,354,63,33,1219
Railroad Commissioner,0138,501,228,829,1723,48.11%,29,746,9,20,804
Railroad Commissioner,0139,1947,601,2548,3435,74.18%,1027,1007,313,72,2419
Railroad Commissioner,0140,1525,510,2035,3270,62.23%,271,1498,110,73,1952
Railroad Commissioner,0141,217,153,370,904,40.93%,182,136,15,18,351
Railroad Commissioner,0142,293,140,433,933,46.41%,77,279,11,38,405
Railroad Commissioner,0143,1868,267,2135,2582,82.69%,1305,659,112,21,2097
Railroad Commissioner,0144,442,125,567,1086,52.21%,13,524,7,5,549
Railroad Commissioner,0145,560,255,815,1564,52.17%,13,770,9,5,797
Railroad Commissioner,0146,1000,494,1494,2073,72.07%,548,670,166,51,1435
Railroad Commissioner,0147,1412,354,1766,3211,55.00%,200,1458,36,32,1726
Railroad Commissioner,0148,1266,652,1918,2571,74.60%,656,831,296,55,1838
Railroad Commissioner,0149,2941,573,3514,4756,73.89%,1810,1380,158,83,3431
Railroad Commissioner,0150,582,223,805,1574,51.14%,29,728,10,14,781
Railroad Commissioner,0151,282,107,389,826,47.09%,16,351,3,5,375
Railroad Commissioner,0152,838,524,1362,3059,44.52%,237,949,24,86,1296
Railroad Commissioner,0153,545,399,944,1873,50.40%,182,634,30,64,910
Railroad Commissioner,0154,913,289,1202,2293,52.42%,203,799,29,102,1133
Railroad Commissioner,0155,2275,576,2851,4065,70.14%,1662,881,168,47,2758
Railroad Commissioner,0156,1415,403,1818,3223,56.41%,76,1602,44,41,1763
Railroad Commissioner,0157,880,278,1158,2265,51.13%,62,1036,16,22,1136
Railroad Commissioner,0158,1145,365,1510,3049,49.52%,31,1405,22,20,1478
Railroad Commissioner,0159,350,147,497,997,49.85%,67,375,17,19,478
Railroad Commissioner,0160,286,67,353,717,49.23%,11,318,7,7,343
Railroad Commissioner,0161,378,173,551,992,55.54%,13,496,10,11,530
Railroad Commissioner,0152,364,257,531,1312,48.09%,138,402,21,32,593
Railroad Commissioner,0163,1083,524,1507,3075,52.26%,404,941,36,102,1483
Railroad Commissioner,0164,441,258,699,1407,49.68%,25,629,9,9,672
Railroad Commissioner,0165,1172,469,1641,2460,66.71%,838,565,130,49,1582
Railroad Commissioner,0166,563,261,824,1171,70.37%,234,440,80,38,792
Railroad Commissioner,0167,5,2,7,24,29.17%,0,5,1,1,7
Railroad Commissioner,0168,196,59,255,512,49.80%,5,242,2,2,251
Railroad Commissioner,0169,985,247,1232,2548,48.35%,36,1143,14,12,1205
Railroad Commissioner,0170,554,262,925,1958,47.29%,381,427,30,42,880
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0171,482,283,765,1648,46.42%,34,669,10,18,731
Railroad Commissioner,0172,245,103,348,661,52.65%,74,222,14,28,338
Railroad Commissioner,0173,2262,683,2945,3966,74.26%,2050,614,151,47,2862
