Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0130,1310,433,1743,2289,76.15%,1201,459,1660
"District Judge, 133rd Judicial District",0131,798,371,1169,2147,54.45%,244,882,1126
"District Judge, 133rd Judicial District",0132,1028,322,1350,2378,56.77%,42,1276,1318
"District Judge, 133rd Judicial District",0133,1411,746,2157,2690,80.19%,1100,900,2000
"District Judge, 133rd Judicial District",0134,593,345,938,1513,62.00%,369,514,883
"District Judge, 133rd Judicial District",0135,1614,551,2165,2777,77.96%,1287,748,2035
"District Judge, 133rd Judicial District",0136,982,352,1334,2116,63.04%,79,1199,1278
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0137,993,259,1252,1986,63.04%,820,381,1201
"District Judge, 133rd Judicial District",0138,600,228,828,1723,48.06%,35,768,803
"District Judge, 133rd Judicial District",0139,1939,501,2540,3435,73.94%,1091,1249,2340
"District Judge, 133rd Judicial District",0140,1513,510,2023,3270,61.87%,314,1595,1909
"District Judge, 133rd Judicial District",0141,217,153,370,904,40.93%,190,152,342
"District Judge, 133rd Judicial District",0142,293,140,433,933,46.41%,85,315,400
"District Judge, 133rd Judicial District",0143,1868,267,2135,2582,82.69%,1375,689,2064
"District Judge, 133rd Judicial District",0144,442,125,567,1086,52.21%,16,532,548
"District Judge, 133rd Judicial District",0145,560,256,816,1564,52.17%,21,768,789
"District Judge, 133rd Judicial District",0146,1000,494,1494,2073,72.07%,607,797,1404
"District Judge, 133rd Judicial District",0147,1411,354,1765,3211,54.97%,213,1493,1706
"District Judge, 133rd Judicial District",0148,1265,652,1917,2571,74.56%,693,1090,1783
"District Judge, 133rd Judicial District",0149,2938,573,3511,4756,73.82%,1922,1464,3386
"District Judge, 133rd Judicial District",0150,582,223,805,1574,51.14%,32,742,774
"District Judge, 133rd Judicial District",0151,282,107,389,826,47.09%,16,356,372
"District Judge, 133rd Judicial District",0152,838,524,1362,3059,44.52%,279,1005,1284
"District Judge, 133rd Judicial District",0153,544,399,943,1873,50.35%,210,683,893
"District Judge, 133rd Judicial District",0154,913,289,1202,2293,52.42%,242,866,1108
"District Judge, 133rd Judicial District",0155,2275,576,2851,4065,70.14%,1743,970,2713
"District Judge, 133rd Judicial District",0156,1413,403,1815,3223,56.35%,92,1649,1741
"District Judge, 133rd Judicial District",0157,880,278,1158,2265,51.13%,66,1056,1122
"District Judge, 133rd Judicial District",0158,1143,365,1508,3049,49.46%,35,1432,1467
"District Judge, 133rd Judicial District",0159,348,147,495,997,49.65%,74,403,477
"District Judge, 133rd Judicial District",0160,286,67,353,717,49.23%,13,325,338
"District Judge, 133rd Judicial District",0161,378,173,551,992,55.54%,17,510,527
"District Judge, 133rd Judicial District",0162,364,267,631,1312,48.09%,159,424,583
"District Judge, 133rd Judicial District",0163,1080,524,1604,3075,52.16%,442,995,1437
"District Judge, 133rd Judicial District",0164,441,258,699,1407,49.68%,28,644,672
"District Judge, 133rd Judicial District",0165,1169,469,1638,2460,66.59%,903,633,1536
"District Judge, 133rd Judicial District",0166,562,261,823,1171,70.28%,268,498,766
"District Judge, 133rd Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 133rd Judicial District",0168,196,59,255,512,49.80%,6,244,250
"District Judge, 133rd Judicial District",0169,985,247,1232,2548,48.35%,39,1150,1189
"District Judge, 133rd Judicial District",0170,553,262,925,1958,47.24%,410,449,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0171,482,283,765,1648,46.42%,42,687,729
"District Judge, 133rd Judicial District",0172,245,103,348,661,52.65%,82,248,330
"District Judge, 133rd Judicial District",0173,2259,683,2942,3966,74.18%,2146,656,2802
"District Judge, 133rd Judicial District",0174,1718,707,2423,3389,71.50%,1546,738,2284
"District Judge, 133rd Judicial District",0175,1402,691,2093,2711,77.20%,981,945,1926
"District Judge, 133rd Judicial District",0176,767,375,1142,1533,74.49%,518,531,1049
"District Judge, 133rd Judicial District",0177,937,333,1270,1715,74.05%,650,525,1175
"District Judge, 133rd Judicial District",0178,1116,273,1389,1795,77.38%,857,427,1284
"District Judge, 133rd Judicial District",0179,771,244,1015,1673,60.67%,467,478,945
"District Judge, 133rd Judicial District",0180,928,463,1391,2914,47.74%,56,1278,1334
"District Judge, 133rd Judicial District",0181,697,439,1136,2195,51.75%,258,823,1081
"District Judge, 133rd Judicial District",0182,1943,994,2937,4071,72.14%,1485,1229,2714
"District Judge, 133rd Judicial District",0183,1286,715,2001,2535,78.93%,1174,682,1856
"District Judge, 133rd Judicial District",0184,278,219,497,1048,47.42%,129,335,464
"District Judge, 133rd Judicial District",0185,709,444,1153,2054,56.13%,297,784,1081
"District Judge, 133rd Judicial District",0186,252,150,402,798,50.38%,35,353,388
"District Judge, 133rd Judicial District",0187,98,51,147,309,47.57%,23,111,134
"District Judge, 133rd Judicial District",0188,499,306,805,1711,47.05%,255,510,765
"District Judge, 133rd Judicial District",0189,804,279,1083,1505,71.96%,591,424,1015
"District Judge, 133rd Judicial District",0190,571,326,897,1849,48.51%,260,583,843
"District Judge, 133rd Judicial District",0191,327,259,586,1408,41.62%,178,381,559
"District Judge, 133rd Judicial District",0192,757,259,1016,1959,51.86%,64,912,976
"District Judge, 133rd Judicial District",0193,375,211,586,1099,53.32%,21,540,561
"District Judge, 133rd Judicial District",0194,1138,449,1587,2172,73.07%,416,1070,1486
"District Judge, 133rd Judicial District",0195,606,344,950,1739,54.63%,50,850,900
"District Judge, 133rd Judicial District",0196,132,37,169,313,53.99%,16,141,157
"District Judge, 133rd Judicial District",0197,998,372,1368,2969,46.08%,45,1276,1321
"District Judge, 133rd Judicial District",0198,161,82,243,619,39.26%,8,225,233
"District Judge, 133rd Judicial District",0199,1929,815,2744,4063,67.54%,2023,600,2623
"District Judge, 133rd Judicial District",0200,2307,377,2684,3692,72.70%,1163,1351,2514
"District Judge, 133rd Judicial District",0201,221,105,326,773,42.17%,14,304,318
"District Judge, 133rd Judicial District",0202,421,233,654,1410,46.38%,27,600,627
"District Judge, 133rd Judicial District",0203,298,111,409,988,41.40%,64,317,381
"District Judge, 133rd Judicial District",0204,2099,577,2676,3568,75.00%,1375,1084,2459
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0205,771,171,942,1724,54.84%,29,888,917
"District Judge, 133rd Judicial District",0208,1277,494,1771,2965,59.73%,522,1114,1838
"District Judge, 133rd Judicial District",0207,805,212,817,1188,70.07%,245,513,758
"District Judge, 133rd Judicial District",0208,909,338,1247,2258,55.27%,292,870,1182
"District Judge, 133rd Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 133rd Judicial District",0210,1259,489,1748,2781,82.88%,273,1403,1878
"District Judge, 133rd Judicial District",0211,964,595,1559,3130,49.81%,438,1010,1448
"District Judge, 133rd Judicial District",0212,309,323,832,1370,48.13%,105,482,587
"District Judge, 133rd Judicial District",0213,1782,795,2577,3408,75.88%,1909,554,2483
"District Judge, 133rd Judicial District",0214,1018,418,1434,1911,75.04%,801,527,1328
"District Judge, 133rd Judicial District",0215,1098,838,1732,2288,75.77%,918,898,1812
"District Judge, 133rd Judicial District",0218,778,244,1022,1988,51.98%,58,918,974
"District Judge, 133rd Judicial District",0217,1545,818,2183,2738,79.08%,1220,821,2041
"District Judge, 133rd Judicial District",0218,1099,457,1555,2487,83.07%,374,1053,1427
"District Judge, 133rd Judicial District",0219,1117,515,1832,2888,58.90%,148,1398,1544
"District Judge, 133rd Judicial District",0220,832,308,1138,2382,48.18%,704,388,1072
"District Judge, 133rd Judicial District",0221,1032,473,1505,2598,57.93%,490,920,1410
"District Judge, 133rd Judicial District",0222,1480,871,2131,2728,78.12%,881,1084,1985
"District Judge, 133rd Judicial District",0223,1750,517,2287,3884,81.87%,570,1545,2115
"District Judge, 133rd Judicial District",0224,1155,495,1551,2313,71.81%,701,842,1543
"District Judge, 133rd Judicial District",0225,1353,598,1949,3889,52.83%,817,1045,1882
"District Judge, 133rd Judicial District",0228,840,421,1281,2554,49.37%,251,949,1200
"District Judge, 133rd Judicial District",0227,1071,359,1430,1810,79.01%,957,399,1358
"District Judge, 133rd Judicial District",0228,825,159,784,1175,88.72%,45,723,788
"District Judge, 133rd Judicial District",0229,227,188,395,828,47.71%,109,280,389
"District Judge, 133rd Judicial District",0230,353,185,518,1094,47.35%,24,478,500
"District Judge, 133rd Judicial District",0231,801,445,1248,2378,52.44%,283,918,1181
"District Judge, 133rd Judicial District",0232,941,438,1379,1828,75.52%,701,578,1279
"District Judge, 133rd Judicial District",0233,2571,703,3274,4713,89.47%,1428,1822,3048
"District Judge, 133rd Judicial District",0234,2419,728,3147,4042,77.88%,2159,808,2985
"District Judge, 133rd Judicial District",0235,481,203,884,1421,48.73%,34,598,832
"District Judge, 133rd Judicial District",0238,555,308,984,2104,45.82%,50,885,935
"District Judge, 133rd Judicial District",0237,739,312,1051,2148,48.97%,25,993,1018
"District Judge, 133rd Judicial District",0238,808,317,923,1948,47.38%,31,853,884
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0239,694,334,1028,1984,51.81,%,40,966,1006
"District Judge, 133rd Judicial District",0240,1007,292,1299,2601,49.94%,30,1240,1270
"District Judge, 133rd Judicial District",0241,651,383,1034,2466,41.93%,336,656,992
"District Judge, 133rd Judicial District",0242,506,314,820,1744,47.02%,361,401,762
"District Judge, 133rd Judicial District",0243,244,42,286,475,60.21%,7,276,283
"District Judge, 133rd Judicial District",0244,1409,538,1947,3296,59.07%,922,933,1855
"District Judge, 133rd Judicial District",0245,2100,811,2911,4679,62.21%,1803,957,2760
"District Judge, 133rd Judicial District",0246,2209,482,2691,3971,67.77%,1648,941,2589
"District Judge, 133rd Judicial District",0247,440,376,816,1595,51.16%,23,779,802
"District Judge, 133rd Judicial District",0248,453,347,800,2147,37.26%,178,575,753
"District Judge, 133rd Judicial District",0249,1124,365,1489,2825,52.71%,918,522,1440
"District Judge, 133rd Judicial District",0250,288,183,471,925,50.92%,21,441,462
"District Judge, 133rd Judicial District",0251,806,378,1184,2132,55.53%,63,1075,1138
"District Judge, 133rd Judicial District",0252,925,309,1235,2292,53.88%,29,1172,1201
"District Judge, 133rd Judicial District",0253,759,311,1070,2154,49.68%,31,1015,1046
"District Judge, 133rd Judicial District",0254,411,280,691,1675,41.25%,149,503,652
"District Judge, 133rd Judicial District",0255,1253,586,1839,2489,73.89%,762,945,1707
"District Judge, 133rd Judicial District",0256,1398,583,1981,3321,59.65%,650,1207,1857
"District Judge, 133rd Judicial District",0257,997,622,1619,3497,46.30%,369,1173,1542
"District Judge, 133rd Judicial District",0258,1948,608,2555,3346,76.39%,1751,662,2413
"District Judge, 133rd Judicial District",0259,1030,414,1444,2312,62.46%,33,1372,1405
"District Judge, 133rd Judicial District",0260,547,227,774,1300,59.54%,373,355,728
"District Judge, 133rd Judicial District",0261,442,531,973,1457,66.78%,263,649,912
"District Judge, 133rd Judicial District",0262,1847,676,2523,4397,57.38%,1314,1066,2380
"District Judge, 133rd Judicial District",0263,2208,665,2873,4016,71.54%,2008,729,2737
"District Judge, 133rd Judicial District",0264,1110,627,1737,3101,56.01%,864,770,1634
"District Judge, 133rd Judicial District",0265,1991,608,2599,3582,72.56%,1734,700,2434
"District Judge, 133rd Judicial District",0266,737,443,1180,2147,54.96%,434,680,1114
"District Judge, 133rd Judicial District",0267,421,293,714,1433,49.83%,265,409,674
"District Judge, 133rd Judicial District",0268,1174,689,1863,2528,73.69%,986,727,1713
"District Judge, 133rd Judicial District",0269,1305,365,1670,2114,79.00%,1181,386,1567
"District Judge, 133rd Judicial District",0270,1816,688,2504,3985,62.84%,1217,1116,2333
"District Judge, 133rd Judicial District",0271,1150,346,1496,2558,58.48%,36,1424,1460
"District Judge, 133rd Judicial District",0272,870,415,1285,2334,55.06%,444,767,1211
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0273,1175,647,1822,2485,73.32%,1352,395,1747
"District Judge, 133rd Judicial District",0274,1261,311,1572,2223,70.72%,935,535,1470
"District Judge, 133rd Judicial District",0275,585,334,919,2059,44.63%,159,724,883
"District Judge, 133rd Judicial District",0276,1027,255,1282,2458,52.16%,25,1229,1254
"District Judge, 133rd Judicial District",0277,573,338,911,1898,48.00%,316,557,873
"District Judge, 133rd Judicial District",0278,1059,469,1528,2602,58.72%,643,799,1442
"District Judge, 133rd Judicial District",0279,789,314,1103,2073,53.21%,613,438,1051
"District Judge, 133rd Judicial District",0280,444,362,806,1656,48.67%,223,533,756
"District Judge, 133rd Judicial District",0281,1287,590,1877,2507,74.87%,802,912,1714
"District Judge, 133rd Judicial District",0282,773,604,1377,2144,64.23%,752,556,1308
"District Judge, 133rd Judicial District",0283,2351,1143,3494,6365,54.89%,504,2861,3365
"District Judge, 133rd Judicial District",0284,1585,574,2159,4079,52.93%,694,1352,2046
"District Judge, 133rd Judicial District",0285,1077,431,1508,2680,56.27%,134,1321,1455
"District Judge, 133rd Judicial District",0286,1708,545,2253,3757,59.97%,198,1988,2186
"District Judge, 133rd Judicial District",0287,851,408,1259,1658,75.93%,571,611,1182
"District Judge, 133rd Judicial District",0288,881,314,1195,2208,54.12%,31,1133,1164
"District Judge, 133rd Judicial District",0289,481,352,833,1584,52.59%,304,466,770
"District Judge, 133rd Judicial District",0290,705,332,1037,1623,63.89%,755,243,998
"District Judge, 133rd Judicial District",0291,603,233,836,1218,68.64%,344,441,785
"District Judge, 133rd Judicial District",0292,549,178,727,1379,52.72%,84,617,701
"District Judge, 133rd Judicial District",0293,778,475,1253,1811,69.19%,505,660,1165
"District Judge, 133rd Judicial District",0294,852,198,1050,2054,51.12%,16,1015,1031
"District Judge, 133rd Judicial District",0295,270,111,381,894,42.62%,12,358,370
"District Judge, 133rd Judicial District",0296,701,385,1086,1705,63.70%,531,474,1005
"District Judge, 133rd Judicial District",0297,729,341,1070,2055,52.07%,367,647,1014
"District Judge, 133rd Judicial District",0298,1095,387,1482,2236,66.28%,723,690,1413
"District Judge, 133rd Judicial District",0299,499,236,735,1506,48.80%,223,462,685
"District Judge, 133rd Judicial District",0300,3385,728,4113,5480,75.05%,3038,901,3939
"District Judge, 133rd Judicial District",0301,737,392,1129,2337,48.31%,397,671,1068
"District Judge, 133rd Judicial District",0302,1197,591,1788,3277,54.56%,886,820,1706
"District Judge, 133rd Judicial District",0303,1896,692,2588,3375,76.68%,1858,609,2467
"District Judge, 133rd Judicial District",0304,1190,474,1664,2326,71.54%,864,674,1538
"District Judge, 133rd Judicial District",0305,2154,645,2799,4838,57.85%,896,1786,2682
"District Judge, 133rd Judicial District",0306,1096,299,1395,1896,73.58%,922,387,1309
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Cindy Bennett Smith,DEM Jaclanel McFarland,Totals
"District Judge, 133rd Judicial District",0307,1456,801,2257,3270,69.02%,1455,662,2117
"District Judge, 133rd Judicial District",0308,526,225,751,1457,51.54%,190,511,701
"District Judge, 133rd Judicial District",0309,2160,591,2751,3495,78.71%,2006,603,2609
"District Judge, 133rd Judicial District",0310,709,326,1035,1464,70.70%,617,346,963
"District Judge, 133rd Judicial District",0311,930,643,1573,3222,48.82%,699,759,1458
"District Judge, 133rd Judicial District",0312,1705,552,2257,3724,60.61%,1120,1012,2132
"District Judge, 133rd Judicial District",0313,23,8,31,61,50.82%,15,9,24
"District Judge, 133rd Judicial District",0314,2997,817,3814,5606,68.03%,2132,1543,3675
"District Judge, 133rd Judicial District",0315,801,353,1154,1636,70.54%,614,460,1074
