Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0817,2787,550,3337,4700,71.00%,2334,930,3264
Sheriff,0818,208,104,312,737,42.33%,65,236,301
Sheriff,0819,108,31,139,228,60.96%,66,63,129
Sheriff,0820,0,0,0,0,0.00%,0,0,0
Sheriff,0821,362,188,550,1295,42.47%,69,461,530
Sheriff,0822,571,185,756,1574,48.03%,33,694,727
Sheriff,0823,1339,410,1749,3017,57.97%,920,768,1688
Sheriff,0824,1057,410,1467,2762,53.11%,313,1105,1418
Sheriff,0825,9,7,15,21,76.19%,4,12,16
Sheriff,0826,177,70,247,355,69.58%,121,113,234
Sheriff,0827,218,234,452,1042,43.38%,135,306,441
Sheriff,0828,1174,281,1455,1965,74.05%,1120,299,1419
Sheriff,0829,101,19,120,235,51.06%,33,82,115
Sheriff,0830,2,2,4,2,200.00%,4,0,4
Sheriff,0831,8,5,13,36,36.11%,6,6,12
Sheriff,0832,124,50,174,364,47.80%,45,119,164
Sheriff,0833,3,2,5,20,25.00%,2,3,5
Sheriff,0834,142,61,203,388,52.32%,20,181,201
Sheriff,0835,87,71,158,311,50.80%,35,121,156
Sheriff,0836,128,0,128,248,51.61%,10,110,120
Sheriff,0837,0,0,0,0,0.00%,0,0,0
Sheriff,0838,0,0,0,0,0.00%,0,0,0
Sheriff,0839,419,174,593,1190,49.83%,123,452,575
Sheriff,0840,829,228,1057,1780,59.38%,346,678,1024
Sheriff,0841,1473,475,1948,3431,56.78%,460,1438,1898
Sheriff,0842,1338,513,1851,3390,54.60%,689,1092,1781
Sheriff,0843,595,298,893,1387,64.38%,154,706,860
Sheriff,0844,4,0,4,10,40.00%,0,4,4
Sheriff,0845,151,13,164,218,75.23%,105,54,159
Sheriff,0846,61,22,83,229,36.24%,3,79,82
Sheriff,0847,993,330,1323,2310,57.27%,348,933,1281
Sheriff,0848,1011,201,1212,1875,64.64%,383,793,1176
Sheriff,0849,731,455,1186,2272,52.20%,282,832,1114
Sheriff,0850,129,19,148,208,71.15%,48,97,145
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0851,1885,441,2326,3597,64.66%,1568,711,2279
Sheriff,0852,0,0,0,1,0.00%,0,0,0
Sheriff,0853,1637,487,2124,2986,71.13%,1593,491,2084
Sheriff,0854,40,19,59,175,33.71%,9,48,57
Sheriff,0855,7,2,9,21,42.86%,4,4,8
Sheriff,0856,0,3,3,0,0.00%,0,1,1
Sheriff,0857,0,0,0,1,0.00%,0,0,0
Sheriff,0858,121,35,156,334,46.71%,4,145,149
Sheriff,0859,391,143,534,945,56.51%,111,405,516
Sheriff,0860,1,1,2,0,0.00%,0,2,2
Sheriff,0861,777,272,1049,1941,54.04%,171,844,1015
Sheriff,0862,1989,508,2497,3739,66.78%,1441,992,2433
Sheriff,0863,192,64,256,581,44.06%,12,239,251
Sheriff,0864,693,574,1267,2708,46.79%,263,949,1212
Sheriff,0865,9,2,11,21,52.38%,1,9,10
Sheriff,0866,0,0,0,0,0.00%,0,0,0
Sheriff,0867,0,0,0,0,0.00%,0,0,0
Sheriff,0868,736,495,1231,2446,50.33%,309,872,1181
Sheriff,0869,165,55,220,480,45.83%,29,188,217
Sheriff,0870,0,2,2,0,0.00%,1,1,2
Sheriff,0871,2,1,3,3,100.00%,1,2,3
Sheriff,0872,16,6,22,68,32.35%,13,9,22
Sheriff,0873,296,111,407,778,52.31%,103,293,396
Sheriff,0874,1681,670,2351,3294,71.37%,1712,587,2299
Sheriff,0875,1947,501,2448,3592,68.15%,1129,1247,2376
Sheriff,0876,1945,577,2522,3485,72.37%,1769,687,2456
Sheriff,0877,1803,528,2331,3651,63.85%,875,1400,2275
Sheriff,0878,685,110,795,1039,76.52%,643,134,777
Sheriff,0879,1215,413,1628,2843,57.26%,676,895,1571
Sheriff,0880,1354,471,1825,2467,73.98%,1371,421,1792
Sheriff,0881,2465,927,3392,5638,60.16%,886,2424,3310
Sheriff,0882,1952,595,2547,4317,59.00%,761,1709,2470
Sheriff,0883,2252,928,3180,5613,56.65%,560,2523,3083
Sheriff,0884,149,55,204,396,51.52%,30,169,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0885,1570,323,1893,2811,67.34%,1054,793,1847
Sheriff,0886,495,152,647,906,71.41%,323,291,614
Sheriff,0887,234,95,329,492,66.87%,159,146,305
Sheriff,0888,817,289,1106,1867,59.24%,351,724,1075
Sheriff,0889,113,28,141,238,59.24%,35,102,137
Sheriff,0890,445,98,543,1214,44.73%,208,305,513
Sheriff,0891,753,194,947,1376,68.82%,321,588,909
Sheriff,0892,420,123,543,900,60.33%,178,333,511
Sheriff,0893,1,4,5,9,55.56%,2,3,5
Sheriff,0894,801,305,1106,2087,52.99%,169,907,1076
Sheriff,0895,417,252,669,834,80.22%,251,377,628
Sheriff,0896,838,254,1092,1467,74.44%,344,702,1046
Sheriff,0897,812,365,1177,1766,66.65%,629,516,1145
Sheriff,0898,792,301,1093,1821,60.02%,435,630,1065
Sheriff,0899,745,165,911,1264,72.07%,562,332,894
Sheriff,0900,7,0,7,12,58.33%,1,6,7
Sheriff,0901,0,0,0,0,0.00%,0,0,0
Sheriff,0902,1310,361,1671,2217,75.37%,807,775,1582
Sheriff,0903,1314,354,1668,2558,65.21%,1220,417,1637
Sheriff,0904,2,0,2,8,25.00%,1,1,2
Sheriff,0905,390,136,526,946,55.60%,194,321,515
Sheriff,0906,19,3,22,28,78.57%,12,10,22
Sheriff,0907,53,37,90,201,44.78%,7,81,88
Sheriff,0908,0,0,0,0,0.00%,0,0,0
Sheriff,0909,7,1,8,21,38.10%,2,6,8
Sheriff,0910,78,37,115,236,48.73%,33,73,106
Sheriff,0911,237,63,300,576,52.08%,190,105,295
Sheriff,0912,712,167,879,1341,65.55%,522,336,858
Sheriff,0913,102,12,114,241,47.30%,20,90,110
Sheriff,0914,42,0,42,124,33.87%,9,32,41
Sheriff,0915,0,0,0,0,0.00%,0,0,0
Sheriff,0916,1472,308,1780,2205,80.73%,1344,378,1722
Sheriff,0917,33,9,42,147,28.57%,4,34,38
Sheriff,0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0919,1,0,1,1,100.00%,0,1,1
Sheriff,0920,41,13,54,79,68.35%,31,21,52
Sheriff,0921,27,6,33,61,54.10%,7,26,33
Sheriff,0922,0,0,0,0,0.00%,0,0,0
Sheriff,0923,2331,350,2681,3536,75.82%,2002,644,2646
Sheriff,0924,0,0,0,0,0.00%,0,0,0
Sheriff,0925,0,0,0,0,0.00%,0,0,0
Sheriff,0926,550,149,699,967,72.29%,483,200,663
Sheriff,0927,966,173,1139,1771,64.31%,553,548,1101
Sheriff,0928,4,1,5,7,71.43%,0,5,5
Sheriff,0929,0,0,0,0,0.00%,0,0,0
Sheriff,0930,217,83,300,606,49.50%,20,271,291
Sheriff,0931,67,28,115,141,81.56%,47,58,105
Sheriff,0932,0,1,1,0,0.00%,0,1,1
Sheriff,0933,297,93,390,668,58.38%,115,261,376
Sheriff,0934,9,4,13,37,35.14%,7,6,13
Sheriff,0935,12,9,21,55,38.18%,9,11,20
Sheriff,0936,23,9,32,76,42.11%,8,22,30
Sheriff,0937,0,0,0,0,0.00%,0,0,0
Sheriff,0938,72,19,91,255,35.69%,29,61,90
Sheriff,0939,1,1,2,4,50.00%,1,1,2
Sheriff,0940,9,3,12,28,42.86%,1,11,12
Sheriff,0941,264,144,428,870,49.20%,202,203,405
Sheriff,0942,102,16,118,152,77.63%,76,40,116
Sheriff,0943,192,28,220,774,28.42%,47,159,206
Sheriff,0944,1,0,1,1,100.00%,0,1,1
Sheriff,0945,6,6,14,21,66.67%,0,14,14
Sheriff,0946,4,2,6,14,42.86%,2,4,6
Sheriff,0947,426,198,626,820,76.34%,303,299,602
Sheriff,0948,0,0,0,1,0.00%,0,0,0
Sheriff,0949,64,61,145,210,69.05%,67,73,140
Sheriff,0950,0,0,0,0,0.00%,0,0,0
Sheriff,0951,114,62,176,304,57.89%,39,129,168
Sheriff,0952,32,15,47,65,72.31%,26,20,46
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0953,4,0,4,8,50.00%,0,4,4
Sheriff,0954,0,0,0,0,0.00%,0,0,0
Sheriff,0955,3528,572,4100,5108,80.27%,2855,1116,3971
Sheriff,0956,0,0,0,0,0.00%,0,0,0
Sheriff,0957,282,39,321,585,54.87%,44,266,310
Sheriff,0958,430,231,661,1202,54.99%,132,507,639
Sheriff,0959,0,0,0,0,0.00%,0,0,0
Sheriff,0960,829,235,1064,1471,72.33%,228,806,1034
Sheriff,0961,820,318,1138,2369,48.04%,183,916,1099
Sheriff,0962,33,12,45,88,51.14%,9,34,43
Sheriff,0963,225,91,316,528,59.85%,134,166,300
Sheriff,0964,2145,325,2470,3179,77.70%,1410,996,2406
Sheriff,0965,101,35,136,345,39.42%,95,37,132
Sheriff,0966,368,189,557,1332,41.82%,125,403,528
Sheriff,0967,82,24,106,186,56.99%,38,63,101
Sheriff,0968,455,127,582,906,64.24%,129,438,567
Sheriff,0969,299,71,370,624,59.29%,9,356,365
Sheriff,0970,223,102,325,810,40.12%,30,273,303
Sheriff,0971,0,0,0,0,0.00%,0,0,0
Sheriff,0972,0,0,0,0,0.00%,0,0,0
Sheriff,0973,504,138,642,999,64.26%,404,220,624
Sheriff,0974,0,1,1,0,0.00%,1,0,1
Sheriff,0975,104,26,130,190,68.42%,54,67,121
Sheriff,0976,190,152,342,712,48.03%,169,153,322
Sheriff,0977,160,108,268,617,43.44%,93,169,262
Sheriff,0978,0,0,0,0,0.00%,0,0,0
Sheriff,0979,0,0,0,0,0.00%,0,0,0
Sheriff,0980,686,333,1019,1412,72.17%,714,275,989
Sheriff,0981,12,2,14,31,45.16%,1,13,14
Sheriff,0982,1898,501,2399,2916,82.27%,1810,531,2341
Sheriff,0983,65,17,82,198,41.41,%,46,34,80
Sheriff,0984,76,57,133,341,39.00%,10,121,131
Sheriff,0985,222,56,278,355,78.31%,122,146,268
Sheriff,0986,153,78,231,537,43.02%,21,202,223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0987,476,130,606,1183,51.23%,43,542,585
Sheriff,0988,62,15,77,117,65.81%,66,8,74
Sheriff,0989,0,0,0,0,0.00%,0,0,0
Sheriff,0990,5,6,11,66,16.67%,5,6,11
Sheriff,0991,0,1,1,2,50.00%,0,1,1
Sheriff,0992,456,106,562,1075,52.28%,261,280,541
Sheriff,0993,0,0,0,0,0.00%,0,0,0
Sheriff,0994,56,12,68,75,90.67%,20,47,67
Sheriff,0995,753,193,946,1576,60.03%,96,823,919
Sheriff,0996,403,70,473,708,66.81%,244,212,456
Sheriff,0997,521,283,804,1909,42.12%,154,632,786
Sheriff,0998,24,12,36,68,52.94%,24,10,34
Sheriff,0999,0,0,0,0,0.00%,0,0,0
Sheriff,1000,122,22,144,428,33.64%,22,118,140
Sheriff,1001,519,280,799,1654,48.31%,148,615,763
Sheriff,1002,480,270,750,1804,41.57%,106,603,709
Sheriff,1003,0,0,0,0,0.00%,0,0,0
Sheriff,1004,349,114,463,691,67.00%,219,226,445
Sheriff,1005,0,0,0,0,0.00%,0,0,0
Sheriff,1006,0,0,0,0,0.00%,0,0,0
Sheriff,1007,694,306,1000,1775,56.34%,220,752,972
Sheriff,1008,620,107,727,1011,71.91%,579,136,715
Sheriff,1009,0,0,0,0,0.00%,0,0,0
Sheriff,1010,292,96,388,647,59.97%,69,309,378
Sheriff,1011,9,6,15,31,48.39%,8,7,15
Sheriff,1012,543,362,905,1633,55.42%,226,644,870
Sheriff,Totals:,981446,353327,1334773,2182980,607143,680134,1287277
