Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0218,1099,457,1555,2467,63.07%,337,1126,1463
Sheriff,0219,1117,515,1632,2868,56.90%,146,1409,1555
Sheriff,0220,832,306,1138,2362,48.18%,721,374,1095
Sheriff,0221,1032,473,1505,2598,57.93%,453,989,1442
Sheriff,0222,1460,671,2131,2728,78.12%,883,1126,2009
Sheriff,0223,1750,517,2267,3664,61.87%,567,1578,2145
Sheriff,0224,1155,495,1551,2313,71.81%,694,883,1577
Sheriff,0225,1353,596,1949,3689,52.83%,828,1063,1891
Sheriff,0226,840,421,1261,2554,49.37%,207,1002,1209
Sheriff,0227,1071,359,1430,1810,79.01%,965,404,1369
Sheriff,0228,625,159,784,1175,66.72%,48,725,773
Sheriff,0229,227,168,395,828,47.71%,100,275,375
Sheriff,0230,353,165,518,1094,47.35%,30,474,504
Sheriff,0231,801,445,1246,2376,52.44%,225,979,1204
Sheriff,0232,941,438,1379,1826,75.52%,691,623,1314
Sheriff,0233,2571,703,3274,4713,69.47%,1412,1692,3104
Sheriff,0234,2419,728,3147,4042,77.86%,2200,810,3010
Sheriff,0235,461,203,664,1421,46.73%,30,608,638
Sheriff,0236,555,308,964,2104,45.82%,49,888,937
Sheriff,0237,739,312,1051,2146,48.97%,38,985,1023
Sheriff,0238,606,317,923,1948,47.38%,34,858,892
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0239,694,334,1028,1984,51.81,%,40,968,1008
Sheriff,0240,1007,292,1299,2601,49.94%,38,1234,1272
Sheriff,0241,651,383,1034,2466,41.93%,319,678,997
Sheriff,0242,506,314,820,1744,47.02%,348,420,768
Sheriff,0243,244,42,286,475,60.21%,9,272,281
Sheriff,0244,1409,538,1947,3296,59.07%,910,977,1887
Sheriff,0245,2100,811,2911,4679,62.21%,1823,991,2814
Sheriff,0246,2209,482,2691,3971,67.77%,1687,949,2636
