Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,Totals
"Constable, Precinct 1",0787,180,83,283,542,48.52%,73,174,247
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,Totals
"Constable, Precinct 1",0792,648,415,1063,1954,54.40%,236,781,1017
"Constable, Precinct 1",0795,396,2,398,1281,31.07%,124,246,370
"Constable, Precinct 1",0802,54,21,75,224,33.48%,18,53,71
"Constable, Precinct 1",0808,142,57,199,232,85.78%,69,116,185
"Constable, Precinct 1",0809,19,7,26,98,26.53%,11,14,25
"Constable, Precinct 1",0830,2,2,4,2,200.00%,4,0,4
"Constable, Precinct 1",0833,3,2,5,20,25.00%,1,4,5
"Constable, Precinct 1",0835,87,71,158,311,50.80%,41,109,150
"Constable, Precinct 1",0836,128,0,128,248,51.61%,9,108,117
"Constable, Precinct 1",0837,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 1",0848,1011,201,1212,1875,64.64%,354,816,1170
"Constable, Precinct 1",0855,7,2,9,21,42.86%,4,4,8
"Constable, Precinct 1",0859,391,143,534,945,56.51%,105,408,513
"Constable, Precinct 1",0861,777,272,1049,1941,54.04%,156,863,1019
"Constable, Precinct 1",0854,693,574,1267,2708,46.79%,257,944,1201
"Constable, Precinct 1",0868,736,495,1231,2446,50.33%,294,880,1174
"Constable, Precinct 1",0870,0,2,2,0,0.00%,2,0,2
"Constable, Precinct 1",0884,149,55,204,396,51.52%,28,171,199
"Constable, Precinct 1",0886,495,152,647,906,71.41,%,309,290,599
"Constable, Precinct 1",0887,234,95,329,492,66.87%,154,142,296
"Constable, Precinct 1",0890,445,98,543,1214,44.73%,201,302,503
"Constable, Precinct 1",0895,41,7,252,669,834,80.22%,235,386,621
"Constable, Precinct 1",0896,838,254,1092,1467,74.44%,312,729,1041
"Constable, Precinct 1",0902,1310,361,1671,2217,75.37%,786,783,1569
"Constable, Precinct 1",0906,19,3,22,28,78.57%,10,12,22
"Constable, Precinct 1",0909,7,1,8,21,38.10%,2,5,7
"Constable, Precinct 1",0910,78,37,115,236,48.73%,37,70,107
"Constable, Precinct 1",0914,42,0,42,124,33.87%,9,33,42
"Constable, Precinct 1",0918,3,1,4,7,57.14%,1,3,4
"Constable, Precinct 1",0922,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 1",0927,966,173,1139,1771,64.31%,518,572,1090
"Constable, Precinct 1",0928,4,1,5,7,71.43%,0,5,5
"Constable, Precinct 1",0930,217,83,300,606,49.50%,15,275,290
"Constable, Precinct 1",0934,9,4,13,37,35.14%,7,6,13
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,Totals
"Constable, Precinct 1",0936,23,9,32,76,42.11%,6,23,29
"Constable, Precinct 1",0956,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 1",0961,820,318,1138,2369,48.04%,168,925,1093
"Constable, Precinct 1",0962,33,12,45,88,51.14%,10,34,44
"Constable, Precinct 1",0966,368,189,557,1332,41.82%,128,395,523
"Constable, Precinct 1",0970,223,102,325,810,40.12%,29,275,304
"Constable, Precinct 1",0971,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 1",0975,104,26,130,190,68.42%,52,69,121
"Constable, Precinct 1",0977,160,108,268,617,43.44%,89,172,261
"Constable, Precinct 1",0987,476,130,606,1183,51.23%,37,550,587
"Constable, Precinct 1",0989,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 1",0993,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 1",1003,0,0,0,0,0.00%,0,0,0
"Constable, Precinct 1",1004,349,114,453,691,67.00%,220,223,443
"Constable, Precinct 1",1011,9,6,15,31,48.39%,9,6,15
"Constable, Precinct 1",Totals;,160026,64106,224126,662009,76866,168646,212479
