Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0099,681,295,976,2192,44.53%,412,518,930
"Judge, County Criminal Court No. 16",0100,529,276,805,1825,44.11%,343,434,777
"Judge, County Criminal Court No. 16",0101,221,129,350,988,35.43%,84,255,339
"Judge, County Criminal Court No. 16",0102,580,227,807,1907,42.32%,232,537,769
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0103,2140,985,3125,5097,61.31%,1540,1481,3021
"Judge, County Criminal Court No. 16",0104,913,211,1124,1920,58.54%,34,1063,1097
"Judge, County Criminal Court No. 16",0105,709,433,1142,2304,49.57%,335,740,1075
"Judge, County Criminal Court No. 16",0106,73,59,132,299,44.15%,46,83,129
"Judge, County Criminal Court No. 16",0107,592,403,995,2230,44.62%,187,765,952
"Judge, County Criminal Court No. 16",0108,1461,448,1909,3674,51.96%,905,892,1797
"Judge, County Criminal Court No. 16",0109,1098,278,1376,2909,47.30%,39,1293,1332
"Judge, County Criminal Court No. 16",0110,1661,481,2142,3222,66.48%,1212,840,2052
"Judge, County Criminal Court No. 16",0111,2699,866,3565,4792,74.39%,2478,934,3412
"Judge, County Criminal Court No. 16",0112,1507,598,2105,3188,66.03%,1388,619,2007
"Judge, County Criminal Court No. 16",0113,1307,418,1725,2718,63.47%,892,765,1657
"Judge, County Criminal Court No. 16",0114,2290,506,2796,3885,71.97%,2000,679,2679
"Judge, County Criminal Court No. 16",0115,609,272,881,1843,47.80%,102,744,846
"Judge, County Criminal Court No. 16",0116,1898,599,2497,3194,78.18%,1844,539,2383
"Judge, County Criminal Court No. 16",0117,573,379,952,1900,50.11%,344,549,893
"Judge, County Criminal Court No. 16",0118,1823,530,2353,3181,73.97%,1232,1006,2238
"Judge, County Criminal Court No. 16",0119,2755,409,3164,4682,67.58%,2426,594,3020
"Judge, County Criminal Court No. 16",0120,1804,588,2392,3732,64.09%,1403,869,2272
"Judge, County Criminal Court No. 16",0121,354,221,575,966,59.52%,363,196,559
"Judge, County Criminal Court No. 16",0122,732,284,1016,1904,53.36%,64,913,977
"Judge, County Criminal Court No. 16",0123,749,287,1036,1585,65.36%,268,705,973
"Judge, County Criminal Court No. 16",0124,3136,888,4024,5393,74.62%,3121,779,3900
"Judge, County Criminal Court No. 16",0125,1207,400,1607,2593,61.97%,851,689,1540
"Judge, County Criminal Court No. 16",0126,2017,427,2444,3380,72.31%,2040,306,2346
"Judge, County Criminal Court No. 16",0127,978,214,1192,2091,57.01%,822,307,1129
"Judge, County Criminal Court No. 16",0128,1107,612,1719,2322,74.03%,1023,552,1575
"Judge, County Criminal Court No. 16",0129,2540,1052,3592,5172,69.45%,2052,1332,3384
"Judge, County Criminal Court No. 16",0130,1310,433,1743,2289,76.15%,1217,442,1659
"Judge, County Criminal Court No. 16",0131,798,371,1169,2147,54.45%,260,877,1137
"Judge, County Criminal Court No. 16",0132,1028,322,1350,2378,56.77%,48,1273,1321
"Judge, County Criminal Court No. 16",0133,1411,746,2157,2690,80.19%,1161,826,1987
"Judge, County Criminal Court No. 16",0134,593,345,938,1513,62.00%,400,481,881
"Judge, County Criminal Court No. 16",0135,1614,551,2165,2777,77.96%,1334,689,2023
"Judge, County Criminal Court No. 16",0136,982,352,1334,2116,63.04%,89,1192,1281
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0137,993,259,1252,1986,63.04%,826,369,1195
"Judge, County Criminal Court No. 16",0138,600,228,828,1723,48.06%,44,760,804
"Judge, County Criminal Court No. 16",0139,1939,601,2540,3435,73.94%,1157,1181,2338
"Judge, County Criminal Court No. 16",0140,1513,510,2023,3270,61.87%,324,1584,1908
"Judge, County Criminal Court No. 16",0141,217,153,370,904,40.93%,195,145,340
"Judge, County Criminal Court No. 16",0142,293,140,433,933,46.41%,112,292,404
"Judge, County Criminal Court No. 16",0143,1868,267,2135,2582,82.69%,1378,687,2065
"Judge, County Criminal Court No. 16",0144,442,125,567,1086,52.21%,16,530,546
"Judge, County Criminal Court No. 16",0145,560,256,816,1564,52.17%,17,770,787
