Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0480,1450,538,1988,2978,66.76%,0,0,0,5,0,0,0,0
President and Vice President,0481,1761,667,2428,3609,67.28%,1,0,0,12,0,0,0,0
President and Vice President,0482,2260,618,2878,4405,65.33%,1,0,0,21,0,0,0,0
President and Vice President,0483,2328,538,2866,4495,63.76%,0,0,0,18,1,0,0,0
President and Vice President,0484,2030,700,2730,3981,68.58%,1,0,0,11,0,0,0,0
President and Vice President,0485,2121,567,2688,4051,66.35%,0,0,0,25,0,0,0,0
President and Vice President,0486,2312,721,3033,4195,72.30%,0,0,0,15,0,0,0,0
President and Vice President,0487,1410,527,1937,4142,46.76%,0,0,0,0,0,0,0,0
President and Vice President,0488,843,511,1354,2382,56.84%,0,0,0,7,0,0,0,0
President and Vice President,0489,866,344,1210,1958,61.80%,0,0,0,4,0,0,0,0
President and Vice President,0490,985,346,1331,2105,63.23%,1,0,4,8,1,1,0,0
President and Vice President,0491,959,488,1447,2110,68.58%,0,0,0,6,0,0,0,0
President and Vice President,0492,1231,396,1627,2552,63.75%,2,0,2,7,1,0,0,0
President and Vice President,0493,1408,555,1963,3338,58.81%,0,0,0,2,0,0,0,0
President and Vice President,0494,1079,419,1498,2787,53.75%,0,0,0,0,0,0,0,0
President and Vice President,0495,1420,376,1796,2488,72.19%,0,0,0,16,0,0,0,0
President and Vice President,0496,687,549,1236,2325,53.16%,0,0,0,0,0,0,0,0
President and Vice President,0497,916,281,1197,2148,55.73%,0,0,0,0,0,0,0,0
President and Vice President,0498,1077,423,1500,2527,59.36%,0,0,0,6,0,0,0,0
President and Vice President,0499,1442,397,1839,2336,78.72%,1,0,0,7,0,0,0,0
President and Vice President,0500,1874,651,2525,3698,68.28%,0,0,1,9,0,0,0,0
President and Vice President,0501,1154,406,1560,2016,77.38%,0,0,0,18,0,0,0,0
President and Vice President,0502,1368,293,1661,2595,64.01%,0,0,0,4,0,0,0,0
President and Vice President,0503,1402,306,1708,2236,76.39%,0,0,1,8,0,0,0,0
President and Vice President,0504,1282,482,1764,2318,76.10%,0,0,1,8,0,0,0,1
President and Vice President,0505,1758,735,2493,4076,61.16%,0,0,0,5,0,0,0,0
President and Vice President,0506,1516,696,2212,3544,62.42%,0,0,0,3,0,0,0,0
President and Vice President,0507,601,319,920,2562,35.91%,0,0,0,2,0,0,0,0
President and Vice President,0508,1529,828,2357,4767,49.44%,0,0,0,0,0,0,0,0
President and Vice President,0509,2510,669,3179,5153,61.69%,0,0,0,30,0,0,0,0
President and Vice President,0510,1716,666,2382,3822,62.32%,0,0,1,6,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Laurence Kotlikoffl Edward Leamer,Jonathan Lee] Jeffrey Erskine,Michael A. Maturen I Juan A. Munoz,Evan McMullinl Nathan Johnson,Monica Mooreheadl Lamont Lilly,Robert Morrow] Todd Sanders,Emidio Soltysikl Angela Walker,Dale Steffes I Paul E. Case
President and Vice President,0511,2937,574,3511,4620,76.00%,0,0,2,17,0,0,0,0
President and Vice President,0512,1670,871,2541,4559,55.74%,0,0,1,3,0,0,0,0
President and Vice President,0513,1760,413,2173,3003,72.36%,1,0,0,17,0,0,0,0
President and Vice President,0514,2296,613,2909,4378,66.45%,0,0,0,17,0,0,1,0
President and Vice President,0515,1843,468,2311,3182,72.63%,0,0,0,10,0,0,0,0
President and Vice President,0516,1319,363,1682,2799,60.09%,0,0,0,3,0,0,0,0
President and Vice President,0517,1615,509,2124,3744,56.73%,1,0,0,5,0,0,0,0
President and Vice President,0518,1889,676,2565,4049,63.35%,0,0,1,11,0,0,0,0
President and Vice President,0519,1425,518,1943,3098,62.72%,0,0,0,6,0,0,0,0
President and Vice President,0520,1800,670,2470,5202,47.48%,0,0,0,2,0,0,0,0
President and Vice President,0521,1353,578,1931,3070,62.90%,0,0,0,5,0,0,0,0
President and Vice President,0522,1515,464,1979,2815,70.30%,0,0,0,20,0,0,0,0
President and Vice President,0523,1986,537,2523,4027,62.65%,0,0,1,12,0,0,0,0
President and Vice President,0524,1401,637,2038,3598,56.64%,0,0,1,1,0,0,0,0
President and Vice President,0525,1446,574,2020,3260,61.96%,0,0,0,5,0,0,0,0
President and Vice President,0526,238,157,395,820,48.17%,0,0,0,3,0,0,0,0
President and Vice President,0527,156,38,194,580,33.45%,0,0,0,0,0,0,0,0
President and Vice President,0528,17,8,25,78,32.05%,0,0,0,1,0,0,0,0
President and Vice President,0529,2110,434,2544,3842,66.22%,0,0,0,16,0,0,0,0
President and Vice President,0530,377,212,589,1236,47.65%,0,0,0,0,0,0,0,0
President and Vice President,0531,1235,166,1401,2250,62.27%,0,0,0,2,0,0,0,0
President and Vice President,0532,481,140,621,1058,58.70%,0,0,0,2,0,0,0,0
President and Vice President,0533,353,169,522,1164,44.85%,0,0,0,4,0,0,0,0
President and Vice President,0534,1901,577,2478,3918,63.25%,0,0,0,5,0,0,0,0
President and Vice President,0535,132,62,194,413,46.97%,0,0,0,1,0,0,0,0
President and Vice President,0536,2110,1053,3163,5637,56.11%,0,0,0,12,0,0,0,0
President and Vice President,0537,1961,464,2425,3174,76.40%,1,0,0,8,0,0,0,0
President and Vice President,0538,372,203,575,1332,43.17%,0,0,0,0,0,0,0,0
President and Vice President,0539,811,234,1045,1535,68.08%,0,0,0,5,0,0,0,0
President and Vice President,0540,1017,349,1366,1759,77.66%,0,0,0,14,0,0,0,0
President and Vice President,0541,2174,761,2935,5001,58.69%,0,0,0,18,0,0,0,0
President and Vice President,0542,1157,406,1563,2654,58.89%,0,0,0,0,0,0,0,0
President and Vice President,0543,554,321,875,1658,52.77%,0,0,0,0,0,0,0,0
President and Vice President,0544,84,54,138,313,44.09%,0,0,0,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Laurence Kotlikoffl Edward Leamer,Jonathan Lee] Jeffrey Erskine,Michael A. Maturen I Juan A. Munoz,Evan McMullinl Nathan Johnson,Monica Mooreheadl Lamont Lilly,Robert Morrow] Todd Sanders,Emidio Soltysikl Angela Walker,Dale Steffes I Paul E. Case
President and Vice President,0545,2023,468,2491,3949,63.08%,1,0,0,2,0,0,0,0
President and Vice President,0546,1525,278,1803,2471,72.97%,0,0,0,15,0,0,0,0
President and Vice President,0547,1415,270,1686,2534,66.54%,0,0,0,5,0,0,0,0
President and Vice President,0548,883,395,1278,2339,54.64%,0,0,0,3,0,0,0,0
President and Vice President,0549,1106,447,1553,2786,55.74%,0,0,0,0,0,0,0,0
President and Vice President,0550,1179,553,1732,3245,53.37%,0,0,0,1,0,0,0,0
President and Vice President,0551,2595,793,3388,4428,76.51%,0,0,0,33,0,0,0,0
President and Vice President,0552,2095,784,2879,3762,76.53%,0,0,0,14,0,0,0,0
President and Vice President,0553,964,317,1281,2193,58.41%,0,0,2,3,0,0,0,0
President and Vice President,0554,597,271,868,1774,48.93%,0,0,0,2,0,0,0,0
President and Vice President,0555,642,390,1032,2286,45.14%,0,0,0,0,0,0,0,0
President and Vice President,0556,760,435,1195,2491,47.97%,1,0,0,3,0,0,0,0
President and Vice President,0557,925,460,1385,2955,46.87%,0,0,0,1,0,0,0,0
President and Vice President,0558,1821,721,2542,4718,53.88%,0,0,0,7,0,0,0,0
President and Vice President,0559,1923,701,2624,4984,52.65%,0,0,0,11,0,0,0,0
President and Vice President,0560,290,247,537,1141,47.06%,0,0,0,0,0,0,0,0
President and Vice President,0561,1027,624,1651,3138,52.61%,0,0,0,3,0,0,0,0
President and Vice President,0562,222,116,338,691,48.91%,0,0,0,0,0,0,0,0
President and Vice President,0563,2083,337,2420,3468,69.78%,0,0,1,18,0,0,0,0
President and Vice President,0564,1579,526,2105,3240,64.97%,0,0,0,41,0,0,0,0
President and Vice President,0565,339,148,487,1414,34.44%,0,0,0,0,0,0,0,0
President and Vice President,0566,1192,441,1633,3029,53.91%,0,0,0,2,0,0,0,0
President and Vice President,0567,967,390,1357,2851,47.60%,0,0,0,0,0,0,0,0
President and Vice President,0568,1841,697,2538,3638,69.76%,1,0,2,20,0,0,0,0
President and Vice President,0569,2050,747,2797,4125,67.81%,0,0,1,16,0,0,0,0
President and Vice President,0570,771,278,1049,1598,65.64%,0,0,0,7,0,0,0,0
President and Vice President,0571,521,314,835,1950,42.82%,0,0,0,1,0,0,0,0
President and Vice President,0572,1542,444,1986,3308,60.04%,0,0,2,11,0,0,0,0
President and Vice President,0573,490,215,705,1625,43.38%,0,0,0,0,0,0,0,0
President and Vice President,0574,112,74,186,391,47.57%,0,0,0,0,0,0,0,0
President and Vice President,0575,1909,535,2444,3557,68.71%,0,0,0,21,0,0,0,0
President and Vice President,0576,1112,375,1487,2830,52.54%,0,0,0,0,0,0,0,0
President and Vice President,0577,887,205,1092,1586,68.85%,0,0,0,2,0,0,0,0
President and Vice President,0578,1029,405,1434,1862,77.01%,0,0,1,13,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Laurence Kotlikoffl Edward Leamer,Jonathan Lee] Jeffrey Erskine,Michael A. Maturen I Juan A. Munoz,Evan McMullinl Nathan Johnson,Monica Mooreheadl Lamont Lilly,Robert Morrow] Todd Sanders,Emidio Soltysikl Angela Walker,Dale Steffes I Paul E. Case
President and Vice President,0579,287,181,468,1139,41.09%,0,0,0,1,0,0,0,0
President and Vice President,0580,366,108,474,985,48.12%,0,0,0,0,0,0,0,0
President and Vice President,0581,457,137,594,1033,57.50%,0,0,0,0,0,0,0,0
President and Vice President,0582,543,232,775,1607,48.23%,0,0,0,0,0,0,0,0
President and Vice President,0583,434,155,589,1286,45.80%,0,0,0,0,0,0,0,0
President and Vice President,0584,367,120,487,1062,45.86%,0,0,0,0,0,0,0,0
President and Vice President,0585,830,280,1110,2346,47.31%,0,0,0,0,0,0,0,0
President and Vice President,0586,1794,790,2584,4521,57.16%,0,0,0,4,0,0,0,0
President and Vice President,0587,1210,431,1641,2870,57.18%,2,0,0,4,0,0,0,0
President and Vice President,0588,1946,606,2552,3780,67.51%,0,0,0,17,0,0,0,0
President and Vice President,0589,1544,545,2089,3780,55.26%,0,0,0,15,0,0,0,0
President and Vice President,0590,1231,400,1631,2176,74.95%,0,0,0,11,0,0,0,0
President and Vice President,0591,652,462,1114,2274,48.99%,0,0,0,1,0,0,0,0
President and Vice President,0592,449,272,721,1446,49.86%,1,0,0,2,0,0,0,0
President and Vice President,0593,1562,755,2317,4179,55.44%,0,0,0,4,0,0,0,0
President and Vice President,0594,1252,316,1568,2578,60.82%,0,0,0,0,0,0,0,0
President and Vice President,0595,602,299,901,1833,49.15%,0,0,0,0,0,0,0,0
President and Vice President,0596,1381,501,1882,3574,52.66%,0,0,1,5,0,0,0,0
President and Vice President,0597,1207,609,1816,3587,50.63%,0,0,0,3,0,0,0,0
President and Vice President,0598,2391,731,3122,5253,59.43%,0,0,1,8,0,0,0,0
President and Vice President,0599,1380,493,1873,3005,62.33%,0,0,0,5,0,0,0,0
President and Vice President,0600,1604,776,2380,4204,56.61%,0,0,0,2,0,0,0,0
President and Vice President,0601,2229,670,2899,4151,69.84%,1,0,0,33,0,0,0,0
President and Vice President,0602,756,234,990,1441,68.70%,0,0,0,5,0,0,0,0
President and Vice President,0603,2349,725,3074,4666,65.88%,0,0,0,20,0,0,0,0
President and Vice President,0604,1820,375,2195,3189,68.83%,0,0,0,5,0,0,0,0
President and Vice President,0605,1714,599,2313,4217,54.85%,0,0,0,0,0,0,0,0
President and Vice President,0606,319,111,430,970,44.33%,0,0,0,0,0,0,0,0
President and Vice President,0607,163,51,214,712,30.06%,0,0,0,0,0,0,0,0
President and Vice President,0608,156,77,233,570,40.88%,0,0,0,2,0,0,0,0
President and Vice President,0609,2042,729,2771,4305,64.37%,1,0,0,3,0,0,0,0
President and Vice President,0610,670,343,1013,2086,48.56%,1,0,0,6,0,0,0,0
President and Vice President,0611,980,229,1209,2527,47.84%,0,0,0,0,0,0,0,0
President and Vice President,0612,1934,431,2365,3388,69.81%,1,0,1,22,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Laurence Kotlikoffl Edward Leamer,Jonathan Lee] Jeffrey Erskine,Michael A. Maturen I Juan A. Munoz,Evan McMullinl Nathan Johnson,Monica Mooreheadl Lamont Lilly,Robert Morrow] Todd Sanders,Emidio Soltysikl Angela Walker,Dale Steffes I Paul E. Case
President and Vice President,0613,939,339,1278,2368,53.97%,0,0,0,2,0,0,0,0
President and Vice President,0614,1953,645,2598,4566,56.90%,0,0,0,2,0,0,0,0
President and Vice President,0615,1076,301,1377,2086,66.01%,0,0,0,5,0,0,0,0
President and Vice President,0616,1814,611,2425,3516,68.97%,0,0,0,12,0,0,0,0
President and Vice President,0617,1708,650,2358,4179,56.42%,0,0,0,5,0,0,0,0
President and Vice President,0618,1701,545,2246,3801,59.09%,0,0,0,2,0,0,0,0
President and Vice President,0619,2799,663,3462,4916,70.42%,4,0,2,36,0,0,0,0
President and Vice President,0620,1760,333,2093,3318,63.08%,0,0,0,4,0,0,0,0
President and Vice President,0621,539,200,739,1272,58.10%,0,0,0,2,0,0,0,0
President and Vice President,0622,2141,591,2732,4562,59.89%,1,0,0,5,0,0,0,0
President and Vice President,0623,1965,461,2426,3919,61.90%,0,0,0,20,0,0,0,0
President and Vice President,0624,299,59,358,456,78.51%,0,0,0,3,0,0,0,0
President and Vice President,0625,932,372,1304,1864,69.96%,1,0,0,5,0,0,0,0
President and Vice President,0626,2310,784,3094,4816,64.24%,0,0,0,10,0,0,0,0
President and Vice President,0627,938,649,1587,3235,49.06%,0,0,0,0,0,0,0,0
President and Vice President,0628,721,545,1266,2420,52.31%,0,0,0,2,0,0,0,0
President and Vice President,0629,162,96,258,750,34.40%,0,0,0,0,0,0,0,0
President and Vice President,0630,2682,541,3223,4738,68.02%,0,0,0,6,0,0,0,0
President and Vice President,0631,1849,398,2247,3263,68.86%,0,0,1,17,0,0,0,0
President and Vice President,0632,4,1,5,241,2.07%,0,0,0,0,0,0,0,0
President and Vice President,0633,2287,601,2888,3912,73.82%,0,0,0,30,0,0,0,0
President and Vice President,0634,1439,499,1938,3259,59.47%,0,0,0,7,0,0,0,0
President and Vice President,0635,1652,520,2172,3512,61.85%,0,0,0,18,0,0,1,0
President and Vice President,0636,2304,922,3226,4569,70.61%,0,0,0,12,0,0,0,0
President and Vice President,0637,1100,423,1523,2591,58.78%,1,0,0,2,0,0,0,0
President and Vice President,0638,855,348,1203,2310,52.08%,0,0,0,1,0,0,0,0
President and Vice President,0639,1389,284,1673,2560,65.35%,0,0,0,10,0,0,0,0
President and Vice President,0640,1620,615,2235,3927,56.91%,0,0,0,8,0,0,0,0
President and Vice President,0641,1640,683,2323,3840,60.49%,0,0,0,2,0,0,0,0
President and Vice President,0642,1031,270,1301,1783,72.97%,0,0,0,5,0,0,0,0
President and Vice President,0643,1952,593,2545,4189,60.75%,0,0,0,10,0,0,0,0
President and Vice President,0644,2097,689,2786,4446,62.66%,0,0,1,9,0,0,0,0
President and Vice President,0645,2161,769,2930,4517,64.87%,0,0,0,8,0,0,0,0
President and Vice President,0646,926,399,1325,2422,54.71%,0,0,1,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Laurence Kotlikoffl Edward Leamer,Jonathan Lee] Jeffrey Erskine,Michael A. Maturen I Juan A. Munoz,Evan McMullinl Nathan Johnson,Monica Mooreheadl Lamont Lilly,Robert Morrow] Todd Sanders,Emidio Soltysikl Angela Walker,Dale Steffes I Paul E. Case
President and Vice President,0647,1375,526,1901,4349,43.71%,0,0,0,1,0,0,0,0
President and Vice President,0648,1866,500,2366,3487,67.85%,0,0,1,17,0,0,0,0
President and Vice President,0649,1557,775,2332,4755,49.04%,0,0,0,2,1,0,0,0
President and Vice President,0650,2042,819,2861,4039,70.83%,0,0,0,12,0,0,0,0
President and Vice President,0651,1735,551,2286,3873,59.02%,0,0,1,16,0,0,0,0
President and Vice President,0652,1167,545,1712,2979,57.47%,0,0,0,2,0,0,0,0
President and Vice President,0653,187,110,297,604,49.17%,0,0,0,0,0,0,0,0
President and Vice President,0654,2390,698,3088,5063,60.99%,0,0,1,11,0,0,0,0
President and Vice President,0655,1964,761,2725,4495,60.62%,1,0,1,12,0,0,0,0
President and Vice President,0656,1107,401,1508,2737,55.10%,0,0,0,0,0,0,0,0
President and Vice President,0657,684,276,960,1487,64.56%,0,0,0,3,0,0,0,0
President and Vice President,0658,1300,494,1794,2901,61.84%,0,0,0,10,0,0,0,0
President and Vice President,0659,2812,733,3545,5161,68.69%,0,0,0,13,0,0,0,0
President and Vice President,0660,1575,345,1921,3087,62.23%,0,0,0,1,0,0,0,0
President and Vice President,0661,1953,774,2727,4363,62.50%,0,0,2,12,0,0,0,0
President and Vice President,0662,2269,571,2840,4002,70.96%,0,0,0,9,0,0,0,0
President and Vice President,0663,1343,448,1791,2340,76.54%,0,0,0,9,0,0,0,0
President and Vice President,0664,910,513,1423,2992,47.56%,0,0,0,1,0,0,0,0
President and Vice President,0665,1329,360,1689,2354,71.75%,0,0,0,6,0,0,0,0
President and Vice President,0666,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0667,1116,400,1516,2175,69.70%,0,0,0,10,0,0,0,0
President and Vice President,0668,1558,719,2277,3669,62.06%,0,0,0,14,0,0,0,0
President and Vice President,0669,1901,702,2603,3585,72.61%,0,0,1,24,0,0,0,1
President and Vice President,0670,2000,416,2416,3335,72.44%,2,0,0,22,0,0,0,0
President and Vice President,0671,1405,588,1993,3198,62.32%,0,0,0,7,0,0,0,0
President and Vice President,0672,1730,489,2219,3433,64.64%,1,0,0,17,0,0,0,0
President and Vice President,0673,1627,467,2094,3051,68.63%,0,0,0,3,0,0,0,0
President and Vice President,0674,2365,610,2975,4228,70.36%,0,0,0,20,0,0,0,0
President and Vice President,0675,1,0,1,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0676,1088,465,1553,2976,52.18%,0,0,0,1,0,0,0,0
President and Vice President,0677,423,259,682,1300,52.46%,0,0,0,1,0,0,0,0
President and Vice President,0678,1170,294,1464,2660,55.04%,0,0,0,1,0,0,0,0
President and Vice President,0679,1721,529,2250,3542,63.52%,0,0,1,5,0,0,0,0
President and Vice President,0680,100,17,117,179,65.36%,0,0,0,1,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Laurence Kotlikoffl Edward Leamer,Jonathan Lee] Jeffrey Erskine,Michael A. Maturen I Juan A. Munoz,Evan McMullinl Nathan Johnson,Monica Mooreheadl Lamont Lilly,Robert Morrow] Todd Sanders,Emidio Soltysikl Angela Walker,Dale Steffes I Paul E. Case
President and Vice President,0681,6,0,6,4,150.00%,0,0,0,0,0,0,0,0
President and Vice President,0682,2114,690,2804,4313,65.01%,0,0,0,14,0,0,0,0
President and Vice President,0683,82,5,87,302,28.81%,0,0,0,0,0,0,0,0
President and Vice President,0684,1686,640,2326,3559,65.36%,0,0,0,31,0,0,0,0
President and Vice President,0685,139,28,167,285,58.60%,0,0,0,1,0,0,0,0
President and Vice President,0686,53,5,58,221,26.24%,0,0,0,0,0,0,0,0
President and Vice President,0687,1518,400,1918,2713,70.70%,0,0,0,13,0,0,0,0
President and Vice President,0688,2345,594,2939,3922,74.94%,0,0,0,12,0,0,0,0
President and Vice President,0689,731,604,1335,2449,54.51%,0,0,0,3,0,0,0,0
President and Vice President,0690,1975,553,2528,3614,69.95%,0,0,0,18,0,0,0,0
President and Vice President,0691,2134,551,2685,3690,72.76%,0,0,1,18,0,0,0,0
President and Vice President,0692,1282,678,1960,3118,62.86%,0,0,0,4,0,0,0,0
President and Vice President,0693,311,110,421,681,61.82%,0,0,0,2,0,0,0,0
President and Vice President,0694,1008,319,1327,2478,53.55%,0,0,1,5,0,0,0,0
President and Vice President,0695,531,315,946,1842,51.36%,0,0,0,2,0,0,0,0
President and Vice President,0696,729,312,1041,2027,51.36%,0,0,0,3,0,0,0,0
President and Vice President,0697,1299,552,1851,3238,57.16%,0,0,1,1,0,0,0,0
President and Vice President,0698,1276,520,1796,3339,53.79%,0,0,0,0,0,0,0,0
President and Vice President,0699,1283,398,1681,2387,70.42%,0,0,1,12,0,0,0,0
President and Vice President,0700,728,247,975,1536,63.48%,0,0,0,1,0,0,0,0
President and Vice President,0701,210,73,283,614,46.09%,0,0,0,0,0,0,0,0
President and Vice President,0702,183,69,252,550,45.82%,0,0,0,0,0,0,0,0
President and Vice President,0703,902,528,1430,1943,73.60%,0,0,0,9,0,0,0,0
President and Vice President,0704,1700,512,2212,3121,70.87%,2,0,0,8,0,0,0,0
President and Vice President,0705,331,206,537,1513,35.49%,0,0,0,0,0,0,0,0
President and Vice President,0706,1255,372,1627,2821,57.67%,0,0,1,3,0,0,0,0
President and Vice President,0707,378,69,447,757,59.05%,0,0,0,0,0,0,0,0
President and Vice President,0708,163,98,261,592,44.09%,0,0,0,0,0,0,0,0
President and Vice President,0709,2251,528,2789,4136,67.43%,0,0,1,13,0,0,0,0
President and Vice President,0710,1143,450,1593,2096,76.00%,0,0,0,3,0,0,0,0
President and Vice President,0711,1987,599,2586,3820,67.70%,0,0,0,4,0,0,0,0
President and Vice President,0712,1722,627,2349,4002,58.70%,0,0,0,7,0,0,0,0
President and Vice President,0713,770,365,1135,2006,56.58%,0,0,1,3,0,0,0,0
President and Vice President,0714,102,28,130,306,42.48%,0,0,0,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Laurence Kotlikoffl Edward Leamer,Jonathan Lee] Jeffrey Erskine,Michael A. Maturen I Juan A. Munoz,Evan McMullinl Nathan Johnson,Monica Mooreheadl Lamont Lilly,Robert Morrow] Todd Sanders,Emidio Soltysikl Angela Walker,Dale Steffes I Paul E. Case
President and Vice President,0715,553,239,792,1549,51.13%,0,0,0,3,0,0,0,0
President and Vice President,0716,1219,419,1638,2720,60.22%,0,0,2,5,0,0,0,0
President and Vice President,0717,979,232,1211,2082,58.17%,0,0,0,1,0,0,0,0
President and Vice President,0718,2251,872,3123,4412,70.78%,3,0,3,17,0,0,0,0
President and Vice President,0719,624,223,847,1644,51.52%,0,0,0,0,0,0,0,0
President and Vice President,0720,2506,709,3215,4709,68.27%,0,0,0,35,0,0,0,0
President and Vice President,0721,1476,603,2079,2926,71.05%,2,0,0,13,0,0,0,0
President and Vice President,0722,1931,609,2540,4638,54.76%,0,0,0,1,0,0,0,0
President and Vice President,0723,899,261,1160,1959,59.21%,0,0,0,1,0,0,0,0
President and Vice President,0724,395,146,541,800,67.63%,0,0,0,0,0,0,0,0
President and Vice President,0725,977,294,1271,2336,54.41%,0,0,0,4,0,0,0,0
President and Vice President,0726,1274,321,1595,2207,72.27%,0,0,0,17,0,0,0,0
President and Vice President,0727,984,415,1399,2708,51.66%,0,0,0,4,0,0,0,0
President and Vice President,0728,399,198,597,942,63.38%,0,0,1,9,0,0,0,0
President and Vice President,0729,235,49,284,471,60.30%,0,0,2,1,0,0,0,0
President and Vice President,0730,1372,406,1778,2435,73.02%,0,0,0,14,0,0,0,0
President and Vice President,0731,2090,624,2714,4834,56.14%,0,0,0,9,0,0,0,0
President and Vice President,0732,798,449,1247,1943,64.18%,1,0,2,11,0,0,0,0
President and Vice President,0733,55,25,80,303,26.40%,0,0,0,1,0,0,0,0
President and Vice President,0734,2309,556,2865,4294,66.72%,0,0,2,10,0,0,0,0
President and Vice President,0735,158,61,219,251,87.25%,0,0,0,3,0,0,0,0
President and Vice President,0736,14,3,17,42,40.48%,0,0,0,0,0,0,0,0
President and Vice President,0737,21,6,27,56,48.21%,0,0,0,0,0,0,0,0
President and Vice President,0738,436,214,650,1497,43.42%,0,0,0,0,0,0,0,0
President and Vice President,0739,981,440,1421,2971,47.83%,0,0,0,3,0,0,0,0
President and Vice President,0740,281,169,450,1005,44.78%,0,0,0,0,0,0,1,0
President and Vice President,0741,925,262,1187,1895,62.64%,0,0,1,2,1,0,0,0
President and Vice President,0742,1542,498,2040,2859,71.35%,0,0,0,10,0,0,0,0
President and Vice President,0743,54,60,114,234,48.72%,0,0,0,0,0,0,0,0
President and Vice President,0744,1011,444,1455,2103,69.19%,0,0,0,7,0,0,0,0
President and Vice President,0745,1219,446,1665,2543,65.47%,1,0,0,6,0,0,0,0
President and Vice President,0746,246,121,367,732,50.14%,0,0,0,1,0,0,0,0
President and Vice President,0747,1748,693,2441,4096,59.59%,0,0,0,4,0,0,0,0
President and Vice President,0748,559,245,814,1556,52.31%,0,0,2,5,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Laurence Kotlikoffl Edward Leamer,Jonathan Lee] Jeffrey Erskine,Michael A. Maturen I Juan A. Munoz,Evan McMullinl Nathan Johnson,Monica Mooreheadl Lamont Lilly,Robert Morrow] Todd Sanders,Emidio Soltysikl Angela Walker,Dale Steffes I Paul E. Case
President and Vice President,0749,115,1,116,432,26.85%,0,0,0,0,0,0,0,0
President and Vice President,0750,295,122,417,809,51.55%,0,0,0,4,0,0,0,0
President and Vice President,0751,2951,1013,3964,5893,67.27%,1,0,0,25,0,0,0,0
President and Vice President,0752,660,227,887,1484,59.77%,0,0,0,5,0,0,0,0
President and Vice President,0753,260,53,313,512,61.13%,0,0,0,2,0,0,0,0
President and Vice President,0754,388,252,550,1590,40.88%,0,0,0,0,0,0,0,0
President and Vice President,0755,1786,955,2741,5015,54.66%,0,0,1,2,0,0,0,0
President and Vice President,0756,688,309,997,1723,57.86%,0,0,0,0,0,0,0,0
President and Vice President,0757,1867,601,2468,4792,51.50%,0,0,0,3,0,0,0,0
President and Vice President,0758,2109,595,2704,3803,71.10%,3,0,0,22,0,0,0,0
President and Vice President,0759,1392,375,1767,2779,63.58%,0,0,1,20,0,0,0,0
President and Vice President,0760,1222,268,1490,2162,68.92%,0,0,0,9,0,0,0,1
President and Vice President,0761,1096,167,1263,1598,79.04%,0,0,1,9,0,0,0,0
President and Vice President,0762,930,303,1233,1828,67.45%,0,0,0,6,0,0,0,0
President and Vice President,0763,370,264,634,1249,50.76%,0,0,0,1,0,0,0,0
President and Vice President,0764,2475,677,3152,4827,65.30%,0,0,0,20,0,0,0,0
President and Vice President,0765,2069,874,2943,5742,51.25%,0,0,0,6,0,0,0,0
President and Vice President,0766,125,59,185,428,43.22%,0,0,0,0,0,0,0,0
President and Vice President,0767,31,15,46,92,50.00%,0,0,0,0,0,0,0,0
President and Vice President,0768,1486,387,1873,2643,70.87%,0,0,0,9,0,0,0,0
President and Vice President,0769,85,14,99,184,53.80%,0,0,0,0,0,0,0,0
President and Vice President,0770,103,42,145,388,37.37%,0,0,0,0,0,0,0,0
President and Vice President,0771,572,210,782,1588,49.24%,0,0,0,4,0,0,0,0
President and Vice President,0772,2820,477,3297,4606,71.58%,2,0,0,27,0,0,0,1
President and Vice President,0773,1697,638,2335,4414,52.90%,0,0,0,3,0,0,0,0
President and Vice President,0774,154,66,220,426,51.64%,0,0,0,0,0,0,0,0
President and Vice President,0775,50,1,51,102,50.00%,0,0,0,0,0,0,0,0
