Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0152,839,524,1363,3059,44.56%,242,1058,25,11,0,0,0,0
President and Vice President,0153,545,399,944,1873,50.40%,196,695,20,11,0,0,0,0
President and Vice President,0154,916,289,1205,2293,52.55%,209,927,31,6,1,0,0,0
President and Vice President,0155,2292,576,2868,4065,70.55%,1533,1169,79,13,0,3,0,0
President and Vice President,0156,1420,403,1823,3223,56.56%,85,1667,17,16,0,0,0,0
President and Vice President,0157,880,278,1158,2265,51.13%,53,1058,17,5,0,0,0,0
President and Vice President,0158,1145,365,1510,3049,49.52%,34,1436,9,13,0,0,0,0
President and Vice President,0159,350,147,497,997,49.85%,47,417,13,9,0,0,0,0
President and Vice President,0160,286,67,353,717,49.23%,18,316,6,5,0,0,0,0
President and Vice President,0161,378,173,551,992,55.54%,14,523,2,2,0,0,0,0
President and Vice President,0162,364,267,631,1312,48.09%,142,455,15,6,0,0,0,0
President and Vice President,0163,1086,524,1610,3075,52.36%,466,1044,34,19,0,0,0,0
President and Vice President,0164,441,258,699,1407,49.68%,20,666,2,2,0,0,0,0
President and Vice President,0165,1176,469,1645,2460,66.87%,810,701,65,17,0,0,0,0
President and Vice President,0166,563,261,824,1171,70.37%,198,551,41,12,0,0,0,0
President and Vice President,0167,5,2,7,24,29.17%,0,6,0,0,0,0,0,0
President and Vice President,0168,196,59,255,512,49.80%,6,243,1,1,0,0,0,0
President and Vice President,0169,985,247,1232,2548,48.35%,43,1157,11,5,0,0,0,0
President and Vice President,0170,554,262,926,1958,47.29%,396,467,34,7,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0171,482,283,765,1648,46.42%,32,706,9,5,0,0,0,0
President and Vice President,0172,245,103,348,661,52.65%,76,251,9,6,0,0,0,0
President and Vice President,0173,2255,683,2948,3966,74.33%,1962,781,93,14,3,0,0,1
President and Vice President,0174,1723,707,2430,3389,71.70%,1338,917,99,14,1,0,0,1
President and Vice President,0175,1421,691,2112,2711,77.90%,769,1193,71,11,1,0,0,0
President and Vice President,0176,770,375,1145,1533,74.69%,404,654,43,6,0,0,0,0
President and Vice President,0177,945,333,1279,1715,74.58%,516,646,59,9,0,0,0,0
President and Vice President,0178,1124,273,1397,1795,77.83%,740,543,54,8,0,1,0,0
President and Vice President,0179,774,244,1018,1673,60.85%,406,522,44,15,0,1,0,1
President and Vice President,0180,930,463,1393,2914,47.80%,49,1267,18,20,0,0,0,0
President and Vice President,0181,698,439,1137,2195,51.80%,242,828,22,14,0,0,0,0
President and Vice President,0182,1967,994,2961,4071,72.73%,1154,1579,120,24,0,0,0,0
President and Vice President,0183,1292,715,2007,2535,79.17%,904,927,72,13,0,0,0,0
President and Vice President,0184,278,219,497,1048,47.42%,115,356,7,7,0,0,0,0
President and Vice President,0185,710,444,1154,2054,56.18%,271,822,19,14,0,0,0,0
President and Vice President,0186,252,150,402,798,50.38%,28,361,3,1,0,0,0,0
President and Vice President,0187,95,51,147,309,47.57%,20,121,3,1,0,0,0,0
President and Vice President,0188,500,306,806,1711,47.11%,225,531,25,4,0,0,0,0
President and Vice President,0189,810,279,1089,1505,72.36%,461,522,68,4,0,0,0,0
President and Vice President,0190,572,326,898,1849,48.57%,238,603,22,11,0,0,0,0
President and Vice President,0191,327,259,585,1408,41.62%,158,392,16,10,0,0,0,0
President and Vice President,0192,757,259,1016,1959,51.86%,50,917,16,9,0,0,0,0
President and Vice President,0193,376,211,587,1099,53.41%,13,538,12,15,0,0,0,0
President and Vice President,0194,1153,449,1602,2172,73.76%,303,1187,49,25,0,0,0,0
President and Vice President,0195,607,344,951,1739,54.69%,39,863,13,11,0,0,0,0
President and Vice President,0196,133,37,170,313,54.31%,12,146,5,4,0,0,0,0
President and Vice President,0197,995,372,1358,2969,46.08%,43,1281,5,10,0,0,0,0
President and Vice President,0198,151,82,243,619,39.26%,6,221,3,6,0,0,0,0
President and Vice President,0199,1935,815,2750,4063,67.68%,1921,631,97,22,2,0,0,0
President and Vice President,0200,2334,377,2711,3692,73.43%,950,1543,121,22,0,0,0,0
President and Vice President,0202,421,233,654,1410,46.38%,22,610,6,4,0,0,0,0
President and Vice President,0203,298,111,409,988,41.40%,61,321,11,3,0,0,0,0
President and Vice President,0204,2108,577,2685,3568,75.25%,1140,1285,159,20,0,2,0,1
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donald J. Trumpl Mike Pence,DEM Hillary Clinton lTim Kaine,LIB Gary Johnson I William Weld,GRN Jill Stein IAjamu Baraka,Darrell L. Castle I Scott N. Bradley,Scott Cubblerl Michael Rodriguez,Cherunda Foxl Roger Kushner,Tom Hoeflingl Steve Schulin
President and Vice President,0205,772,171,943,1724,54.70%,30,895,5,3,0,0,0,0
President and Vice President,0206,1280,494,1774,2965,59.83%,408,1212,83,30,1,0,0,0
President and Vice President,0207,606,212,818,1166,70.15%,222,536,27,8,1,0,0,0
President and Vice President,0208,911,338,1249,2256,55.36%,289,900,15,12,0,0,0,0
President and Vice President,0209,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0210,1269,489,1758,2781,63.21%,212,1439,38,29,0,0,0,0
President and Vice President,0211,969,595,1564,3130,49.97%,375,1091,39,20,1,0,0,0
President and Vice President,0212,309,323,632,1370,46.13%,101,500,11,9,0,0,0,0
President and Vice President,0213,1794,795,2589,3406,76.01%,1672,731,73,13,0,1,0,0
President and Vice President,0214,1018,418,1436,1911,75.14%,681,646,52,15,0,0,0,0
President and Vice President,0215,1101,636,1737,2286,75.98%,719,872,65,23,2,0,0,0
President and Vice President,0216,779,244,1023,1966,52.03%,53,931,11,7,0,0,0,0
President and Vice President,0217,1565,618,2183,2736,79.79%,1009,981,85,11,0,0,0,0
President and Vice President,0218,1101,457,1558,2467,63.15%,303,1155,47,19,0,0,0,0
President and Vice President,0219,1131,515,1646,2868,57.39%,119,1443,25,14,0,0,0,0
President and Vice President,0220,833,306,1139,2362,48.22%,719,374,26,2,1,0,0,0
President and Vice President,0221,1033,473,1506,2598,57.97%,452,965,41,15,0,0,0,0
President and Vice President,0222,1485,671,2156,2728,79.03%,696,1294,88,13,0,0,0,0
President and Vice President,0223,1775,517,2292,3664,62.55%,383,1686,110,38,0,0,0,0
President and Vice President,0224,1179,495,1674,2313,72.37%,581,961,61,20,0,0,0,0
President and Vice President,0225,1358,596,1954,3689,52.97%,754,1082,67,16,0,0,0,0
President and Vice President,0226,842,421,1263,2554,49.45%,219,986,24,10,0,0,0,0
President and Vice President,0227,1075,359,1434,1810,79.23%,774,532,60,3,0,0,0,0
