Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0824,1057,410,1467,2762,53.11%,290,1129,1419
County Attorney,0825,9,7,16,21,76.19%,3,12,15
County Attorney,0826,177,70,247,355,69.58%,119,110,229
County Attorney,0827,218,234,452,1042,43.38%,132,307,439
County Attorney,0828,1174,281,1455,1965,74.05%,1084,314,1398
County Attorney,0829,101,19,120,235,51.06%,33,81,114
County Attorney,0830,2,2,4,2,200.00%,4,0,4
County Attorney,0831,8,5,13,36,36.11%,6,6,12
County Attorney,0832,124,50,174,364,47.80%,43,120,163
County Attorney,0833,3,2,5,20,25.00%,1,4,5
County Attorney,0834,142,61,203,388,52.32%,20,180,200
County Attorney,0835,87,71,158,311,50.80%,41,109,150
County Attorney,0836,128,0,128,248,51.61%,10,108,118
County Attorney,0837,0,0,0,0,0.00%,0,0,0
County Attorney,0838,0,0,0,0,0.00%,0,0,0
County Attorney,0839,419,174,593,1190,49.83%,125,446,571
County Attorney,0840,829,228,1057,1780,59.38%,341,673,1014
County Attorney,0841,1473,475,1948,3431,56.78%,427,1459,1886
County Attorney,0842,1338,513,1851,3390,54.60%,678,1079,1757
County Attorney,0843,595,298,893,1387,64.38%,156,698,854
County Attorney,0844,4,0,4,10,40.00%,0,4,4
County Attorney,0845,151,13,164,218,75.23%,99,60,159
County Attorney,0846,61,22,83,229,36.24%,1,80,81
County Attorney,0847,993,330,1323,2310,57.27%,331,942,1273
County Attorney,0848,1011,201,1212,1875,64.64%,346,810,1156
County Attorney,0849,731,455,1186,2272,52.20%,284,810,1094
County Attorney,0850,129,19,148,208,71.15%,53,89,142
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0851,1885,441,2326,3597,64.66%,1479,752,2231
County Attorney,0852,0,0,0,1,0.00%,0,0,0
County Attorney,0853,1537,487,2124,2986,71.13%,1532,524,2056
County Attorney,0854,40,19,59,175,33.71%,7,50,57
County Attorney,0855,7,2,9,21,42.86%,4,4,8
County Attorney,0856,0,3,3,0,0.00%,0,1,1
County Attorney,0857,0,0,0,1,0.00%,0,0,0
County Attorney,0858,121,35,156,334,46.71%,5,142,147
County Attorney,0859,391,143,534,945,56.51%,104,406,510
County Attorney,0860,1,1,2,0,0.00%,0,2,2
County Attorney,0861,777,272,1049,1941,54.04%,160,854,1014
County Attorney,0862,1989,508,2497,3739,66.78%,1408,999,2407
County Attorney,0863,192,64,256,581,44.06%,12,239,251
County Attorney,0864,693,574,1267,2708,46.79%,262,932,1194
County Attorney,0865,9,2,11,21,52.38%,1,10,11
County Attorney,0866,0,0,0,0,0.00%,0,0,0
County Attorney,0867,0,0,0,0,0.00%,0,0,0
County Attorney,0868,736,495,1231,2446,50.33%,299,870,1169
County Attorney,0869,165,55,220,480,45.83%,25,190,215
County Attorney,0870,0,2,2,0,0.00%,1,1,2
County Attorney,0871,2,1,3,3,100.00%,0,3,3
County Attorney,0872,16,6,22,68,32.35%,12,10,22
County Attorney,0873,296,111,407,778,52.31%,93,304,397
County Attorney,0874,1681,670,2351,3294,71.37%,1625,643,2268
County Attorney,0875,1947,501,2448,3592,68.15%,1103,1253,2356
County Attorney,0876,1945,577,2522,3485,72.37%,1692,736,2428
County Attorney,0877,1803,528,2331,3651,63.85%,855,1401,2256
County Attorney,0878,685,110,795,1039,76.52%,626,139,765
County Attorney,0879,1215,413,1628,2843,57.26%,662,899,1561
County Attorney,0880,1354,471,1825,2467,73.98%,1336,436,1772
County Attorney,0881,2465,927,3392,5638,60.16%,855,2426,3281
County Attorney,0882,1952,595,2547,4317,59.00%,728,1714,2442
County Attorney,0883,2252,928,3180,5613,56.65%,518,2544,3062
County Attorney,0884,149,55,204,396,51.52%,28,171,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0885,1570,323,1893,2811,67.34%,1027,798,1825
County Attorney,0886,495,152,647,906,71.41,%,322,276,598
County Attorney,0887,234,95,329,492,66.87%,163,135,298
County Attorney,0888,817,289,1106,1867,59.24%,341,719,1060
County Attorney,0889,113,28,141,238,59.24%,37,97,134
County Attorney,0890,445,98,543,1214,44.73%,203,300,503
County Attorney,0891,753,194,947,1376,68.82%,308,598,906
County Attorney,0892,420,123,543,900,60.33%,174,333,507
County Attorney,0893,1,4,5,9,55.56%,2,3,5
County Attorney,0894,801,305,1106,2087,52.99%,148,924,1072
County Attorney,0895,417,252,669,834,80.22%,243,379,622
County Attorney,0896,838,254,1092,1467,74.44%,323,714,1037
County Attorney,0897,812,365,1177,1766,66.65%,602,521,1123
County Attorney,0898,792,301,1093,1821,60.02%,416,641,1057
County Attorney,0899,745,165,911,1264,72.07%,548,341,889
County Attorney,0900,7,0,7,12,58.33%,1,6,7
County Attorney,0901,0,0,0,0,0.00%,0,0,0
County Attorney,0902,1310,361,1671,2217,75.37%,791,776,1567
County Attorney,0903,1314,354,1668,2558,65.21%,1185,429,1614
County Attorney,0904,2,0,2,8,25.00%,1,1,2
County Attorney,0905,390,136,526,946,55.60%,185,320,505
County Attorney,0906,19,3,22,28,78.57%,10,12,22
County Attorney,0907,53,37,90,201,44.78%,8,80,88
County Attorney,0908,0,0,0,0,0.00%,0,0,0
County Attorney,0909,7,1,8,21,38.10%,2,5,7
County Attorney,0910,78,37,115,236,48.73%,35,73,108
County Attorney,0911,237,63,300,576,52.08%,184,108,292
County Attorney,0912,712,167,879,1341,65.55%,493,342,835
County Attorney,0913,102,12,114,241,47.30%,21,89,110
County Attorney,0914,42,0,42,124,33.87%,8,32,40
County Attorney,0915,0,0,0,0,0.00%,0,0,0
County Attorney,0916,1472,308,1780,2205,80.73%,1321,384,1705
County Attorney,0917,33,9,42,147,28.57%,5,32,37
County Attorney,0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0919,1,0,1,1,100.00%,0,1,1
County Attorney,0920,41,13,54,79,68.35%,32,21,53
County Attorney,0921,27,6,33,61,54.10%,6,26,32
County Attorney,0922,0,0,0,0,0.00%,0,0,0
County Attorney,0923,2331,350,2681,3536,75.82%,1976,649,2625
County Attorney,0924,0,0,0,0,0.00%,0,0,0
County Attorney,0925,0,0,0,0,0.00%,0,0,0
County Attorney,0926,550,149,699,967,72.29%,462,209,671
County Attorney,0927,966,173,1139,1771,64.31%,535,542,1077
County Attorney,0928,4,1,5,7,71.43%,0,5,5
County Attorney,0929,0,0,0,0,0.00%,0,0,0
County Attorney,0930,217,83,300,606,49.50%,16,273,289
County Attorney,0931,87,28,115,141,81.56%,47,62,109
County Attorney,0932,0,1,1,0,0.00%,0,1,1
County Attorney,0933,297,93,390,668,58.38%,118,259,377
County Attorney,0934,9,4,13,37,35.14%,7,6,13
County Attorney,0935,12,9,21,55,38.18%,8,12,20
County Attorney,0936,23,9,32,76,42.11%,6,22,28
County Attorney,0937,0,0,0,0,0.00%,0,0,0
County Attorney,0938,72,19,91,255,35.69%,21,69,90
County Attorney,0939,1,1,2,4,50.00%,1,1,2
County Attorney,0940,9,3,12,28,42.86%,1,11,12
County Attorney,0941,284,144,428,870,49.20%,201,200,401
County Attorney,0942,102,16,118,152,77.63%,77,39,116
County Attorney,0943,192,28,220,774,28.42%,47,159,206
County Attorney,0944,1,0,1,1,100.00%,0,1,1
County Attorney,0945,8,6,14,21,66.67%,2,11,13
County Attorney,0946,4,2,6,14,42.86%,1,5,6
County Attorney,0947,428,198,626,820,76.34%,292,306,598
County Attorney,0948,0,0,0,1,0.00%,0,0,0
County Attorney,0949,84,61,145,210,69.05%,61,77,138
County Attorney,0950,0,0,0,0,0.00%,0,0,0
County Attorney,0951,114,62,176,304,57.89%,39,126,165
County Attorney,0952,32,15,47,65,72.31%,25,21,46
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0953,4,0,4,8,50.00%,0,4,4
County Attorney,0954,0,0,0,0,0.00%,0,0,0
County Attorney,0955,3528,572,4100,5108,80.27%,2817,1117,3934
County Attorney,0956,0,0,0,0,0.00%,0,0,0
County Attorney,0957,282,39,321,585,54.87%,32,277,309
County Attorney,0958,430,231,661,1202,54.99%,118,515,633
County Attorney,0959,0,0,0,0,0.00%,0,0,0
County Attorney,0960,829,235,1064,1471,72.33%,221,811,1032
County Attorney,0961,820,318,1138,2369,48.04%,164,926,1090
County Attorney,0962,33,12,45,88,51.14%,6,34,40
County Attorney,0963,225,91,316,528,59.85%,120,176,296
County Attorney,0964,2145,325,2470,3179,77.70%,1382,998,2380
County Attorney,0965,101,35,136,345,39.42%,88,42,130
County Attorney,0966,368,189,557,1332,41.82%,121,400,521
County Attorney,0967,82,24,106,186,56.99%,37,62,99
County Attorney,0968,455,127,582,906,64.24%,115,448,563
County Attorney,0969,299,71,370,624,59.29%,6,352,358
County Attorney,0970,223,102,325,810,40.12%,30,273,303
County Attorney,0971,0,0,0,0,0.00%,0,0,0
County Attorney,0972,0,0,0,0,0.00%,0,0,0
County Attorney,0973,504,138,642,999,64.26%,393,224,617
County Attorney,0974,0,1,1,0,0.00%,1,0,1
County Attorney,0975,104,26,130,190,68.42%,54,67,121
County Attorney,0976,190,152,342,712,48.03%,161,157,318
County Attorney,0977,160,108,268,617,43.44%,88,171,259
County Attorney,0978,0,0,0,0,0.00%,0,0,0
County Attorney,0979,0,0,0,0,0.00%,0,0,0
County Attorney,0980,686,333,1019,1412,72.17%,696,277,973
County Attorney,0981,12,2,14,31,45.16%,1,12,13
County Attorney,0982,1898,501,2399,2916,82.27%,1787,532,2319
County Attorney,0983,65,17,82,198,41.41,%,43,37,80
County Attorney,0984,76,57,133,341,39.00%,10,122,132
County Attorney,0985,222,56,278,355,78.31%,126,142,268
County Attorney,0986,153,78,231,537,43.02%,21,203,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0987,476,130,606,1183,51.23%,39,542,581
County Attorney,0988,62,15,77,117,65.81%,66,9,75
County Attorney,0989,0,0,0,0,0.00%,0,0,0
County Attorney,0990,5,6,11,66,16.67%,4,7,11
County Attorney,0991,0,1,1,2,50.00%,0,1,1
County Attorney,0992,456,106,562,1075,52.28%,251,279,530
County Attorney,0993,0,0,0,0,0.00%,0,0,0
County Attorney,0994,56,12,68,75,90.67%,20,46,66
County Attorney,0995,753,193,946,1576,60.03%,88,828,916
County Attorney,0996,403,70,473,708,66.81%,242,206,448
County Attorney,0997,521,283,804,1909,42.12%,133,651,784
County Attorney,0998,24,12,36,68,52.94%,21,13,34
County Attorney,0999,0,0,0,0,0.00%,0,0,0
County Attorney,1000,122,22,144,428,33.64%,21,117,138
County Attorney,1001,519,280,799,1654,48.31%,143,618,761
County Attorney,1002,480,270,750,1804,41.57%,103,606,709
County Attorney,1003,0,0,0,0,0.00%,0,0,0
County Attorney,1004,349,114,463,691,67.00%,215,226,441
County Attorney,1005,0,0,0,0,0.00%,0,0,0
County Attorney,1006,0,0,0,0,0.00%,0,0,0
County Attorney,1007,694,306,1000,1775,56.34%,209,751,960
County Attorney,1008,620,107,727,1011,71.91%,554,149,703
County Attorney,1009,0,0,0,0,0.00%,0,0,0
County Attorney,1010,292,96,388,647,59.97%,70,307,377
County Attorney,1011,9,6,15,31,48.39%,9,6,15
County Attorney,1012,543,362,905,1633,55.42%,208,647,855
County Attorney,Totals:,981446,353327,1334773,2182980,590159,685075,1275234
