Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0245,2100,811,2911,4679,62.21%,1769,1002,2771
County Attorney,0246,2209,482,2691,3971,67.77%,1633,974,2607
County Attorney,0247,440,376,816,1595,51.16%,22,775,797
County Attorney,0248,453,347,800,2147,37.26%,167,592,759
County Attorney,0249,1124,365,1489,2825,52.71%,902,546,1448
County Attorney,0250,288,183,471,925,50.92%,20,440,460
County Attorney,0251,806,378,1184,2132,55.53%,68,1076,1144
County Attorney,0252,925,309,1235,2292,53.88%,25,1179,1204
County Attorney,0253,759,311,1070,2154,49.68%,30,1021,1051
County Attorney,0254,411,280,691,1675,41.25%,131,519,650
County Attorney,0255,1253,586,1839,2489,73.89%,720,1010,1730
County Attorney,0256,1398,583,1981,3321,59.65%,627,1241,1868
County Attorney,0257,997,622,1619,3497,46.30%,339,1209,1548
County Attorney,0258,1948,608,2556,3346,76.39%,1724,719,2443
County Attorney,0259,1030,414,1444,2312,62.46%,36,1373,1409
County Attorney,0260,547,227,774,1300,59.54%,363,371,734
County Attorney,0261,442,531,973,1457,66.78%,246,668,914
County Attorney,0262,1847,676,2523,4397,57.38%,1290,1096,2386
County Attorney,0263,2208,665,2873,4016,71.54%,1970,777,2747
County Attorney,0264,1110,627,1737,3101,56.01%,828,820,1648
County Attorney,0265,1991,608,2599,3582,72.56%,1704,759,2463
County Attorney,0266,737,443,1180,2147,54.96%,403,711,1114
County Attorney,0267,421,293,714,1433,49.83%,238,437,675
County Attorney,0268,1174,689,1863,2528,73.69%,931,805,1736
County Attorney,0269,1305,365,1670,2114,79.00%,1157,432,1589
County Attorney,0270,1816,688,2504,3985,62.84%,1173,1216,2389
County Attorney,0271,1150,346,1496,2558,58.48%,36,1432,1468
County Attorney,0272,870,415,1285,2334,55.06%,425,793,1218
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0273,1175,647,1822,2485,73.32%,1344,406,1750
County Attorney,0274,1251,311,1572,2223,70.72%,911,572,1483
County Attorney,0275,585,334,919,2059,44.63%,134,749,883
County Attorney,0276,1027,255,1282,2458,52.16%,22,1229,1251
County Attorney,0277,573,338,911,1898,48.00%,301,579,880
County Attorney,0278,1059,469,1528,2602,58.72%,625,828,1453
County Attorney,0279,789,314,1103,2073,53.21%,601,454,1055
County Attorney,0280,444,362,806,1656,48.67%,205,552,757
County Attorney,0281,1287,590,1877,2507,74.87%,764,998,1762
County Attorney,0282,773,604,1377,2144,64.23%,731,586,1317
County Attorney,0283,2351,1143,3494,6365,54.89%,454,2918,3372
County Attorney,0284,1585,574,2159,4079,52.93%,676,1370,2046
County Attorney,0285,1077,431,1508,2680,56.27%,107,1353,1460
County Attorney,0286,1708,545,2253,3757,59.97%,170,2006,2176
County Attorney,0287,851,408,1259,1658,75.93%,545,648,1193
County Attorney,0288,881,314,1195,2208,54.12%,28,1139,1167
County Attorney,0289,481,352,833,1584,52.59%,287,490,777
County Attorney,0290,705,332,1037,1623,63.89%,731,273,1004
County Attorney,0291,503,233,836,1218,68.64%,334,464,798
County Attorney,0292,549,178,727,1379,52.72%,84,616,700
County Attorney,0293,778,475,1253,1811,69.19%,467,712,1179
County Attorney,0294,852,198,1050,2054,51.12%,14,1015,1029
County Attorney,0295,270,111,381,894,42.62%,8,363,371
County Attorney,0296,701,385,1086,1705,63.70%,518,500,1018
County Attorney,0297,729,341,1070,2055,52.07%,347,666,1013
County Attorney,0298,1095,387,1482,2236,66.28%,695,724,1419
County Attorney,0299,499,236,735,1506,48.80%,213,479,692
County Attorney,0300,3385,728,4113,5480,75.05%,3019,926,3945
County Attorney,0301,737,392,1129,2337,48.31%,361,709,1070
County Attorney,0302,1197,591,1788,3277,54.56%,871,846,1717
County Attorney,0303,1896,692,2588,3375,76.68%,1839,644,2483
County Attorney,0304,1190,474,1664,2326,71.54%,835,734,1569
County Attorney,0305,2154,645,2799,4838,57.85%,859,1822,2681
County Attorney,0306,1095,299,1395,1896,73.58%,907,414,1321
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0307,1456,801,2257,3270,69.02%,1421,718,2139
County Attorney,0308,526,225,751,1457,51.54%,164,537,701
County Attorney,0309,2160,591,2751,3495,78.71%,1988,636,2624
County Attorney,0310,709,326,1035,1464,70.70%,595,378,973
County Attorney,0311,930,643,1573,3222,48.82%,673,804,1477
County Attorney,0312,1705,552,2257,3724,60.61%,1097,1047,2144
County Attorney,0313,23,8,31,61,50.82%,15,11,26
County Attorney,0314,2997,817,3814,5606,68.03%,2097,1594,3691
County Attorney,0315,801,353,1154,1636,70.54%,574,528,1102
County Attorney,0316,739,340,1079,1513,71.32%,505,515,1020
County Attorney,0317,593,252,845,1661,50.87%,201,599,800
County Attorney,0318,1726,529,2255,3776,59.72%,118,2061,2179
County Attorney,0319,994,271,1265,2199,57.53%,66,1163,1229
County Attorney,0320,554,238,792,1570,50.45%,264,486,750
County Attorney,0321,867,363,1230,2483,49.54%,325,814,1139
County Attorney,0322,426,124,550,1210,45.45%,152,383,535
County Attorney,0323,700,296,996,1793,55.55%,347,603,950
County Attorney,0324,1444,560,2004,2607,76.87%,1158,754,1912
County Attorney,0325,802,257,1059,2176,48.67%,174,829,1003
County Attorney,0326,271,129,400,736,54.35%,141,230,371
County Attorney,0327,738,141,879,1758,50.00%,17,832,849
County Attorney,0328,425,286,711,1631,43.59%,200,472,672
County Attorney,0329,589,260,849,1621,52.38%,237,569,806
County Attorney,0330,863,326,1189,2146,55.41%,499,625,1124
County Attorney,0331,884,234,1118,1612,69.35%,683,378,1061
County Attorney,0332,1355,503,1858,2926,63.50%,177,1610,1787
County Attorney,0333,1385,942,2327,3296,70.60%,1595,619,2214
County Attorney,0334,246,104,350,786,44.53%,51,283,334
County Attorney,0335,489,293,782,1679,46.58%,188,545,733
County Attorney,0336,2489,689,3178,4771,66.61%,300,2792,3092
County Attorney,0337,367,155,522,1108,47.11%,60,431,491
County Attorney,0338,1626,632,2258,5001,45.15%,570,1580,2150
County Attorney,0339,704,303,1007,1909,52.75%,178,764,942
County Attorney,0340,2040,654,2694,4012,67.15%,1848,719,2567
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0341,380,278,658,1372,47.96%,144,480,624
County Attorney,0342,311,225,536,1092,49.08%,109,402,511
County Attorney,0343,722,370,1092,2099,52.02%,195,834,1029
County Attorney,0344,381,207,588,1225,48.00%,18,540,558
County Attorney,0345,575,349,924,1945,47.51%,174,692,866
County Attorney,0346,1,0,1,1,100.00%,0,0,0
County Attorney,0347,1461,618,2079,3614,57.53%,1143,851,1994
County Attorney,0348,830,242,1072,1796,59.69%,703,326,1029
County Attorney,0349,458,369,827,1372,60.28%,478,326,804
County Attorney,0350,1674,582,2256,3269,69.01%,732,1364,2096
County Attorney,0351,2855,570,3425,4799,71.37%,2500,791,3291
County Attorney,0352,2023,538,2561,4278,59.86%,1732,730,2462
County Attorney,0353,1715,659,2374,4156,57.12%,366,1924,2290
County Attorney,0354,1569,429,1998,3520,56.76%,435,1472,1907
County Attorney,0355,821,239,1060,1714,61.84%,95,932,1027
County Attorney,0356,1542,582,2124,3126,67.95%,1108,908,2016
County Attorney,0357,1882,557,2439,3685,66.19%,1707,618,2325
