Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0124,3136,888,4024,5393,74.62%,3103,784,3887
"District Judge, 339th Judicial District",0125,1207,400,1607,2593,61.97%,828,706,1534
"District Judge, 339th Judicial District",0126,2017,427,2444,3380,72.31%,2038,299,2337
"District Judge, 339th Judicial District",0127,978,214,1192,2091,57.01%,821,302,1123
"District Judge, 339th Judicial District",0128,1107,612,1719,2322,74.03%,998,579,1577
"District Judge, 339th Judicial District",0129,2540,1052,3592,5172,69.45%,2029,1363,3392
"District Judge, 339th Judicial District",0130,1310,433,1743,2289,76.15%,1210,446,1656
"District Judge, 339th Judicial District",0131,798,371,1169,2147,54.45%,228,903,1131
"District Judge, 339th Judicial District",0132,1028,322,1350,2378,56.77%,41,1279,1320
"District Judge, 339th Judicial District",0133,1411,746,2157,2690,80.19%,1138,851,1989
"District Judge, 339th Judicial District",0134,593,345,938,1513,62.00%,358,519,877
"District Judge, 339th Judicial District",0135,1614,551,2165,2777,77.96%,1328,699,2027
"District Judge, 339th Judicial District",0136,982,352,1334,2116,63.04%,78,1203,1281
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0137,993,259,1252,1986,63.04%,815,381,1196
"District Judge, 339th Judicial District",0138,600,228,828,1723,48.06%,34,772,806
"District Judge, 339th Judicial District",0139,1939,601,2540,3435,73.94%,1122,1217,2339
"District Judge, 339th Judicial District",0140,1513,510,2023,3270,61.87%,296,1610,1906
"District Judge, 339th Judicial District",0141,217,153,370,904,40.93%,189,152,341
"District Judge, 339th Judicial District",0142,293,140,433,933,46.41%,82,320,402
"District Judge, 339th Judicial District",0143,1868,267,2135,2582,82.69%,1362,698,2060
"District Judge, 339th Judicial District",0144,442,125,567,1086,52.21%,20,525,545
"District Judge, 339th Judicial District",0145,560,256,816,1564,52.17%,16,773,789
"District Judge, 339th Judicial District",0146,1000,494,1494,2073,72.07%,602,798,1400
"District Judge, 339th Judicial District",0147,1411,354,1765,3211,54.97%,214,1491,1705
"District Judge, 339th Judicial District",0148,1265,652,1917,2571,74.56%,716,1053,1769
"District Judge, 339th Judicial District",0149,2938,573,3511,4756,73.82%,1896,1483,3379
"District Judge, 339th Judicial District",0150,582,223,805,1574,51.14%,32,744,776
"District Judge, 339th Judicial District",0151,282,107,389,826,47.09%,15,356,371
"District Judge, 339th Judicial District",0152,838,524,1362,3059,44.52%,265,1017,1282
"District Judge, 339th Judicial District",0153,544,399,943,1873,50.35%,198,693,891
"District Judge, 339th Judicial District",0154,913,289,1202,2293,52.42%,238,873,1111
"District Judge, 339th Judicial District",0155,2275,576,2851,4065,70.14%,1722,972,2694
"District Judge, 339th Judicial District",0156,1413,403,1815,3223,56.35%,95,1646,1741
"District Judge, 339th Judicial District",0157,880,278,1158,2265,51.13%,58,1062,1120
"District Judge, 339th Judicial District",0158,1143,365,1508,3049,49.46%,40,1427,1467
"District Judge, 339th Judicial District",0159,348,147,495,997,49.65%,68,408,476
"District Judge, 339th Judicial District",0160,286,67,353,717,49.23%,13,326,339
"District Judge, 339th Judicial District",0161,378,173,551,992,55.54%,15,513,528
"District Judge, 339th Judicial District",0162,364,267,631,1312,48.09%,149,434,583
"District Judge, 339th Judicial District",0163,1080,524,1604,3075,52.16%,411,1023,1434
"District Judge, 339th Judicial District",0164,441,258,699,1407,49.68%,21,650,671
"District Judge, 339th Judicial District",0165,1169,469,1638,2460,66.59%,894,639,1533
"District Judge, 339th Judicial District",0166,562,261,823,1171,70.28%,267,495,762
"District Judge, 339th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 339th Judicial District",0168,196,59,255,512,49.80%,5,245,250
"District Judge, 339th Judicial District",0169,985,247,1232,2548,48.35%,38,1152,1190
"District Judge, 339th Judicial District",0170,553,262,925,1958,47.24%,410,446,856
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0171,482,283,765,1648,46.42%,35,690,725
