Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Jenifer Rene Pool,Totals
"County Commissioner, Precinct 3",0521,1350,578,1928,3070,62.80%,918,955,1873
"County Commissioner, Precinct 3",0522,1508,464,1972,2815,70.05%,1470,460,1930
"County Commissioner, Precinct 3",0524,1392,637,2029,3598,56.39%,576,1387,1963
"County Commissioner, Precinct 3",0547,1413,270,1683,2534,66.42%,1120,504,1624
"County Commissioner, Precinct 3",0557,925,460,1385,2955,46.87%,381,895,1276
"County Commissioner, Precinct 3",0558,1812,721,2533,4718,53.69%,775,1674,2449
"County Commissioner, Precinct 3",0559,1901,701,2602,4984,52.21%,601,1900,2501
"County Commissioner, Precinct 3",0565,336,148,484,1414,34.23%,82,380,462
"County Commissioner, Precinct 3",0566,1183,441,1624,3029,53.62%,419,1144,1563
"County Commissioner, Precinct 3",0567,955,390,1355,2851,47.53%,358,911,1269
"County Commissioner, Precinct 3",0569,2027,747,2774,4125,67.25%,1342,1271,2613
"County Commissioner, Precinct 3",0570,766,278,1044,1598,65.33%,382,601,983
"County Commissioner, Precinct 3",0572,1522,444,1966,3308,59.43%,865,1022,1887
"County Commissioner, Precinct 3",0577,885,205,1090,1586,68.73%,657,394,1051
"County Commissioner, Precinct 3",0589,1539,545,2084,3780,55.13%,996,1019,2015
"County Commissioner, Precinct 3",0598,2389,731,3120,5253,59.39%,1048,1948,2996
"County Commissioner, Precinct 3",0600,1602,776,2378,4204,56.57%,811,1459,2270
"County Commissioner, Precinct 3",0602,754,234,988,1441,68.56%,660,297,957
"County Commissioner, Precinct 3",0603,2335,725,3060,4666,65.58%,1748,1216,2964
"County Commissioner, Precinct 3",0616,1809,611,2420,3516,68.83%,1602,730,2332
"County Commissioner, Precinct 3",0618,1698,545,2243,3801,59.01%,906,1270,2176
"County Commissioner, Precinct 3",0619,2792,663,3455,4916,70.28%,2534,849,3383
"County Commissioner, Precinct 3",0620,1747,333,2080,3318,62.69%,1089,911,2000
"County Commissioner, Precinct 3",0621,536,200,736,1272,57.86%,310,387,697
"County Commissioner, Precinct 3",0624,297,59,356,456,78.07%,268,79,347
"County Commissioner, Precinct 3",0625,924,372,1296,1864,69.53%,721,524,1245
"County Commissioner, Precinct 3",0626,2280,784,3064,4816,63.62%,1638,1311,2949
"County Commissioner, Precinct 3",0639,1386,284,1670,2560,65.23%,1282,334,1616
"County Commissioner, Precinct 3",0640,1619,615,2234,3927,56.89%,1251,916,2167
"County Commissioner, Precinct 3",0641,1637,683,2320,3840,60.42%,1350,885,2235
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Jenifer Rene Pool,Totals
"County Commissioner, Precinct 3",0644,2087,689,2776,4446,62.44%,1611,1071,2682
"County Commissioner, Precinct 3",0645,2145,769,2914,4517,64.51%,1219,1572,2791
"County Commissioner, Precinct 3",0646,925,399,1324,2422,54.67%,355,905,1260
"County Commissioner, Precinct 3",0647,1372,526,1898,4349,43.64%,416,1356,1772
"County Commissioner, Precinct 3",0650,2033,819,2852,4039,70.61%,1947,819,2766
"County Commissioner, Precinct 3",0651,1734,551,2285,3873,59.00%,1238,968,2206
"County Commissioner, Precinct 3",0667,1109,400,1509,2175,69.38%,1135,329,1464
"County Commissioner, Precinct 3",0685,139,28,167,285,58.60%,88,66,154
"County Commissioner, Precinct 3",0686,53,5,58,221,26.24%,16,40,56
"County Commissioner, Precinct 3",0688,2333,594,2927,3922,74.63%,2297,564,2861
"County Commissioner, Precinct 3",0706,1248,372,1620,2821,57.43%,603,928,1531
"County Commissioner, Precinct 3",0707,377,69,446,757,58.92%,270,156,426
"County Commissioner, Precinct 3",0709,2257,528,2785,4136,67.34%,1495,1205,2700
"County Commissioner, Precinct 3",0711,1978,599,2577,3820,67.46%,1382,1103,2485
"County Commissioner, Precinct 3",0712,1720,627,2347,4002,58.65%,836,1451,2287
"County Commissioner, Precinct 3",0713,770,365,1135,2006,56.58%,534,561,1095
"County Commissioner, Precinct 3",0720,2498,709,3207,4709,68.10%,2183,926,3109
"County Commissioner, Precinct 3",0727,981,415,1396,2708,51.55%,376,984,1360
"County Commissioner, Precinct 3",0730,1360,406,1766,2435,72.53%,1133,560,1693
"County Commissioner, Precinct 3",0731,2087,824,2711,4834,56.08%,1123,1496,2619
"County Commissioner, Precinct 3",0734,2307,556,2863,4294,66.67%,1855,914,2769
"County Commissioner, Precinct 3",0751,2931,1013,3944,5893,66.93%,2410,1401,3811
"County Commissioner, Precinct 3",0761,1088,167,1255,1598,78.54%,918,290,1208
"County Commissioner, Precinct 3",0765,2051,874,2925,5742,50.94%,808,2016,2824
"County Commissioner, Precinct 3",0772,2805,477,3282,4606,71.25%,2454,733,3187
"County Commissioner, Precinct 3",0773,1593,838,2331,4414,52.81%,593,1595,2188
"County Commissioner, Precinct 3",0781,1235,612,1847,3782,48.84%,590,1125,1715
"County Commissioner, Precinct 3",0785,1229,357,1586,1896,83.65%,828,699,1527
"County Commissioner, Precinct 3",0790,1143,329,1472,2523,58.34%,508,913,1421
"County Commissioner, Precinct 3",0796,1371,465,1836,3041,60.37%,764,1018,1782
"County Commissioner, Precinct 3",0800,1934,730,2664,4216,63.19%,1652,924,2576
"County Commissioner, Precinct 3",0803,2665,547,3212,4514,71.16%,2246,873,3119
"County Commissioner, Precinct 3",0804,2703,682,3385,5303,63.83%,1799,1495,3294
"County Commissioner, Precinct 3",0806,1001,324,1325,1889,70.14%,797,491,1288
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Jenifer Rene Pool,Totals
"County Commissioner, Precinct 3",0807,792,349,1141,2163,52.75%,202,902,1104
"County Commissioner, Precinct 3",0813,1742,434,2176,3488,62.39%,974,1143,2117
"County Commissioner, Precinct 3",0814,1968,827,2795,5483,50.98%,574,2129,2703
"County Commissioner, Precinct 3",0817,2787,550,3337,4700,71.00%,2348,906,3254
