Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Borris L. Miles,LIB Joshua Rohn,Totals
"State Senator, District 13",0562,222,116,338,691,48.91%,282,5,287
"State Senator, District 13",0564,1551,526,2077,3240,64.10%,1480,290,1770
"State Senator, District 13",0565,336,148,484,1414,34.23%,394,29,423
"State Senator, District 13",0566,1183,441,1624,3029,53.62%,1195,171,1366
"State Senator, District 13",0567,965,390,1355,2851,47.53%,968,102,1070
"State Senator, District 13",0573,489,215,704,1625,43.32%,675,12,687
"State Senator, District 13",0574,112,74,186,391,47.57%,158,4,162
"State Senator, District 13",0580,366,108,474,985,48.12%,448,8,456
"State Senator, District 13",0581,456,137,593,1033,57.41%,558,12,570
"State Senator, District 13",0582,543,232,775,1607,48.23%,704,22,726
"State Senator, District 13",0583,433,155,588,1286,45.72%,569,2,571
"State Senator, District 13",0584,367,120,487,1062,45.86%,435,16,451
"State Senator, District 13",0585,829,280,1109,2346,47.27%,1031,31,1062
"State Senator, District 13",0606,319,111,430,970,44.33%,405,4,409
"State Senator, District 13",0607,163,51,214,712,30.06%,186,12,198
"State Senator, District 13",0611,980,229,1209,2527,47.84%,1143,25,1168
"State Senator, District 13",0620,1747,333,2080,3318,62.69%,1075,311,1386
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Borris L. Miles,LIB Joshua Rohn,Totals
"State Senator, District 13",0627,935,649,1584,3235,48.96%,1151,120,1271
"State Senator, District 13",0630,2663,541,3204,4738,67.62%,2810,166,2976
"State Senator, District 13",0632,4,1,5,241,2.07%,5,0,5
"State Senator, District 13",0638,850,348,1198,2310,51.86%,1068,52,1120
"State Senator, District 13",0652,1165,545,1710,2979,57.40%,1437,66,1503
"State Senator, District 13",0656,1106,401,1507,2737,55.06%,1411,29,1440
"State Senator, District 13",0675,0,0,0,0,0.00%,0,0,0
"State Senator, District 13",0686,53,5,58,221,26.24%,46,7,53
"State Senator, District 13",0693,309,110,419,681,61.53%,300,35,335
"State Senator, District 13",0706,1248,372,1620,2821,57.43%,1026,177,1203
"State Senator, District 13",0722,1929,609,2538,4638,54.72%,2310,85,2395
"State Senator, District 13",0754,386,262,648,1590,40.75%,594,22,616
"State Senator, District 13",0781,1235,612,1847,3782,48.84%,1203,164,1367
"State Senator, District 13",0784,408,119,527,1062,49.62%,496,9,505
"State Senator, District 13",0807,792,349,1141,2163,52.75%,922,92,1014
"State Senator, District 13",0815,0,0,0,0,0.00%,0,0,0
"State Senator, District 13",0820,0,0,0,0,0.00%,0,0,0
"State Senator, District 13",0822,571,185,756,1574,48.03%,711,14,725
"State Senator, District 13",0829,101,19,120,235,51.06%,80,22,102
"State Senator, District 13",0830,2,2,4,2,200.00%,0,1,1
"State Senator, District 13",0837,0,0,0,0,0.00%,0,0,0
"State Senator, District 13",0854,40,19,59,175,33.71%,48,9,57
"State Senator, District 13",0856,0,3,3,0,0.00%,1,0,1
"State Senator, District 13",0858,121,35,156,334,46.71%,142,5,147
"State Senator, District 13",0863,192,64,256,581,44.06%,236,7,243
