Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0606,319,111,430,970,44.33%,9,407,2,2,420
"Judge, Court of Criminal Appeals, Place 5",0607,163,51,214,712,30.06%,23,178,3,4,208
"Judge, Court of Criminal Appeals, Place 5",0608,156,77,233,570,40.88%,67,136,8,9,220
"Judge, Court of Criminal Appeals, Place 5",0609,2040,729,2769,4305,64.32%,1522,1032,54,62,2670
"Judge, Court of Criminal Appeals, Place 5",0610,666,343,1009,2086,48.37%,378,518,30,29,955
"Judge, Court of Criminal Appeals, Place 5",0611,980,229,1209,2527,47.84%,45,1118,7,15,1185
"Judge, Court of Criminal Appeals, Place 5",0612,1930,431,2361,3388,69.69%,1697,486,72,31,2286
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0613,938,339,1277,2368,53.93%,198,984,16,35,1233
"Judge, Court of Criminal Appeals, Place 5",0614,1950,645,2595,4566,56.83%,708,1701,42,55,2506
"Judge, Court of Criminal Appeals, Place 5",0615,1075,301,1377,2086,66.01%,683,584,36,27,1330
"Judge, Court of Criminal Appeals, Place 5",0616,1811,611,2422,3516,68.89%,1510,692,80,51,2333
"Judge, Court of Criminal Appeals, Place 5",0617,1708,650,2358,4179,56.42%,726,1444,54,59,2283
"Judge, Court of Criminal Appeals, Place 5",0618,1701,545,2246,3801,59.09%,850,1222,62,51,2185
"Judge, Court of Criminal Appeals, Place 5",0619,2793,663,3456,4916,70.30%,2408,826,97,40,3371
"Judge, Court of Criminal Appeals, Place 5",0620,1749,333,2082,3318,62.75%,1037,897,33,25,1992
"Judge, Court of Criminal Appeals, Place 5",0621,536,200,736,1272,57.86%,286,370,24,24,704
"Judge, Court of Criminal Appeals, Place 5",0622,2133,591,2724,4562,59.71%,1363,1130,71,46,2610
"Judge, Court of Criminal Appeals, Place 5",0623,1962,461,2423,3919,61.83%,1441,791,63,44,2339
"Judge, Court of Criminal Appeals, Place 5",0624,298,59,357,456,78.29%,260,73,9,4,346
"Judge, Court of Criminal Appeals, Place 5",0625,925,372,1297,1864,69.58%,668,511,35,27,1241
"Judge, Court of Criminal Appeals, Place 5",0626,2285,784,3089,4816,63.73%,1528,1287,72,56,2943
"Judge, Court of Criminal Appeals, Place 5",0627,935,649,1584,3235,48.96%,379,1077,21,41,1518
"Judge, Court of Criminal Appeals, Place 5",0628,717,545,1262,2420,52.15%,412,723,16,39,1190
"Judge, Court of Criminal Appeals, Place 5",0629,162,96,258,750,34.40%,26,217,6,4,253
"Judge, Court of Criminal Appeals, Place 5",0630,2680,541,3221,4738,67.98%,300,2755,36,59,3150
"Judge, Court of Criminal Appeals, Place 5",0631,1844,398,2242,3263,68.71%,1401,653,63,41,2158
"Judge, Court of Criminal Appeals, Place 5",0632,4,1,5,241,2.07%,0,5,0,0,5
"Judge, Court of Criminal Appeals, Place 5",0633,2287,601,2888,3912,73.82%,1882,814,72,27,2795
"Judge, Court of Criminal Appeals, Place 5",0634,1439,499,1938,3259,59.47%,1029,756,59,34,1878
"Judge, Court of Criminal Appeals, Place 5",0635,1647,520,2167,3512,61.70%,1501,474,83,39,2097
"Judge, Court of Criminal Appeals, Place 5",0636,2303,922,3225,4569,70.58%,2697,337,76,19,3129
"Judge, Court of Criminal Appeals, Place 5",0637,1098,423,1521,2591,58.70%,300,1034,27,60,1421
"Judge, Court of Criminal Appeals, Place 5",0638,850,348,1198,2310,51.86%,90,1049,7,17,1163
"Judge, Court of Criminal Appeals, Place 5",0639,1387,284,1671,2560,65.27%,1222,319,44,21,1606
"Judge, Court of Criminal Appeals, Place 5",0640,1619,615,2234,3927,56.89%,1177,880,61,59,2177
"Judge, Court of Criminal Appeals, Place 5",0641,1637,683,2320,3840,60.42%,1271,875,54,36,2236
"Judge, Court of Criminal Appeals, Place 5",0642,1030,270,1300,1783,72.91%,978,255,22,6,1261
"Judge, Court of Criminal Appeals, Place 5",0643,1951,593,2544,4189,60.73%,1117,1231,66,52,2466
"Judge, Court of Criminal Appeals, Place 5",0644,2090,689,2779,4446,62.51%,1506,1049,66,65,2686
"Judge, Court of Criminal Appeals, Place 5",0645,2156,769,2925,4517,64.76%,1130,1547,85,59,2821
"Judge, Court of Criminal Appeals, Place 5",0646,925,399,1324,2422,54.67%,314,899,28,25,1266
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0647,1373,526,1899,4349,43.67%,385,1351,17,26,1779
"Judge, Court of Criminal Appeals, Place 5",0648,1863,500,2363,3487,67.77%,1579,627,65,24,2295
"Judge, Court of Criminal Appeals, Place 5",0649,1554,775,2329,4755,48.98%,533,1618,35,47,2233
"Judge, Court of Criminal Appeals, Place 5",0650,2035,819,2854,4039,70.66%,1826,817,79,41,2763
"Judge, Court of Criminal Appeals, Place 5",0651,1734,551,2285,3873,59.00%,1144,952,65,43,2204
"Judge, Court of Criminal Appeals, Place 5",0652,1167,545,1712,2979,57.47%,252,1386,13,17,1668
"Judge, Court of Criminal Appeals, Place 5",0653,187,110,297,604,49.17%,62,213,7,4,286
"Judge, Court of Criminal Appeals, Place 5",0654,2387,698,3085,5063,60.93%,1471,1362,59,73,2965
"Judge, Court of Criminal Appeals, Place 5",0655,1,1953,761,2724,4495,60.60%,1383,1094,96,51,2624
"Judge, Court of Criminal Appeals, Place 5",0656,1107,401,1508,2737,55.10%,60,1390,6,15,1471
"Judge, Court of Criminal Appeals, Place 5",0657,684,276,960,1487,64.56%,301,571,23,27,922
"Judge, Court of Criminal Appeals, Place 5",0658,1299,494,1793,2901,61.81%,1042,624,54,33,1753
"Judge, Court of Criminal Appeals, Place 5",0659,2810,733,3543,5161,68.65%,2334,957,82,51,3424
"Judge, Court of Criminal Appeals, Place 5",0660,1575,345,1920,3087,62.20%,171,1659,11,26,1867
"Judge, Court of Criminal Appeals, Place 5",0661,1951,774,2725,4363,62.46%,1266,1231,52,71,2620
"Judge, Court of Criminal Appeals, Place 5",0662,2268,571,2839,4002,70.94%,2202,482,54,28,2766
"Judge, Court of Criminal Appeals, Place 5",0663,1339,448,1787,2340,76.37%,848,720,70,33,1671
"Judge, Court of Criminal Appeals, Place 5",0664,909,513,1422,2992,47.53%,242,1042,28,47,1359
"Judge, Court of Criminal Appeals, Place 5",0665,1327,360,1687,2354,71.67%,1278,289,45,27,1639
"Judge, Court of Criminal Appeals, Place 5",0666,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0667,1112,400,1512,2175,69.52%,1098,321,29,14,1462
"Judge, Court of Criminal Appeals, Place 5",0668,1557,719,2276,3669,62.03%,1260,826,74,43,2203
"Judge, Court of Criminal Appeals, Place 5",0669,1896,702,2598,3585,72.47%,1691,725,59,37,2512
"Judge, Court of Criminal Appeals, Place 5",0670,1996,416,2412,3335,72.32%,1848,407,60,24,2339
"Judge, Court of Criminal Appeals, Place 5",0671,1401,588,1989,3198,62.20%,1012,814,59,36,1921
"Judge, Court of Criminal Appeals, Place 5",0672,1727,489,2216,3433,64.55%,1459,617,56,26,2158
"Judge, Court of Criminal Appeals, Place 5",0673,1625,467,2092,3051,68.57%,1606,365,43,23,2037
"Judge, Court of Criminal Appeals, Place 5",0674,2358,610,2968,4228,70.20%,2055,713,71,40,2879
"Judge, Court of Criminal Appeals, Place 5",0675,1,0,1,0,0.00%,1,0,0,0,1
"Judge, Court of Criminal Appeals, Place 5",0676,1088,465,1553,2976,52.18%,531,868,45,50,1494
"Judge, Court of Criminal Appeals, Place 5",0677,423,259,682,1300,52.46%,151,456,13,23,643
"Judge, Court of Criminal Appeals, Place 5",0678,1169,294,1463,2660,55.00%,136,1254,9,20,1419
"Judge, Court of Criminal Appeals, Place 5",0679,1,1719,529,2248,3542,63.47%,1487,593,44,42,2166
"Judge, Court of Criminal Appeals, Place 5",0680,100,17,117,179,65.36%,41,60,9,5,115
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0681,e,0,6,4,150.00%,2,3,1,0,6
"Judge, Court of Criminal Appeals, Place 5",0682,2114,690,2804,4313,65.01%,1920,693,64,51,2728
"Judge, Court of Criminal Appeals, Place 5",0683,82,5,87,302,28.81%,23,57,2,1,83
"Judge, Court of Criminal Appeals, Place 5",0684,1584,640,2324,3559,65.30%,1351,797,63,40,2251
"Judge, Court of Criminal Appeals, Place 5",0685,139,28,167,285,58.60%,73,74,5,2,154
"Judge, Court of Criminal Appeals, Place 5",0686,53,5,58,221,26.24%,16,40,0,0,56
"Judge, Court of Criminal Appeals, Place 5",0687,1512,400,1912,2713,70.48%,1191,572,36,33,1832
"Judge, Court of Criminal Appeals, Place 5",0688,2333,594,2927,3922,74.63%,2219,531,65,34,2849
"Judge, Court of Criminal Appeals, Place 5",0689,728,604,1332,2449,54.39%,516,664,29,42,1251
"Judge, Court of Criminal Appeals, Place 5",0690,1973,553,2526,3614,69.89%,1876,478,74,26,2454
"Judge, Court of Criminal Appeals, Place 5",0691,2132,551,2683,3690,72.71%,1984,543,63,24,2614
"Judge, Court of Criminal Appeals, Place 5",0692,1280,678,1958,3118,62.80%,1317,479,68,36,1900
"Judge, Court of Criminal Appeals, Place 5",0693,309,110,419,681,61.53%,100,278,12,9,399
"Judge, Court of Criminal Appeals, Place 5",0694,1006,319,1325,2478,53.47%,503,730,22,28,1283
"Judge, Court of Criminal Appeals, Place 5",0695,630,315,945,1842,51.30%,520,325,30,25,900
"Judge, Court of Criminal Appeals, Place 5",0696,727,312,1039,2027,51.26%,580,383,31,25,1019
"Judge, Court of Criminal Appeals, Place 5",0697,1299,552,1851,3238,57.16%,415,1295,33,46,1789
"Judge, Court of Criminal Appeals, Place 5",0698,1276,520,1796,3339,53.79%,187,1509,22,24,1742
"Judge, Court of Criminal Appeals, Place 5",0699,1277,398,1675,2387,70.17%,1007,508,47,26,1588
"Judge, Court of Criminal Appeals, Place 5",0700,726,247,973,1536,63.35%,794,136,11,9,950
"Judge, Court of Criminal Appeals, Place 5",0701,210,73,283,614,46.09%,113,132,5,15,265
"Judge, Court of Criminal Appeals, Place 5",0702,183,69,252,550,45.82%,29,198,7,13,247
"Judge, Court of Criminal Appeals, Place 5",0703,899,528,1427,1943,73.44%,982,355,34,14,1385
"Judge, Court of Criminal Appeals, Place 5",0704,1699,512,2211,3121,70.84%,1705,364,55,28,2152
"Judge, Court of Criminal Appeals, Place 5",0705,331,206,537,1513,35.49%,45,461,4,13,523
"Judge, Court of Criminal Appeals, Place 5",0706,1252,372,1624,2821,57.57%,558,902,41,46,1547
"Judge, Court of Criminal Appeals, Place 5",0707,378,69,447,757,59.05%,254,150,12,11,427
"Judge, Court of Criminal Appeals, Place 5",0708,162,98,260,592,43.92%,80,163,2,3,248
"Judge, Court of Criminal Appeals, Place 5",0709,2258,528,2786,4136,67.36%,1395,1179,76,44,2694
"Judge, Court of Criminal Appeals, Place 5",0710,1136,450,1586,2096,75.67%,824,587,52,21,1484
"Judge, Court of Criminal Appeals, Place 5",0711,1981,599,2580,3820,67.54%,1278,1094,49,54,2475
"Judge, Court of Criminal Appeals, Place 5",0712,1720,627,2347,4002,58.65%,776,1416,51,51,2294
"Judge, Court of Criminal Appeals, Place 5",0713,770,365,1135,2006,56.58%,504,543,28,26,1101
"Judge, Court of Criminal Appeals, Place 5",0714,102,28,130,306,42.48%,53,63,2,3,121
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0715,553,239,792,1549,51.13%,351,382,7,19,759
"Judge, Court of Criminal Appeals, Place 5",0716,1218,419,1637,2720,60.18%,1094,424,42,27,1587
"Judge, Court of Criminal Appeals, Place 5",0717,976,232,1208,2082,58.02%,144,988,10,27,1169
"Judge, Court of Criminal Appeals, Place 5",0718,2244,872,3116,4412,70.63%,1929,929,58,52,2968
"Judge, Court of Criminal Appeals, Place 5",0719,624,223,847,1644,51.52%,392,383,13,25,813
"Judge, Court of Criminal Appeals, Place 5",0720,2498,709,3207,4709,68.10%,2056,900,96,46,3098
"Judge, Court of Criminal Appeals, Place 5",0721,1457,503,2070,2926,70.75%,1280,595,65,39,1979
"Judge, Court of Criminal Appeals, Place 5",0722,1930,609,2539,4638,54.74%,136,2250,26,47,2459
"Judge, Court of Criminal Appeals, Place 5",0723,898,261,1159,1959,59.16%,209,879,20,16,1124
"Judge, Court of Criminal Appeals, Place 5",0724,395,146,541,800,67.63%,349,153,9,10,521
"Judge, Court of Criminal Appeals, Place 5",0725,976,294,1270,2336,54.37%,467,687,20,30,1204
"Judge, Court of Criminal Appeals, Place 5",0726,1271,321,1592,2207,72.13%,1342,173,23,9,1547
"Judge, Court of Criminal Appeals, Place 5",0727,983,415,1398,2708,51.62%,350,934,42,34,1360
"Judge, Court of Criminal Appeals, Place 5",0728,399,198,597,942,63.38%,333,200,26,15,574
"Judge, Court of Criminal Appeals, Place 5",0729,235,49,284,471,60.30%,147,117,6,5,275
"Judge, Court of Criminal Appeals, Place 5",0730,1368,406,1774,2435,72.85%,1076,547,49,23,1695
"Judge, Court of Criminal Appeals, Place 5",0731,2090,624,2714,4834,56.14%,1053,1435,55,80,2623
"Judge, Court of Criminal Appeals, Place 5",0732,793,449,1242,1943,63.92%,665,447,32,38,1182
"Judge, Court of Criminal Appeals, Place 5",0733,55,25,80,303,26.40%,23,52,0,2,77
"Judge, Court of Criminal Appeals, Place 5",0734,2309,556,2865,4294,66.72%,1767,904,61,43,2775
"Judge, Court of Criminal Appeals, Place 5",0735,158,61,219,251,87.25%,115,93,3,3,214
"Judge, Court of Criminal Appeals, Place 5",0736,14,3,17,42,40.48%,0,13,0,1,14
"Judge, Court of Criminal Appeals, Place 5",0737,21,6,27,56,48.21%,19,7,1,0,27
"Judge, Court of Criminal Appeals, Place 5",0738,435,214,649,1497,43.35%,94,519,12,12,637
"Judge, Court of Criminal Appeals, Place 5",0739,980,440,1420,2971,47.80%,575,715,42,39,1371
"Judge, Court of Criminal Appeals, Place 5",0740,281,169,450,1005,44.78%,221,191,6,10,428
"Judge, Court of Criminal Appeals, Place 5",0741,924,262,1186,1895,62.59%,261,819,14,42,1136
"Judge, Court of Criminal Appeals, Place 5",0742,1538,498,2036,2859,71.21%,1212,687,38,20,1957
"Judge, Court of Criminal Appeals, Place 5",0743,54,60,114,234,48.72%,36,67,3,3,109
"Judge, Court of Criminal Appeals, Place 5",0744,1010,444,1454,2103,69.14%,818,508,36,32,1394
"Judge, Court of Criminal Appeals, Place 5",0745,1215,446,1661,2543,65.32%,963,550,49,40,1602
"Judge, Court of Criminal Appeals, Place 5",0746,245,121,366,732,50.00%,160,161,9,12,342
"Judge, Court of Criminal Appeals, Place 5",0747,1746,693,2439,4096,59.55%,970,1263,59,63,2355
"Judge, Court of Criminal Appeals, Place 5",0748,565,245,810,1556,52.06%,353,372,40,25,790
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0749,115,1,116,432,26.85%,17,94,0,0,111
"Judge, Court of Criminal Appeals, Place 5",0750,294,122,416,809,51.42%,214,156,18,11,399
"Judge, Court of Criminal Appeals, Place 5",0751,2944,1013,3957,5893,67.15%,2279,1375,126,52,3832
"Judge, Court of Criminal Appeals, Place 5",0752,660,227,887,1484,59.77%,552,269,18,13,852
"Judge, Court of Criminal Appeals, Place 5",0753,259,53,312,512,60.94%,112,176,8,6,302
"Judge, Court of Criminal Appeals, Place 5",0754,388,262,650,1590,40.88%,27,593,6,8,634
"Judge, Court of Criminal Appeals, Place 5",0755,1785,955,2740,5015,54.64%,838,1597,65,117,2617
"Judge, Court of Criminal Appeals, Place 5",0756,688,309,997,1723,57.86%,303,619,13,26,961
"Judge, Court of Criminal Appeals, Place 5",0757,1867,601,2468,4792,51.50%,356,1947,41,47,2391
"Judge, Court of Criminal Appeals, Place 5",0758,2106,595,2701,3803,71.02%,1978,547,58,26,2609
"Judge, Court of Criminal Appeals, Place 5",0759,1389,375,1764,2779,63.48%,975,649,40,34,1698
"Judge, Court of Criminal Appeals, Place 5",0760,1219,268,1487,2162,68.78%,1185,222,30,7,1444
"Judge, Court of Criminal Appeals, Place 5",0761,1090,167,1257,1598,78.66%,864,305,29,9,1207
"Judge, Court of Criminal Appeals, Place 5",0762,930,303,1233,1828,67.45%,525,601,22,35,1183
"Judge, Court of Criminal Appeals, Place 5",0763,370,264,634,1249,50.76%,172,403,9,27,611
"Judge, Court of Criminal Appeals, Place 5",0764,2473,677,3150,4827,65.26%,1799,1111,70,55,3035
"Judge, Court of Criminal Appeals, Place 5",0765,2060,874,2934,5742,51.10%,728,1983,62,64,2837
"Judge, Court of Criminal Appeals, Place 5",0766,126,59,185,428,43.22%,26,136,3,6,171
"Judge, Court of Criminal Appeals, Place 5",0767,31,15,46,92,50.00%,17,20,1,5,43
"Judge, Court of Criminal Appeals, Place 5",0768,1479,387,1866,2643,70.60%,1397,342,45,26,1810
"Judge, Court of Criminal Appeals, Place 5",0769,85,14,99,184,53.80%,6,92,0,0,98
"Judge, Court of Criminal Appeals, Place 5",0770,103,42,145,388,37.37%,43,86,2,6,137
"Judge, Court of Criminal Appeals, Place 5",0771,572,210,782,1588,49.24%,306,404,21,23,754
"Judge, Court of Criminal Appeals, Place 5",0772,2808,477,3285,4606,71.32%,2352,721,81,25,3179
"Judge, Court of Criminal Appeals, Place 5",0773,1696,638,2334,4414,52.88%,533,1580,38,41,2192
"Judge, Court of Criminal Appeals, Place 5",0774,154,55,220,426,51.64%,50,155,3,7,215
"Judge, Court of Criminal Appeals, Place 5",0775,50,1,51,102,50.00%,1,49,0,0,50
"Judge, Court of Criminal Appeals, Place 5",0776,1436,538,1974,3276,60.26%,1064,761,50,39,1914
"Judge, Court of Criminal Appeals, Place 5",0777,202,105,307,767,40.03%,69,213,6,7,295
"Judge, Court of Criminal Appeals, Place 5",0778,0,3,3,0,0.00%,0,2,0,1,3
"Judge, Court of Criminal Appeals, Place 5",0779,263,160,423,1019,41.51%,89,277,7,18,391
"Judge, Court of Criminal Appeals, Place 5",0780,170,130,300,666,45.05%,86,175,4,10,275
"Judge, Court of Criminal Appeals, Place 5",0781,1236,612,1848,3782,48.86%,544,1103,35,39,1721
"Judge, Court of Criminal Appeals, Place 5",0782,1048,368,1416,2355,60.13%,792,493,52,22,1359
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0783,197,90,287,520,55.19%,20,249,1,8,278
"Judge, Court of Criminal Appeals, Place 5",0784,408,119,527,1062,49.62%,12,490,0,10,512
"Judge, Court of Criminal Appeals, Place 5",0785,1234,357,1591,1896,83.91%,769,671,59,40,1539
"Judge, Court of Criminal Appeals, Place 5",0786,397,177,574,1258,45.63%,164,355,11,22,552
"Judge, Court of Criminal Appeals, Place 5",0787,180,83,263,542,48.52%,70,156,6,17,249
"Judge, Court of Criminal Appeals, Place 5",0788,2,0,2,13,15.38%,2,0,0,0,2
"Judge, Court of Criminal Appeals, Place 5",0789,1377,420,1797,2998,59.94%,994,671,44,28,1737
"Judge, Court of Criminal Appeals, Place 5",0790,1143,329,1472,2523,58.34%,469,887,36,42,1434
"Judge, Court of Criminal Appeals, Place 5",0791,9,3,12,29,41.38%,1,7,1,3,12
"Judge, Court of Criminal Appeals, Place 5",0792,648,415,1063,1954,54.40%,223,746,19,26,1014
"Judge, Court of Criminal Appeals, Place 5",0793,985,416,1401,2620,53.47%,679,596,28,38,1341
"Judge, Court of Criminal Appeals, Place 5",0794,626,411,1037,3208,32.33%,93,881,15,21,1010
"Judge, Court of Criminal Appeals, Place 5",0795,396,2,398,1281,31.07%,110,246,3,17,376
"Judge, Court of Criminal Appeals, Place 5",0796,1372,455,1537,3041,60.41%,705,1009,48,27,1789
"Judge, Court of Criminal Appeals, Place 5",0797,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0798,222,142,364,521,69.87%,129,191,8,20,348
"Judge, Court of Criminal Appeals, Place 5",0799,55,26,84,171,49.12%,14,65,2,2,83
"Judge, Court of Criminal Appeals, Place 5",0800,1935,730,2665,4216,63.21%,1535,885,83,65,2568
"Judge, Court of Criminal Appeals, Place 5",0801,90,44,134,261,51.34%,37,85,4,4,130
"Judge, Court of Criminal Appeals, Place 5",0802,54,21,75,224,33.48%,15,51,4,1,71
"Judge, Court of Criminal Appeals, Place 5",0803,2557,547,3214,4514,71.20%,2157,865,52,28,3102
"Judge, Court of Criminal Appeals, Place 5",0804,2703,682,3385,5303,63.83%,1711,1427,91,66,3295
"Judge, Court of Criminal Appeals, Place 5",0805,1599,454,2053,2874,71.43%,1548,361,49,25,1983
"Judge, Court of Criminal Appeals, Place 5",0806,1003,324,1327,1889,70.25%,770,464,37,21,1292
"Judge, Court of Criminal Appeals, Place 5",0807,797,349,1146,2163,52.98%,185,873,21,37,1116
"Judge, Court of Criminal Appeals, Place 5",0808,143,57,200,232,86.21%,66,106,15,3,190
"Judge, Court of Criminal Appeals, Place 5",0809,19,7,25,98,26.53%,11,13,1,0,25
"Judge, Court of Criminal Appeals, Place 5",0810,47,31,78,197,39.59%,9,61,0,3,73
"Judge, Court of Criminal Appeals, Place 5",0811,52,68,150,277,54.15%,28,105,0,10,143
"Judge, Court of Criminal Appeals, Place 5",0812,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0813,1742,434,2176,3488,62.39%,899,1109,40,62,2110
"Judge, Court of Criminal Appeals, Place 5",0814,1975,827,2803,5483,51.12%,510,2100,41,61,2712
"Judge, Court of Criminal Appeals, Place 5",0815,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0816,23,10,33,64,51.56%,4,22,0,5,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0817,2791,550,3341,4700,71.09%,2246,884,78,43,3251
"Judge, Court of Criminal Appeals, Place 5",0818,209,104,313,737,42.47%,62,233,4,5,304
"Judge, Court of Criminal Appeals, Place 5",0819,108,31,139,228,60.96%,70,56,0,1,127
"Judge, Court of Criminal Appeals, Place 5",0820,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0821,362,188,550,1295,42.47%,67,437,8,16,528
"Judge, Court of Criminal Appeals, Place 5",0822,571,185,756,1574,48.03%,25,692,6,7,730
"Judge, Court of Criminal Appeals, Place 5",0823,1339,410,1749,3017,57.97%,861,733,60,35,1689
"Judge, Court of Criminal Appeals, Place 5",0824,1059,410,1469,2762,53.19%,295,1077,23,31,1426
"Judge, Court of Criminal Appeals, Place 5",0825,9,7,15,21,76.19%,3,12,1,0,16
"Judge, Court of Criminal Appeals, Place 5",0826,177,70,247,355,69.58%,133,88,3,4,228
"Judge, Court of Criminal Appeals, Place 5",0827,218,234,452,1042,43.38%,129,279,13,20,441
"Judge, Court of Criminal Appeals, Place 5",0828,1174,281,1455,1965,74.05%,1094,268,30,13,1405
"Judge, Court of Criminal Appeals, Place 5",0829,101,19,120,235,51.06%,35,77,1,3,116
"Judge, Court of Criminal Appeals, Place 5",0830,2,2,4,2,200.00%,4,0,0,0,4
"Judge, Court of Criminal Appeals, Place 5",0831,8,5,13,36,36.11%,6,6,0,0,12
"Judge, Court of Criminal Appeals, Place 5",0832,125,50,175,364,48.08%,41,119,3,4,167
"Judge, Court of Criminal Appeals, Place 5",0833,3,2,5,20,25.00%,1,4,0,0,5
"Judge, Court of Criminal Appeals, Place 5",0834,142,61,203,388,52.32%,17,178,5,0,200
"Judge, Court of Criminal Appeals, Place 5",0835,87,71,158,311,50.80%,38,103,0,11,152
"Judge, Court of Criminal Appeals, Place 5",0836,128,0,128,248,51.61%,9,103,1,5,118
"Judge, Court of Criminal Appeals, Place 5",0837,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0838,0,0,0,0,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0839,419,174,593,1190,49.83%,116,417,21,22,576
"Judge, Court of Criminal Appeals, Place 5",0840,831,228,1059,1780,59.49%,319,652,16,28,1015
"Judge, Court of Criminal Appeals, Place 5",0841,1475,475,1950,3431,56.83%,422,1402,33,42,1899
"Judge, Court of Criminal Appeals, Place 5",0842,1340,513,1853,3390,54.66%,668,997,52,60,1777
"Judge, Court of Criminal Appeals, Place 5",0843,595,298,893,1387,64.38%,150,678,12,23,863
"Judge, Court of Criminal Appeals, Place 5",0844,4,0,4,10,40.00%,0,4,0,0,4
"Judge, Court of Criminal Appeals, Place 5",0845,152,13,165,218,75.69%,96,57,5,0,158
"Judge, Court of Criminal Appeals, Place 5",0846,61,22,83,229,36.24%,1,78,0,3,82
"Judge, Court of Criminal Appeals, Place 5",0847,993,330,1323,2310,57.27%,323,919,14,33,1289
"Judge, Court of Criminal Appeals, Place 5",0848,1014,201,1215,1875,64.80%,358,762,18,31,1169
"Judge, Court of Criminal Appeals, Place 5",0849,731,455,1186,2272,52.20%,285,755,22,62,1124
"Judge, Court of Criminal Appeals, Place 5",0850,129,19,148,208,71.15%,51,81,3,7,142
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0851,1886,441,2327,3597,64.69%,1464,680,70,33,2247
"Judge, Court of Criminal Appeals, Place 5",0852,0,0,0,1,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0853,1538,487,2125,2986,71.17%,1515,470,54,25,2064
"Judge, Court of Criminal Appeals, Place 5",0854,40,19,59,175,33.71%,7,48,0,3,58
"Judge, Court of Criminal Appeals, Place 5",0855,7,2,9,21,42.86%,4,4,0,1,9
"Judge, Court of Criminal Appeals, Place 5",0856,0,3,3,0,0.00%,0,1,0,0,1
"Judge, Court of Criminal Appeals, Place 5",0857,0,0,0,1,0.00%,0,0,0,0,0
"Judge, Court of Criminal Appeals, Place 5",0858,122,35,157,334,47.01%,4,146,0,0,150
"Judge, Court of Criminal Appeals, Place 5",0859,391,143,534,945,56.51%,101,393,10,9,513
"Judge, Court of Criminal Appeals, Place 5",0860,1,1,2,0,0.00%,0,2,0,0,2
"Judge, Court of Criminal Appeals, Place 5",0861,777,272,1049,1941,54.04%,152,837,16,18,1023
