Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0259,1031,414,1445,2312,62.50%,28,1352,14,15,1409
"Judge, Court of Criminal Appeals, Place 5",0260,548,227,775,1300,59.62%,369,347,11,15,742
"Judge, Court of Criminal Appeals, Place 5",0261,442,531,973,1457,66.78%,245,627,12,35,919
"Judge, Court of Criminal Appeals, Place 5",0262,1849,676,2525,4397,57.43%,1291,992,75,60,2418
"Judge, Court of Criminal Appeals, Place 5",0263,2212,665,2877,4016,71.64%,1970,721,48,31,2770
"Judge, Court of Criminal Appeals, Place 5",0264,1114,627,1741,3101,56.14%,835,729,51,43,1658
"Judge, Court of Criminal Appeals, Place 5",0265,1995,608,2603,3582,72.67%,1808,594,50,34,2486
"Judge, Court of Criminal Appeals, Place 5",0266,737,443,1180,2147,54.96%,414,655,24,38,1131
"Judge, Court of Criminal Appeals, Place 5",0267,421,293,714,1433,49.83%,237,400,17,24,678
"Judge, Court of Criminal Appeals, Place 5",0268,1178,689,1867,2528,73.85%,1025,674,36,20,1755
"Judge, Court of Criminal Appeals, Place 5",0269,1307,365,1672,2114,79.09%,1218,350,21,7,1596
"Judge, Court of Criminal Appeals, Place 5",0270,1816,688,2504,3985,62.84%,1171,1059,58,86,2374
"Judge, Court of Criminal Appeals, Place 5",0271,1150,346,1496,2558,58.48%,32,1418,8,8,1466
"Judge, Court of Criminal Appeals, Place 5",0272,871,415,1286,2334,55.10%,415,745,38,32,1230
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0273,1176,647,1823,2485,73.36%,1386,346,30,11,1773
"Judge, Court of Criminal Appeals, Place 5",0274,1263,311,1574,2223,70.81%,955,467,39,32,1493
"Judge, Court of Criminal Appeals, Place 5",0275,586,334,920,2059,44.68%,137,710,16,28,891
"Judge, Court of Criminal Appeals, Place 5",0276,1027,255,1282,2458,52.16%,21,1221,8,8,1258
"Judge, Court of Criminal Appeals, Place 5",0277,573,338,911,1898,48.00%,295,540,21,21,877
"Judge, Court of Criminal Appeals, Place 5",0278,1059,469,1528,2602,58.72%,600,780,25,53,1458
"Judge, Court of Criminal Appeals, Place 5",0279,790,314,1104,2073,53.26%,588,425,26,26,1065
"Judge, Court of Criminal Appeals, Place 5",0280,444,362,806,1656,48.67%,208,518,20,25,771
"Judge, Court of Criminal Appeals, Place 5",0281,1287,590,1877,2507,74.87%,888,781,39,26,1734
"Judge, Court of Criminal Appeals, Place 5",0282,777,604,1381,2144,64.41%,739,527,39,21,1326
"Judge, Court of Criminal Appeals, Place 5",0283,2353,1143,3496,6365,54.93%,430,2801,53,112,3396
"Judge, Court of Criminal Appeals, Place 5",0284,1592,574,2166,4079,53.10%,668,1297,45,57,2067
"Judge, Court of Criminal Appeals, Place 5",0285,1080,431,1511,2680,56.38%,108,1314,10,36,1468
"Judge, Court of Criminal Appeals, Place 5",0286,1714,545,2259,3757,60.13%,168,1965,26,41,2200
"Judge, Court of Criminal Appeals, Place 5",0287,853,408,1261,1658,76.06%,576,556,32,43,1207
"Judge, Court of Criminal Appeals, Place 5",0288,883,314,1197,2208,54.21%,25,1133,4,9,1171
"Judge, Court of Criminal Appeals, Place 5",0289,481,352,833,1584,52.59%,283,463,12,20,778
"Judge, Court of Criminal Appeals, Place 5",0290,705,332,1037,1623,63.89%,726,248,23,21,1018
"Judge, Court of Criminal Appeals, Place 5",0291,604,233,837,1218,68.72%,345,417,18,13,793
"Judge, Court of Criminal Appeals, Place 5",0292,549,178,727,1379,52.72%,73,599,6,27,705
"Judge, Court of Criminal Appeals, Place 5",0293,778,475,1253,1811,69.19%,505,602,32,39,1178
"Judge, Court of Criminal Appeals, Place 5",0294,852,198,1050,2054,51.12%,15,998,13,9,1035
"Judge, Court of Criminal Appeals, Place 5",0295,270,111,381,894,42.62%,9,358,1,4,372
"Judge, Court of Criminal Appeals, Place 5",0296,701,385,1086,1705,63.70%,536,441,17,26,1020
"Judge, Court of Criminal Appeals, Place 5",0297,730,341,1071,2055,52.12%,361,617,21,35,1034
"Judge, Court of Criminal Appeals, Place 5",0298,1095,387,1483,2236,66.32%,710,644,53,29,1436
"Judge, Court of Criminal Appeals, Place 5",0299,499,236,735,1506,48.80%,211,445,13,31,700
"Judge, Court of Criminal Appeals, Place 5",0300,3386,728,4114,5480,75.07%,2999,867,91,32,3989
"Judge, Court of Criminal Appeals, Place 5",0301,737,392,1129,2337,48.31%,354,663,31,31,1079
"Judge, Court of Criminal Appeals, Place 5",0302,1199,591,1790,3277,54.62%,839,805,44,41,1729
"Judge, Court of Criminal Appeals, Place 5",0303,1902,692,2594,3375,76.86%,1929,501,38,17,2485
"Judge, Court of Criminal Appeals, Place 5",0304,1190,474,1664,2326,71.54%,897,609,41,27,1574
"Judge, Court of Criminal Appeals, Place 5",0305,2156,645,2801,4838,57.90%,829,1730,63,79,2701
"Judge, Court of Criminal Appeals, Place 5",0306,1096,299,1395,1896,73.58%,959,322,33,17,1331
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Scott Walker,DEM Betsy Johnson,"LIB William Bryan Strange, |||",GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 5",0307,1458,801,2259,3270,69.08%,1407,628,76,45,2156
"Judge, Court of Criminal Appeals, Place 5",0308,527,225,752,1457,51.61%,170,500,21,26,717
"Judge, Court of Criminal Appeals, Place 5",0309,2151,591,2752,3495,78.74%,2059,527,41,19,2646
"Judge, Court of Criminal Appeals, Place 5",0310,710,326,1036,1464,70.77%,603,331,27,23,984
"Judge, Court of Criminal Appeals, Place 5",0311,932,643,1575,3222,48.88%,679,727,36,32,1474
"Judge, Court of Criminal Appeals, Place 5",0312,1713,552,2265,3724,60.82%,1118,943,66,38,2165
"Judge, Court of Criminal Appeals, Place 5",0313,23,8,31,61,50.82%,16,8,0,1,25
"Judge, Court of Criminal Appeals, Place 5",0314,3000,817,3817,5606,68.09%,2066,1499,80,57,3702
"Judge, Court of Criminal Appeals, Place 5",0315,803,353,1156,1636,70.66%,632,423,21,24,1100
"Judge, Court of Criminal Appeals, Place 5",0316,741,340,1081,1513,71.45%,567,404,28,20,1019
"Judge, Court of Criminal Appeals, Place 5",0317,594,252,846,1661,50.93%,208,559,12,26,805
"Judge, Court of Criminal Appeals, Place 5",0318,1729,529,2258,3776,59.80%,118,2025,24,28,2195
"Judge, Court of Criminal Appeals, Place 5",0319,996,271,1267,2199,57.62%,67,1137,12,16,1232
"Judge, Court of Criminal Appeals, Place 5",0320,556,238,794,1570,50.57%,265,459,13,20,757
"Judge, Court of Criminal Appeals, Place 5",0321,887,363,1230,2483,49.54%,312,749,17,71,1149
"Judge, Court of Criminal Appeals, Place 5",0322,426,124,550,1210,45.45%,147,368,12,10,537
"Judge, Court of Criminal Appeals, Place 5",0323,700,296,996,1793,55.55%,347,559,30,20,956
"Judge, Court of Criminal Appeals, Place 5",0324,1445,560,2005,2607,76.91%,1196,627,54,36,1913
"Judge, Court of Criminal Appeals, Place 5",0325,802,257,1059,2176,48.67%,171,787,13,33,1004
"Judge, Court of Criminal Appeals, Place 5",0326,271,129,400,736,54.35%,137,217,4,17,375
"Judge, Court of Criminal Appeals, Place 5",0327,740,141,881,1758,50.11%,17,823,4,8,852
"Judge, Court of Criminal Appeals, Place 5",0328,425,286,711,1631,43.59%,194,446,9,30,679
"Judge, Court of Criminal Appeals, Place 5",0329,592,260,852,1621,52.56%,222,533,23,37,815
"Judge, Court of Criminal Appeals, Place 5",0330,864,326,1190,2146,55.45%,491,581,36,26,1134
