Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0958,430,231,661,1202,54.99%,118,512,630
"District Judge, 351 st Judicial District",0959,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0960,829,235,1064,1471,72.33%,222,799,1021
"District Judge, 351 st Judicial District",0961,820,318,1138,2369,48.04%,173,915,1088
"District Judge, 351 st Judicial District",0962,33,12,45,88,51.14%,10,32,42
"District Judge, 351 st Judicial District",0963,225,91,316,528,59.85%,126,170,296
"District Judge, 351 st Judicial District",0964,2145,325,2470,3179,77.70%,1401,967,2368
"District Judge, 351 st Judicial District",0965,101,35,136,345,39.42%,86,41,127
"District Judge, 351 st Judicial District",0966,368,189,557,1332,41.82%,137,384,521
"District Judge, 351 st Judicial District",0967,82,24,106,186,56.99%,35,66,101
"District Judge, 351 st Judicial District",0968,455,127,582,906,64.24%,121,441,562
"District Judge, 351 st Judicial District",0969,299,71,370,624,59.29%,7,351,358
"District Judge, 351 st Judicial District",0970,223,102,325,810,40.12%,30,271,301
"District Judge, 351 st Judicial District",0971,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0972,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0973,504,138,642,999,64.26%,412,195,607
"District Judge, 351 st Judicial District",0974,0,1,1,0,0.00%,1,0,1
"District Judge, 351 st Judicial District",0975,104,26,130,190,68.42%,57,62,119
"District Judge, 351 st Judicial District",0976,190,152,342,712,48.03%,166,153,319
"District Judge, 351 st Judicial District",0977,160,108,268,617,43.44%,92,166,258
"District Judge, 351 st Judicial District",0978,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0979,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0980,686,333,1019,1412,72.17%,700,261,961
"District Judge, 351 st Judicial District",0981,12,2,14,31,45.16%,1,12,13
"District Judge, 351 st Judicial District",0982,1898,501,2399,2916,82.27%,1783,518,2301
"District Judge, 351 st Judicial District",0983,65,17,82,198,41.41,%,45,35,80
"District Judge, 351 st Judicial District",0984,76,57,133,341,39.00%,11,120,131
"District Judge, 351 st Judicial District",0985,222,56,278,355,78.31%,132,130,262
"District Judge, 351 st Judicial District",0986,153,78,231,537,43.02%,25,199,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0987,476,130,606,1183,51.23%,39,541,580
"District Judge, 351 st Judicial District",0988,62,15,77,117,65.81%,66,8,74
"District Judge, 351 st Judicial District",0989,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0990,5,6,11,66,16.67%,4,7,11
"District Judge, 351 st Judicial District",0991,0,1,1,2,50.00%,0,1,1
"District Judge, 351 st Judicial District",0992,456,106,562,1075,52.28%,253,272,525
"District Judge, 351 st Judicial District",0993,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0994,56,12,68,75,90.67%,21,45,66
"District Judge, 351 st Judicial District",0995,753,193,946,1576,60.03%,90,813,903
"District Judge, 351 st Judicial District",0996,403,70,473,708,66.81%,243,198,441
"District Judge, 351 st Judicial District",0997,521,283,804,1909,42.12%,139,642,781
"District Judge, 351 st Judicial District",0998,24,12,36,68,52.94%,22,12,34
"District Judge, 351 st Judicial District",0999,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",1000,122,22,144,428,33.64%,22,116,138
"District Judge, 351 st Judicial District",1001,519,280,799,1654,48.31%,149,605,754
"District Judge, 351 st Judicial District",1002,480,270,750,1804,41.57%,103,604,707
"District Judge, 351 st Judicial District",1003,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",1004,349,114,463,691,67.00%,226,207,433
"District Judge, 351 st Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",1006,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",1007,694,306,1000,1775,56.34%,213,740,953
"District Judge, 351 st Judicial District",1008,620,107,727,1011,71.91%,564,131,695
"District Judge, 351 st Judicial District",1009,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",1010,292,96,388,647,59.97%,70,303,373
"District Judge, 351 st Judicial District",1011,9,6,15,31,48.39%,10,5,15
"District Judge, 351 st Judicial District",1012,543,362,905,1633,55.42%,211,641,852
"District Judge, 351 st Judicial District",Totals;,981446,353327,1334773,2182980,613728,651816,1265544
