Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0123,749,287,1036,1585,65.36%,304,667,971
"District Judge, 351 st Judicial District",0124,3136,888,4024,5393,74.62%,3111,777,3888
"District Judge, 351 st Judicial District",0125,1207,400,1607,2593,61.97%,842,694,1536
"District Judge, 351 st Judicial District",0126,2017,427,2444,3380,72.31%,2036,300,2336
"District Judge, 351 st Judicial District",0127,978,214,1192,2091,57.01%,822,300,1122
"District Judge, 351 st Judicial District",0128,1107,612,1719,2322,74.03%,1086,488,1574
"District Judge, 351 st Judicial District",0129,2540,1052,3592,5172,69.45%,2100,1284,3384
"District Judge, 351 st Judicial District",0130,1310,433,1743,2289,76.15%,1240,415,1655
"District Judge, 351 st Judicial District",0131,798,371,1169,2147,54.45%,237,894,1131
"District Judge, 351 st Judicial District",0132,1028,322,1350,2378,56.77%,46,1274,1320
"District Judge, 351 st Judicial District",0133,1411,746,2157,2690,80.19%,1244,754,1998
"District Judge, 351 st Judicial District",0134,593,345,938,1513,62.00%,361,518,879
"District Judge, 351 st Judicial District",0135,1614,551,2165,2777,77.96%,1423,596,2019
"District Judge, 351 st Judicial District",0136,982,352,1334,2116,63.04%,84,1191,1275
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0137,993,259,1252,1986,63.04%,813,384,1197
"District Judge, 351 st Judicial District",0138,600,228,828,1723,48.06%,33,770,803
"District Judge, 351 st Judicial District",0139,1939,601,2540,3435,73.94%,1194,1140,2334
"District Judge, 351 st Judicial District",0140,1513,510,2023,3270,61.87%,331,1571,1902
"District Judge, 351 st Judicial District",0141,217,153,370,904,40.93%,193,148,341
"District Judge, 351 st Judicial District",0142,293,140,433,933,46.41%,86,316,402
"District Judge, 351 st Judicial District",0143,1868,267,2135,2582,82.69%,1395,667,2062
"District Judge, 351 st Judicial District",0144,442,125,567,1086,52.21%,18,527,545
"District Judge, 351 st Judicial District",0145,560,256,816,1564,52.17%,18,771,789
"District Judge, 351 st Judicial District",0146,1000,494,1494,2073,72.07%,642,754,1396
"District Judge, 351 st Judicial District",0147,1411,354,1765,3211,54.97%,222,1483,1705
"District Judge, 351 st Judicial District",0148,1265,652,1917,2571,74.56%,828,933,1761
"District Judge, 351 st Judicial District",0149,2938,573,3511,4756,73.82%,1916,1459,3375
"District Judge, 351 st Judicial District",0150,582,223,805,1574,51.14%,28,745,773
"District Judge, 351 st Judicial District",0151,282,107,389,826,47.09%,16,355,371
"District Judge, 351 st Judicial District",0152,838,524,1362,3059,44.52%,262,1018,1280
"District Judge, 351 st Judicial District",0153,544,399,943,1873,50.35%,199,695,894
"District Judge, 351 st Judicial District",0154,913,289,1202,2293,52.42%,238,871,1109
"District Judge, 351 st Judicial District",0155,2275,576,2851,4065,70.14%,1765,936,2701
"District Judge, 351 st Judicial District",0156,1413,403,1815,3223,56.35%,91,1639,1730
"District Judge, 351 st Judicial District",0157,880,278,1158,2265,51.13%,63,1057,1120
"District Judge, 351 st Judicial District",0158,1143,365,1508,3049,49.46%,47,1420,1467
"District Judge, 351 st Judicial District",0159,348,147,495,997,49.65%,75,400,475
"District Judge, 351 st Judicial District",0160,286,67,353,717,49.23%,12,327,339
"District Judge, 351 st Judicial District",0161,378,173,551,992,55.54%,19,509,528
"District Judge, 351 st Judicial District",0162,364,267,631,1312,48.09%,144,437,581
"District Judge, 351 st Judicial District",0163,1080,524,1604,3075,52.16%,404,1026,1430
"District Judge, 351 st Judicial District",0164,441,258,699,1407,49.68%,26,647,673
"District Judge, 351 st Judicial District",0165,1169,469,1638,2460,66.59%,916,611,1527
"District Judge, 351 st Judicial District",0166,562,261,823,1171,70.28%,277,485,762
"District Judge, 351 st Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 351 st Judicial District",0168,196,59,255,512,49.80%,6,244,250
"District Judge, 351 st Judicial District",0169,985,247,1232,2548,48.35%,35,1157,1192
"District Judge, 351 st Judicial District",0170,553,262,925,1958,47.24%,409,451,860
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0171,482,283,765,1648,46.42%,39,683,722
"District Judge, 351 st Judicial District",0172,245,103,348,661,52.65%,86,240,326
"District Judge, 351 st Judicial District",0173,2259,683,2942,3966,74.18%,2148,657,2805
"District Judge, 351 st Judicial District",0174,1715,707,2423,3389,71.50%,1591,675,2266
"District Judge, 351 st Judicial District",0175,1402,691,2093,2711,77.20%,1113,826,1939
"District Judge, 351 st Judicial District",0176,767,375,1142,1533,74.49%,581,466,1047
"District Judge, 351 st Judicial District",0177,937,333,1270,1715,74.05%,698,471,1169
"District Judge, 351 st Judicial District",0178,1116,273,1389,1795,77.38%,924,353,1277
"District Judge, 351 st Judicial District",0179,771,244,1015,1673,60.67%,470,476,946
"District Judge, 351 st Judicial District",0180,928,463,1391,2914,47.74%,56,1273,1329
"District Judge, 351 st Judicial District",0181,697,439,1136,2195,51.75%,250,827,1077
"District Judge, 351 st Judicial District",0182,1943,994,2937,4071,72.14%,1613,1082,2695
"District Judge, 351 st Judicial District",0183,1286,715,2001,2535,78.93%,1308,551,1859
"District Judge, 351 st Judicial District",0184,278,219,497,1048,47.42%,120,345,465
"District Judge, 351 st Judicial District",0185,709,444,1153,2054,56.13%,299,785,1084
"District Judge, 351 st Judicial District",0186,252,150,402,798,50.38%,31,353,384
"District Judge, 351 st Judicial District",0187,95,51,147,309,47.57%,24,112,136
"District Judge, 351 st Judicial District",0188,499,306,805,1711,47.05%,241,523,764
"District Judge, 351 st Judicial District",0189,804,279,1083,1505,71.96%,608,399,1007
"District Judge, 351 st Judicial District",0190,571,326,897,1849,48.51%,250,592,842
"District Judge, 351 st Judicial District",0191,327,259,586,1408,41.62%,173,385,558
"District Judge, 351 st Judicial District",0192,757,259,1016,1959,51.86%,63,908,971
"District Judge, 351 st Judicial District",0193,375,211,586,1099,53.32%,23,535,558
"District Judge, 351 st Judicial District",0194,1138,449,1587,2172,73.07%,459,1016,1475
"District Judge, 351 st Judicial District",0195,606,344,950,1739,54.63%,44,853,897
"District Judge, 351 st Judicial District",0196,132,37,169,313,53.99%,14,143,157
"District Judge, 351 st Judicial District",0197,995,372,1368,2969,46.08%,47,1273,1320
"District Judge, 351 st Judicial District",0198,161,82,243,619,39.26%,11,221,232
"District Judge, 351 st Judicial District",0199,1929,815,2744,4063,67.54%,2038,580,2618
"District Judge, 351 st Judicial District",0200,2307,377,2684,3692,72.70%,1247,1257,2504
"District Judge, 351 st Judicial District",0201,221,105,326,773,42.17%,14,305,319
"District Judge, 351 st Judicial District",0202,421,233,654,1410,46.38%,28,599,627
"District Judge, 351 st Judicial District",0203,298,111,409,988,41.40%,68,312,380
"District Judge, 351 st Judicial District",0204,2099,577,2676,3568,75.00%,1424,1030,2454
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0205,771,171,942,1724,54.64%,25,893,918
"District Judge, 351 st Judicial District",0206,1277,494,1771,2965,59.73%,532,1098,1630
"District Judge, 351 st Judicial District",0207,605,212,817,1166,70.07%,263,499,762
"District Judge, 351 st Judicial District",0208,909,338,1247,2256,55.27%,274,881,1155
"District Judge, 351 st Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 351 st Judicial District",0210,1259,489,1748,2781,62.86%,282,1382,1664
"District Judge, 351 st Judicial District",0211,964,595,1559,3130,49.81%,421,1025,1446
"District Judge, 351 st Judicial District",0212,309,323,632,1370,46.13%,102,489,591
"District Judge, 351 st Judicial District",0213,1782,795,2577,3406,75.66%,2015,441,2456
"District Judge, 351 st Judicial District",0214,1016,418,1434,1911,75.04%,853,468,1321
"District Judge, 351 st Judicial District",0215,1096,636,1732,2286,75.77%,1015,591,1606
"District Judge, 351 st Judicial District",0216,778,244,1022,1966,51.98%,54,925,979
"District Judge, 351 st Judicial District",0217,1545,618,2163,2736,79.06%,1423,609,2032
"District Judge, 351 st Judicial District",0218,1099,457,1555,2467,63.07%,392,1027,1419
"District Judge, 351 st Judicial District",0219,1117,515,1632,2868,56.90%,153,1387,1540
"District Judge, 351 st Judicial District",0220,832,306,1138,2362,48.18%,700,368,1068
"District Judge, 351 st Judicial District",0221,1032,473,1505,2598,57.93%,469,933,1402
"District Judge, 351 st Judicial District",0222,1460,671,2131,2728,78.12%,1086,873,1959
"District Judge, 351 st Judicial District",0223,1750,517,2267,3664,61.87%,601,1501,2102
"District Judge, 351 st Judicial District",0224,1155,495,1551,2313,71.81%,788,748,1536
"District Judge, 351 st Judicial District",0225,1353,596,1949,3689,52.83%,820,1037,1857
"District Judge, 351 st Judicial District",0226,840,421,1261,2554,49.37%,243,958,1201
"District Judge, 351 st Judicial District",0227,1071,359,1430,1810,79.01%,1085,265,1350
"District Judge, 351 st Judicial District",0228,625,159,784,1175,66.72%,51,716,767
"District Judge, 351 st Judicial District",0229,227,168,395,828,47.71%,99,269,368
"District Judge, 351 st Judicial District",0230,353,155,518,1094,47.35%,22,479,501
