Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0316,739,340,1079,1513,71.32%,516,470,35,1021
"Member, State Board of Education, District 6",0317,593,252,845,1661,50.87%,202,568,31,801
"Member, State Board of Education, District 6",0330,863,326,1189,2146,55.41%,499,589,46,1134
"Member, State Board of Education, District 6",0335,489,293,782,1679,46.58%,177,530,23,730
"Member, State Board of Education, District 6",0338,1626,632,2258,5001,45.15%,553,1546,52,2151
"Member, State Board of Education, District 6",0345,575,349,924,1945,47.51%,158,670,46,874
"Member, State Board of Education, District 6",0350,1674,582,2256,3269,69.01%,726,1289,96,2111
"Member, State Board of Education, District 6",0356,1542,582,2124,3126,67.95%,1068,876,90,2034
"Member, State Board of Education, District 6",0360,1858,597,2455,3309,74.19%,1038,1191,78,2307
"Member, State Board of Education, District 6",0361,323,688,1011,1808,55.92%,121,780,30,931
"Member, State Board of Education, District 6",0362,2865,553,3418,5161,66.23%,2250,948,119,3317
"Member, State Board of Education, District 6",0364,1190,528,1718,2827,60.77%,732,832,67,1631
"Member, State Board of Education, District 6",0370,2525,627,3152,4531,69.57%,2144,805,106,3055
"Member, State Board of Education, District 6",0383,722,458,1180,2373,49.73%,338,745,46,1129
"Member, State Board of Education, District 6",0385,1141,561,1702,2207,77.12%,1214,390,22,1626
"Member, State Board of Education, District 6",0395,1007,371,1378,1875,73.49%,852,423,49,1324
"Member, State Board of Education, District 6",0398,1761,654,2415,4200,57.50%,1031,1223,80,2334
"Member, State Board of Education, District 6",0400,1467,372,1839,2661,69.11%,1117,607,64,1788
"Member, State Board of Education, District 6",0403,959,387,1346,1719,78.30%,630,589,41,1260
"Member, State Board of Education, District 6",0405,1910,457,2367,3067,77.18%,1709,561,47,2317
"Member, State Board of Education, District 6",0407,1703,860,2563,3969,64.58%,1408,937,103,2448
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0424,548,158,706,1079,65.43%,347,315,23,685
"Member, State Board of Education, District 6",0425,257,139,396,878,45.10%,108,258,12,378
"Member, State Board of Education, District 6",0426,485,228,713,1266,56.32%,332,330,17,679
"Member, State Board of Education, District 6",0427,437,155,592,1120,52.86%,183,359,10,552
"Member, State Board of Education, District 6",0428,1688,865,2553,5151,49.56%,609,1772,40,2421
"Member, State Board of Education, District 6",0430,524,291,815,1794,45.43%,123,626,16,765
"Member, State Board of Education, District 6",0431,1218,604,1822,3860,47.20%,353,1336,52,1741
"Member, State Board of Education, District 6",0432,456,249,705,1568,44.96%,195,436,32,663
"Member, State Board of Education, District 6",0433,163,88,251,561,44.74%,47,176,13,236
"Member, State Board of Education, District 6",0434,831,293,1124,1557,72.19%,584,439,39,1062
"Member, State Board of Education, District 6",0435,1951,567,2518,3363,74.87%,1435,866,94,2395
"Member, State Board of Education, District 6",0436,2008,678,2686,3809,70.52%,1367,1074,104,2545
"Member, State Board of Education, District 6",0437,1148,425,1573,2094,75.12%,965,504,47,1516
"Member, State Board of Education, District 6",0438,2288,475,2763,3789,72.92%,1774,778,87,2639
"Member, State Board of Education, District 6",0439,1854,749,2603,3701,70.33%,1617,765,94,2476
"Member, State Board of Education, District 6",0440,1498,749,2247,2973,75.58%,1611,480,53,2144
"Member, State Board of Education, District 6",0441,824,408,1232,1695,72.68%,792,346,35,1173
"Member, State Board of Education, District 6",0442,2441,685,3126,4315,72.44%,2381,517,124,3022
"Member, State Board of Education, District 6",0443,415,83,498,642,77.57%,334,125,14,473
"Member, State Board of Education, District 6",0444,1520,879,2299,3625,63.42%,1156,928,96,2180
"Member, State Board of Education, District 6",0445,1038,382,1418,2134,66.45%,775,539,48,1362
"Member, State Board of Education, District 6",0446,89,45,134,309,43.37%,44,83,4,131
"Member, State Board of Education, District 6",0451,1719,367,2086,2771,75.28%,1593,385,38,2016
"Member, State Board of Education, District 6",0452,1871,662,2533,3789,66.85%,1611,737,85,2433
"Member, State Board of Education, District 6",0461,2242,669,2911,4054,71.81%,1655,1009,90,2754
"Member, State Board of Education, District 6",0463,1673,564,2237,3773,59.29%,797,1316,63,2176
"Member, State Board of Education, District 6",0464,987,582,1549,2343,66.11%,904,517,71,1492
"Member, State Board of Education, District 6",0465,1628,594,2222,3778,58.81%,941,1117,85,2143
"Member, State Board of Education, District 6",0466,2274,509,2783,4327,64.32%,1341,1289,73,2703
"Member, State Board of Education, District 6",0472,463,339,802,1131,70.91%,299,432,27,758
"Member, State Board of Education, District 6",0477,2027,640,2667,4010,66.51%,1737,723,107,2567
"Member, State Board of Education, District 6",0478,2271,683,2954,4696,62.90%,1751,999,98,2848
"Member, State Board of Education, District 6",0479,1978,755,2733,3851,70.97%,1872,665,115,2652
"Member, State Board of Education, District 6",0480,1445,538,1983,2978,66.59%,1279,577,66,1922
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0481,1756,667,2423,3609,67.14%,1650,591,85,2326
"Member, State Board of Education, District 6",0482,2259,618,2877,4405,65.31%,1837,837,126,2800
"Member, State Board of Education, District 6",0483,2305,538,2843,4495,63.25%,1358,1258,111,2727
"Member, State Board of Education, District 6",0484,2020,700,2720,3981,68.32%,1630,906,101,2637
"Member, State Board of Education, District 6",0485,2118,567,2685,4051,66.28%,1809,693,105,2607
"Member, State Board of Education, District 6",0486,2310,721,3031,4195,72.25%,2144,645,145,2934
"Member, State Board of Education, District 6",0487,1405,527,1932,4142,46.64%,440,1298,40,1778
"Member, State Board of Education, District 6",0488,842,511,1353,2382,56.80%,346,899,43,1288
"Member, State Board of Education, District 6",0491,937,488,1425,2110,67.54%,704,597,55,1356
"Member, State Board of Education, District 6",0492,1217,396,1613,2552,63.21%,753,748,52,1553
"Member, State Board of Education, District 6",0493,1404,555,1959,3338,58.69%,666,1127,64,1857
"Member, State Board of Education, District 6",0495,1414,376,1790,2488,71.95%,1129,516,60,1705
"Member, State Board of Education, District 6",0496,687,549,1236,2325,53.16%,400,751,41,1192
"Member, State Board of Education, District 6",0498,1069,423,1492,2527,59.04%,478,893,71,1442
"Member, State Board of Education, District 6",0499,1433,397,1830,2336,78.34%,1221,501,42,1764
"Member, State Board of Education, District 6",0500,1869,651,2520,3698,68.14%,1486,851,101,2438
"Member, State Board of Education, District 6",0501,1146,406,1552,2016,76.98%,566,831,75,1472
"Member, State Board of Education, District 6",0503,1397,306,1703,2236,76.16%,1208,381,56,1645
"Member, State Board of Education, District 6",0504,1270,482,1752,2318,75.58%,1027,577,76,1680
"Member, State Board of Education, District 6",0507,599,319,918,2562,35.83%,197,608,14,819
"Member, State Board of Education, District 6",0508,1519,828,2347,4767,49.23%,609,1514,64,2187
"Member, State Board of Education, District 6",0509,2504,669,3173,5153,61.58%,1859,1079,125,3063
"Member, State Board of Education, District 6",0510,1701,666,2367,3822,61.93%,917,1289,97,2303
"Member, State Board of Education, District 6",0512,1668,871,2539,4559,55.69%,894,1453,92,2439
"Member, State Board of Education, District 6",0513,1754,413,2167,3003,72.16%,1447,576,63,2086
"Member, State Board of Education, District 6",0514,2286,613,2899,4378,66.22%,1887,805,111,2803
"Member, State Board of Education, District 6",0515,1836,468,2304,3182,72.41%,1753,426,62,2241
"Member, State Board of Education, District 6",0516,1316,363,1679,2799,59.99%,769,807,53,1629
"Member, State Board of Education, District 6",0517,1610,509,2119,3744,56.60%,850,1114,81,2045
"Member, State Board of Education, District 6",0518,1886,676,2562,4049,63.27%,1389,994,79,2462
"Member, State Board of Education, District 6",0519,1421,518,1939,3098,62.59%,1261,550,75,1886
"Member, State Board of Education, District 6",0522,1508,464,1972,2815,70.05%,1344,493,87,1924
"Member, State Board of Education, District 6",0523,1978,537,2515,4027,62.45%,1448,863,106,2417
"Member, State Board of Education, District 6",0524,1392,637,2029,3598,56.39%,500,1393,58,1951
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0529,2107,434,2541,3842,66.14%,2015,358,91,2464
"Member, State Board of Education, District 6",0539,511,234,1045,1535,68.08%,534,433,33,1000
"Member, State Board of Education, District 6",0547,1413,270,1683,2534,66.42%,1040,510,74,1624
"Member, State Board of Education, District 6",0548,882,395,1277,2339,54.60%,531,666,43,1240
"Member, State Board of Education, District 6",0551,2586,793,3379,4428,76.31%,2434,759,84,3277
"Member, State Board of Education, District 6",0552,2090,784,2874,3762,76.40%,2196,511,85,2792
"Member, State Board of Education, District 6",0553,952,317,1279,2193,58.32%,456,736,52,1244
"Member, State Board of Education, District 6",0557,925,460,1385,2955,46.87%,358,882,36,1276
"Member, State Board of Education, District 6",0558,1812,721,2533,4718,53.69%,695,1671,86,2452
"Member, State Board of Education, District 6",0559,1902,701,2603,4984,52.23%,534,1860,105,2499
"Member, State Board of Education, District 6",0565,336,148,484,1414,34.23%,69,383,13,465
"Member, State Board of Education, District 6",0566,1183,441,1624,3029,53.62%,372,1151,48,1571
"Member, State Board of Education, District 6",0567,965,390,1355,2851,47.53%,304,923,32,1259
"Member, State Board of Education, District 6",0569,2027,747,2774,4125,67.25%,1215,1302,111,2628
